Area,X,Y,Perim.,BX,BY,Width,Height
157,728.293,114.669,0,725,102,7,26
92,585.804,107.793,0,581,103,10,11
243,556.160,122.346,0,547,113,20,18
117,536.034,123.231,0,531,115,11,16
41,584.561,119.049,0,582,115,6,9
89,516.022,127.742,0,512,120,10,15
70,528.486,124.900,0,525,120,8,11
46,521.174,124.696,0,518,121,7,9
122,547.484,130.320,0,542,123,13,14
30,590.067,125.367,0,587,123,7,6
144,502.000,132.542,0,489,130,27,6
71,532.000,134.028,0,528,130,10,9
192,571.802,139.375,0,565,131,15,20
270,728.478,156.856,0,726,132,6,56
64,637.234,137.875,0,633,134,10,9
59,522.237,139.746,0,519,135,8,10
28,540.250,138.286,0,538,135,6,7
128,549.812,142.641,0,544,136,12,15
53,583.604,145.208,0,578,142,11,7
92,647.815,155.772,0,643,151,11,11
69,677.638,155.348,0,673,151,10,9
101,802.703,157.228,0,798,151,10,13
80,545.212,162.713,0,541,158,9,10
104,630.144,163.663,0,625,158,11,12
44,572.705,167.750,0,569,165,8,7
52,561.865,169.769,0,557,166,9,9
65,546.846,171.554,0,543,168,9,9
77,765.325,172.182,0,761,168,10,10
62,555.597,175.339,0,550,173,12,6
127,753.134,208.252,0,749,198,11,19
82,555.671,207.476,0,551,203,10,10
69,768.000,210.710,0,764,205,8,13
42,762.143,213.833,0,758,210,9,8
74,634.905,215.608,0,631,211,9,10
64,439.812,218.766,0,435,215,10,8
29,728.793,218.414,0,727,215,5,8
31,766.387,218.484,0,763,216,7,6
81,656.691,224.889,0,652,220,10,11
82,682.622,236.549,0,678,232,11,10
108,829.269,238.796,0,824,233,12,12
73,641.192,242.027,0,635,237,13,10
81,767.951,243.840,0,764,238,9,12
71,648.155,244.014,0,643,239,10,10
226,656.624,251.460,0,649,241,16,20
84,551.488,248.429,0,547,244,10,10
117,856.658,249.590,0,851,244,12,12
85,594.071,252.200,0,589,248,11,10
72,891.528,254.139,0,887,250,10,10
93,628.215,256.419,0,624,251,10,12
103,799.282,263.039,0,795,257,10,13
118,601.195,272.847,0,597,266,10,14
80,801.275,297.175,0,797,292,9,11
86,495.244,321.372,0,490,317,11,10
94,872.181,323.681,0,866,318,12,13
224,814.830,331.987,0,806,322,19,18
91,866.934,330.538,0,864,322,8,17
112,926.768,328.071,0,922,322,10,13
116,776.052,329.690,0,772,323,10,15
149,828.174,331.242,0,822,323,13,17
68,361.662,330.926,0,357,327,10,9
164,386.256,336.354,0,380,328,15,18
72,376.861,340.819,0,373,335,8,12
71,365.606,340.155,0,361,336,12,8
117,845.709,341.068,0,832,339,28,5
302,934.315,367.702,0,932,340,6,57
95,901.653,350.737,0,897,345,11,12
110,730.773,360.609,0,729,348,5,27
222,526.090,370.937,0,523,350,7,42
177,364.051,358.045,0,356,352,17,13
62,467.597,358.806,0,464,354,8,10
86,711.965,358.419,0,707,354,11,10
85,666.094,359.471,0,661,355,11,10
104,513.538,363.673,0,508,359,12,11
