 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,84,728.821,115.274,53.314,727,103,4,24,0.371,24.187,728,103,97.125,4.000,6.611,0.151,0.884
2,42,586.071,108.643,27.799,583,104,7,9,0.683,9.849,585,113,66.038,7.000,1.522,0.657,0.764
3,111,549.122,131.608,45.213,543,125,15,11,0.682,17.493,543,127,149.036,11.000,1.627,0.614,0.881
4,100,593.940,132.950,54.385,584,129,22,7,0.425,22.561,584,130,167.196,7.000,4.481,0.223,0.775
5,102,693.314,131.127,56.485,681,129,25,5,0.402,25.495,681,134,11.310,5.000,6.019,0.166,0.899
6,132,663.485,132.083,69.899,648,130,32,5,0.339,32.249,648,134,7.125,5.000,7.542,0.133,0.907
7,44,562.659,134.023,25.799,558,131,9,8,0.831,10.000,559,131,126.870,7.488,1.303,0.767,0.846
8,30,515.467,138.900,19.899,512,136,6,6,0.952,7.810,513,136,129.806,6.000,1.148,0.871,0.923
9,41,522.159,140.012,24.971,519,136,7,9,0.826,9.434,521,145,57.995,7.000,1.277,0.783,0.845
10,143,554.493,142.094,50.627,545,137,18,11,0.701,19.416,546,137,145.491,10.630,1.719,0.582,0.849
11,46,647.913,156.109,36.627,644,152,8,8,0.431,10.000,645,160,53.130,8.000,1.105,0.905,0.780
12,42,677.857,155.452,32.627,673,152,9,7,0.496,9.849,673,157,23.962,7.000,1.382,0.724,0.785
13,59,803.263,157.517,42.042,799,152,8,11,0.419,11.705,801,163,70.017,8.000,1.466,0.682,0.792
14,85,546.335,163.465,36.042,541,157,10,13,0.822,13.342,545,170,77.005,10.000,1.112,0.899,0.854
15,54,630.648,164.444,40.042,626,160,9,9,0.423,10.817,628,169,56.310,8.497,1.221,0.819,0.788
16,41,765.695,172.256,30.385,762,169,8,7,0.558,10.000,762,176,36.870,7.000,1.486,0.673,0.845
17,55,556.082,207.991,26.971,552,204,9,8,0.950,10.000,552,211,36.870,8.000,1.233,0.811,0.902
18,42,635.119,216.071,34.042,631,212,8,8,0.455,9.899,632,220,45.000,7.603,1.302,0.768,0.778
19,27,729.463,217.167,22.485,728,212,3,10,0.671,10.198,728,222,78.690,3.000,3.140,0.318,0.947
20,45,440.078,219.056,23.899,436,216,8,6,0.990,9.434,436,217,147.995,6.000,1.330,0.752,0.968
21,46,656.978,225.717,32.627,653,221,8,9,0.543,9.849,655,221,113.962,7.603,1.341,0.746,0.800
22,56,683.161,237.000,26.385,679,233,9,8,1.000,10.000,680,233,126.870,8.000,1.235,0.810,0.911
23,65,829.408,239.254,42.284,825,234,9,10,0.457,11.662,826,244,59.036,9.000,1.318,0.758,0.823
24,35,936.043,246.243,24.728,934,241,4,10,0.719,10.440,935,241,106.699,4.000,2.489,0.402,0.921
25,31,767.435,245.403,25.799,764,242,7,7,0.585,8.062,766,249,60.255,7.000,1.288,0.777,0.729
26,45,551.833,249.033,35.456,548,244,8,9,0.450,10.000,549,245,126.870,8.000,1.245,0.803,0.738
27,50,854.640,250.300,30.385,851,245,7,10,0.681,11.180,853,255,63.435,7.000,1.618,0.618,0.806
28,53,594.255,252.726,34.627,590,249,9,8,0.555,10.296,590,255,29.055,8.000,1.223,0.817,0.841
29,31,891.016,254.790,28.042,888,251,7,8,0.495,8.944,889,251,116.565,6.957,1.477,0.677,0.689
30,59,628.347,256.890,32.627,624,252,8,10,0.696,10.770,627,262,68.199,8.000,1.342,0.745,0.874
31,73,799.459,263.418,38.627,795,258,9,11,0.615,11.705,798,269,70.017,9.000,1.314,0.761,0.859
32,72,601.431,273.431,47.456,598,267,8,12,0.402,13.416,599,267,116.565,8.000,1.685,0.593,0.832
33,34,729.824,273.794,25.899,728,268,4,11,0.637,11.402,729,268,105.255,4.000,3.197,0.313,0.872
34,32,730.281,285.219,25.314,728,280,4,11,0.628,11.180,729,280,100.305,4.000,3.142,0.318,0.842
35,26,581.769,285.154,22.142,579,281,5,9,0.666,9.487,581,281,108.435,4.707,2.187,0.457,0.812
36,55,801.609,297.645,26.142,798,293,7,9,1.000,10.000,799,302,53.130,7.000,1.263,0.792,0.940
37,53,495.462,321.481,32.870,491,317,9,9,0.616,10.000,492,325,36.870,8.485,1.193,0.838,0.809
38,82,869.244,327.622,37.213,865,321,11,12,0.744,13.038,865,333,32.471,11.000,1.113,0.898,0.837
39,147,826.500,329.527,65.941,815,322,19,16,0.425,23.345,815,322,136.736,14.600,1.564,0.640,0.689
40,44,776.432,327.545,23.314,773,324,7,7,1.000,8.602,774,324,125.538,7.000,1.043,0.959,0.946
41,45,926.589,330.256,26.971,922,326,9,8,0.777,10.000,923,326,143.130,7.143,1.503,0.665,0.804
42,107,386.201,335.388,51.113,381,328,12,13,0.515,15.620,382,329,129.806,11.907,1.438,0.696,0.843
43,35,362.786,332.243,28.627,358,329,9,7,0.537,9.849,358,329,156.038,7.000,1.503,0.665,0.680
44,32,595.031,334.406,26.385,591,331,8,7,0.578,10.630,591,331,138.814,5.942,1.942,0.515,0.744
45,35,317.043,339.500,28.728,315,333,4,12,0.533,12.369,316,333,104.036,4.000,3.403,0.294,0.805
46,126,862.278,340.103,60.971,849,334,23,10,0.426,25.080,849,344,23.499,10.000,3.077,0.325,0.714
47,105,835.605,341.881,57.556,824,339,24,6,0.398,24.739,824,345,14.036,6.000,5.443,0.184,0.792
48,48,814.167,342.583,27.071,809,340,10,5,0.823,11.180,809,345,26.565,5.000,2.013,0.497,0.980
49,97,417.284,348.562,53.213,406,343,21,9,0.430,22.136,406,351,18.435,9.000,3.421,0.292,0.693
50,37,370.932,348.554,21.899,367,346,8,5,0.969,9.434,367,346,147.995,5.000,1.654,0.605,0.961
51,54,901.796,350.648,35.456,898,346,8,10,0.540,10.817,898,355,56.310,8.000,1.369,0.730,0.824
52,93,309.898,364.866,62.142,307,351,5,29,0.303,29.275,308,351,97.853,4.401,8.208,0.122,0.834
53,53,712.462,358.708,26.142,708,355,9,7,0.975,9.849,708,361,23.962,7.000,1.283,0.780,0.930
