Area,X,Y,Perim.,BX,BY,Width,Height
58,702.431,142.776,0,699,139,8,9
45,786.044,142.400,0,782,139,8,8
53,596.000,176.000,0,592,173,9,7
138,633.203,183.159,0,627,177,14,13
56,759.125,183.393,0,755,180,9,8
48,490.667,204.688,0,486,202,10,6
69,625.362,206.232,0,621,202,10,9
80,740.487,207.613,0,736,203,10,10
30,964.700,206.900,0,962,204,7,6
70,486.471,230.814,0,482,227,10,9
67,998.328,236.075,0,994,232,10,9
115,689.548,239.617,0,683,233,13,13
100,714.570,238.020,0,709,233,12,11
94,467.074,244.266,0,462,239,11,12
62,797.500,244.258,0,793,239,9,11
75,535.947,244.293,0,532,240,9,10
109,905.239,249.606,0,900,244,12,12
82,534.915,266.866,0,530,262,10,11
114,1054.132,266.956,0,1048,262,13,11
45,546.044,269.333,0,543,265,7,9
71,528.634,271.141,0,524,266,10,11
82,545.573,277.244,0,540,273,13,9
101,822.752,289.802,0,817,285,12,11
167,828.641,298.731,0,822,289,14,20
89,1010.258,299.876,0,1005,296,12,9
61,622.377,303.852,0,619,300,8,9
54,843.593,305.722,0,840,302,9,8
48,703.854,307.583,0,700,304,9,8
90,892.622,322.000,0,887,318,12,9
78,1092.628,322.397,0,1087,319,12,8
59,1082.949,324.068,0,1079,320,9,9
94,431.723,324.351,0,422,322,21,6
39,847.410,324.667,0,844,322,8,6
27,1085.296,330.704,0,1082,329,7,5
86,407.779,339.128,0,403,334,10,11
90,570.211,345.000,0,565,340,11,11
126,778.151,358.008,0,766,355,25,7
122,496.426,365.262,0,491,360,12,12
72,869.819,371.819,0,865,367,10,10
43,990.767,381.326,0,987,379,9,6
66,361.470,386.439,0,357,381,9,11
81,992.753,389.099,0,988,385,11,9
49,380.184,389.469,0,377,386,8,8
63,372.095,391.524,0,368,388,10,8
127,977.992,394.906,0,973,389,11,13
150,664.593,400.093,0,656,392,18,15
15,354.867,395.467,0,353,394,5,4
39,363.692,397.000,0,360,394,9,7
63,368.841,400.079,0,364,396,10,9
58,968.966,400.983,0,965,397,9,9
66,554.061,409.970,0,549,406,11,9
38,722.105,410.211,0,719,407,7,7
40,1024.950,414.050,0,1022,411,7,8
84,365.119,418.524,0,360,414,11,10
74,495.946,419.135,0,491,415,10,10
84,1045.833,420.881,0,1040,416,12,11
105,1033.200,425.848,0,1027,419,13,13
89,1041.562,428.124,0,1037,421,10,13
79,396.266,426.506,0,392,422,10,10
80,370.238,426.825,0,365,423,11,9
73,997.932,430.411,0,993,426,11,9
76,830.000,435.500,0,826,431,9,10
79,617.671,450.430,0,612,446,12,10
92,716.891,453.957,0,712,447,10,14
55,724.927,457.364,0,721,454,9,8
75,1012.680,457.893,0,1008,454,11,9
58,721.121,463.500,0,717,460,10,8
33,826.364,464.303,0,824,461,6,8
54,363.759,470.537,0,361,465,6,11
64,608.672,480.266,0,605,475,8,11
91,651.132,481.615,0,646,477,11,10
35,1034.971,481.543,0,1032,478,7,7
88,1019.852,484.068,0,1015,479,11,11
207,843.459,489.899,0,836,480,16,22
241,822.942,494.855,0,816,485,17,21
107,725.505,497.551,0,720,492,12,12
63,1069.952,497.111,0,1066,493,9,9
40,441.550,498.525,0,438,496,9,7
46,813.717,502.283,0,810,499,8,8
25,835.240,502.600,0,833,500,5,6
52,820.500,506.135,0,817,503,9,8
82,377.402,509.280,0,373,504,10,11
57,810.789,508.316,0,806,505,11,7
56,826.696,509.464,0,823,506,9,8
89,537.517,518.944,0,533,514,10,11
63,937.270,526.651,0,934,522,8,10
74,1021.527,534.892,0,1017,531,10,9
79,484.532,538.443,0,480,534,10,10
82,1004.073,544.890,0,999,541,11,9
162,568.753,557.883,0,563,550,12,18
83,580.723,556.337,0,575,552,12,10
88,695.023,559.864,0,690,555,11,11
72,776.569,563.097,0,772,559,10,9
55,576.691,567.236,0,573,564,8,8
91,564.659,568.868,0,558,565,14,9
24,858.125,576.000,0,856,574,6,5
77,993.169,578.779,0,989,574,9,11
89,675.022,581.449,0,670,577,11,10
82,585.061,591.000,0,580,586,10,11
63,967.444,588.460,0,962,586,12,6
59,762.898,594.373,0,759,590,9,9
105,970.562,599.714,0,963,595,17,10
59,990.983,603.119,0,987,599,9,9
49,474.755,608.327,0,470,604,9,9
51,1321.882,622.804,0,1319,614,6,18
81,719.975,620.778,0,715,616,11,11
88,538.761,636.989,0,534,632,10,11
80,790.612,642.800,0,786,638,12,10
71,1004.465,655.549,0,1000,652,10,8
45,738.844,657.956,0,735,655,8,7
53,746.094,658.849,0,742,655,9,9
73,662.877,661.370,0,659,657,9,10
79,529.367,667.418,0,525,663,10,10
30,856.767,672.333,0,854,670,6,6
171,394.515,682.585,0,389,673,13,20
41,989.878,678.073,0,986,675,8,8
24,968.500,678.000,0,966,676,6,5
217,983.876,684.488,0,976,676,17,19
32,1082.000,684.375,0,1078,683,10,4
35,885.943,686.714,0,883,684,7,7
146,642.904,691.740,0,637,685,13,14
93,997.914,692.237,0,992,687,12,12
289,1007.927,703.761,0,997,690,21,24
36,964.000,694.444,0,960,692,10,5
72,985.986,699.125,0,981,694,11,12
101,1063.386,720.218,0,1058,716,12,10
61,458.049,722.820,0,454,719,9,9
94,780.340,723.713,0,775,719,13,10
75,854.520,727.507,0,850,723,10,10
96,1018.292,752.833,0,1013,748,12,11
80,583.975,757.050,0,579,753,11,9
30,884.600,758.067,0,882,756,7,6
94,865.415,767.106,0,860,762,12,11
196,618.602,793.556,0,612,785,16,17
33,608.152,789.727,0,605,787,7,7
45,926.667,791.067,0,923,787,8,9
83,894.434,860.711,0,889,857,12,9
49,623.041,879.408,0,620,876,8,8
68,624.294,886.721,0,619,883,11,9
47,765.021,890.000,0,761,885,8,11
58,645.069,890.603,0,641,887,9,9
112,797.812,905.938,0,792,901,12,11
71,743.000,914.972,0,737,911,12,9
36,699.889,919.889,0,698,915,6,10
48,740.250,920.229,0,736,917,10,7
66,601.439,930.818,0,597,926,10,10
36,738.889,931.556,0,736,929,7,7
96,717.333,947.542,0,712,943,11,11
53,51.491,954.434,0,47,951,10,7
