 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,35,702.957,143.357,21.556,699,140,7,7,0.947,8.602,699,145,35.538,6.364,1.367,0.731,0.886,cell
2,25,786.140,143.060,18.728,783,140,6,6,0.896,7.810,783,145,39.806,5.547,1.634,0.612,0.820,cell
3,39,776.372,149.372,21.556,773,146,7,7,1.000,8.062,774,146,119.745,7.000,1.097,0.912,0.918,cell
4,36,593.361,158.889,20.728,590,156,7,6,1.000,8.062,590,161,29.745,6.000,1.186,0.843,0.935,cell
5,32,818.938,161.844,20.142,816,158,6,7,0.991,7.616,817,165,66.801,6.000,1.122,0.892,0.889,cell
6,37,682.554,178.824,21.314,679,176,7,6,1.000,8.602,679,176,144.462,6.000,1.241,0.806,0.949,cell
7,102,633.569,183.627,36.042,628,178,12,11,0.987,13.038,628,187,32.471,11.000,1.120,0.893,0.923,cell
8,37,612.203,185.635,21.556,609,182,7,7,1.000,8.062,610,189,60.255,7.000,1.134,0.882,0.892,cell
9,32,598.938,194.312,20.728,596,191,6,7,0.936,8.602,596,191,125.538,5.814,1.513,0.661,0.889,cell
10,30,506.133,197.133,18.728,503,194,6,6,1.000,7.211,503,199,33.690,6.000,1.116,0.896,0.923,cell
11,33,864.197,198.318,20.728,861,195,6,7,0.965,8.062,862,195,119.745,6.000,1.251,0.799,0.892,cell
12,41,557.988,202.671,23.556,554,199,8,7,0.928,8.944,554,205,26.565,6.708,1.324,0.755,0.882,cell
13,44,625.750,206.705,22.971,622,203,8,7,1.000,8.602,622,209,35.538,7.000,1.121,0.892,0.907,cell
14,55,741.064,208.118,26.385,737,204,9,8,0.993,10.000,737,211,36.870,8.000,1.171,0.854,0.902,cell
15,26,540.000,208.500,17.314,537,206,6,5,1.000,6.708,537,207,153.435,5.000,1.184,0.845,0.929,cell
16,32,490.969,211.312,20.142,488,208,6,7,0.991,7.810,489,208,129.806,6.000,1.216,0.822,0.889,cell
17,42,622.238,218.833,23.556,619,215,7,8,0.951,8.944,620,215,116.565,6.957,1.318,0.759,0.884,cell
18,25,730.500,228.500,18.142,728,225,5,7,0.954,7.616,729,232,66.801,5.000,1.405,0.712,0.862,cell
19,43,538.105,229.547,24.971,534,226,8,7,0.867,9.434,534,227,147.995,7.000,1.251,0.800,0.878,cell
20,44,486.977,231.295,23.556,483,228,8,7,0.996,8.944,483,229,153.435,7.000,1.203,0.831,0.907,cell
21,28,675.750,235.036,18.728,673,232,6,6,1.000,7.810,673,238,39.806,5.814,1.273,0.785,0.889,cell
22,79,690.006,239.956,38.284,684,234,12,11,0.677,13.038,685,245,57.529,9.899,1.343,0.745,0.819,cell
23,72,714.986,238.431,30.971,710,234,10,9,0.943,12.207,710,242,34.992,8.944,1.351,0.740,0.923,cell
24,26,998.615,236.500,18.142,995,234,7,5,0.993,7.616,995,238,23.199,5.000,1.392,0.719,0.881,cell
25,32,571.406,242.219,21.556,568,238,6,8,0.865,8.944,570,246,63.435,6.000,1.518,0.659,0.842,cell
26,59,467.568,245.025,28.042,463,240,9,10,0.943,10.050,467,240,95.711,8.944,1.043,0.958,0.861,cell
27,49,536.418,244.704,25.556,533,240,7,9,0.943,10.000,534,249,53.130,7.000,1.335,0.749,0.899,cell
28,46,797.543,244.500,24.971,794,240,7,9,0.927,10.000,794,248,53.130,7.000,1.455,0.687,0.893,cell
29,112,907.696,249.714,43.799,901,245,15,10,0.734,15.811,901,254,18.435,10.000,1.560,0.641,0.882,cell
30,26,957.346,248.962,17.899,955,246,5,6,1.000,7.211,955,246,123.690,5.000,1.283,0.779,0.929,cell
31,59,866.636,253.907,27.556,863,249,7,10,0.976,10.770,865,259,68.199,7.000,1.428,0.700,0.937,cell
32,30,555.333,255.433,19.314,553,252,5,7,1.000,8.062,553,259,60.255,5.000,1.438,0.695,0.938,cell
33,52,882.731,260.192,26.385,879,256,8,9,0.939,10.000,880,256,126.870,7.778,1.274,0.785,0.889,cell
34,52,535.404,266.942,26.385,532,262,7,10,0.939,10.817,533,262,123.690,7.000,1.504,0.665,0.897,cell
35,74,1054.649,267.378,30.627,1049,263,11,9,0.991,11.705,1049,269,19.983,9.000,1.276,0.784,0.908,cell
36,57,525.623,271.430,42.284,519,267,13,9,0.401,14.318,519,269,155.225,8.806,1.750,0.571,0.637,cell
37,41,547.427,276.963,30.971,542,274,11,7,0.537,12.530,542,281,28.610,5.821,2.505,0.399,0.732,cell
38,27,1041.019,287.278,18.142,1038,284,6,6,1.000,7.211,1038,289,33.690,6.000,1.175,0.851,0.871,cell
39,64,823.141,289.891,28.971,818,286,10,8,0.958,10.440,818,289,163.301,8.000,1.212,0.825,0.914,cell
40,81,828.846,299.093,40.042,824,291,9,15,0.635,16.125,825,305,60.255,8.434,2.081,0.480,0.822,cell
41,40,838.050,298.225,26.971,835,293,7,10,0.691,10.817,835,293,123.690,6.364,2.093,0.478,0.784,cell
42,56,651.625,299.625,27.556,648,295,7,10,0.927,10.817,649,295,123.690,7.000,1.439,0.695,0.918,cell
