 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,35,702.957,143.357,21.556,699,140,7,7,0.947,8.602,699,145,35.538,6.364,1.367,0.731,0.886
2,25,786.140,143.060,18.728,783,140,6,6,0.896,7.810,783,145,39.806,5.547,1.634,0.612,0.820
3,39,776.372,149.372,21.556,773,146,7,7,1.000,8.062,774,146,119.745,7.000,1.097,0.912,0.918
4,51,578.461,153.676,44.870,571,148,13,11,0.318,14.318,571,155,24.775,10.286,1.727,0.579,0.551
5,36,593.361,158.889,20.728,590,156,7,6,1.000,8.062,590,161,29.745,6.000,1.186,0.843,0.935
6,53,574.840,161.538,31.213,570,158,11,7,0.684,11.402,570,159,164.745,7.000,1.770,0.565,0.803
7,32,818.938,161.844,20.142,816,158,6,7,0.991,7.616,817,165,66.801,6.000,1.122,0.892,0.889
8,37,682.554,178.824,21.314,679,176,7,6,1.000,8.602,679,176,144.462,6.000,1.241,0.806,0.949
9,102,633.569,183.627,36.042,628,178,12,11,0.987,13.038,628,187,32.471,11.000,1.120,0.893,0.923
10,37,612.203,185.635,21.556,609,182,7,7,1.000,8.062,610,189,60.255,7.000,1.134,0.882,0.892
11,32,598.938,194.312,20.728,596,191,6,7,0.936,8.602,596,191,125.538,5.814,1.513,0.661,0.889
12,30,506.133,197.133,18.728,503,194,6,6,1.000,7.211,503,199,33.690,6.000,1.116,0.896,0.923
13,33,864.197,198.318,20.728,861,195,6,7,0.965,8.062,862,195,119.745,6.000,1.251,0.799,0.892
14,41,557.988,202.671,23.556,554,199,8,7,0.928,8.944,554,205,26.565,6.708,1.324,0.755,0.882
15,44,625.750,206.705,22.971,622,203,8,7,1.000,8.602,622,209,35.538,7.000,1.121,0.892,0.907
16,55,741.064,208.118,26.385,737,204,9,8,0.993,10.000,737,211,36.870,8.000,1.171,0.854,0.902
17,26,540.000,208.500,17.314,537,206,6,5,1.000,6.708,537,207,153.435,5.000,1.184,0.845,0.929
18,32,490.969,211.312,20.142,488,208,6,7,0.991,7.810,489,208,129.806,6.000,1.216,0.822,0.889
19,42,622.238,218.833,23.556,619,215,7,8,0.951,8.944,620,215,116.565,6.957,1.318,0.759,0.884
20,25,730.500,228.500,18.142,728,225,5,7,0.954,7.616,729,232,66.801,5.000,1.405,0.712,0.862
21,43,538.105,229.547,24.971,534,226,8,7,0.867,9.434,534,227,147.995,7.000,1.251,0.800,0.878
22,44,486.977,231.295,23.556,483,228,8,7,0.996,8.944,483,229,153.435,7.000,1.203,0.831,0.907
23,28,675.750,235.036,18.728,673,232,6,6,1.000,7.810,673,238,39.806,5.814,1.273,0.785,0.889
24,79,690.006,239.956,38.284,684,234,12,11,0.677,13.038,685,245,57.529,9.899,1.343,0.745,0.819
25,72,714.986,238.431,30.971,710,234,10,9,0.943,12.207,710,242,34.992,8.944,1.351,0.740,0.923
26,26,998.615,236.500,18.142,995,234,7,5,0.993,7.616,995,238,23.199,5.000,1.392,0.719,0.881
27,32,571.406,242.219,21.556,568,238,6,8,0.865,8.944,570,246,63.435,6.000,1.518,0.659,0.842
28,59,467.568,245.025,28.042,463,240,9,10,0.943,10.050,467,240,95.711,8.944,1.043,0.958,0.861
29,49,536.418,244.704,25.556,533,240,7,9,0.943,10.000,534,249,53.130,7.000,1.335,0.749,0.899
