Area,X,Y,Perim.,BX,BY,Width,Height
148,32.257,110.486,0,25,105,15,13
195,748.862,281.795,0,741,274,16,16
36,18.667,317.944,0,16,315,7,7
255,738.506,387.478,0,731,376,16,22
80,837.400,387.637,0,832,384,12,8
117,971.504,417.752,0,966,412,12,13
148,739.608,434.358,0,733,427,13,17
72,713.972,438.194,0,709,433,11,14
68,864.544,439.794,0,862,433,6,14
183,850.585,443.246,0,840,435,22,17
132,685.061,449.250,0,679,443,13,13
81,878.531,449.420,0,873,445,12,10
182,526.951,455.533,0,521,446,13,20
48,171.979,459.625,0,169,456,7,8
97,848.938,475.041,0,844,470,11,11
50,307.260,477.680,0,303,475,9,7
80,1123.875,517.987,0,1118,514,13,9
167,485.749,543.898,0,460,542,54,4
48,455.000,573.229,0,452,569,7,10
217,1120.479,583.410,0,1114,574,14,20
165,967.255,596.958,0,958,591,18,13
103,1133.437,601.922,0,1127,597,14,11
91,515.626,604.637,0,510,601,14,9
64,963.266,604.078,0,959,601,10,7
98,449.633,635.500,0,444,631,12,10
130,113.015,648.469,0,108,642,12,14
229,481.860,654.611,0,474,645,16,19
65,1058.738,668.800,0,1055,665,9,9
76,1053.184,693.421,0,1048,690,12,8
37,857.838,698.757,0,855,696,7,7
126,717.008,721.738,0,711,715,13,15
64,806.688,722.312,0,803,718,9,10
117,726.043,728.043,0,719,719,13,16
221,127.421,768.149,0,120,758,16,20
104,1329.385,771.798,0,1323,768,14,9
110,513.936,776.864,0,508,771,12,14
48,1355.667,803.542,0,1352,800,8,8
39,933.846,833.846,0,930,831,9,7
51,1267.549,852.059,0,1264,849,8,7
97,750.608,873.237,0,745,868,12,11
216,574.565,920.231,0,568,911,15,19
55,1123.545,917.564,0,1120,914,8,8
196,625.827,954.867,0,617,948,18,15
244,814.119,982.029,0,807,972,14,21
94,317.713,1045.851,0,313,1040,10,14
93,1353.935,1066.462,0,1349,1061,10,12
41,507.024,1067.415,0,504,1064,7,8
