 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,688.432,221.773,25.799,685,217,7,10,0.831,10.770,686,227,68.199,6.708,1.710,0.585,0.854
2,56,870.768,242.929,30.971,864,240,13,6,0.734,13.601,864,240,162.897,5.954,2.406,0.416,0.882
3,99,583.672,283.965,46.042,579,276,10,16,0.587,17.889,581,276,116.565,9.700,1.889,0.529,0.818
4,33,748.561,282.076,20.142,745,279,7,6,1.000,8.062,745,280,150.255,6.000,1.246,0.803,0.904
5,60,848.867,344.800,27.799,845,340,8,10,0.976,10.817,846,340,123.690,8.000,1.319,0.758,0.902
6,71,617.415,367.739,30.627,613,362,9,11,0.951,12.083,615,362,114.444,8.854,1.376,0.727,0.893
7,53,740.953,387.198,26.385,737,383,8,9,0.957,10.296,738,383,119.055,7.778,1.329,0.752,0.898
8,40,957.825,392.700,23.556,954,389,8,7,0.906,9.434,954,390,147.995,6.472,1.511,0.662,0.860
9,75,1016.353,399.007,33.556,1013,393,7,12,0.837,13.000,1013,405,67.380,7.000,1.686,0.593,0.949
10,63,738.611,432.563,28.385,734,428,9,9,0.983,10.296,734,435,29.055,8.944,1.154,0.866,0.913
11,35,466.986,437.900,20.728,464,434,6,7,1.000,8.485,464,435,135.000,6.000,1.165,0.859,0.921
12,33,713.894,441.167,26.385,711,436,6,10,0.596,10.770,713,436,111.801,5.261,2.346,0.426,0.742
13,87,532.902,456.718,41.698,525,451,16,11,0.629,18.358,525,451,150.642,8.000,2.872,0.348,0.795
14,43,551.663,478.058,22.971,548,474,7,8,1.000,8.602,548,480,35.538,7.000,1.153,0.867,0.896
15,70,437.600,498.386,34.142,434,492,7,13,0.755,13.928,434,505,68.962,6.822,2.061,0.485,0.881
16,27,437.056,508.056,20.728,433,505,7,6,0.790,8.062,433,509,29.745,6.000,1.374,0.728,0.831
17,36,436.639,514.139,24.971,432,511,10,6,0.726,10.770,432,512,158.199,6.000,2.020,0.495,0.800
18,27,1131.463,515.019,26.385,1127,511,8,8,0.487,11.314,1127,519,45.000,5.209,2.791,0.358,0.651
19,61,376.189,528.713,31.799,372,523,8,12,0.758,12.166,376,535,80.538,7.519,1.747,0.572,0.836
20,135,367.411,534.707,62.912,360,526,14,18,0.429,18.439,365,544,77.471,13.525,1.398,0.715,0.763
21,51,1014.559,530.637,25.556,1011,526,7,9,0.981,10.296,1012,535,60.945,7.000,1.433,0.698,0.927
22,31,753.758,536.565,22.385,750,533,8,7,0.777,9.434,750,540,32.005,5.488,2.075,0.482,0.805
23,34,358.882,539.147,20.971,355,536,8,6,0.972,8.246,355,540,14.036,6.000,1.171,0.854,0.861
24,34,1014.971,539.618,26.728,1009,536,10,6,0.598,11.180,1009,541,26.565,5.618,2.311,0.433,0.747
25,143,364.367,548.185,54.770,354,543,20,12,0.599,20.616,354,544,165.964,11.659,1.766,0.566,0.817
26,59,743.212,549.161,33.213,739,543,8,13,0.672,14.318,739,543,114.775,6.641,2.378,0.421,0.849
27,97,736.119,552.655,45.113,730,546,13,13,0.599,16.971,731,546,135.000,10.464,1.617,0.618,0.785
28,34,725.794,551.353,22.485,722,549,8,5,0.845,8.602,722,549,144.462,5.000,1.394,0.717,0.919
29,65,745.346,564.100,29.213,741,559,9,10,0.957,10.817,743,569,56.310,8.854,1.234,0.810,0.884
30,73,658.692,577.103,35.213,654,571,9,13,0.740,14.765,655,584,61.699,8.356,2.070,0.483,0.839
31,31,462.242,576.919,20.728,459,574,7,6,0.907,8.602,459,579,35.538,6.000,1.369,0.730,0.886
32,26,1119.346,583.115,20.142,1117,579,5,8,0.805,8.944,1117,579,116.565,4.919,1.873,0.534,0.839
33,78,796.500,588.308,56.042,786,583,19,8,0.312,19.647,786,590,14.744,8.000,3.179,0.315,0.647
34,28,746.393,590.071,19.314,744,587,5,7,0.943,8.062,745,594,60.255,5.000,1.445,0.692,0.903
35,51,967.990,597.186,28.385,963,594,10,8,0.795,11.402,963,594,142.125,7.155,1.803,0.555,0.843
36,43,415.081,623.337,30.385,409,620,12,7,0.585,12.649,409,624,18.435,6.399,2.107,0.475,0.735
37,26,419.192,628.731,18.142,416,626,6,6,0.993,6.708,417,626,116.565,6.000,1.087,0.920,0.867
38,54,1099.796,631.796,27.556,1096,627,7,10,0.894,10.817,1097,627,123.690,7.000,1.525,0.656,0.900
39,33,931.712,640.742,24.385,928,638,9,6,0.697,9.849,928,643,23.962,6.000,1.802,0.555,0.776
