 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,35,766.071,263.557,21.314,762,261,8,5,0.968,8.544,762,262,159.444,5.000,1.588,0.630,0.933
2,93,773.156,268.618,48.527,766,261,14,16,0.496,19.416,769,277,55.491,9.192,2.594,0.386,0.689
3,141,906.493,265.124,72.971,891,261,27,13,0.333,27.659,891,261,167.471,12.222,3.438,0.291,0.585
4,36,921.806,265.194,21.314,919,262,6,7,0.996,8.062,920,269,60.255,6.000,1.122,0.891,0.935
5,33,928.379,267.591,26.728,926,263,5,10,0.580,10.770,926,263,111.801,4.768,2.757,0.363,0.776
6,25,986.060,267.860,18.728,983,265,7,5,0.896,7.616,983,266,156.801,5.000,1.484,0.674,0.847
7,68,694.809,281.941,42.284,690,277,10,10,0.478,12.207,690,278,145.008,9.391,1.349,0.741,0.810
8,46,961.109,280.043,34.042,955,277,14,7,0.499,14.560,955,282,15.945,6.708,2.477,0.404,0.676
9,59,728.127,286.500,42.870,724,282,9,10,0.403,10.817,725,282,123.690,9.000,1.126,0.888,0.787
10,62,790.903,292.387,27.556,787,288,8,9,1.000,10.296,788,288,119.055,8.000,1.134,0.882,0.947
11,41,950.744,294.744,28.385,947,290,8,10,0.639,11.662,948,300,59.036,6.364,2.228,0.449,0.732
12,91,952.390,305.665,60.426,946,296,12,16,0.313,18.601,947,311,53.746,10.607,1.820,0.549,0.705
13,120,879.500,316.750,68.971,876,302,7,30,0.317,30.806,876,332,76.866,5.613,6.955,0.144,0.795
14,99,984.712,336.864,56.184,978,330,13,15,0.394,17.029,978,343,40.236,10.373,1.476,0.677,0.707
15,43,652.430,341.430,32.142,650,334,5,14,0.523,14.318,651,348,77.905,4.603,3.710,0.270,0.796
16,36,1036.639,343.500,32.042,1033,340,8,8,0.441,8.944,1033,346,26.565,7.778,1.198,0.835,0.673
17,42,755.976,345.595,29.213,752,342,8,7,0.618,9.434,752,344,147.995,7.000,1.287,0.777,0.824
18,90,410.189,357.578,53.556,407,346,6,24,0.394,24.083,410,346,94.764,5.643,5.079,0.197,0.814
19,82,874.476,375.732,48.142,872,365,5,21,0.445,21.587,872,386,76.608,5.000,4.799,0.208,0.877
20,29,783.121,381.638,20.728,780,378,6,7,0.848,8.602,781,385,54.462,5.687,1.571,0.637,0.853
21,44,790.455,384.205,35.213,787,378,8,11,0.446,13.601,787,378,126.027,8.000,1.924,0.520,0.657
22,30,775.500,388.733,28.971,773,383,5,12,0.449,12.166,775,395,80.538,4.667,3.260,0.307,0.674
23,40,783.075,390.100,31.456,779,386,9,9,0.508,10.296,780,395,60.945,8.356,1.235,0.810,0.678
24,66,872.682,396.182,42.142,870,387,5,18,0.467,18.439,871,405,77.471,5.000,4.456,0.224,0.857
25,78,853.987,395.769,47.941,846,389,14,12,0.426,14.318,846,395,167.905,9.947,1.379,0.725,0.693
26,76,461.579,398.329,48.042,458,390,8,19,0.414,20.248,458,409,69.775,8.000,3.406,0.294,0.682
27,25,453.940,401.140,19.314,452,397,4,8,0.842,8.544,452,405,69.444,4.000,1.937,0.516,0.909
28,35,960.757,401.014,26.728,955,399,12,4,0.616,12.369,955,400,165.964,4.000,3.162,0.316,0.875
29,45,960.367,405.589,30.142,954,403,13,5,0.622,13.342,954,403,167.005,4.876,2.985,0.335,0.833
30,61,1088.156,412.713,34.385,1081,409,13,7,0.648,13.928,1081,411,158.962,6.864,2.405,0.416,0.813
31,118,1099.000,420.686,56.184,1094,411,11,19,0.470,19.416,1096,430,78.111,11.000,1.882,0.531,0.731
32,65,1082.392,422.438,35.213,1079,416,7,13,0.659,13.928,1080,429,68.962,7.000,1.992,0.502,0.833
33,59,1090.686,421.568,28.385,1087,417,8,10,0.920,10.440,1090,427,73.301,8.000,1.291,0.775,0.887
34,57,719.728,426.447,41.113,715,422,10,9,0.424,10.770,715,424,158.199,8.944,1.232,0.812,0.781
35,33,1101.955,432.409,30.385,1097,428,11,7,0.449,11.705,1097,434,19.983,5.692,2.461,0.406,0.623
36,48,424.292,447.208,40.870,419,443,10,8,0.361,10.198,419,448,11.310,8.000,1.209,0.827,0.716
37,54,959.500,449.370,40.284,955,445,9,9,0.418,10.817,957,454,56.310,8.944,1.208,0.828,0.777
38,33,823.439,473.348,27.799,820,469,8,8,0.537,8.602,821,470,144.462,7.031,1.322,0.756,0.688
39,120,547.092,473.542,67.556,532,470,30,7,0.330,30.806,532,470,166.866,5.201,7.108,0.141,0.814
40,89,865.433,483.983,56.142,863,471,5,25,0.355,25.495,863,496,78.690,4.656,6.613,0.151,0.840
41,61,1032.205,482.172,39.456,1028,477,9,10,0.492,11.402,1028,486,37.875,8.944,1.337,0.748,0.797
42,52,770.423,482.288,38.042,766,478,9,8,0.452,10.817,766,485,33.690,8.000,1.243,0.804,0.812
43,121,674.219,484.690,65.213,660,481,28,7,0.358,28.636,660,482,167.905,6.478,6.005,0.167,0.801
44,42,990.167,500.214,34.627,986,496,8,8,0.440,9.220,986,503,40.601,8.000,1.136,0.880,0.757
45,72,928.639,503.986,40.728,920,500,16,7,0.545,16.763,920,502,162.646,7.000,3.366,0.297,0.791
46,40,569.625,507.900,35.213,566,504,7,9,0.405,9.220,568,504,102.529,7.000,1.137,0.880,0.762
47,61,957.779,515.025,32.385,952,510,11,9,0.731,14.213,952,519,39.289,6.822,2.315,0.432,0.853
48,45,968.789,513.989,28.385,964,511,11,6,0.702,12.083,964,511,155.556,6.000,2.151,0.465,0.841
49,60,734.383,515.967,27.556,730,512,9,8,0.993,10.000,731,512,126.870,8.000,1.098,0.911,0.930
50,73,950.048,520.801,41.456,944,513,12,13,0.534,16.279,944,513,132.510,9.058,2.007,0.498,0.734
51,61,459.631,522.484,43.113,455,517,9,10,0.412,10.817,457,518,123.690,9.000,1.066,0.938,0.777
52,63,963.849,521.452,31.456,958,517,12,9,0.800,12.369,958,520,165.964,8.825,1.282,0.780,0.824
53,67,976.440,521.172,37.456,969,517,15,9,0.600,17.000,969,518,151.928,6.641,2.846,0.351,0.798
54,57,613.395,525.518,40.870,605,522,17,7,0.429,18.385,605,529,22.380,6.641,3.403,0.294,0.726
55,75,627.007,530.007,37.456,622,524,10,12,0.672,14.422,623,524,123.690,8.944,1.613,0.620,0.824
56,67,973.843,527.604,38.627,967,524,16,8,0.564,16.763,967,525,162.646,8.000,2.417,0.414,0.753
57,34,959.500,528.765,24.142,956,525,6,9,0.733,10.817,956,525,123.690,5.547,2.204,0.454,0.850
58,49,954.459,532.092,28.042,949,528,10,9,0.783,12.207,949,529,145.008,6.364,2.213,0.452,0.831
59,31,616.758,532.887,25.556,613,529,7,7,0.596,9.899,613,529,135.000,6.576,1.641,0.609,0.756
60,78,933.910,535.077,48.527,927,529,12,12,0.416,14.866,927,540,47.726,10.153,1.386,0.722,0.729
61,33,966.591,532.045,21.314,963,529,7,6,0.913,8.602,963,530,144.462,6.000,1.392,0.718,0.892
62,46,488.935,539.739,41.456,485,535,9,9,0.336,10.817,486,544,56.310,9.000,1.102,0.907,0.634
63,55,496.809,551.064,36.042,493,546,8,10,0.532,10.770,495,546,111.801,8.000,1.371,0.730,0.797
64,71,440.697,565.514,44.284,436,560,10,11,0.455,11.705,439,560,109.983,10.000,1.148,0.871,0.802
65,91,452.676,569.258,45.456,447,561,14,14,0.553,19.105,448,561,132.879,9.052,2.304,0.434,0.743
66,62,806.661,572.597,40.627,802,568,10,9,0.472,10.817,802,570,146.310,9.000,1.120,0.893,0.816
67,29,435.914,572.569,21.213,432,569,8,7,0.810,8.246,432,574,14.036,5.814,1.371,0.729,0.784
68,32,428.969,574.719,25.213,425,570,8,9,0.633,11.402,426,570,127.875,4.243,3.161,0.316,0.780
69,56,445.482,575.875,30.385,441,571,8,11,0.762,11.180,441,572,116.565,8.000,1.409,0.710,0.842
70,30,1032.567,579.167,21.899,1029,577,8,5,0.786,9.434,1029,582,32.005,5.000,1.802,0.555,0.870
71,25,454.460,580.020,19.314,451,578,8,4,0.842,8.544,451,578,159.444,4.000,1.925,0.519,0.893
72,102,1041.255,588.000,55.355,1037,578,11,21,0.418,21.213,1038,599,81.870,11.000,2.239,0.447,0.630
73,48,439.104,583.021,32.627,433,579,13,7,0.567,13.928,433,580,158.962,5.942,2.809,0.356,0.780
74,81,1033.611,589.204,41.113,1029,583,10,14,0.602,14.866,1032,597,70.346,8.908,1.926,0.519,0.764
75,25,1023.900,590.660,29.799,1021,587,7,8,0.354,9.220,1021,594,40.601,6.871,1.489,0.672,0.543
76,89,1049.646,593.107,43.113,1042,588,15,10,0.602,15.524,1042,596,14.931,9.939,1.523,0.657,0.767
77,58,842.379,592.759,33.799,838,589,9,8,0.638,10.296,838,590,150.945,8.000,1.181,0.847,0.885
78,72,493.153,597.931,49.355,488,592,10,12,0.371,13.416,490,604,63.435,9.171,1.540,0.649,0.762
79,58,707.897,605.190,35.456,704,600,8,10,0.580,10.770,706,600,111.801,8.000,1.319,0.758,0.847
80,35,1097.986,608.043,30.142,1096,602,4,13,0.484,13.153,1097,615,81.254,4.000,3.962,0.252,0.769
81,46,563.065,610.413,36.385,558,607,9,8,0.437,10.817,558,607,146.310,8.000,1.177,0.849,0.748
82,51,761.069,620.029,24.971,757,616,8,8,1.000,8.944,759,616,116.565,8.000,1.036,0.965,0.919
