Area,X,Y,Perim.,BX,BY,Width,Height
131,661.214,65.282,0,652,59,17,15
100,668.680,70.300,0,664,62,11,17
265,691.023,74.894,0,684,64,16,21
96,672.000,84.406,0,667,80,11,10
88,767.727,92.011,0,763,87,10,11
64,619.734,94.156,0,615,90,10,9
170,702.476,98.129,0,694,93,20,13
288,715.743,121.556,0,713,96,8,52
156,727.853,103.564,0,720,98,16,12
88,576.795,120.034,0,572,115,11,11
46,739.783,141.761,0,736,138,9,8
286,596.217,166.175,0,586,157,21,19
110,746.145,173.455,0,741,168,12,12
106,498.142,188.566,0,494,182,9,14
177,702.689,194.966,0,696,187,15,17
178,511.107,209.652,0,509,190,5,40
150,782.287,196.447,0,775,190,15,13
246,802.703,203.407,0,795,193,16,21
162,573.457,203.185,0,566,197,16,13
241,459.510,206.253,0,450,198,18,18
157,926.892,214.516,0,924,201,7,30
96,627.583,213.490,0,623,206,10,14
105,907.752,211.381,0,902,207,13,10
162,919.167,216.241,0,914,207,11,20
168,824.321,233.571,0,817,227,15,15
101,426.693,238.693,0,422,233,11,12
109,703.229,241.422,0,698,234,11,14
133,813.060,246.526,0,809,237,10,19
131,356.740,244.840,0,351,239,13,13
113,888.000,245.965,0,882,241,13,11
234,861.774,250.722,0,853,243,19,16
92,651.174,248.033,0,646,244,12,10
167,548.413,256.437,0,541,250,15,14
184,643.337,266.152,0,636,259,15,15
135,674.052,263.526,0,667,259,15,11
112,610.795,272.277,0,606,267,11,12
83,419.590,273.651,0,415,269,10,10
38,702.500,275.316,0,700,272,6,8
150,737.867,284.973,0,731,275,15,19
191,549.848,288.372,0,543,281,14,16
146,435.486,292.432,0,430,286,12,14
91,564.440,290.352,0,559,286,12,10
163,612.926,293.239,0,606,286,15,15
70,711.600,293.657,0,709,286,6,16
176,382.125,299.545,0,377,288,11,27
222,389.905,301.721,0,385,288,11,28
160,822.562,298.512,0,816,292,15,15
150,362.100,298.907,0,356,293,14,13
117,878.966,299.641,0,873,294,14,13
229,320.642,306.066,0,313,298,17,17
169,687.207,310.160,0,679,304,20,13
266,434.936,321.827,0,428,311,15,22
108,563.750,315.815,0,558,311,12,11
128,336.727,325.914,0,331,320,13,13
38,517.789,329.632,0,514,327,8,7
174,670.649,333.052,0,663,327,17,13
