 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,33,672.379,85.318,26.385,668,82,8,6,0.596,8.544,668,84,159.444,6.000,1.485,0.673,0.795,cell
2,50,768.400,92.920,29.213,764,88,9,9,0.736,10.296,766,88,119.055,8.485,1.262,0.793,0.794,cell
3,60,702.333,97.533,28.385,697,94,11,7,0.936,11.402,697,99,15.255,7.000,1.455,0.687,0.902,cell
4,52,576.981,120.423,25.799,573,116,8,9,0.982,9.849,575,116,113.962,8.000,1.201,0.833,0.881,cell
5,41,740.354,142.793,24.142,737,139,7,7,0.884,9.220,737,146,49.399,7.000,1.077,0.928,0.911,cell
6,219,596.879,166.610,55.698,588,158,18,16,0.887,19.416,590,174,55.491,15.839,1.224,0.817,0.926,cell
7,57,745.711,174.482,28.385,742,169,8,10,0.889,11.180,742,179,63.435,7.766,1.434,0.697,0.891,cell
8,67,498.485,188.634,30.385,495,183,7,12,0.912,12.369,497,195,75.964,7.000,1.585,0.631,0.918,cell
9,42,703.643,194.357,27.799,699,190,9,9,0.683,11.402,699,198,37.875,6.174,2.272,0.440,0.750,cell
10,64,784.672,196.594,28.385,780,192,9,9,0.998,10.817,782,192,123.690,8.485,1.262,0.792,0.928,cell
11,180,803.344,204.639,60.770,796,194,14,20,0.613,20.616,800,213,67.166,13.490,1.519,0.658,0.829,cell
12,59,574.364,201.771,39.113,570,197,10,10,0.485,10.770,570,199,158.199,9.192,1.047,0.955,0.771,cell
13,82,461.268,205.256,34.042,457,199,9,12,0.889,12.369,460,199,104.036,9.000,1.295,0.772,0.896,cell
14,93,487.618,214.586,47.598,480,208,15,12,0.516,16.155,480,211,158.199,9.184,1.826,0.548,0.769,cell
15,41,907.524,211.695,22.971,904,208,7,8,0.976,8.944,905,208,116.565,7.000,1.200,0.833,0.891,cell
16,29,627.741,214.224,22.971,625,211,7,7,0.691,8.602,625,218,35.538,5.657,1.657,0.604,0.784,cell
17,78,823.603,232.641,33.213,818,228,11,9,0.889,13.038,818,236,32.471,8.944,1.473,0.679,0.923,cell
18,43,426.593,238.477,31.213,423,235,8,8,0.555,9.434,423,236,147.995,8.000,1.092,0.916,0.782,cell
19,34,357.471,243.882,20.728,354,241,7,6,0.994,7.810,355,241,129.806,6.000,1.143,0.875,0.907,cell
20,32,886.906,246.438,24.385,884,243,6,7,0.676,8.602,885,243,125.538,6.000,1.367,0.732,0.821,cell
21,35,650.386,248.643,24.385,647,245,7,7,0.740,8.062,649,245,119.745,7.000,1.183,0.845,0.824,cell
22,66,863.273,249.712,29.799,859,245,9,10,0.934,11.662,861,255,59.036,8.485,1.330,0.752,0.904,cell
23,94,549.479,257.138,45.113,542,252,13,11,0.580,13.928,542,256,158.962,11.000,1.128,0.887,0.817,cell
24,48,677.354,264.208,24.971,673,260,8,8,0.967,8.944,676,260,116.565,8.000,1.100,0.909,0.897,cell
25,36,419.611,274.750,26.971,416,271,7,7,0.622,8.062,418,271,119.745,7.000,1.123,0.891,0.837,cell
26,131,550.233,288.592,53.698,544,282,12,15,0.571,16.553,546,282,115.017,12.000,1.258,0.795,0.862,cell
27,62,435.597,291.016,28.142,431,287,9,8,0.984,10.630,432,295,41.186,8.000,1.183,0.845,0.939,cell
28,56,564.500,291.000,26.385,560,287,9,8,1.000,9.849,560,293,23.962,8.000,1.103,0.906,0.903,cell
29,44,611.091,290.977,23.799,607,287,8,8,0.976,8.602,608,288,125.538,7.778,1.049,0.953,0.863,cell
30,65,361.946,297.208,28.971,357,293,10,8,0.973,11.180,357,295,153.435,8.000,1.272,0.786,0.929,cell
31,45,822.544,298.189,36.042,818,294,9,8,0.435,9.434,820,302,57.995,8.000,1.083,0.923,0.769,cell
32,53,878.519,299.142,28.627,874,295,9,8,0.813,10.296,874,301,29.055,8.000,1.178,0.849,0.862,cell
33,27,964.944,309.648,27.556,960,307,10,7,0.447,10.198,960,309,11.310,6.905,1.325,0.755,0.600,cell
34,58,336.414,325.207,32.627,332,321,9,10,0.685,11.662,333,321,120.964,8.875,1.205,0.830,0.806,cell
35,62,670.968,332.613,35.456,664,328,11,10,0.620,12.083,664,334,24.444,10.000,1.042,0.960,0.747,cell
36,58,928.655,339.879,27.556,925,335,7,10,0.960,11.180,926,335,116.565,7.000,1.458,0.686,0.935,cell
