 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,35,889.271,246.671,21.314,886,243,6,7,0.968,8.602,887,250,54.462,6.000,1.308,0.765,0.921,cell
2,46,884.804,252.217,26.971,880,248,10,7,0.795,11.402,881,248,142.125,6.708,1.792,0.558,0.860,cell
3,46,931.174,306.522,39.899,923,305,19,3,0.363,19.105,923,308,6.009,3.000,5.821,0.172,0.893,cell
4,30,870.200,329.733,22.971,867,327,7,7,0.714,8.602,869,334,54.462,6.957,1.114,0.897,0.800,cell
5,82,845.317,344.427,37.456,839,339,12,11,0.734,13.601,840,349,36.027,9.707,1.540,0.650,0.820,cell
6,57,687.833,344.412,27.556,684,340,8,9,0.943,10.296,685,340,119.055,8.000,1.242,0.805,0.905,cell
7,27,718.648,383.685,19.556,716,380,6,7,0.887,8.602,716,380,125.538,5.367,1.713,0.584,0.831,cell
8,26,952.192,386.538,20.142,950,383,5,7,0.805,7.616,951,390,66.801,5.000,1.525,0.656,0.839,cell
9,45,628.256,396.722,24.728,625,392,6,9,0.925,9.849,626,401,66.038,6.000,1.624,0.616,0.918,cell
10,106,598.481,403.783,47.698,593,395,10,18,0.585,18.682,594,395,105.524,9.051,2.377,0.421,0.763,cell
11,26,607.000,403.500,17.314,604,401,6,5,1.000,6.708,604,402,153.435,5.000,1.184,0.845,0.929,cell
12,157,819.659,411.099,69.841,810,403,19,14,0.404,19.416,810,411,168.111,14.000,1.382,0.724,0.785,cell
13,29,879.914,414.431,20.728,877,411,6,7,0.848,8.602,878,411,125.538,5.814,1.616,0.619,0.866,cell
14,72,904.667,427.014,36.627,898,422,13,10,0.674,15.811,898,431,34.695,6.450,2.716,0.368,0.857,cell
15,129,1052.438,456.275,57.355,1043,449,19,15,0.493,20.616,1043,459,22.834,11.947,2.197,0.455,0.709,cell
16,34,680.324,458.147,20.728,677,455,7,6,0.994,7.810,677,456,140.194,6.000,1.143,0.875,0.907,cell
17,46,1054.957,469.283,24.971,1050,466,9,7,0.927,10.296,1050,467,150.945,7.000,1.588,0.630,0.885,cell
18,73,908.171,478.308,32.627,902,474,12,9,0.862,13.038,902,476,147.529,8.050,1.788,0.559,0.874,cell
19,38,771.921,487.000,22.728,769,483,6,8,0.924,9.434,769,491,57.995,6.000,1.558,0.642,0.905,cell
20,35,916.500,487.414,34.728,913,483,6,14,0.365,14.560,914,483,105.945,6.000,2.641,0.379,0.598,cell
