 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,714.354,224.793,24.142,711,220,6,9,0.884,9.849,712,229,66.038,6.000,1.668,0.600,0.891
2,63,608.960,254.992,33.213,605,249,8,12,0.718,12.369,608,261,75.964,8.000,1.608,0.622,0.834
3,52,616.269,258.788,31.799,613,253,8,11,0.646,11.180,615,253,100.305,7.761,1.436,0.696,0.800
4,32,610.688,266.625,33.556,607,262,12,8,0.357,12.530,608,262,151.390,7.965,1.740,0.575,0.525
5,66,568.606,268.561,29.213,565,263,8,11,0.972,11.402,567,263,105.255,8.000,1.380,0.724,0.904
6,30,556.667,272.200,30.485,549,271,14,3,0.406,14.318,549,271,167.905,3.000,5.684,0.176,0.845
7,32,610.812,274.625,24.728,607,272,9,5,0.658,9.849,607,272,156.038,5.000,2.193,0.456,0.810
8,133,654.989,287.320,49.355,648,281,15,12,0.686,16.155,648,283,158.199,12.000,1.469,0.681,0.839
9,39,828.603,319.269,38.485,827,311,3,18,0.331,18.111,828,329,83.660,3.000,5.489,0.182,0.848
10,28,816.393,319.536,18.728,813,317,7,5,1.000,7.616,813,318,156.801,5.000,1.436,0.696,0.903
11,26,461.769,347.962,22.728,457,345,8,6,0.633,8.944,457,347,153.435,5.769,1.736,0.576,0.743
12,75,448.113,356.340,30.627,443,351,10,10,1.000,11.662,443,359,30.964,9.192,1.225,0.816,0.915
13,31,469.339,355.919,21.314,466,353,6,7,0.858,9.220,466,353,130.601,6.000,1.499,0.667,0.886
14,28,461.143,357.607,23.314,456,355,9,5,0.647,9.849,456,359,23.962,4.707,2.501,0.400,0.789
15,26,468.615,363.269,22.971,465,360,8,6,0.619,8.944,465,362,153.435,5.754,1.731,0.578,0.722
16,72,489.375,367.389,38.042,482,362,13,10,0.625,13.153,482,366,171.254,9.675,1.509,0.663,0.746
17,65,1018.300,381.762,28.627,1013,377,10,9,0.997,10.440,1013,381,163.301,9.000,1.112,0.899,0.897
18,72,910.444,385.736,31.213,905,381,11,9,0.929,11.705,905,388,19.983,8.854,1.341,0.745,0.889
19,28,621.607,387.464,19.314,619,384,6,6,0.943,7.810,620,384,129.806,6.000,1.271,0.787,0.918
20,69,537.529,390.051,34.042,533,385,10,11,0.748,13.038,533,385,122.471,9.701,1.377,0.726,0.821
21,53,613.274,389.915,32.042,609,386,9,9,0.649,11.402,609,386,127.875,9.000,1.063,0.941,0.774
22,86,639.686,396.709,38.870,635,389,10,15,0.715,15.811,638,389,108.435,8.222,2.238,0.447,0.819
23,53,629.689,395.538,27.314,625,392,9,7,0.893,10.817,625,399,33.690,7.000,1.310,0.763,0.922
24,133,625.996,404.222,53.113,617,399,19,11,0.592,19.647,617,406,14.744,9.610,2.158,0.463,0.834
25,105,634.538,412.814,48.527,627,407,15,13,0.560,16.155,627,413,21.801,12.433,1.365,0.732,0.766
26,55,467.409,413.445,26.627,463,409,9,9,0.975,9.487,463,412,161.565,8.485,1.001,0.999,0.887
27,38,613.132,413.895,25.314,609,409,7,8,0.745,10.000,610,417,53.130,7.000,1.418,0.705,0.835
28,49,621.500,413.520,31.799,617,409,10,10,0.609,11.662,617,409,149.036,8.902,1.398,0.715,0.715
29,57,477.816,418.956,31.456,472,415,11,9,0.724,11.402,472,417,164.745,8.549,1.572,0.636,0.781
30,54,627.796,420.093,27.213,623,416,10,8,0.916,10.198,623,419,168.690,7.778,1.237,0.808,0.878
31,26,934.154,419.692,18.971,931,416,6,7,0.908,7.616,933,416,113.199,4.950,1.494,0.669,0.852
32,121,507.087,424.169,48.527,500,417,13,14,0.646,16.401,502,418,127.569,11.314,1.574,0.635,0.855
33,57,846.061,424.518,26.971,842,420,8,9,0.985,10.817,843,429,56.310,7.778,1.413,0.708,0.927
34,26,516.462,424.385,20.142,514,421,6,7,0.805,7.810,515,421,129.806,5.571,1.471,0.680,0.788
35,45,632.433,430.522,32.870,627,425,11,11,0.523,13.601,627,427,143.973,5.749,3.180,0.314,0.647
36,52,826.558,430.077,26.385,823,425,7,10,0.939,10.440,825,435,73.301,7.000,1.453,0.688,0.897
37,28,521.714,432.893,19.556,518,430,7,6,0.920,8.062,518,435,29.745,5.578,1.576,0.634,0.848
38,67,545.694,437.873,29.799,540,434,11,8,0.948,11.402,540,437,164.745,8.000,1.324,0.755,0.899
39,40,516.550,440.425,22.142,513,437,7,7,1.000,8.602,513,443,35.538,7.000,1.149,0.870,0.920
40,33,952.348,443.500,21.556,949,440,7,7,0.892,8.062,949,441,150.255,6.261,1.268,0.789,0.846
41,75,951.447,459.340,31.799,947,454,9,11,0.932,12.083,949,465,65.556,8.944,1.350,0.741,0.909
42,49,775.459,466.929,24.728,772,463,7,8,1.000,9.434,773,471,57.995,7.000,1.196,0.836,0.942
43,110,994.764,470.800,40.042,989,464,12,13,0.862,13.892,991,476,59.744,11.818,1.104,0.906,0.891
44,115,970.909,471.743,54.184,961,465,20,14,0.492,22.472,962,479,32.276,8.588,3.214,0.311,0.740
45,33,962.288,468.530,22.142,958,466,9,5,0.846,9.220,958,469,12.529,5.000,1.739,0.575,0.857
46,34,975.618,477.765,22.971,971,474,8,7,0.810,8.944,971,479,26.565,6.200,1.496,0.668,0.829
47,25,890.060,484.900,18.142,887,482,6,6,0.954,7.211,887,487,33.690,5.367,1.351,0.740,0.847
48,62,369.806,492.177,39.799,365,483,8,16,0.492,16.125,369,499,82.875,7.354,2.854,0.350,0.701
49,27,470.870,489.759,19.899,467,488,8,4,0.857,8.544,467,491,20.556,4.000,1.961,0.510,0.931
50,26,379.192,502.077,24.142,374,500,10,5,0.561,10.440,374,500,163.301,4.243,3.406,0.294,0.722
51,42,1112.548,509.738,28.971,1106,507,12,6,0.629,12.166,1106,508,170.538,5.853,2.361,0.423,0.778
52,45,1101.922,511.744,24.971,1097,508,9,7,0.907,9.487,1097,513,18.435,7.000,1.357,0.737,0.882
53,27,956.722,509.944,31.071,949,509,15,2,0.351,15.033,949,509,176.186,2.000,6.930,0.144,0.947
54,62,957.097,519.871,28.385,953,515,8,10,0.967,11.180,955,525,63.435,8.000,1.323,0.756,0.919
55,51,770.049,536.167,29.213,765,532,9,10,0.751,11.662,767,532,120.964,7.071,1.648,0.607,0.803
56,40,776.725,538.500,25.314,774,533,5,10,0.784,10.770,775,533,111.801,5.000,2.129,0.470,0.899
57,29,764.293,540.707,21.556,760,538,9,5,0.784,9.487,760,539,161.565,4.919,2.077,0.481,0.841
58,99,755.813,547.581,42.870,749,543,13,11,0.677,15.620,749,544,140.194,11.000,1.327,0.753,0.853
59,92,767.652,550.565,41.456,762,544,11,15,0.673,17.000,764,544,118.072,9.089,1.937,0.516,0.807
60,68,589.118,548.809,29.556,584,545,10,8,0.978,11.180,584,551,26.565,8.000,1.278,0.782,0.938
61,68,362.662,551.838,29.799,357,548,11,8,0.962,11.705,357,553,19.983,8.000,1.393,0.718,0.913
62,117,752.150,563.859,55.941,744,554,14,18,0.470,21.633,744,572,56.310,11.102,2.129,0.470,0.722
63,50,763.160,558.100,28.385,758,555,11,6,0.780,11.180,758,557,169.695,6.000,1.909,0.524,0.862
64,68,761.691,567.426,33.799,757,562,9,11,0.748,12.530,760,573,61.390,8.041,1.512,0.661,0.855
65,30,769.700,565.000,19.314,767,562,6,6,1.000,7.810,767,568,50.194,6.000,1.153,0.867,0.923
66,89,1002.197,569.140,37.213,998,562,9,14,0.808,15.232,999,576,66.801,8.242,1.966,0.509,0.886
67,116,768.672,577.638,47.456,764,569,10,18,0.647,18.439,767,587,77.471,9.959,2.246,0.445,0.814
68,103,755.539,576.539,43.698,750,570,14,13,0.678,15.000,752,570,143.130,12.474,1.104,0.906,0.795
69,42,992.500,575.643,24.385,988,572,9,7,0.888,10.817,988,573,146.310,6.000,1.985,0.504,0.875
70,57,778.325,577.482,28.385,774,573,9,9,0.889,10.817,774,573,123.690,8.627,1.163,0.860,0.870
71,62,1122.903,595.758,28.385,1119,591,8,10,0.967,10.440,1121,591,106.699,8.000,1.221,0.819,0.912
72,107,528.528,597.883,37.213,523,592,11,12,0.971,13.038,524,593,122.471,11.000,1.092,0.916,0.934
73,29,380.983,605.776,33.657,380,598,2,16,0.322,16.125,380,614,82.875,2.000,7.472,0.134,0.951
74,28,418.536,618.357,20.728,415,616,8,5,0.819,8.944,415,621,26.565,4.743,2.001,0.500,0.862
75,39,1134.808,626.397,25.799,1130,623,9,7,0.736,9.220,1132,623,130.601,7.000,1.444,0.692,0.780
76,47,690.670,636.734,25.556,687,632,7,9,0.904,9.487,690,632,108.435,7.000,1.375,0.727,0.879
77,28,1039.250,639.821,18.728,1036,637,7,5,1.000,7.616,1036,638,156.801,5.000,1.467,0.682,0.903
78,28,1059.000,669.000,23.314,1057,664,4,10,0.647,10.198,1058,664,101.310,4.000,2.646,0.378,0.824
79,33,385.621,667.318,25.799,381,665,10,6,0.623,10.440,381,668,16.699,6.000,1.536,0.651,0.776
80,34,373.147,670.000,24.385,369,666,9,7,0.719,10.817,369,673,33.690,5.657,2.289,0.437,0.782
81,72,491.875,671.028,36.870,485,666,14,10,0.666,15.232,485,669,156.801,8.746,1.906,0.525,0.787
82,42,381.476,673.976,25.556,378,670,7,9,0.808,10.817,379,670,123.690,6.576,1.661,0.602,0.857
83,30,364.900,675.767,21.556,362,672,6,8,0.811,8.544,363,672,110.556,6.000,1.663,0.601,0.811
84,34,473.618,676.118,20.728,470,673,7,6,0.994,8.062,470,678,29.745,6.000,1.308,0.764,0.907
85,94,1043.532,679.043,35.799,1038,673,10,12,0.922,12.806,1038,682,38.660,10.000,1.173,0.853,0.926
86,69,374.239,678.572,32.627,369,674,11,9,0.815,12.042,371,674,131.634,8.713,1.363,0.734,0.852
87,75,379.607,686.500,41.113,373,681,12,11,0.558,13.892,373,683,149.744,10.111,1.454,0.688,0.758
88,40,357.175,686.475,26.385,353,683,9,7,0.722,10.296,353,689,29.055,6.905,1.729,0.578,0.800
89,74,490.446,692.770,31.799,486,687,9,11,0.920,12.530,487,687,118.610,8.974,1.404,0.712,0.902
90,44,374.159,693.114,25.556,369,690,9,7,0.847,10.817,369,691,146.310,6.656,1.702,0.588,0.889
91,73,482.171,696.541,35.698,476,691,13,11,0.720,15.264,476,693,148.392,7.778,2.255,0.444,0.802
92,62,385.516,695.258,39.799,379,692,15,7,0.492,15.811,379,693,161.565,6.826,2.520,0.397,0.729
93,79,521.576,699.399,31.799,517,694,9,11,0.982,11.705,520,705,70.017,9.000,1.214,0.824,0.929
94,55,601.955,700.282,27.556,598,696,8,9,0.910,10.817,599,705,56.310,8.000,1.461,0.685,0.902
95,61,382.172,705.303,34.385,378,699,8,13,0.648,13.928,381,712,68.962,6.472,2.487,0.402,0.808
96,31,375.565,718.694,28.728,373,712,4,12,0.472,12.166,375,712,99.462,4.000,3.871,0.258,0.775
97,56,794.321,722.732,38.971,785,719,17,6,0.463,17.029,785,723,176.634,6.000,2.711,0.369,0.789
98,29,372.741,728.362,24.485,367,727,11,3,0.608,11.180,367,727,169.695,3.000,3.614,0.277,0.935
99,28,1097.286,739.500,25.899,1091,738,12,3,0.525,12.042,1091,739,175.236,3.000,3.612,0.277,0.875
100,75,708.233,756.700,30.971,703,752,10,9,0.983,12.042,704,761,41.634,9.000,1.200,0.833,0.932
101,50,563.020,766.980,29.799,558,764,11,7,0.708,11.402,558,765,164.745,7.000,1.988,0.503,0.813
102,78,562.705,776.423,38.627,556,770,12,12,0.657,15.620,556,781,39.806,8.894,2.110,0.474,0.776
103,103,574.947,776.422,40.385,567,771,14,10,0.794,16.643,567,781,32.735,10.000,1.620,0.617,0.900
104,38,541.711,775.079,26.385,536,772,11,6,0.686,11.705,536,778,19.983,5.590,2.346,0.426,0.800
105,97,588.562,782.108,49.355,582,775,12,15,0.500,15.811,585,775,108.435,12.000,1.242,0.805,0.727
106,74,533.378,784.324,36.284,528,778,11,12,0.706,14.422,531,778,123.690,8.232,1.916,0.522,0.831
107,26,541.154,781.500,17.899,538,779,6,5,1.000,7.211,538,783,33.690,5.000,1.274,0.785,0.929
108,85,580.241,787.829,36.042,575,781,11,12,0.822,13.601,577,782,126.027,9.475,1.559,0.641,0.863
109,115,1097.848,788.465,47.113,1091,781,13,16,0.651,16.492,1095,781,104.036,12.522,1.171,0.854,0.769
110,39,570.679,786.295,22.971,567,783,7,7,0.929,9.220,567,783,130.601,7.000,1.321,0.757,0.897
111,113,539.881,792.438,50.627,532,785,14,13,0.554,16.401,532,796,37.569,13.000,1.424,0.702,0.764
112,38,601.263,788.132,22.142,598,785,7,7,0.974,8.602,598,785,144.462,7.000,1.161,0.861,0.905
113,50,1088.360,793.460,33.799,1084,788,9,10,0.550,12.042,1085,788,131.634,8.310,1.646,0.608,0.714
114,134,594.284,797.709,68.083,587,789,13,23,0.363,23.537,593,789,102.265,12.649,1.924,0.520,0.680
115,107,584.360,800.379,44.042,578,794,13,14,0.693,17.029,578,795,139.764,10.200,1.948,0.513,0.817
116,25,556.060,799.580,22.142,551,797,9,5,0.641,9.220,551,801,12.529,5.000,2.125,0.471,0.769
117,88,406.443,816.534,34.627,401,811,11,11,0.922,13.038,403,822,57.529,9.899,1.346,0.743,0.903
118,79,732.677,819.348,32.627,728,814,10,11,0.933,12.207,730,825,55.008,9.391,1.294,0.773,0.893
119,58,908.276,826.017,31.799,903,822,10,10,0.721,12.806,903,823,141.340,7.950,1.730,0.578,0.806
120,57,443.289,838.447,28.142,439,834,8,9,0.904,11.402,440,843,52.125,7.906,1.416,0.706,0.912
121,67,455.664,840.321,29.799,451,835,9,10,0.948,11.662,452,845,59.036,8.485,1.343,0.745,0.912
122,84,896.167,845.810,42.870,890,840,15,10,0.574,15.297,890,849,11.310,10.000,1.431,0.699,0.757
123,70,886.657,854.757,30.627,882,849,9,11,0.938,11.705,885,849,109.983,9.000,1.300,0.769,0.886
124,25,901.740,852.140,18.728,899,849,6,6,0.896,7.810,899,849,129.806,5.692,1.378,0.725,0.833
125,59,895.415,855.669,28.142,892,851,7,10,0.936,10.770,893,851,111.801,7.000,1.387,0.721,0.929
126,83,1039.404,871.392,33.456,1034,866,11,11,0.932,11.705,1034,874,19.983,9.899,1.169,0.855,0.892
127,65,434.962,884.623,28.627,430,880,10,9,0.997,10.440,430,883,163.301,9.000,1.107,0.903,0.897
128,29,1034.362,887.500,19.314,1032,884,5,7,0.977,7.616,1033,884,113.199,5.000,1.434,0.697,0.906
129,100,577.280,940.840,41.698,570,934,14,13,0.723,17.804,570,945,38.157,8.485,2.255,0.443,0.862
130,59,776.093,942.636,32.142,773,936,7,12,0.718,13.000,774,936,112.620,7.000,1.953,0.512,0.831
131,56,683.661,943.179,27.556,680,938,7,10,0.927,11.180,681,948,63.435,7.000,1.616,0.619,0.918
132,73,790.336,963.308,31.799,786,958,9,11,0.907,11.705,789,969,70.017,9.000,1.275,0.784,0.896
133,43,703.384,993.756,26.385,699,990,10,7,0.776,10.770,699,991,158.199,6.517,1.795,0.557,0.835
134,27,760.426,993.648,18.728,758,990,5,7,0.967,7.280,759,990,105.945,5.000,1.315,0.761,0.885
135,80,731.587,998.050,32.971,727,993,10,10,0.925,12.207,728,1003,55.008,9.839,1.207,0.829,0.920
136,36,766.306,998.806,21.556,763,995,7,7,0.974,8.062,765,995,119.745,7.000,1.120,0.893,0.889
137,83,816.669,1001.994,35.213,813,995,8,14,0.841,14.142,815,995,98.130,8.000,1.715,0.583,0.892
138,55,857.100,1000.827,33.799,853,997,12,9,0.605,12.649,853,1003,18.435,9.000,1.392,0.718,0.733
139,113,750.093,1008.765,65.841,739,998,19,21,0.328,23.022,739,999,145.620,14.026,1.710,0.585,0.516
140,79,762.475,1007.703,33.799,757,1002,10,11,0.869,12.042,759,1012,48.366,10.000,1.113,0.898,0.873
141,46,861.152,1008.696,26.971,857,1003,7,10,0.795,10.198,861,1003,101.310,7.000,1.505,0.665,0.852
