Area,X,Y,Perim.,BX,BY,Width,Height
171,830.246,262.749,0,824,256,14,15
105,636.114,280.381,0,631,275,12,12
34,628.324,280.118,0,626,277,6,7
102,804.990,293.833,0,800,287,10,14
55,882.964,331.491,0,879,328,10,8
135,1008.993,351.096,0,1003,345,13,14
125,635.392,358.288,0,630,351,12,15
130,1061.654,358.262,0,1057,351,10,15
79,454.810,391.481,0,450,387,10,11
27,975.222,390.333,0,973,388,6,6
55,879.109,392.873,0,875,389,9,8
114,981.105,396.737,0,975,391,13,12
78,508.077,410.808,0,503,406,11,10
183,661.678,415.284,0,654,408,16,15
26,1056.192,412.577,0,1054,410,6,6
112,1007.089,422.214,0,1001,417,13,12
70,985.386,447.371,0,980,444,11,8
65,407.692,450.615,0,404,446,9,11
43,837.744,494.744,0,834,491,8,8
111,1126.432,495.883,0,1120,491,13,11
102,850.412,498.784,0,846,493,10,13
136,884.537,517.199,0,877,511,15,14
101,474.119,538.861,0,469,534,12,11
64,933.250,542.922,0,928,539,12,9
108,786.213,550.880,0,780,546,13,11
137,570.752,559.898,0,566,552,10,17
43,1000.953,566.581,0,997,564,9,6
103,411.136,594.825,0,406,589,11,12
107,699.579,614.467,0,694,610,15,11
113,812.292,619.115,0,806,614,13,11
102,912.118,623.765,0,907,619,11,11
236,777.847,640.449,0,771,631,17,20
74,522.351,659.216,0,517,656,12,8
104,779.856,688.058,0,775,682,11,13
60,932.800,718.683,0,929,714,8,10
113,633.947,738.142,0,628,733,13,11
32,456.625,752.844,0,454,750,6,7
113,580.717,798.248,0,575,792,12,13
62,985.548,806.565,0,983,800,6,13
23,990.826,805.000,0,989,803,5,5
72,259.444,871.681,0,256,866,8,12
47,275.468,891.915,0,273,888,6,9
93,692.968,928.000,0,688,923,12,11
