Area,X,Y,Perim.,BX,BY,Width,Height
43,987.651,82.512,0,984,79,8,7
167,577.329,111.066,0,571,103,14,16
151,802.033,162.490,0,794,155,17,15
251,698.116,170.622,0,691,162,16,19
259,723.780,171.819,0,715,162,17,20
216,498.019,174.384,0,490,167,18,16
280,549.607,197.704,0,542,187,18,21
98,782.878,201.031,0,778,196,11,11
190,893.568,204.858,0,886,196,16,19
324,864.617,207.395,0,854,199,22,18
199,516.196,210.724,0,509,203,15,17
332,438.783,230.331,0,429,221,22,21
249,466.775,231.783,0,456,222,20,21
211,916.829,244.218,0,910,236,16,17
175,536.554,247.200,0,530,239,14,17
103,715.058,246.000,0,708,241,17,12
244,515.316,252.672,0,506,243,18,19
31,211.290,251.194,0,209,248,6,7
138,792.601,257.297,0,787,249,14,17
185,449.508,258.130,0,442,251,15,15
188,706.176,259.585,0,700,252,14,17
235,572.489,264.706,0,563,257,18,17
149,642.262,263.040,0,636,257,14,14
92,638.826,273.239,0,634,268,11,11
174,529.282,276.684,0,522,269,15,16
39,782.795,277.769,0,779,275,8,7
148,709.392,283.081,0,703,277,14,13
344,951.910,289.596,0,935,280,30,22
273,342.681,296.689,0,332,286,21,20
196,850.383,293.658,0,843,286,15,16
202,750.886,304.995,0,744,297,14,17
38,179.158,323.421,0,176,320,7,7
159,741.308,327.855,0,735,321,14,14
142,882.500,329.401,0,876,323,14,13
173,323.717,333.884,0,316,328,16,13
192,343.932,339.703,0,337,331,15,17
32,155.375,339.156,0,153,336,6,7
154,756.682,356.156,0,748,350,17,13
252,812.044,366.889,0,804,358,19,19
164,755.287,366.390,0,747,361,17,13
73,639.753,366.616,0,635,362,10,10
298,781.513,375.074,0,771,367,21,19
29,139.552,371.241,0,137,368,6,7
17,1075.000,371.647,0,1073,370,5,5
153,688.510,381.366,0,683,374,12,15
34,868.676,383.912,0,865,382,8,5
243,879.700,397.979,0,870,390,20,17
105,463.838,413.171,0,459,406,10,14
146,784.781,416.685,0,779,410,13,14
202,641.163,423.322,0,633,415,16,17
193,868.762,428.389,0,862,421,14,16
277,687.755,433.834,0,679,426,19,17
216,762.144,435.866,0,756,428,15,18
35,147.257,435.429,0,144,432,7,7
17,123.529,434.882,0,121,433,6,5
257,660.743,441.646,0,651,434,19,17
139,528.144,456.892,0,523,448,12,17
21,1275.810,451.429,0,1274,449,5,6
126,826.881,458.254,0,820,451,13,14
139,748.820,462.957,0,742,457,14,14
199,500.121,468.754,0,494,460,13,19
43,43.302,467.465,0,40,464,8,8
140,742.621,473.664,0,738,465,11,17
33,155.303,475.242,0,153,472,6,7
39,1275.923,475.103,0,1273,472,7,8
252,787.056,483.563,0,779,475,18,18
157,418.389,486.306,0,413,479,12,16
136,679.301,492.331,0,674,485,11,16
168,553.952,499.185,0,546,493,16,13
129,444.938,501.023,0,438,494,17,13
69,488.899,499.594,0,485,494,9,12
113,977.894,504.354,0,972,499,14,11
194,607.438,508.747,0,600,502,16,15
179,738.872,511.849,0,733,504,13,17
152,715.520,511.961,0,707,505,15,17
213,668.103,515.939,0,660,508,16,18
53,916.849,518.660,0,914,514,7,10
103,644.786,520.320,0,639,515,12,11
67,463.791,527.567,0,460,523,8,10
193,724.135,532.995,0,717,525,15,16
163,598.865,534.650,0,592,528,15,14
19,154.895,531.474,0,153,529,5,6
140,507.150,536.707,0,500,531,15,12
25,163.520,546.720,0,161,544,6,6
18,1090.944,547.778,0,1089,546,5,5
174,349.529,559.902,0,343,553,14,15
110,659.564,568.627,0,654,563,12,13
22,194.955,571.227,0,193,568,5,7
74,562.757,572.649,0,558,568,10,10
370,516.219,584.732,0,507,571,20,30
198,729.263,579.283,0,723,571,14,17
105,639.000,580.952,0,634,575,11,12
333,806.141,587.384,0,798,576,23,26
158,685.715,583.589,0,679,577,14,14
64,596.609,604.578,0,593,600,9,10
238,646.668,613.546,0,638,605,17,17
15,1074.933,619.600,0,1073,618,5,4
77,379.974,634.481,0,376,630,10,10
103,558.932,642.447,0,554,637,11,12
82,375.232,642.305,0,370,638,11,10
147,905.442,653.224,0,898,648,16,12
142,679.035,660.169,0,672,654,15,13
164,401.159,672.073,0,395,664,14,17
124,866.016,672.524,0,860,667,13,13
170,904.265,678.588,0,897,672,16,14
102,492.882,679.157,0,488,674,11,11
64,386.969,678.297,0,382,675,11,8
76,405.066,683.303,0,400,679,11,10
65,702.831,684.138,0,698,681,11,7
181,702.293,692.348,0,694,686,18,13
71,848.803,691.648,0,845,687,9,10
155,458.490,694.935,0,451,689,15,13
117,490.043,706.855,0,484,702,13,11
46,646.870,714.696,0,643,712,9,6
108,619.778,721.111,0,614,716,13,11
112,682.312,725.018,0,677,719,12,13
28,488.929,723.286,0,487,720,5,7
84,514.595,725.488,0,509,721,12,10
70,510.500,739.143,0,506,735,10,9
285,488.246,752.302,0,481,741,17,22
83,695.096,758.386,0,690,754,11,10
118,522.017,764.229,0,516,758,13,13
93,681.763,773.097,0,678,767,9,14
127,755.307,773.819,0,750,768,12,13
48,797.062,771.771,0,793,768,9,9
72,523.472,774.486,0,519,770,10,9
157,586.318,779.369,0,578,773,17,14
27,627.148,782.926,0,623,780,8,6
109,779.532,792.174,0,767,786,24,12
68,717.074,792.456,0,712,789,11,8
113,717.549,799.947,0,710,795,15,10
96,615.125,806.469,0,610,801,10,12
169,626.533,807.385,0,620,801,14,14
