 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,49,576.806,108.867,26.385,573,104,7,10,0.885,10.770,575,114,68.199,7.000,1.622,0.617,0.875
2,43,801.430,135.105,22.971,798,131,7,8,1.000,8.602,798,132,125.538,7.000,1.062,0.941,0.896
3,52,813.038,138.481,28.627,808,134,10,9,0.797,11.662,808,135,149.036,7.340,1.818,0.550,0.800
4,29,631.431,141.328,18.971,628,138,7,6,1.000,7.616,628,143,23.199,6.000,1.265,0.790,0.853
5,107,803.650,161.911,44.527,796,156,14,11,0.678,17.205,796,166,35.538,11.000,1.564,0.639,0.856
6,29,633.638,165.948,20.142,631,162,5,8,0.898,8.544,632,170,69.444,5.000,1.681,0.595,0.866
7,39,723.218,172.192,22.728,720,168,6,8,0.949,9.434,721,176,57.995,6.000,1.500,0.667,0.929
8,41,697.280,173.134,24.385,693,169,8,8,0.866,10.000,693,176,36.870,6.200,1.798,0.556,0.854
9,28,496.929,174.821,18.728,494,172,6,6,1.000,7.810,494,172,129.806,5.657,1.409,0.710,0.903
10,51,550.598,197.637,25.556,547,193,7,9,0.981,9.849,549,193,113.962,7.000,1.346,0.743,0.919
11,68,864.809,207.485,29.213,860,203,10,9,1.000,10.817,860,205,146.310,9.000,1.171,0.854,0.907
12,45,467.367,229.833,23.556,464,226,7,8,1.000,9.434,465,234,57.995,7.000,1.329,0.753,0.928
13,34,453.147,231.000,20.971,450,227,6,8,0.972,8.246,452,227,104.036,6.000,1.343,0.745,0.872
14,37,437.365,232.257,22.142,434,228,6,8,0.948,8.944,435,236,63.435,6.000,1.402,0.713,0.902
15,36,915.000,243.694,21.556,912,240,6,8,0.974,9.220,912,240,130.601,6.000,1.466,0.682,0.900
16,33,514.985,254.894,20.142,512,251,6,7,1.000,7.616,514,251,113.199,6.000,1.071,0.934,0.904
17,28,447.714,258.679,18.728,444,256,7,5,1.000,7.616,444,260,23.199,5.000,1.451,0.689,0.903
18,29,707.052,260.052,19.314,704,257,6,6,0.977,8.485,704,263,45.000,5.657,1.518,0.659,0.906
19,32,572.469,264.750,19.556,569,262,7,6,1.000,7.616,569,263,156.801,6.000,1.250,0.800,0.889
20,30,529.000,278.833,19.556,525,276,8,5,0.986,8.246,525,278,165.964,5.000,1.644,0.608,0.882
21,49,667.480,283.888,25.799,663,280,9,8,0.925,10.296,663,281,150.945,7.071,1.565,0.639,0.875
22,27,709.056,283.574,19.556,705,281,8,5,0.887,8.062,705,283,172.875,5.000,1.442,0.693,0.857
23,63,943.056,289.405,41.113,936,282,13,14,0.468,18.439,937,282,130.601,6.715,3.812,0.262,0.689
24,47,468.436,287.585,26.627,464,283,9,9,0.833,10.817,465,283,123.690,6.860,1.830,0.547,0.817
25,37,647.824,287.662,21.799,644,284,8,7,0.978,8.544,644,286,159.444,6.708,1.308,0.764,0.851
26,105,963.557,292.329,58.184,952,286,22,14,0.390,25.060,952,287,151.390,8.772,3.850,0.260,0.669
27,66,956.500,295.045,46.042,950,291,14,9,0.391,15.232,950,293,156.801,8.489,1.656,0.604,0.710
28,62,340.500,297.581,34.042,333,293,14,8,0.672,14.560,333,300,15.945,7.318,2.466,0.406,0.795
29,33,749.470,306.076,19.556,746,303,7,6,1.000,8.062,746,304,150.255,6.000,1.344,0.744,0.904
30,42,889.167,311.952,22.971,886,308,7,8,1.000,8.944,887,316,63.435,7.000,1.298,0.770,0.903
31,29,740.983,326.603,19.314,738,324,6,6,0.977,7.810,738,329,39.806,6.000,1.216,0.823,0.906
32,35,882.500,328.214,22.142,878,326,9,5,0.897,9.220,878,327,167.471,5.000,1.796,0.557,0.897
33,38,321.895,333.868,22.728,318,331,8,6,0.924,8.944,318,336,26.565,6.000,1.329,0.752,0.894
34,29,342.431,338.810,20.728,340,335,5,8,0.848,8.944,340,343,63.435,5.000,1.902,0.526,0.879
35,55,952.682,339.845,33.799,948,336,9,8,0.605,10.817,948,337,146.310,7.845,1.292,0.774,0.853
36,28,950.679,358.607,22.142,947,355,6,8,0.718,8.062,951,355,97.125,6.000,1.392,0.718,0.778
37,34,992.206,364.618,22.385,988,361,8,7,0.853,10.000,988,362,143.130,4.950,2.071,0.483,0.872
38,42,640.548,366.619,28.385,636,362,10,8,0.655,11.402,636,369,37.875,6.685,1.799,0.556,0.764
39,35,809.671,368.357,21.556,806,365,7,7,0.947,9.220,807,372,49.399,5.657,1.561,0.641,0.897
40,66,650.015,373.924,34.042,645,368,10,12,0.716,15.000,646,368,126.870,7.071,2.434,0.411,0.841
41,34,782.441,376.853,20.728,779,374,7,6,0.994,8.602,779,374,144.462,6.000,1.417,0.706,0.919
42,27,963.241,381.426,20.142,961,377,5,8,0.836,8.246,962,385,75.964,5.000,1.457,0.686,0.831
43,53,666.783,382.726,25.799,663,378,8,9,1.000,9.849,665,378,113.962,8.000,1.155,0.866,0.891
44,27,687.574,382.167,20.142,685,378,5,8,0.836,8.062,687,378,97.125,5.000,1.524,0.656,0.844
45,39,785.859,384.833,22.728,782,382,8,6,0.949,9.220,782,382,139.399,6.000,1.426,0.701,0.918
46,25,305.580,387.580,18.728,303,384,5,7,0.896,7.616,304,384,113.199,5.000,1.304,0.767,0.847
47,44,821.045,392.977,25.799,818,388,6,10,0.831,10.440,819,398,73.301,6.000,1.689,0.592,0.863
48,57,809.061,397.360,26.971,805,393,8,9,0.985,10.630,806,393,131.186,8.000,1.325,0.755,0.912
