Area,X,Y,Perim.,BX,BY,Width,Height
119,747.420,192.672,0,741,187,13,12
72,628.375,198.083,0,625,192,8,13
64,636.312,196.734,0,632,193,10,9
77,620.766,199.623,0,617,194,9,12
78,646.308,201.359,0,640,198,13,8
86,649.698,210.384,0,645,205,10,11
32,598.000,213.719,0,595,210,7,8
108,728.120,215.824,0,723,210,11,13
83,603.072,218.614,0,599,213,9,13
116,645.267,220.147,0,640,214,12,13
53,597.094,223.208,0,594,217,8,12
141,618.624,232.454,0,613,225,14,15
86,858.058,229.326,0,853,225,12,9
53,607.000,236.000,0,603,231,10,10
85,851.235,240.471,0,845,234,13,14
129,626.194,243.062,0,619,236,15,16
89,775.551,243.124,0,771,238,10,11
156,857.199,247.135,0,849,241,18,12
25,617.680,243.360,0,614,242,8,4
74,639.838,246.811,0,635,243,10,9
75,766.933,248.947,0,763,245,10,9
36,627.083,252.778,0,624,250,7,7
163,858.755,256.166,0,848,250,22,13
62,647.710,261.016,0,641,258,13,7
67,882.657,261.866,0,878,258,10,9
50,644.840,265.620,0,640,263,11,6
104,548.644,270.452,0,543,265,12,12
153,598.856,276.693,0,590,266,19,22
94,558.351,271.979,0,553,267,11,11
91,522.725,274.725,0,517,270,16,10
148,810.311,277.453,0,804,271,13,15
36,561.667,281.611,0,558,279,8,6
46,561.283,287.609,0,557,285,9,6
44,521.523,289.409,0,518,286,8,8
76,529.987,289.276,0,525,286,11,8
89,921.045,293.022,0,916,288,11,11
146,708.034,294.274,0,698,290,20,10
41,588.512,295.732,0,586,292,6,9
52,526.250,295.808,0,521,293,11,7
51,861.824,297.824,0,858,294,8,9
94,594.840,301.436,0,590,297,11,10
92,872.957,302.217,0,867,298,12,10
246,952.142,307.423,0,944,298,18,20
97,688.144,304.753,0,683,299,11,12
122,975.525,303.893,0,969,299,14,11
108,641.102,307.046,0,636,301,11,13
160,554.856,309.950,0,548,302,15,17
51,927.922,306.078,0,925,302,7,10
134,727.694,312.172,0,723,303,10,20
140,911.393,309.743,0,904,303,15,14
119,942.798,311.454,0,937,303,14,17
77,965.286,309.195,0,961,305,10,10
93,581.075,311.925,0,576,307,11,11
44,734.068,312.045,0,731,309,7,7
107,921.972,314.925,0,917,309,10,13
62,972.839,315.113,0,968,310,10,10
61,935.820,314.377,0,930,311,12,9
80,960.750,318.262,0,955,314,12,10
49,909.694,317.898,0,905,315,10,7
47,952.064,320.617,0,948,317,9,8
129,968.155,325.116,0,963,318,11,15
139,649.388,328.849,0,642,324,16,11
35,957.229,328.400,0,954,326,8,6
77,756.273,335.429,0,752,331,10,10
116,842.724,341.276,0,837,335,12,13
76,423.079,341.632,0,419,336,9,12
73,489.370,344.562,0,486,340,8,10
72,481.847,349.625,0,478,344,9,12
242,889.471,352.678,0,878,344,24,21
127,502.850,352.661,0,493,346,20,14
80,981.087,352.175,0,975,348,13,10
76,476.105,356.618,0,473,351,8,13
95,495.168,356.926,0,491,351,11,12
102,487.304,358.873,0,483,352,10,15
103,1070.437,358.136,0,1066,352,10,13
138,964.029,361.370,0,958,355,14,14
112,972.652,364.580,0,967,356,12,16
125,1028.528,362.248,0,1023,356,12,13
63,504.524,363.778,0,499,360,11,9
148,819.432,366.628,0,813,361,15,12
45,474.133,366.689,0,471,363,8,8
76,497.724,367.553,0,492,363,13,9
51,986.451,367.078,0,983,363,8,9
56,482.589,368.411,0,478,365,10,8
33,489.455,368.758,0,487,366,6,7
104,904.317,371.654,0,899,366,12,12
85,880.835,375.918,0,875,371,12,10
134,821.343,376.806,0,812,372,18,11
56,916.500,379.125,0,913,375,8,9
85,839.671,380.671,0,835,376,11,10
91,699.011,382.154,0,694,378,12,10
135,602.822,387.630,0,598,379,10,17
48,1017.896,384.083,0,1014,380,12,9
37,1009.892,384.378,0,1006,382,8,6
138,812.978,393.652,0,807,385,13,18
242,1052.628,397.091,0,1043,389,20,19
185,471.335,400.449,0,465,392,14,18
151,1004.497,400.364,0,995,392,20,17
50,601.560,397.920,0,596,396,12,5
136,381.846,403.853,0,377,397,11,15
75,884.907,401.093,0,881,397,9,9
56,1061.304,407.089,0,1058,402,8,10
74,1071.730,410.622,0,1067,407,11,9
61,469.492,411.623,0,464,409,12,6
65,680.923,413.415,0,677,409,9,10
91,896.011,413.165,0,890,409,12,10
115,1062.835,416.852,0,1056,412,15,10
38,903.316,416.868,0,900,414,8,7
16,417.438,419.250,0,416,417,4,5
206,891.806,426.053,0,884,417,19,20
137,946.423,424.599,0,939,419,15,12
103,1073.689,425.107,0,1069,419,10,15
86,768.163,425.186,0,764,420,10,11
70,471.871,427.043,0,468,423,9,9
102,444.225,428.451,0,438,424,13,10
108,706.639,431.287,0,701,425,11,15
211,659.744,436.028,0,653,426,16,19
71,1067.296,431.169,0,1063,426,9,11
61,650.459,432.131,0,648,427,6,12
80,759.938,432.087,0,755,428,11,10
98,1059.316,433.816,0,1054,428,11,12
93,877.742,436.366,0,872,432,13,10
49,703.306,437.755,0,700,433,8,10
83,450.518,444.060,0,446,439,10,11
75,710.640,446.827,0,707,442,9,11
144,500.847,452.812,0,495,445,13,17
76,599.776,449.711,0,594,445,13,10
141,464.312,453.121,0,457,447,19,13
58,515.155,452.828,0,511,449,9,9
103,1006.243,455.718,0,1001,451,12,11
81,511.914,458.753,0,508,452,11,12
75,635.000,455.493,0,629,452,13,8
94,472.500,460.862,0,467,456,12,10
142,772.451,464.232,0,766,456,14,17
61,502.721,463.049,0,497,459,12,8
67,681.403,463.836,0,677,459,9,10
95,452.726,467.589,0,449,460,10,14
96,876.406,465.740,0,871,461,12,10
169,1100.136,470.964,0,1092,461,17,21
120,555.175,473.225,0,551,465,10,18
92,988.348,470.283,0,983,466,12,10
50,543.000,473.160,0,539,470,9,7
78,1073.436,472.769,0,1066,470,15,7
89,528.753,477.629,0,524,471,10,13
111,660.126,477.153,0,655,471,11,13
117,824.496,476.880,0,819,471,12,13
51,617.275,477.961,0,614,474,8,9
136,544.949,481.588,0,538,475,15,15
171,1069.708,481.094,0,1060,475,19,15
159,596.239,483.774,0,589,476,15,16
60,623.283,482.567,0,619,478,9,10
77,696.571,483.403,0,692,479,10,10
164,530.634,489.311,0,523,482,17,15
39,617.769,485.744,0,615,482,7,8
103,548.282,489.262,0,540,483,16,12
76,985.961,490.224,0,981,486,11,9
84,606.881,491.536,0,602,487,11,10
64,515.734,492.875,0,512,489,9,9
107,665.832,493.607,0,659,489,14,11
80,790.712,494.675,0,786,490,10,10
77,523.338,496.935,0,519,492,10,10
118,615.297,499.229,0,609,493,13,13
27,1068.074,495.593,0,1066,493,5,6
65,664.554,500.000,0,659,497,12,7
63,592.698,501.333,0,588,498,11,8
88,717.659,503.398,0,713,498,10,12
134,1073.224,502.903,0,1065,498,17,12
108,380.093,503.435,0,374,499,13,10
104,1086.817,507.567,0,1082,500,11,16
54,534.833,506.389,0,530,503,10,8
144,586.889,511.396,0,583,503,10,21
44,1068.409,508.568,0,1064,506,10,6
87,436.621,512.862,0,432,508,10,11
73,518.205,513.205,0,514,509,9,10
51,614.333,513.059,0,610,510,10,7
60,543.350,516.650,0,539,512,10,10
88,611.205,518.932,0,605,514,13,10
78,558.923,520.500,0,555,515,10,11
57,1079.737,526.053,0,1076,521,9,10
33,548.879,526.636,0,547,522,5,9
25,555.880,527.640,0,553,525,6,6
40,593.250,528.550,0,589,526,9,6
56,1133.268,530.268,0,1129,526,9,9
48,935.271,530.750,0,932,527,7,9
103,521.932,533.058,0,516,528,13,10
35,513.543,536.143,0,511,532,6,9
85,842.247,536.200,0,837,532,11,10
87,577.943,538.529,0,573,534,11,10
26,891.423,540.231,0,889,538,6,6
178,797.039,545.208,0,790,539,18,18
54,899.611,542.667,0,895,539,10,8
196,648.811,548.408,0,638,540,19,20
88,660.375,547.273,0,656,542,10,12
88,555.523,547.682,0,551,543,10,11
99,742.960,547.606,0,738,543,11,10
120,881.392,551.058,0,875,545,15,12
74,665.716,553.635,0,662,547,8,13
89,674.438,556.236,0,670,551,10,11
47,638.255,556.340,0,635,552,8,10
106,656.726,559.462,0,652,552,10,14
45,897.200,554.489,0,892,552,11,6
118,992.297,560.958,0,987,555,12,13
64,803.562,558.766,0,798,556,12,7
41,884.220,559.268,0,880,557,9,6
113,970.894,568.018,0,965,563,13,11
92,673.663,568.848,0,669,564,10,11
74,547.351,567.608,0,540,565,15,7
93,652.720,569.559,0,646,565,14,10
72,929.278,572.583,0,925,568,9,10
66,546.227,572.318,0,539,569,15,7
40,882.825,572.800,0,879,570,9,6
84,433.810,581.345,0,429,577,11,10
107,882.318,582.374,0,875,577,14,12
89,872.989,584.764,0,869,580,10,11
71,878.761,591.563,0,874,587,10,10
74,607.662,598.932,0,604,593,8,13
70,601.500,599.486,0,598,594,8,12
42,615.738,596.119,0,612,594,9,5
86,967.907,604.419,0,963,599,11,11
138,454.486,609.435,0,449,601,12,16
107,672.224,606.804,0,666,602,13,11
81,476.012,606.691,0,471,603,11,9
37,505.054,606.297,0,502,603,7,8
87,610.069,608.529,0,606,603,9,12
61,618.180,608.852,0,615,605,8,9
49,502.082,610.490,0,498,607,9,8
76,914.763,612.658,0,909,608,13,11
170,1128.576,620.100,0,1122,612,13,18
32,612.031,615.656,0,609,613,7,6
76,916.303,618.039,0,910,613,13,10
87,947.356,617.724,0,943,613,10,10
120,1121.458,632.333,0,1116,626,11,15
157,1133.752,632.497,0,1127,626,16,14
67,671.612,636.597,0,667,631,11,11
32,675.938,633.844,0,673,631,7,7
163,927.724,640.571,0,922,633,14,16
108,1137.352,642.454,0,1132,638,13,11
167,1096.826,654.377,0,1091,646,13,18
42,1131.952,652.143,0,1128,649,9,7
91,463.352,661.615,0,458,656,12,12
107,633.879,662.131,0,629,656,11,14
57,660.965,662.930,0,656,660,11,7
84,642.107,667.738,0,637,663,11,11
88,1036.636,667.841,0,1032,663,10,11
35,452.200,667.086,0,449,664,7,7
48,442.875,666.958,0,437,665,12,5
61,442.180,671.443,0,436,669,13,6
102,833.039,673.529,0,827,669,13,10
52,518.000,675.596,0,514,671,9,10
93,638.559,677.140,0,634,672,10,11
25,825.000,675.000,0,823,672,5,7
62,842.758,678.097,0,839,673,9,11
52,422.654,676.154,0,417,674,12,5
114,523.579,681.684,0,517,675,14,13
76,422.947,681.842,0,417,679,12,8
201,635.776,687.776,0,626,679,19,18
135,825.467,686.696,0,820,679,12,16
90,512.411,684.333,0,507,680,11,11
68,656.956,686.309,0,653,682,9,10
80,1065.400,687.850,0,1059,683,14,10
54,403.759,688.815,0,399,686,11,6
45,521.044,689.444,0,517,687,9,6
37,651.189,691.703,0,648,688,7,8
22,510.364,692.864,0,507,691,8,4
78,1048.051,695.962,0,1044,691,9,11
41,403.537,693.610,0,399,692,10,5
80,606.800,705.250,0,601,700,11,12
122,1104.320,705.254,0,1097,700,15,11
90,534.378,705.644,0,529,701,11,10
75,614.893,705.840,0,611,701,9,11
106,632.377,705.500,0,626,701,13,10
156,1117.782,707.487,0,1107,701,22,14
57,622.474,706.789,0,619,702,9,10
31,849.419,707.161,0,846,705,8,5
77,430.481,712.675,0,425,708,12,11
95,853.368,713.463,0,846,709,14,10
39,621.436,712.744,0,617,710,9,7
104,613.240,717.885,0,606,712,14,11
26,713.538,714.346,0,711,712,6,6
161,720.292,719.957,0,713,712,15,17
100,435.720,721.110,0,432,713,9,17
68,446.559,719.735,0,443,713,8,13
60,1115.767,716.633,0,1111,713,11,9
112,841.991,721.241,0,835,716,15,10
58,1121.655,721.690,0,1117,718,10,8
32,605.844,723.875,0,603,721,7,6
62,769.726,724.790,0,766,721,9,9
93,621.237,728.527,0,616,723,11,13
59,1072.831,726.780,0,1068,724,11,7
43,822.023,728.907,0,819,725,7,10
111,828.919,732.315,0,823,725,12,14
39,809.026,729.462,0,806,726,7,8
68,816.368,731.309,0,813,726,9,11
128,848.477,735.023,0,844,726,9,18
82,711.805,730.171,0,705,727,16,7
34,1080.853,730.412,0,1078,727,7,7
69,443.261,734.594,0,439,729,9,11
203,871.734,739.369,0,864,730,16,20
109,1078.156,736.037,0,1070,730,17,14
82,487.049,735.049,0,482,731,12,10
105,839.762,736.152,0,835,731,10,12
113,807.566,737.274,0,801,732,15,11
42,990.071,737.952,0,986,735,9,7
98,555.020,740.806,0,550,736,11,11
135,752.541,742.963,0,746,737,14,13
73,1061.000,740.808,0,1055,737,13,8
93,674.419,744.430,0,670,739,10,12
91,802.846,746.560,0,798,741,11,11
102,1007.294,748.333,0,1002,744,12,10
45,843.000,747.222,0,838,745,10,6
67,849.522,754.433,0,845,750,11,9
201,876.965,760.682,0,869,751,21,18
77,889.013,756.026,0,884,751,11,10
19,501.842,761.684,0,499,760,6,4
71,474.732,767.859,0,470,763,10,10
31,501.613,766.032,0,498,764,8,5
19,448.211,769.842,0,446,767,5,6
70,862.029,770.857,0,857,767,12,9
104,459.269,773.096,0,454,768,11,12
68,382.044,773.441,0,378,769,9,10
127,824.323,775.409,0,817,770,15,11
33,467.091,774.303,0,465,771,6,7
36,474.472,774.306,0,471,772,8,6
59,831.729,783.051,0,828,779,9,9
96,470.604,784.969,0,466,780,11,11
58,872.586,789.655,0,870,783,7,15
22,840.136,786.000,0,838,784,6,5
78,833.103,791.962,0,827,788,12,10
94,456.628,794.638,0,452,789,12,12
39,464.538,793.282,0,462,790,6,8
39,1074.333,793.385,0,1071,790,8,8
29,427.345,793.276,0,425,791,6,6
174,430.287,800.603,0,423,792,16,18
62,823.032,797.290,0,820,793,8,11
106,831.075,799.679,0,825,794,14,12
25,448.000,798.600,0,446,795,5,7
57,841.298,800.105,0,839,795,6,11
91,442.451,805.527,0,439,798,8,17
92,458.478,802.250,0,451,798,16,10
121,808.124,807.488,0,803,801,12,14
47,767.766,806.745,0,763,804,11,7
40,832.900,807.350,0,829,804,9,7
134,781.410,811.993,0,777,805,11,16
69,451.681,810.420,0,446,807,13,8
36,428.028,811.778,0,425,809,7,7
108,514.241,817.630,0,509,812,12,12
105,812.962,818.295,0,808,812,11,13
104,903.846,817.308,0,899,812,11,12
117,448.376,817.786,0,441,814,17,9
192,793.349,824.760,0,785,816,17,18
100,970.370,824.140,0,966,818,10,13
48,433.458,823.271,0,429,820,10,8
155,458.935,827.710,0,451,821,16,15
63,443.397,826.095,0,437,823,13,7
24,581.500,824.875,0,578,823,8,5
38,424.132,827.842,0,421,825,8,6
91,909.736,833.341,0,905,829,11,10
38,424.447,832.711,0,420,830,9,6
42,445.357,834.643,0,443,830,6,10
53,968.585,835.811,0,966,831,7,12
83,973.916,839.084,0,969,832,10,13
113,941.336,839.027,0,936,833,12,13
42,805.857,836.857,0,802,834,8,7
111,841.703,838.829,0,836,834,13,11
205,760.976,845.663,0,753,836,18,20
76,557.026,843.342,0,552,839,11,10
37,708.000,842.000,0,705,839,7,7
81,811.963,844.716,0,808,839,9,12
88,849.080,844.761,0,844,839,12,11
95,1005.989,844.200,0,1001,839,11,12
111,784.405,847.514,0,779,840,11,15
73,831.342,843.767,0,827,840,10,9
61,868.246,844.230,0,864,840,9,9
39,526.641,846.641,0,523,844,9,7
137,532.942,849.781,0,524,844,17,12
94,728.851,848.894,0,724,844,11,11
26,885.615,846.962,0,883,844,6,7
45,840.578,847.844,0,837,845,8,7
96,852.969,853.500,0,847,849,12,10
95,1034.253,853.611,0,1029,849,12,10
77,809.818,856.182,0,805,850,11,12
66,818.894,854.848,0,815,850,9,12
137,794.701,856.752,0,787,851,16,13
68,803.235,858.765,0,798,852,10,12
70,772.471,856.714,0,766,853,13,9
152,783.204,861.993,0,778,853,11,18
172,863.785,861.924,0,858,853,13,20
77,769.909,861.156,0,762,856,17,10
149,508.544,864.356,0,504,857,11,16
64,440.141,861.391,0,435,858,12,9
68,762.250,863.015,0,757,858,12,11
53,1032.585,862.094,0,1028,859,10,8
50,442.320,865.800,0,437,862,11,8
66,791.197,866.848,0,788,862,8,11
40,810.225,864.825,0,807,862,8,8
97,529.598,868.371,0,524,863,12,11
55,426.455,868.891,0,422,864,10,10
64,803.172,867.031,0,798,864,12,8
42,1031.190,869.167,0,1028,865,7,9
59,515.186,872.169,0,511,868,9,9
45,803.111,873.644,0,800,870,7,9
40,810.025,873.150,0,806,870,9,7
37,784.568,873.378,0,781,871,8,6
37,810.054,877.892,0,806,876,9,5
51,941.510,899.275,0,939,894,7,11
99,729.525,900.121,0,722,896,16,10
89,516.169,906.506,0,511,901,10,12
79,624.949,905.190,0,618,902,15,8
33,730.970,904.667,0,727,903,9,5
82,628.817,910.488,0,620,907,17,9
44,628.909,914.795,0,623,913,12,5
82,732.024,922.902,0,727,918,10,11
111,747.135,930.072,0,742,924,11,14
136,825.338,933.037,0,818,928,16,11
53,631.981,934.302,0,628,930,8,9
62,737.968,935.339,0,733,932,11,8
104,799.510,940.317,0,794,935,12,12
42,763.048,941.071,0,761,936,5,11
99,740.697,943.697,0,731,940,20,9
83,627.024,946.964,0,622,942,11,11
70,754.229,949.400,0,749,946,13,8
75,749.840,956.760,0,745,952,12,10
42,748.143,967.190,0,745,964,7,7
119,781.151,975.765,0,775,970,13,12
84,769.381,976.107,0,765,971,10,11
183,696.995,984.142,0,690,972,15,24
129,726.581,986.457,0,722,977,11,18
103,717.000,987.117,0,712,982,11,14
