 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,737.532,178.661,24.971,734,176,8,7,0.625,9.899,735,183,45.000,7.000,1.486,0.673,0.765
2,28,746.714,190.893,24.385,742,188,10,6,0.592,10.770,742,193,21.801,4.427,3.046,0.328,0.747
3,45,628.744,198.078,26.385,626,193,6,10,0.812,10.198,627,193,101.310,6.000,1.598,0.626,0.882
4,29,636.224,197.293,19.899,633,195,7,5,0.920,8.602,633,200,35.538,5.000,1.626,0.615,0.921
5,40,621.750,200.350,24.385,619,196,6,9,0.845,9.487,620,205,71.565,6.000,1.565,0.639,0.870
6,77,614.604,204.565,44.627,608,198,12,12,0.486,15.620,608,200,140.194,9.480,1.561,0.641,0.716
7,83,639.271,203.572,54.527,629,199,23,10,0.351,23.195,629,205,7.431,7.012,4.409,0.227,0.610
8,39,606.603,206.244,24.971,603,201,7,9,0.786,9.487,604,210,71.565,6.708,1.445,0.692,0.839
9,101,638.847,212.480,49.355,634,204,11,17,0.521,18.385,637,221,67.620,10.394,1.756,0.569,0.754
10,109,648.041,213.289,57.598,641,206,13,16,0.413,18.601,642,221,53.746,11.088,1.979,0.505,0.734
11,33,726.470,216.924,24.142,724,212,5,9,0.711,9.487,726,212,108.435,5.000,2.101,0.476,0.805
12,76,636.039,225.711,40.627,630,221,14,10,0.579,15.652,630,230,26.565,8.222,2.260,0.443,0.764
13,29,607.224,228.466,19.899,605,225,5,7,0.920,7.810,605,225,129.806,5.000,1.296,0.772,0.921
14,34,635.529,234.059,22.971,632,231,8,7,0.810,8.944,632,232,153.435,7.000,1.170,0.855,0.800
15,139,635.723,247.529,64.426,630,237,12,24,0.421,24.187,638,261,82.875,11.979,2.419,0.413,0.686
16,50,625.520,244.720,28.971,622,239,7,11,0.749,11.705,622,250,70.017,6.788,1.695,0.590,0.847
17,34,774.706,243.265,25.556,772,239,6,9,0.654,9.487,774,239,108.435,5.830,1.831,0.546,0.756
18,43,868.500,244.407,29.213,864,239,9,10,0.633,10.817,864,242,146.310,7.022,1.851,0.540,0.723
19,61,855.844,247.303,32.971,850,242,10,10,0.705,12.806,850,251,38.660,8.485,1.758,0.569,0.819
20,52,642.135,251.750,34.142,639,244,6,14,0.561,14.318,641,258,77.905,6.000,2.346,0.426,0.788
21,84,848.512,254.000,46.870,844,244,9,19,0.481,20.616,845,244,112.834,7.603,3.233,0.309,0.750
22,25,863.300,247.180,17.899,861,244,5,6,0.981,7.810,861,244,129.806,5.000,1.485,0.673,0.926
23,30,767.767,249.100,28.971,764,246,7,7,0.449,8.602,765,253,54.462,7.000,1.220,0.820,0.698
24,131,862.538,255.576,54.870,854,249,20,13,0.547,23.854,854,262,33.024,8.791,2.714,0.369,0.845
25,31,645.113,260.661,23.314,640,259,10,4,0.717,10.198,640,259,168.690,4.000,2.412,0.415,0.899
26,30,488.433,269.333,24.142,485,266,8,6,0.647,8.944,485,267,153.435,6.000,1.754,0.570,0.759
27,81,549.204,270.981,32.627,544,266,11,10,0.956,12.083,544,274,24.444,9.839,1.234,0.810,0.905
28,26,559.308,270.115,18.485,556,268,7,4,0.956,8.062,556,268,150.255,4.000,1.796,0.557,0.963
29,67,523.201,275.201,45.698,517,271,13,8,0.403,13.928,517,272,158.962,8.000,1.871,0.535,0.744
30,28,557.893,274.714,21.314,554,273,9,4,0.775,9.487,554,276,18.435,4.000,2.179,0.459,0.918
31,66,531.288,279.470,44.870,524,274,14,10,0.412,15.811,524,283,34.695,8.254,2.448,0.409,0.684
32,25,811.260,278.180,28.627,806,275,10,7,0.383,10.440,806,279,16.699,5.821,2.532,0.395,0.532
33,32,530.531,289.594,22.142,527,287,8,5,0.820,8.944,527,292,26.565,5.000,1.626,0.615,0.865
34,57,921.553,293.360,28.385,917,289,9,9,0.889,9.899,918,290,135.000,8.497,1.102,0.907,0.870
35,62,594.774,301.984,28.385,590,298,10,8,0.967,10.770,590,304,21.801,8.000,1.159,0.863,0.899
36,58,873.121,302.690,36.870,868,298,10,9,0.536,10.440,868,303,16.699,8.974,1.187,0.842,0.800
37,57,688.746,305.412,38.284,684,300,9,10,0.489,10.440,688,300,106.699,8.944,1.078,0.928,0.792
38,77,976.344,304.578,48.284,970,300,12,9,0.415,12.649,970,303,161.565,9.000,1.262,0.793,0.806
39,79,641.538,307.399,31.799,637,302,9,11,0.982,12.083,639,313,65.556,9.000,1.230,0.813,0.929
40,86,912.558,310.570,46.042,906,304,11,12,0.510,14.213,906,307,140.711,10.585,1.275,0.784,0.789
41,39,555.731,310.397,26.971,552,305,6,11,0.674,11.180,555,305,100.305,6.000,2.130,0.470,0.804
42,48,732.854,311.521,33.799,729,305,8,11,0.528,13.038,729,305,122.471,7.649,1.977,0.506,0.727
43,58,437.655,313.621,38.627,434,307,8,13,0.488,14.318,434,320,65.225,7.778,2.010,0.497,0.784
44,25,551.380,313.420,20.728,549,309,5,8,0.731,8.944,550,309,116.565,4.608,2.064,0.485,0.820
45,77,922.435,315.513,41.213,918,310,9,11,0.570,12.530,919,310,118.610,9.000,1.313,0.762,0.880
46,76,739.421,320.092,46.527,733,315,12,11,0.441,13.038,733,317,147.529,11.000,1.205,0.830,0.741
47,31,960.113,319.339,25.799,955,316,10,7,0.585,10.440,955,319,16.699,6.063,2.013,0.497,0.713
48,27,952.574,321.241,18.971,949,318,7,6,0.943,8.602,949,319,144.462,4.950,1.949,0.513,0.857
49,93,969.048,325.435,53.598,963,319,13,13,0.407,14.866,965,331,42.274,11.119,1.284,0.779,0.747
50,97,649.716,329.201,50.284,643,324,14,10,0.482,14.560,643,327,164.055,10.000,1.453,0.688,0.847
51,51,756.833,336.029,32.627,752,332,9,8,0.602,9.487,752,335,161.565,8.000,1.113,0.898,0.843
52,52,1042.962,339.904,44.527,1038,334,10,11,0.330,13.038,1040,345,57.529,9.261,1.282,0.780,0.634
53,77,842.929,341.500,32.627,838,336,10,11,0.909,13.038,840,336,122.471,9.153,1.443,0.693,0.885
54,50,422.860,342.080,37.799,419,338,8,9,0.440,10.817,421,347,56.310,8.000,1.180,0.847,0.800
55,40,489.950,345.275,22.971,487,341,7,8,0.953,8.602,487,342,125.538,7.000,1.171,0.854,0.870
56,36,482.444,350.333,22.142,480,346,6,8,0.923,8.944,480,346,116.565,6.000,1.331,0.751,0.900
57,34,496.647,350.088,23.556,493,347,8,6,0.770,8.944,493,348,153.435,6.000,1.674,0.597,0.810
58,54,505.741,354.630,34.627,502,348,10,11,0.566,14.213,502,348,129.289,7.071,1.964,0.509,0.837
59,32,982.938,353.406,29.213,976,350,11,8,0.471,13.601,976,350,143.973,4.912,3.209,0.312,0.674
60,36,476.611,357.722,26.385,474,353,6,10,0.650,10.440,474,353,106.699,6.000,1.876,0.533,0.750
61,69,487.572,358.790,35.213,483,353,9,11,0.699,12.530,486,353,118.610,8.806,1.472,0.679,0.821
62,50,496.000,358.000,31.213,492,353,9,10,0.645,12.042,492,353,138.366,8.485,1.284,0.779,0.775
63,60,1070.533,358.317,35.213,1067,353,8,10,0.608,11.180,1068,363,63.435,8.000,1.341,0.746,0.845
64,46,974.391,357.913,30.042,968,354,12,7,0.641,12.166,968,359,9.462,6.641,1.955,0.511,0.760
65,53,964.953,362.085,31.213,961,356,8,12,0.684,12.166,964,356,99.462,7.906,1.745,0.573,0.779
66,87,1028.799,362.914,43.456,1024,357,10,12,0.579,12.806,1025,358,128.660,10.000,1.258,0.795,0.853
67,33,982.379,361.833,22.971,979,359,8,6,0.786,9.434,979,364,32.005,6.000,1.487,0.672,0.805
68,30,505.267,364.133,22.728,500,362,9,5,0.730,10.296,500,362,150.945,4.919,2.269,0.441,0.882
69,41,973.037,365.451,26.385,968,362,9,7,0.740,9.487,968,368,18.435,7.000,1.265,0.790,0.812
70,29,474.293,366.776,21.556,471,363,7,7,0.784,9.220,472,363,130.601,5.488,1.908,0.524,0.806
71,62,494.226,367.597,39.799,488,364,15,7,0.492,15.811,488,365,161.565,6.810,2.211,0.452,0.756
72,40,995.775,368.075,29.556,990,365,13,5,0.575,13.342,990,366,167.005,5.000,3.321,0.301,0.816
73,28,483.679,369.071,19.556,480,366,7,6,0.920,8.062,480,371,29.745,5.367,1.655,0.604,0.848
74,57,904.746,371.781,37.941,900,367,10,10,0.498,10.198,900,371,168.690,9.192,1.127,0.887,0.765
75,106,1010.623,378.491,65.841,1001,372,19,14,0.307,20.591,1001,376,150.945,10.286,2.094,0.478,0.629
76,149,617.003,386.050,63.355,609,376,13,22,0.466,23.087,613,376,107.650,12.110,2.205,0.453,0.730
77,53,839.896,380.953,35.456,836,376,9,9,0.530,10.000,837,377,126.870,8.485,1.184,0.844,0.815
78,33,915.773,379.712,27.799,912,376,8,7,0.537,8.544,912,378,159.444,6.641,1.439,0.695,0.733
