 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,98,714.031,85.102,56.142,712,72,4,26,0.391,26.077,713,72,94.399,4.000,6.451,0.155,0.961
2,68,502.162,103.853,46.971,500,93,5,21,0.387,21.213,501,93,98.130,4.734,5.599,0.179,0.810
3,52,790.750,100.250,35.213,787,95,8,10,0.527,10.770,789,95,111.801,8.000,1.237,0.808,0.782
4,110,624.673,116.955,59.899,611,114,27,5,0.385,27.295,611,115,171.573,5.000,6.570,0.152,0.898
5,69,719.587,156.819,41.556,713,154,15,8,0.502,17.000,713,162,28.072,8.000,2.876,0.348,0.723
6,73,711.240,165.418,42.971,702,163,17,7,0.497,17.263,702,163,169.992,7.000,2.847,0.351,0.777
7,87,862.017,171.316,52.184,855,165,15,12,0.401,18.028,855,166,146.310,8.050,2.183,0.458,0.734
8,29,812.052,191.948,24.385,808,189,9,7,0.613,11.402,808,196,37.875,4.534,3.139,0.319,0.773
9,47,928.053,208.096,31.314,926,201,4,14,0.602,14.036,928,201,94.086,4.000,3.205,0.312,0.922
10,33,897.136,211.015,24.385,894,207,7,7,0.697,8.602,894,209,144.462,7.000,1.135,0.881,0.786
11,32,427.344,217.219,29.213,423,214,8,7,0.471,8.602,424,215,144.462,7.000,1.333,0.750,0.681
12,52,376.192,219.885,41.698,371,216,10,8,0.376,10.770,371,222,21.801,8.000,1.226,0.816,0.765
13,39,475.551,237.064,30.042,472,233,8,8,0.543,9.220,472,240,40.601,7.071,1.315,0.760,0.780
14,50,747.940,237.240,25.556,744,233,8,8,0.962,9.434,744,240,32.005,7.603,1.212,0.825,0.909
15,43,826.058,258.570,30.627,822,255,8,7,0.576,9.434,822,261,32.005,7.000,1.252,0.799,0.835
16,54,772.741,285.759,36.870,768,281,9,10,0.499,10.817,770,282,123.690,9.000,1.167,0.857,0.777
17,44,579.386,326.068,30.971,576,322,7,8,0.576,9.434,577,330,57.995,7.000,1.204,0.831,0.854
18,62,379.790,328.226,28.385,376,323,8,10,0.967,10.440,379,323,106.699,8.000,1.243,0.805,0.912
19,39,926.115,334.141,34.142,924,327,4,14,0.420,14.318,925,327,102.095,4.000,4.066,0.246,0.750
20,39,691.577,332.962,22.971,688,329,7,8,0.929,8.544,690,329,110.556,6.791,1.336,0.749,0.857
21,47,958.989,343.011,32.627,954,337,10,11,0.555,14.866,954,348,47.726,6.102,3.094,0.323,0.734
22,77,853.890,344.734,36.627,848,339,11,11,0.721,14.213,848,348,39.289,9.391,1.391,0.719,0.837
23,35,965.871,345.300,22.971,963,341,6,9,0.834,9.487,965,341,108.435,5.883,1.599,0.626,0.833
24,30,866.000,348.533,23.556,861,346,10,5,0.679,10.198,861,346,168.690,4.950,1.910,0.524,0.789
25,80,874.888,352.225,39.799,870,347,10,10,0.635,12.806,870,357,38.660,10.000,1.213,0.825,0.894
26,62,960.129,351.468,33.799,954,347,13,8,0.682,13.342,954,349,167.005,8.000,1.810,0.552,0.805
27,55,848.409,353.227,28.728,844,349,9,8,0.837,10.630,844,350,138.814,8.000,1.088,0.919,0.866
28,25,898.060,373.620,25.556,896,368,5,10,0.481,10.770,897,368,111.801,4.608,2.866,0.349,0.658
29,42,880.381,381.690,25.799,876,377,8,9,0.793,9.849,878,377,113.962,7.071,1.410,0.709,0.808
30,38,515.684,383.816,30.485,514,378,4,13,0.514,13.342,514,378,102.995,4.000,3.960,0.253,0.844
31,58,589.034,383.034,36.042,584,378,11,10,0.561,12.207,585,388,55.008,9.615,1.313,0.762,0.707
32,28,1004.107,398.250,20.728,1000,396,8,5,0.819,8.944,1000,400,26.565,4.919,1.987,0.503,0.862
33,114,495.061,425.763,39.213,490,419,10,14,0.932,14.866,493,433,70.346,10.000,1.428,0.700,0.938
34,40,594.975,436.875,22.971,591,433,8,7,0.953,8.602,592,440,35.538,7.000,1.202,0.832,0.860
35,84,521.179,445.393,55.113,517,438,11,19,0.348,20.248,518,457,69.775,8.872,2.598,0.385,0.639
36,36,669.000,443.611,21.314,666,440,6,7,0.996,8.062,667,440,119.745,6.000,1.199,0.834,0.923
37,68,952.632,457.750,38.627,948,452,12,12,0.573,14.422,948,461,33.690,9.839,1.496,0.668,0.680
38,53,519.009,467.425,43.556,517,458,4,19,0.351,19.235,517,458,98.973,4.000,5.564,0.180,0.797
39,43,853.942,466.453,30.627,851,462,7,9,0.576,9.849,852,462,113.962,7.000,1.471,0.680,0.819
40,36,719.583,477.944,33.314,718,471,3,15,0.408,15.133,719,486,82.405,3.000,5.028,0.199,0.867
41,33,991.379,485.076,27.314,989,479,4,12,0.556,12.369,990,491,75.964,4.000,3.592,0.278,0.846
42,39,927.115,489.500,38.485,926,481,3,18,0.331,18.111,926,481,96.340,3.000,7.832,0.128,0.839
43,36,484.167,501.889,29.799,481,498,7,9,0.509,11.402,481,498,127.875,6.788,1.415,0.707,0.713
44,39,842.372,502.269,28.971,839,498,7,8,0.584,8.602,839,499,125.538,7.000,1.075,0.930,0.821
45,50,521.300,547.760,43.314,520,537,3,20,0.335,20.100,520,537,95.711,3.000,7.106,0.141,0.893
46,27,928.648,551.796,24.485,927,546,3,11,0.566,11.180,928,546,100.305,3.000,3.481,0.287,0.900
47,49,564.929,557.827,24.971,561,554,8,8,0.988,8.944,561,560,26.565,8.000,1.043,0.959,0.899
48,32,550.719,558.688,24.971,547,556,7,6,0.645,8.062,547,557,150.255,6.000,1.308,0.765,0.842
49,49,767.949,565.745,31.213,764,562,8,8,0.632,9.434,764,568,32.005,8.000,1.155,0.866,0.852
50,35,522.357,605.814,31.314,520,600,4,13,0.449,13.342,520,600,102.995,4.000,4.213,0.237,0.787
51,67,803.679,656.440,31.799,799,652,10,10,0.833,10.817,800,653,123.690,9.391,1.187,0.842,0.838
52,37,393.311,677.392,36.870,389,674,9,7,0.342,9.899,390,681,45.000,7.000,1.304,0.767,0.685
53,36,414.000,689.083,29.213,410,686,8,7,0.530,8.602,411,686,125.538,7.000,1.046,0.956,0.774
54,55,631.682,737.827,33.799,628,733,8,9,0.605,10.296,630,733,119.055,8.000,1.263,0.791,0.840
55,80,513.125,759.288,39.698,506,755,14,9,0.638,14.318,506,758,167.905,8.910,1.802,0.555,0.796
