 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,745.016,145.403,20.142,742,142,6,7,0.960,8.062,743,142,119.745,5.814,1.432,0.698,0.873
2,50,678.460,160.200,28.385,674,156,9,8,0.780,10.630,674,163,41.186,7.488,1.554,0.644,0.840
3,28,849.464,170.750,18.728,847,167,5,7,1.000,7.616,848,167,113.199,5.000,1.367,0.732,0.903
4,39,672.987,175.910,22.142,670,172,6,8,1.000,8.944,671,180,63.435,6.000,1.347,0.742,0.918
5,37,635.851,177.149,21.556,632,174,8,6,1.000,8.944,632,175,153.435,6.000,1.480,0.676,0.892
6,31,846.371,182.210,22.385,843,179,7,6,0.777,8.602,843,180,144.462,6.000,1.410,0.709,0.827
7,99,947.854,187.258,48.527,942,181,12,12,0.528,14.422,945,181,123.690,11.672,1.141,0.877,0.832
8,31,645.210,185.823,20.728,643,182,5,8,0.907,8.544,643,182,110.556,5.000,1.567,0.638,0.899
9,63,907.675,198.452,28.971,903,194,9,9,0.943,10.296,905,203,60.945,9.000,1.076,0.930,0.900
10,38,955.289,199.395,22.728,953,195,5,9,0.924,9.487,953,195,108.435,5.000,1.723,0.580,0.938
11,28,733.821,206.143,18.728,731,203,6,6,1.000,7.810,731,209,50.194,5.657,1.297,0.771,0.903
12,41,964.037,208.256,23.556,961,204,6,9,0.928,9.487,962,204,108.435,6.000,1.426,0.701,0.891
13,50,756.780,211.940,25.799,752,208,9,8,0.944,10.817,752,209,146.310,7.071,1.657,0.603,0.870
14,62,907.887,211.403,33.213,902,208,13,7,0.706,13.342,902,213,12.995,7.000,1.996,0.501,0.821
15,37,634.365,212.581,21.556,631,209,7,7,1.000,8.602,632,209,125.538,6.364,1.393,0.718,0.902
16,27,897.907,211.907,20.971,894,209,7,7,0.772,8.602,895,209,125.538,4.950,1.881,0.532,0.831
17,47,746.543,217.521,24.971,742,214,9,7,0.947,9.849,742,216,156.038,7.000,1.371,0.730,0.879
18,25,904.780,218.380,18.142,902,215,6,6,0.954,6.708,904,215,116.565,6.000,1.023,0.978,0.847
19,31,660.661,219.242,20.728,658,216,6,7,0.907,8.062,659,223,60.255,6.000,1.346,0.743,0.873
20,49,605.643,222.786,26.142,602,219,7,9,0.901,10.296,604,228,60.945,7.000,1.253,0.798,0.907
21,39,597.859,225.090,27.799,594,221,7,8,0.634,10.000,595,229,53.130,7.000,1.354,0.739,0.788
22,49,775.092,232.704,25.213,771,228,8,9,0.969,9.487,774,228,108.435,7.603,1.240,0.807,0.867
23,25,766.900,243.540,17.314,764,241,6,5,1.000,6.708,764,242,153.435,5.000,1.147,0.872,0.909
24,29,970.362,248.603,19.314,968,245,5,7,0.977,7.616,969,245,113.199,5.000,1.471,0.680,0.906
25,37,1013.041,248.959,24.142,1010,245,6,9,0.798,10.296,1011,254,60.945,5.821,1.901,0.526,0.881
26,147,524.248,257.466,57.598,518,247,14,22,0.557,24.166,521,269,65.556,9.666,3.034,0.330,0.828
27,31,748.952,251.113,21.071,747,247,4,8,0.877,8.944,747,247,116.565,4.000,1.988,0.503,0.984
28,35,498.757,252.329,21.556,495,249,7,7,0.947,7.810,496,255,50.194,7.000,1.075,0.930,0.864
29,54,639.389,254.093,26.385,635,250,9,8,0.975,10.630,635,251,138.814,7.778,1.347,0.742,0.900
30,27,450.907,254.019,18.142,448,251,6,6,1.000,7.211,449,251,123.690,5.657,1.316,0.760,0.885
31,36,1016.583,254.528,22.385,1013,251,8,7,0.903,8.944,1013,257,26.565,6.364,1.515,0.660,0.837
32,26,621.423,256.769,18.728,619,253,5,7,0.932,7.280,621,253,105.945,5.000,1.432,0.698,0.867
33,37,927.824,259.122,21.556,925,255,6,8,1.000,8.544,926,263,69.444,6.000,1.357,0.737,0.902
34,58,1024.155,259.466,33.456,1019,255,12,8,0.651,13.000,1019,256,157.380,7.692,1.940,0.515,0.773
35,44,950.364,261.364,24.385,947,257,7,9,0.930,10.296,948,266,60.945,6.364,1.640,0.610,0.898
36,25,514.900,265.660,20.142,512,262,5,7,0.774,7.616,513,262,113.199,5.000,1.663,0.601,0.806
37,45,537.878,265.544,26.971,533,262,9,8,0.777,11.314,534,262,135.000,6.708,1.787,0.559,0.849
38,29,546.914,265.948,18.728,544,263,6,6,1.000,7.211,544,268,33.690,6.000,1.182,0.846,0.906
39,53,1022.066,269.613,29.799,1018,264,8,11,0.750,13.038,1018,264,122.471,6.656,2.157,0.464,0.855
40,31,880.468,273.145,19.556,877,270,7,6,1.000,7.810,878,270,129.806,6.000,1.289,0.776,0.873
41,87,511.787,281.247,38.870,507,275,12,12,0.724,14.422,507,276,146.310,10.607,1.429,0.700,0.825
42,41,1046.134,279.037,26.728,1043,275,6,8,0.721,9.434,1044,275,122.005,6.000,1.440,0.694,0.882
43,69,741.457,282.355,34.627,735,278,13,9,0.723,14.318,735,278,155.225,7.830,2.019,0.495,0.812
44,35,430.414,282.500,20.971,427,279,7,7,1.000,9.220,427,279,130.601,5.657,1.664,0.601,0.897
45,26,478.577,285.154,18.728,476,282,6,6,0.932,7.810,476,282,129.806,5.367,1.508,0.663,0.881
46,107,841.154,288.977,37.456,835,283,12,12,0.958,13.416,838,295,63.435,11.314,1.164,0.859,0.918
47,56,1047.929,287.893,37.213,1042,284,11,8,0.508,12.207,1042,292,34.992,8.000,1.140,0.877,0.727
48,132,736.750,292.371,62.184,729,286,16,13,0.429,16.763,729,289,162.646,13.000,1.213,0.824,0.812
49,42,782.214,294.429,24.385,779,290,7,9,0.888,9.220,781,290,102.529,7.000,1.323,0.756,0.848
50,75,1064.193,295.447,37.213,1057,291,13,9,0.681,13.928,1057,293,158.962,9.000,1.454,0.688,0.798
51,50,1051.180,296.220,27.799,1047,292,8,10,0.813,10.770,1049,292,111.801,8.000,1.315,0.760,0.820
52,28,549.214,298.071,20.142,547,294,5,8,0.867,8.544,547,302,69.444,5.000,1.613,0.620,0.889
53,39,1043.090,299.090,22.385,1040,295,7,8,0.978,8.602,1040,302,35.538,6.934,1.301,0.769,0.867
54,30,757.000,302.500,20.142,754,299,6,7,0.929,8.062,755,306,60.255,5.814,1.458,0.686,0.857
55,35,834.414,305.957,20.728,831,303,7,6,1.000,8.062,831,308,29.745,6.000,1.242,0.805,0.921
56,31,737.468,306.565,21.556,733,304,9,5,0.838,9.487,733,305,161.565,5.000,1.986,0.503,0.838
57,94,754.309,312.447,44.284,749,307,11,11,0.602,13.038,751,307,122.471,11.000,1.130,0.885,0.879
58,35,1054.957,310.586,20.728,1052,307,6,7,1.000,8.062,1053,307,119.745,6.000,1.242,0.805,0.921
59,51,879.382,333.245,25.556,876,329,7,9,0.981,10.296,877,338,60.945,7.000,1.361,0.735,0.927
60,28,522.893,334.107,20.728,520,330,6,7,0.819,8.062,522,330,119.745,5.942,1.420,0.704,0.836
61,34,1094.000,339.500,20.142,1091,336,6,7,1.000,8.062,1092,336,119.745,6.000,1.275,0.784,0.919
62,29,526.983,340.569,19.899,524,338,6,5,0.920,7.810,524,338,140.194,5.000,1.241,0.806,0.967
63,32,777.312,342.125,20.728,774,339,7,6,0.936,8.485,774,345,45.000,6.000,1.329,0.753,0.889
64,30,538.467,346.767,19.314,536,343,5,7,1.000,8.062,537,343,119.745,5.000,1.416,0.706,0.938
65,40,597.375,348.275,25.556,594,344,7,9,0.770,10.817,594,344,123.690,5.814,2.051,0.488,0.825
66,30,1063.467,355.233,19.314,1061,352,5,7,1.000,8.062,1062,359,60.255,5.000,1.416,0.706,0.938
67,49,990.480,366.235,26.385,987,361,7,10,0.885,10.440,989,361,106.699,7.000,1.517,0.659,0.867
68,35,796.729,369.129,20.728,793,366,7,6,1.000,8.062,793,371,29.745,6.000,1.169,0.856,0.921
69,43,529.849,372.244,24.142,527,368,6,9,0.927,9.849,527,368,113.962,6.000,1.574,0.635,0.915
70,45,1103.522,371.367,24.385,1099,368,9,7,0.951,9.487,1099,370,161.565,7.000,1.349,0.741,0.865
