 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,91,730.038,189.665,34.627,725,184,10,12,0.954,12.649,729,196,71.565,10.000,1.191,0.840,0.919,cell
2,62,593.242,301.790,28.627,588,297,10,9,0.951,11.180,588,300,153.435,8.050,1.410,0.709,0.892,cell
3,36,700.889,349.750,21.314,698,346,6,7,0.996,8.602,699,346,125.538,6.000,1.290,0.775,0.935,cell
4,59,842.432,368.042,28.042,838,363,9,10,0.943,10.630,838,371,41.186,7.778,1.368,0.731,0.874,cell
5,28,468.714,377.893,22.385,465,375,7,6,0.702,8.602,465,375,144.462,6.000,1.495,0.669,0.767,cell
6,99,683.783,393.136,36.042,678,387,11,12,0.958,13.000,681,399,67.380,11.000,1.124,0.890,0.917,cell
7,96,816.156,395.719,35.213,811,390,10,12,0.973,12.649,815,402,71.565,10.000,1.157,0.864,0.932,cell
8,74,970.865,404.149,31.213,966,399,10,10,0.954,11.402,966,407,37.875,9.391,1.221,0.819,0.897,cell
9,31,993.758,422.532,20.728,990,420,8,5,0.907,8.544,990,421,159.444,5.000,1.616,0.619,0.886,cell
10,77,869.383,437.812,31.799,864,433,10,10,0.957,12.042,866,433,131.634,9.839,1.238,0.808,0.911,cell
11,79,983.639,451.930,31.556,979,447,9,10,0.997,11.662,981,457,59.036,9.000,1.144,0.874,0.952,cell
12,109,715.803,455.445,38.042,710,449,11,13,0.946,13.601,712,461,53.973,11.000,1.205,0.830,0.912,cell
13,59,727.754,466.941,28.385,723,463,9,9,0.920,10.817,724,463,123.690,8.400,1.374,0.728,0.894,cell
14,118,643.653,512.500,51.941,638,504,14,15,0.550,16.401,639,504,142.431,13.000,1.145,0.873,0.800,cell
15,86,505.547,518.465,32.971,501,513,9,11,0.994,12.083,503,513,114.444,9.000,1.221,0.819,0.950,cell
16,58,876.672,556.345,27.799,872,552,9,9,0.943,10.630,873,560,41.186,8.222,1.255,0.797,0.879,cell
17,71,656.232,585.838,30.385,651,582,11,8,0.966,11.705,651,588,19.983,8.000,1.341,0.745,0.928,cell
18,126,1043.651,601.095,40.870,1037,595,14,12,0.948,14.560,1037,604,15.945,12.000,1.147,0.872,0.916,cell
19,50,400.800,600.520,25.556,397,597,8,8,0.962,9.220,397,603,40.601,8.000,1.081,0.925,0.909,cell
20,32,508.000,605.000,19.314,505,602,6,6,1.000,7.211,506,602,123.690,6.000,1.000,1.000,0.941,cell
21,61,477.041,616.893,50.527,470,611,12,12,0.300,15.000,470,621,36.870,8.835,1.993,0.502,0.613,cell
22,85,1000.265,641.194,33.213,995,636,10,11,0.968,12.207,997,636,124.992,10.000,1.191,0.840,0.914,cell
23,122,704.197,655.828,40.042,698,650,13,12,0.956,13.928,698,659,21.038,12.000,1.099,0.910,0.931,cell
24,52,1000.192,677.962,26.142,996,674,8,8,0.956,9.434,998,674,122.005,8.000,1.032,0.969,0.912,cell
25,62,1066.419,683.823,34.042,1059,680,13,8,0.672,13.601,1059,682,162.897,7.906,2.071,0.483,0.810,cell
26,80,1054.088,686.888,48.870,1048,681,17,10,0.421,19.235,1048,682,152.103,9.391,2.375,0.421,0.714,cell
27,41,609.646,731.354,22.728,606,728,7,7,0.997,8.485,607,728,135.000,7.000,1.006,0.994,0.921,cell
28,38,985.842,746.895,21.556,982,744,8,6,1.000,8.544,982,745,159.444,6.000,1.296,0.771,0.916,cell
29,80,466.950,750.250,32.627,461,746,12,9,0.944,12.369,461,752,14.036,9.000,1.301,0.769,0.914,cell
30,82,463.293,773.634,32.385,459,768,9,11,0.983,12.083,461,768,114.444,9.000,1.245,0.803,0.937,cell
31,27,673.648,772.241,20.142,670,770,8,5,0.836,8.944,670,775,26.565,4.851,1.983,0.504,0.857,cell
32,67,663.037,801.052,28.971,658,797,10,8,1.000,10.770,658,799,158.199,8.000,1.245,0.803,0.937,cell
33,38,734.184,979.816,37.456,731,972,6,15,0.340,15.133,735,987,82.405,6.000,3.096,0.323,0.555,cell
34,438,793.877,236.046,84.083,782,222,25,27,0.779,29.682,782,245,32.619,20.996,1.383,0.723,0.899,cluster
35,956,844.724,290.492,272.676,819,271,49,41,0.162,51.624,820,296,21.595,36.557,1.487,0.673,0.672,cluster
36,500,506.914,489.466,219.907,491,472,37,34,0.130,42.438,492,478,145.561,23.711,1.942,0.515,0.646,cluster
37,1565,885.199,497.522,277.120,853,478,67,41,0.256,69.893,854,506,19.213,40.549,1.689,0.592,0.760,cluster
38,300,657.620,502.150,92.468,643,490,27,24,0.441,27.295,643,501,171.573,20.046,1.271,0.787,0.727,cluster
39,562,843.594,657.779,201.622,824,638,39,38,0.174,50.990,827,638,131.820,23.294,2.554,0.392,0.640,cluster
40,1001,964.092,665.751,251.078,937,650,64,31,0.200,64.125,937,673,3.576,30.951,2.869,0.349,0.616,cluster
41,481,671.831,974.646,189.279,655,963,34,28,0.169,36.401,655,979,20.925,28.000,1.396,0.716,0.663,cluster
