 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,84,730.155,189.798,43.698,725,184,10,12,0.553,12.649,729,196,71.565,10.000,1.228,0.814,0.848
2,87,793.144,227.259,53.355,786,222,15,12,0.384,15.811,786,232,18.435,11.841,1.459,0.685,0.606
3,32,804.125,231.625,21.556,801,228,6,8,0.865,8.246,802,228,104.036,5.883,1.423,0.703,0.842
4,26,850.808,233.846,24.142,849,229,4,10,0.561,10.440,849,239,73.301,4.000,3.233,0.309,0.754
5,72,786.500,241.042,41.698,782,233,9,15,0.520,15.524,785,233,104.931,8.246,1.969,0.508,0.724
6,98,862.449,278.429,38.870,857,271,11,14,0.815,14.866,860,285,70.346,10.307,1.403,0.713,0.860
7,76,842.368,277.684,40.284,833,273,15,9,0.589,16.155,833,274,158.199,9.000,1.645,0.608,0.760
8,41,832.207,282.549,30.042,829,278,8,10,0.571,10.770,830,288,68.199,7.155,1.773,0.564,0.726
9,60,849.533,289.133,39.456,846,280,8,16,0.484,16.031,849,280,93.576,7.363,2.351,0.425,0.698
10,139,826.219,295.140,61.841,819,284,15,19,0.457,21.024,821,284,115.346,11.523,1.952,0.512,0.735
11,79,860.829,291.108,35.799,856,286,9,12,0.775,13.000,860,298,67.380,9.000,1.400,0.714,0.883
12,49,854.602,298.378,25.799,851,294,8,9,0.925,9.487,853,303,71.565,8.000,1.140,0.878,0.867
13,62,593.242,301.790,28.627,588,297,10,9,0.951,11.180,588,300,153.435,8.050,1.410,0.709,0.892
14,84,843.167,305.988,43.941,836,301,15,11,0.547,16.155,836,307,21.801,9.192,1.807,0.553,0.767
15,36,700.889,349.750,21.314,698,346,6,7,0.996,8.602,699,346,125.538,6.000,1.290,0.775,0.935
16,59,842.432,368.042,28.042,838,363,9,10,0.943,10.630,838,371,41.186,7.778,1.368,0.731,0.874
17,28,468.714,377.893,22.385,465,375,7,6,0.702,8.602,465,375,144.462,6.000,1.495,0.669,0.767
18,99,683.783,393.136,36.042,678,387,11,12,0.958,13.000,681,399,67.380,11.000,1.124,0.890,0.917
19,89,816.365,395.815,44.284,811,390,10,12,0.570,12.649,815,402,71.565,10.000,1.227,0.815,0.868
20,74,970.865,404.149,31.213,966,399,10,10,0.954,11.402,966,407,37.875,9.391,1.221,0.819,0.897
21,31,993.758,422.532,20.728,990,420,8,5,0.907,8.544,990,421,159.444,5.000,1.616,0.619,0.886
22,77,869.383,437.812,31.799,864,433,10,10,0.957,12.042,866,433,131.634,9.839,1.238,0.808,0.911
23,71,983.824,452.007,41.456,979,447,9,10,0.519,11.662,981,457,59.036,9.000,1.199,0.834,0.855
24,109,715.803,455.445,38.042,710,449,11,13,0.946,13.601,712,461,53.973,11.000,1.205,0.830,0.912
25,59,727.754,466.941,28.385,723,463,9,9,0.920,10.817,724,463,123.690,8.400,1.374,0.728,0.894
26,56,498.125,476.625,30.627,492,472,11,8,0.750,11.705,492,479,19.983,7.778,1.608,0.622,0.875
27,128,506.992,484.164,56.770,499,478,16,13,0.499,16.492,499,483,165.964,13.000,1.181,0.847,0.778
28,29,914.224,481.948,26.971,910,478,10,7,0.501,11.662,910,479,149.036,4.715,3.112,0.321,0.674
29,119,896.626,486.265,61.355,888,479,16,16,0.397,19.416,891,479,124.509,12.691,1.656,0.604,0.715
30,68,906.647,485.441,38.284,901,480,12,11,0.583,13.601,901,482,143.973,9.717,1.742,0.574,0.712
31,34,494.794,484.118,20.728,491,481,7,6,0.994,7.810,492,487,39.806,6.000,1.148,0.871,0.895
32,133,869.184,489.853,58.770,859,483,17,17,0.484,19.416,859,484,124.509,14.700,1.308,0.764,0.725
33,90,860.967,494.556,57.012,854,486,14,16,0.348,18.028,858,486,123.690,9.899,2.046,0.489,0.687
34,44,499.318,491.500,29.213,495,487,9,9,0.648,11.402,495,489,142.125,7.589,1.666,0.600,0.746
35,123,513.972,497.126,65.841,505,490,22,14,0.357,23.707,506,491,152.354,10.346,2.444,0.409,0.663
36,34,522.118,493.794,30.042,516,490,12,8,0.473,13.892,516,490,149.744,4.217,3.952,0.253,0.731
37,45,655.744,493.967,28.971,652,490,7,10,0.674,10.770,654,500,68.199,7.000,1.291,0.775,0.796
38,34,892.647,493.500,22.385,889,490,8,7,0.853,8.602,889,496,35.538,6.791,1.297,0.771,0.791
39,57,906.535,497.096,32.385,903,492,8,11,0.683,13.038,904,503,57.529,6.957,2.024,0.494,0.809
40,130,895.162,501.323,49.456,887,494,15,14,0.668,17.000,887,497,151.928,12.805,1.274,0.785,0.788
41,33,423.530,501.530,24.627,420,498,7,8,0.684,8.944,421,498,116.565,7.000,1.343,0.745,0.750
42,43,506.779,502.779,26.971,503,498,9,8,0.743,11.402,503,499,142.125,6.364,1.915,0.522,0.843
