Area,X,Y,Perim.,BX,BY,Width,Height
91,811.451,205.978,0,807,201,10,11
53,895.698,214.453,0,893,209,6,12
62,886.968,213.774,0,883,210,9,8
87,566.483,225.966,0,561,221,12,10
71,554.817,226.704,0,550,223,11,8
29,629.724,229.345,0,627,227,6,6
109,751.569,235.716,0,746,231,12,11
48,571.604,235.521,0,568,232,8,8
53,543.717,235.528,0,539,233,10,6
48,563.312,236.771,0,560,233,7,9
44,557.909,242.045,0,555,238,7,9
27,728.000,242.741,0,725,241,8,5
140,636.464,253.614,0,631,244,12,18
52,736.288,246.577,0,732,244,10,7
67,542.224,251.075,0,539,246,8,11
115,531.365,255.643,0,527,248,10,17
114,877.272,254.088,0,872,248,11,13
58,733.724,253.069,0,730,249,9,9
66,740.758,255.788,0,737,251,9,11
64,561.047,255.422,0,556,252,11,8
136,510.169,260.699,0,505,254,12,14
81,520.790,259.716,0,516,254,11,14
85,571.082,258.953,0,564,255,15,9
84,541.833,262.226,0,536,257,12,11
84,500.845,263.286,0,497,258,9,12
61,527.787,266.721,0,524,263,9,9
49,493.122,270.510,0,490,266,7,9
167,540.311,276.263,0,533,269,14,17
61,500.672,274.672,0,496,270,10,10
106,527.132,275.575,0,520,270,14,11
97,793.856,275.041,0,789,270,11,11
73,506.110,277.904,0,502,271,9,13
103,921.126,277.893,0,916,273,12,11
39,642.821,276.385,0,639,274,9,6
60,492.150,278.950,0,488,275,10,9
41,650.024,279.317,0,647,275,7,10
96,748.115,280.031,0,743,275,11,11
116,515.198,281.500,0,509,276,13,12
110,497.491,285.991,0,491,280,13,12
296,783.307,310.101,0,780,282,8,56
141,527.638,291.426,0,522,284,12,15
122,707.426,293.500,0,699,289,18,10
199,1027.995,320.990,0,1025,300,7,41
65,740.062,307.277,0,735,303,11,9
100,848.900,308.020,0,844,303,11,11
79,563.329,308.987,0,559,304,10,11
118,677.508,311.788,0,673,305,10,17
81,689.309,317.568,0,684,313,11,10
81,810.802,319.827,0,803,316,16,9
137,745.277,320.942,0,735,317,21,9
88,809.068,324.648,0,802,319,16,11
87,490.736,324.586,0,482,322,19,6
63,804.714,328.841,0,800,325,11,8
81,764.963,330.012,0,760,326,11,9
120,487.275,337.433,0,482,332,12,12
87,1026.092,354.989,0,1023,348,7,15
105,791.152,356.771,0,785,352,13,11
110,958.009,361.264,0,948,356,20,14
87,576.034,361.977,0,571,357,11,11
73,971.808,362.562,0,967,359,11,8
284,1024.908,384.127,0,1021,361,12,49
100,504.050,368.160,0,498,363,14,11
103,575.612,372.592,0,571,367,11,12
53,953.358,370.679,0,949,367,10,8
107,628.084,376.645,0,623,371,11,12
66,880.288,375.348,0,875,372,11,8
78,736.397,376.949,0,731,373,11,9
47,841.915,378.702,0,838,375,9,8
82,651.902,381.622,0,647,377,10,11
49,524.755,383.592,0,521,379,8,10
118,603.788,385.898,0,598,380,12,13
37,645.946,384.595,0,643,381,7,8
114,1033.535,390.351,0,1030,383,9,16
260,996.204,398.750,0,976,392,39,13
120,689.808,408.692,0,684,402,13,14
32,840.656,404.219,0,837,402,8,5
36,866.194,407.444,0,864,403,5,10
56,482.339,408.696,0,478,405,9,8
41,861.073,409.610,0,858,406,7,8
103,679.971,414.864,0,675,410,11,11
105,866.790,417.514,0,862,412,11,12
65,689.354,417.538,0,685,414,10,8
91,621.802,423.978,0,617,419,11,11
42,681.857,423.595,0,678,421,9,6
87,894.000,427.046,0,888,423,13,9
78,766.654,430.564,0,762,426,10,10
58,374.672,431.362,0,371,427,9,9
86,885.395,432.128,0,880,427,12,11
113,869.513,436.159,0,864,430,11,14
95,858.832,436.895,0,854,432,11,11
66,560.545,437.318,0,556,433,10,9
93,904.624,441.828,0,901,434,8,16
74,897.270,442.230,0,893,437,9,11
36,862.361,443.972,0,859,441,8,7
76,871.961,448.118,0,868,443,9,11
96,892.125,450.729,0,887,446,12,11
59,865.644,452.254,0,862,448,9,10
18,859.222,451.500,0,857,450,5,4
74,896.743,460.568,0,894,454,7,14
88,872.932,464.318,0,868,459,12,12
123,887.138,466.683,0,881,461,14,12
95,879.305,471.642,0,874,465,11,13
103,1045.951,471.631,0,1041,466,11,12
51,656.176,471.059,0,652,467,9,9
129,498.566,475.736,0,493,469,12,14
88,860.784,477.591,0,857,470,9,16
27,897.593,472.926,0,894,471,8,5
107,987.477,480.308,0,983,472,11,17
131,646.046,482.267,0,641,475,11,16
87,547.954,486.207,0,546,477,5,19
51,596.137,480.078,0,591,477,10,7
69,605.681,481.420,0,600,478,13,8
102,656.745,485.147,0,651,480,12,11
137,798.197,488.504,0,790,481,16,14
53,589.075,486.226,0,586,482,7,10
45,789.200,486.000,0,786,482,7,9
57,886.439,487.789,0,883,483,8,10
42,581.000,487.333,0,578,484,7,8
121,616.992,489.099,0,610,484,14,12
49,595.980,488.592,0,593,485,7,9
55,870.109,488.400,0,866,485,9,8
137,988.343,492.321,0,980,487,17,12
60,585.100,494.567,0,581,490,9,10
31,608.387,493.774,0,605,491,7,6
34,615.618,495.235,0,612,493,9,5
50,547.560,502.500,0,546,496,4,14
83,651.193,504.795,0,647,500,10,11
75,524.667,508.547,0,520,504,10,10
49,588.531,511.041,0,586,506,6,11
47,1018.447,514.064,0,1016,510,6,9
108,784.630,517.185,0,780,511,11,14
51,627.510,517.098,0,624,513,8,9
102,797.373,518.961,0,793,513,10,14
136,1028.596,524.904,0,1021,518,16,14
46,790.370,523.870,0,787,519,7,10
113,993.920,525.407,0,988,520,13,12
58,1004.724,526.517,0,1001,523,9,9
40,784.825,529.225,0,781,526,8,7
74,793.973,530.459,0,789,526,11,9
148,1017.872,534.912,0,1012,526,12,20
118,1029.169,534.559,0,1022,529,16,14
65,1038.738,534.738,0,1035,530,8,11
119,816.857,536.849,0,812,531,11,13
196,774.791,549.765,0,772,534,7,33
105,786.867,539.105,0,781,534,12,11
61,1011.131,540.475,0,1007,536,9,10
65,1000.692,542.231,0,996,537,10,11
109,1029.954,542.780,0,1023,537,16,12
98,412.071,543.235,0,407,538,11,11
111,754.865,543.577,0,749,538,12,12
103,618.971,544.738,0,613,540,13,11
108,1073.120,545.000,0,1067,540,13,11
43,1008.884,546.279,0,1005,543,10,7
40,1022.975,547.550,0,1020,543,6,10
182,1016.495,559.951,0,1013,544,7,32
46,901.370,548.500,0,897,545,10,7
92,952.196,550.272,0,947,545,11,12
53,624.830,551.491,0,620,548,10,9
26,889.654,549.615,0,886,548,8,4
121,1000.942,553.364,0,994,548,16,13
41,895.195,552.756,0,891,549,9,7
130,832.854,558.654,0,828,552,11,15
50,903.820,554.660,0,900,552,9,7
154,887.331,561.286,0,881,554,14,17
34,732.912,558.735,0,730,555,7,8
116,898.293,560.750,0,891,555,14,13
76,1006.487,559.184,0,1000,555,12,10
55,947.818,558.600,0,943,556,12,6
80,908.188,563.400,0,904,558,9,12
125,599.648,561.320,0,588,559,24,6
145,1003.152,568.593,0,994,562,19,13
128,760.125,567.719,0,749,565,24,6
41,993.659,569.220,0,991,565,6,9
43,604.140,569.674,0,600,567,10,6
50,620.260,573.700,0,616,570,10,8
184,773.761,584.658,0,769,571,11,27
252,996.321,577.266,0,974,574,46,7
100,556.110,582.840,0,551,577,11,12
118,689.525,583.305,0,684,577,12,13
58,899.034,580.983,0,895,577,9,9
94,659.862,582.351,0,654,578,12,10
221,910.683,584.955,0,903,578,18,16
125,965.816,584.448,0,959,579,17,11
152,1015.822,597.289,0,1013,582,6,31
75,1063.080,590.907,0,1058,586,10,12
66,971.758,593.348,0,966,590,12,8
