 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,61,811.484,206.057,37.456,807,201,9,10,0.546,11.180,809,211,63.435,8.854,1.310,0.763,0.797
2,33,887.197,214.318,22.971,883,211,8,6,0.786,8.544,883,214,159.444,6.000,1.443,0.693,0.825
3,41,566.159,227.110,26.142,561,223,9,7,0.754,11.402,561,230,37.875,6.379,2.002,0.500,0.837
4,43,555.221,227.360,24.142,551,224,9,6,0.927,9.849,551,225,156.038,6.000,1.700,0.588,0.905
5,34,636.588,229.735,25.556,634,225,6,10,0.654,11.180,634,225,116.565,4.808,2.664,0.375,0.782
6,106,553.887,241.245,53.799,550,231,10,19,0.460,19.647,550,250,75.256,9.965,2.149,0.465,0.731
7,78,751.885,236.346,47.698,746,231,12,10,0.431,12.649,746,239,18.435,10.000,1.315,0.760,0.792
8,33,902.500,243.439,28.385,899,238,7,10,0.515,11.662,899,248,59.036,5.657,2.317,0.432,0.695
9,98,740.622,245.847,58.770,730,239,20,11,0.357,20.396,730,249,11.310,11.000,2.151,0.465,0.632
10,43,560.709,247.942,28.971,556,243,9,9,0.644,11.402,556,250,37.875,8.043,1.633,0.612,0.729
11,107,636.565,253.229,65.012,630,244,13,17,0.318,20.248,630,244,122.905,10.733,2.022,0.495,0.713
12,44,733.523,253.159,29.213,728,249,10,8,0.648,11.662,728,249,149.036,6.957,1.613,0.620,0.800
13,74,877.568,254.500,42.870,873,249,9,11,0.506,12.083,875,260,65.556,9.000,1.277,0.783,0.841
14,56,532.036,256.750,33.556,529,250,6,14,0.625,14.866,529,250,109.654,5.376,3.147,0.318,0.875
15,51,679.382,253.304,33.213,674,250,12,7,0.581,12.649,674,251,161.565,7.000,2.415,0.414,0.723
16,42,741.452,256.190,27.213,737,251,8,10,0.713,11.662,738,261,59.036,5.488,2.525,0.396,0.816
17,28,560.821,255.500,22.142,557,253,9,5,0.718,9.220,557,254,167.471,5.000,1.932,0.518,0.789
18,124,510.218,261.790,53.355,505,254,11,17,0.547,17.464,509,271,76.759,11.000,1.620,0.617,0.780
19,51,500.716,264.284,31.213,497,259,9,10,0.658,10.817,499,259,123.690,7.814,1.563,0.640,0.773
20,103,523.820,267.500,50.284,517,260,15,14,0.512,16.401,519,260,142.431,12.999,1.442,0.694,0.696
21,41,513.768,272.744,28.971,507,270,12,6,0.614,12.369,507,274,14.036,5.883,2.102,0.476,0.774
22,55,793.827,274.900,37.456,790,270,9,10,0.493,10.817,790,272,146.310,8.875,1.132,0.883,0.759
23,65,503.562,276.992,40.284,497,271,11,12,0.503,13.601,497,275,143.973,9.192,1.623,0.616,0.730
24,72,527.750,276.028,33.556,522,271,11,9,0.804,14.213,522,280,39.289,8.356,1.769,0.565,0.894
25,60,921.050,278.067,43.355,916,273,11,10,0.401,11.314,917,282,45.000,9.192,1.233,0.811,0.727
26,57,748.500,280.447,38.042,744,276,9,9,0.495,10.296,746,285,60.945,9.000,1.143,0.875,0.809
27,85,515.700,282.135,33.213,510,277,11,10,0.968,11.705,510,284,19.983,10.000,1.059,0.944,0.909
28,92,527.707,291.837,50.527,523,285,10,13,0.453,14.318,525,285,114.775,10.000,1.251,0.800,0.818
29,60,849.267,308.617,38.042,845,304,9,9,0.521,10.817,845,306,146.310,9.000,1.148,0.871,0.845
30,39,563.603,309.167,36.042,560,305,8,8,0.377,9.220,560,312,40.601,8.000,1.127,0.888,0.703
31,63,677.802,310.992,39.456,673,306,9,10,0.509,10.817,674,307,123.690,9.000,1.179,0.848,0.824
32,132,747.159,318.682,60.770,740,312,16,13,0.449,17.000,741,324,28.072,13.000,1.033,0.968,0.770
33,51,689.402,317.637,37.698,683,314,12,8,0.451,12.166,683,317,170.538,8.000,1.404,0.712,0.734
34,36,812.361,320.833,30.042,806,317,12,8,0.501,14.422,806,317,146.310,4.459,3.925,0.255,0.758
35,124,517.403,327.129,69.556,502,324,31,6,0.322,31.401,502,325,170.838,5.327,7.515,0.133,0.810
36,26,812.269,326.423,18.142,809,324,7,5,0.993,8.062,809,324,150.255,5.000,1.586,0.631,0.881
37,30,805.067,329.333,22.971,801,326,9,6,0.714,10.296,801,326,150.945,4.472,2.536,0.394,0.833
38,27,764.019,331.500,20.971,761,328,7,7,0.772,9.220,761,328,130.601,4.950,2.154,0.464,0.771
39,77,487.695,338.175,44.870,483,333,10,11,0.481,12.207,484,333,124.992,10.000,1.143,0.875,0.832
40,68,977.618,343.971,38.728,970,340,14,8,0.570,15.232,970,342,156.801,8.000,2.481,0.403,0.791
41,61,791.057,357.107,36.870,786,353,11,9,0.564,11.662,787,353,149.036,8.497,1.246,0.802,0.787
42,66,955.561,361.818,42.042,949,357,13,11,0.469,14.213,949,357,129.289,10.672,1.202,0.832,0.657
43,44,576.023,362.182,31.213,572,358,8,8,0.568,9.434,573,366,57.995,7.906,1.214,0.824,0.807
44,34,970.882,362.088,20.971,967,359,8,6,0.972,8.944,967,360,153.435,5.814,1.683,0.594,0.872
45,66,949.167,367.439,38.627,944,361,10,12,0.556,13.892,947,361,120.256,8.854,1.452,0.689,0.759
46,66,967.894,367.697,41.113,961,361,14,12,0.491,16.401,961,363,142.431,7.865,3.035,0.329,0.677
47,38,576.395,370.632,24.385,572,367,9,6,0.803,9.487,572,370,161.565,6.000,1.605,0.623,0.874
48,66,628.576,377.424,39.799,624,372,9,10,0.524,10.817,625,373,123.690,9.000,1.027,0.974,0.841
49,51,736.657,377.167,35.698,732,373,10,8,0.503,10.198,732,376,168.690,8.000,1.259,0.794,0.791
50,28,575.786,375.821,19.899,572,374,8,4,0.889,8.544,572,377,20.556,4.000,1.930,0.518,0.949
51,52,652.500,382.192,25.556,649,378,7,9,1.000,9.487,650,378,108.435,7.000,1.229,0.814,0.920
52,69,604.514,386.572,45.355,599,381,10,11,0.422,11.705,602,381,109.983,9.803,1.177,0.850,0.789
53,65,534.608,390.115,48.042,529,385,11,14,0.354,16.643,529,385,122.735,9.689,1.932,0.518,0.580
54,50,780.460,400.800,37.899,778,392,4,17,0.437,17.117,780,392,96.710,4.000,5.231,0.191,0.855
55,25,840.060,397.500,19.314,838,394,4,7,0.842,7.616,839,394,113.199,4.000,1.782,0.561,0.926
56,80,690.038,408.925,33.213,685,403,10,11,0.911,13.601,687,403,126.027,9.192,1.507,0.664,0.914
57,25,482.100,408.700,22.385,479,406,7,6,0.627,8.062,479,411,29.745,5.814,1.575,0.635,0.725
58,104,683.913,416.510,61.355,676,411,18,10,0.347,18.868,677,411,147.995,9.675,1.986,0.504,0.756
59,61,867.025,418.041,39.456,863,413,9,10,0.492,11.402,863,422,37.875,8.875,1.397,0.716,0.813
60,50,621.940,424.060,36.284,618,420,9,9,0.477,10.296,619,420,119.055,8.485,1.080,0.926,0.775
61,84,896.000,430.333,42.284,889,424,12,13,0.590,15.811,890,424,124.695,9.600,1.931,0.518,0.753
62,43,767.198,430.593,33.213,763,427,8,8,0.490,9.434,763,433,32.005,7.761,1.235,0.810,0.782
63,87,886.741,433.431,37.698,880,428,13,10,0.769,13.928,880,433,158.962,10.000,1.384,0.723,0.849
64,61,560.582,437.156,26.971,556,433,9,8,1.000,10.296,556,435,150.945,8.000,1.168,0.856,0.938
65,73,859.226,437.705,31.213,854,433,10,10,0.942,11.662,856,433,120.964,9.192,1.217,0.822,0.901
66,101,875.054,440.064,51.698,866,435,15,12,0.475,19.209,866,435,141.340,11.338,1.836,0.545,0.704
67,53,905.745,443.085,35.799,903,436,8,12,0.520,13.000,905,436,112.620,8.000,1.932,0.518,0.702
68,46,897.739,442.804,25.799,894,438,8,9,0.868,11.314,894,447,45.000,6.364,1.858,0.538,0.868
69,40,889.425,442.300,24.142,885,439,8,7,0.862,10.630,885,439,138.814,6.472,1.722,0.581,0.889
70,41,872.695,448.159,22.971,869,445,8,7,0.976,8.944,869,445,153.435,7.000,1.199,0.834,0.891
71,77,892.240,452.071,37.456,887,447,11,10,0.690,14.213,887,457,39.289,9.864,1.360,0.735,0.828
72,50,881.940,452.580,26.385,878,448,8,9,0.903,12.042,878,448,131.634,6.364,1.906,0.525,0.909
73,33,866.470,452.894,21.799,863,449,7,8,0.873,8.246,865,449,104.036,5.824,1.446,0.692,0.815
74,102,874.912,461.657,41.698,869,454,12,15,0.737,17.000,870,469,61.928,8.806,2.181,0.459,0.850
75,28,897.286,461.071,24.142,895,456,4,10,0.604,10.440,896,466,73.301,4.000,2.795,0.358,0.824
76,127,887.870,465.665,53.698,881,458,13,15,0.553,17.692,881,460,137.291,12.528,1.262,0.793,0.784
77,61,1046.303,472.189,40.284,1042,467,9,10,0.472,10.770,1045,467,111.801,9.000,1.177,0.850,0.803
