Area,X,Y,Perim.,BX,BY,Width,Height
63,562.857,76.984,0,558,74,11,8
250,716.888,99.556,0,707,92,21,15
60,1163.750,122.933,0,1160,119,9,9
150,545.900,130.787,0,539,125,14,13
55,862.364,147.309,0,859,143,8,9
26,123.346,155.308,0,121,152,6,7
91,644.703,182.407,0,640,177,10,12
249,392.538,224.538,0,383,217,19,17
121,869.471,236.380,0,867,226,6,23
183,879.104,233.831,0,873,226,14,18
164,925.183,233.512,0,919,226,13,18
166,354.970,238.367,0,347,231,16,15
147,814.061,247.653,0,809,237,12,21
135,380.970,244.519,0,375,239,14,13
245,554.478,249.551,0,546,240,19,19
155,924.206,250.406,0,917,243,14,16
155,347.658,257.013,0,341,251,14,13
174,883.339,255.356,0,872,251,25,10
110,851.236,259.900,0,846,255,12,11
58,860.431,261.397,0,856,258,10,8
191,895.277,269.974,0,887,259,16,21
150,642.667,267.167,0,636,261,14,13
41,800.146,266.415,0,796,263,9,7
99,912.152,269.101,0,907,264,11,12
194,338.711,273.088,0,331,266,15,17
242,804.690,286.434,0,798,275,14,23
108,819.722,283.685,0,815,276,10,16
73,444.384,286.438,0,441,281,8,12
160,791.706,294.569,0,788,284,9,23
265,561.883,301.928,0,554,293,18,21
208,320.264,304.837,0,313,296,16,18
73,310.658,302.315,0,307,297,8,12
270,838.141,312.693,0,829,303,22,19
102,340.863,312.549,0,336,307,11,12
185,628.227,315.011,0,621,308,17,16
119,523.756,318.975,0,519,313,11,13
185,806.146,321.476,0,795,315,21,17
17,507.000,318.353,0,505,316,5,5
152,438.664,324.895,0,431,320,18,11
198,842.384,376.338,0,834,369,17,15
91,874.121,382.000,0,870,376,10,12
63,865.937,382.079,0,863,377,7,11
111,865.441,397.423,0,863,388,6,20
322,955.152,402.575,0,944,393,21,22
205,494.351,426.059,0,488,417,13,19
46,365.500,441.696,0,363,438,6,9
300,529.710,447.867,0,520,438,20,20
53,644.358,471.868,0,641,468,8,8
135,990.541,483.711,0,987,473,8,23
45,640.867,484.000,0,638,480,7,9
283,354.286,489.067,0,344,481,24,18
147,975.993,496.388,0,969,490,15,14
195,688.903,505.395,0,681,498,17,15
106,550.632,505.821,0,544,501,14,12
131,429.298,512.397,0,423,504,14,16
92,652.272,516.750,0,647,512,12,10
99,558.616,518.788,0,552,513,14,11
80,801.800,524.288,0,800,515,6,19
200,545.005,528.570,0,538,519,17,18
122,562.336,528.107,0,556,523,13,12
211,595.967,531.578,0,589,524,15,17
99,839.091,530.869,0,834,526,11,11
79,976.177,535.734,0,972,531,10,11
193,767.202,540.176,0,759,534,18,15
30,392.500,542.000,0,390,539,6,7
129,800.054,556.341,0,795,549,12,15
379,696.995,571.649,0,688,557,18,33
87,809.034,563.828,0,804,559,11,11
118,543.729,564.864,0,538,560,12,11
196,589.143,570.893,0,583,563,14,17
82,372.951,574.951,0,369,570,9,11
341,763.229,578.850,0,751,570,27,18
73,905.274,583.890,0,901,580,10,9
84,480.952,595.155,0,477,590,9,11
80,837.413,598.888,0,833,594,10,11
144,780.375,604.174,0,774,597,14,14
23,760.130,605.217,0,757,604,7,4
216,889.708,614.639,0,882,605,17,21
204,880.819,630.975,0,874,621,15,20
170,482.853,632.553,0,475,626,17,16
117,897.068,638.214,0,891,632,14,13
117,487.120,640.829,0,480,634,13,13
92,889.924,645.109,0,885,640,12,11
75,866.640,649.293,0,864,642,7,15
104,462.394,653.067,0,457,648,12,11
221,516.009,656.742,0,506,650,22,17
50,11.400,659.400,0,8,656,8,8
51,27.471,659.431,0,24,656,8,8
51,43.471,659.431,0,40,656,8,8
380,533.724,665.982,0,522,656,26,21
25,99.440,667.600,0,97,665,6,6
95,541.811,674.695,0,532,669,18,10
117,454.188,681.744,0,452,670,6,24
460,778.902,684.052,0,765,670,26,38
117,463.897,679.940,0,459,674,11,13
184,433.739,691.620,0,425,686,17,13
36,227.056,691.194,0,224,688,7,7
148,706.257,693.149,0,699,688,16,12
29,171.448,691.310,0,169,689,6,6
165,483.000,726.236,0,476,720,16,14
186,435.661,743.516,0,429,736,15,16
122,735.451,760.795,0,730,755,13,12
40,563.500,923.500,0,560,920,8,8
