 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,68,645.279,183.059,30.627,641,178,9,10,0.911,10.770,643,188,68.199,9.000,1.096,0.913,0.901,cell
2,55,878.318,233.300,28.627,874,229,9,9,0.843,9.487,876,229,108.435,8.485,1.108,0.903,0.859,cell
3,68,354.926,239.294,29.799,350,235,10,9,0.962,10.817,350,237,146.310,9.000,1.202,0.832,0.907,cell
4,51,379.853,245.186,24.971,376,241,8,8,1.000,9.434,376,248,32.005,8.000,1.109,0.902,0.911,cell
5,176,554.830,250.619,51.941,547,242,17,16,0.820,21.260,547,243,138.814,12.000,1.838,0.544,0.917,cell
6,69,923.326,249.297,31.456,918,244,10,10,0.876,12.042,919,253,41.634,8.485,1.379,0.725,0.879,cell
7,82,347.585,257.366,32.385,342,253,11,9,0.983,12.530,342,260,28.610,9.000,1.320,0.758,0.943,cell
8,58,851.483,259.828,27.556,847,256,9,8,0.960,10.000,848,256,126.870,8.000,1.102,0.907,0.913,cell
9,56,896.911,267.607,31.556,894,261,6,13,0.707,13.342,894,274,77.005,6.000,2.137,0.468,0.875,cell
10,25,644.100,266.540,17.314,641,264,6,5,1.000,6.708,641,268,26.565,5.000,1.147,0.872,0.909,cell
11,82,805.390,286.976,35.556,802,280,8,13,0.815,13.928,803,280,111.038,8.000,1.838,0.544,0.921,cell
12,108,470.130,290.583,50.770,462,284,14,13,0.527,16.643,462,286,147.265,12.854,1.111,0.900,0.745,cell
13,64,561.594,301.625,36.627,556,297,10,10,0.599,12.207,558,307,55.008,10.000,1.061,0.943,0.757,cell
14,35,319.586,305.071,24.971,317,300,6,9,0.705,10.296,317,300,119.055,5.814,2.064,0.485,0.833,cell
15,40,340.925,313.450,26.971,337,309,7,8,0.691,8.944,339,317,63.435,7.000,1.176,0.851,0.842,cell
16,52,627.788,317.846,25.556,624,314,8,8,1.000,10.000,624,321,36.870,7.778,1.286,0.778,0.929,cell
17,44,523.568,320.545,23.314,520,317,7,7,1.000,8.602,521,317,125.538,7.000,1.043,0.959,0.946,cell
18,26,1004.269,398.962,19.899,1000,397,8,4,0.825,8.544,1000,400,20.556,4.000,1.974,0.507,0.912,cell
19,39,959.167,407.115,31.213,956,402,6,10,0.503,10.440,957,402,106.699,6.000,1.880,0.532,0.765,cell
20,132,495.356,426.523,42.627,490,419,11,15,0.913,15.811,491,433,55.305,11.000,1.444,0.692,0.930,cell
21,45,991.367,485.700,30.971,989,479,5,13,0.590,13.601,989,492,72.897,5.000,3.031,0.330,0.841,cell
22,52,357.750,487.577,26.385,354,483,8,9,0.939,9.220,357,483,102.529,8.000,1.099,0.910,0.881,cell
23,66,977.455,496.273,29.799,972,492,11,8,0.934,11.180,972,495,169.695,8.000,1.254,0.798,0.892,cell
24,67,687.604,504.037,31.213,683,499,10,10,0.864,10.817,684,508,56.310,9.099,1.133,0.883,0.865,cell
25,43,653.849,516.895,23.799,650,513,8,8,0.954,8.944,652,513,116.565,7.071,1.230,0.813,0.869,cell
26,43,839.919,532.477,22.971,836,529,8,7,1.000,8.544,836,534,20.556,7.000,1.085,0.921,0.905,cell
27,39,766.269,540.090,26.627,763,536,7,9,0.691,9.487,765,536,108.435,6.905,1.562,0.640,0.765,cell
28,46,800.652,557.696,24.971,797,554,8,8,0.927,10.000,797,554,126.870,7.071,1.384,0.723,0.893,cell
29,25,590.060,571.700,20.728,587,569,6,6,0.731,7.211,588,569,123.690,6.000,1.150,0.869,0.794,cell
30,57,373.237,575.482,26.971,369,571,8,9,0.985,10.296,371,571,119.055,8.000,1.282,0.780,0.919,cell
31,87,767.443,578.086,52.770,760,572,17,11,0.393,18.028,760,583,19.440,10.720,2.225,0.449,0.649,cell
32,38,481.342,595.289,21.556,478,592,7,7,1.000,8.062,478,593,150.255,7.000,1.078,0.927,0.905,cell
33,30,779.033,605.733,22.385,776,602,7,7,0.752,8.062,776,603,150.255,6.364,1.366,0.732,0.779,cell
34,68,462.735,653.353,30.627,458,648,10,10,0.911,11.662,459,658,59.036,8.485,1.379,0.725,0.889,cell
35,62,454.581,681.758,48.142,453,671,4,22,0.336,22.091,454,693,84.806,4.000,7.105,0.141,0.821,cell
36,38,464.184,678.974,25.799,461,675,7,8,0.717,8.246,463,683,75.964,7.000,1.019,0.982,0.835,cell
37,31,707.274,693.177,20.142,704,690,7,6,0.960,8.062,704,696,29.745,6.000,1.361,0.735,0.873,cell
38,49,482.398,727.602,25.556,478,724,9,7,0.943,9.899,479,724,135.000,7.000,1.284,0.779,0.907,cell
39,692,701.556,581.682,171.723,690,559,24,52,0.295,52.469,696,559,97.667,23.498,2.394,0.418,0.787,cluster
40,276,362.344,594.547,132.167,347,584,30,21,0.199,30.806,347,591,166.866,17.441,1.815,0.551,0.703,cluster
41,240,866.104,676.671,127.740,857,654,13,52,0.185,52.773,860,654,99.819,12.336,6.761,0.148,0.554,cluster
42,433,531.391,665.271,112.468,512,655,36,22,0.430,38.275,512,658,160.145,19.147,2.248,0.445,0.773,cluster
43,559,780.502,686.303,112.125,767,672,29,30,0.559,34.132,772,701,58.173,24.749,1.386,0.722,0.854,cluster
44,1345,614.463,740.554,255.706,591,710,49,60,0.258,61.000,615,770,79.611,41.228,1.749,0.572,0.722,cluster
