 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,144,654.340,74.472,67.799,651,59,6,30,0.394,30.150,653,59,95.711,6.000,5.630,0.178,0.886
2,124,445.452,139.403,63.213,442,125,7,28,0.390,28.284,444,125,98.130,6.102,5.517,0.181,0.808
3,26,862.231,146.846,17.899,860,144,5,6,1.000,7.211,860,150,56.310,5.000,1.242,0.805,0.945
4,109,473.683,156.427,56.971,462,152,24,7,0.422,25.000,462,152,163.740,7.000,4.550,0.220,0.784
5,32,448.406,156.156,22.485,445,153,7,6,0.795,9.220,445,159,40.601,5.425,1.601,0.625,0.865
6,49,457.969,156.357,29.556,453,153,10,7,0.705,12.207,453,153,145.008,6.668,1.835,0.545,0.845
7,116,500.431,157.328,60.142,487,154,26,7,0.403,26.683,487,155,167.005,6.102,5.266,0.190,0.808
8,68,645.279,183.059,30.627,641,178,9,10,0.911,10.770,643,188,68.199,9.000,1.096,0.913,0.901
9,55,878.318,233.300,28.627,874,229,9,9,0.843,9.487,876,229,108.435,8.485,1.108,0.903,0.859
10,63,354.944,239.183,37.456,350,235,10,9,0.564,10.817,350,237,146.310,9.000,1.236,0.809,0.840
11,51,379.853,245.186,24.971,376,241,8,8,1.000,9.434,376,248,32.005,8.000,1.109,0.902,0.911
12,138,449.913,258.833,65.213,444,244,9,28,0.408,28.284,449,244,98.130,9.000,4.118,0.243,0.750
13,69,923.326,249.297,31.456,918,244,10,10,0.876,12.042,919,253,41.634,8.485,1.379,0.725,0.879
14,107,883.117,255.799,54.284,873,252,22,8,0.456,22.804,873,253,164.745,7.463,3.438,0.291,0.767
15,69,347.384,257.210,44.870,342,253,11,9,0.431,12.530,342,260,28.610,9.000,1.379,0.725,0.798
16,52,851.308,259.750,36.627,847,256,9,8,0.487,10.000,848,256,126.870,8.000,1.058,0.945,0.819
17,56,896.911,267.607,31.556,894,261,6,13,0.707,13.342,894,274,77.005,6.000,2.137,0.468,0.875
18,25,644.100,266.540,17.314,641,264,6,5,1.000,6.708,641,268,26.565,5.000,1.147,0.872,0.909
19,57,878.728,275.202,31.314,873,272,12,6,0.730,12.649,873,273,161.565,5.940,2.332,0.429,0.891
20,82,805.390,286.976,35.556,802,280,8,13,0.815,13.928,803,280,111.038,8.000,1.838,0.544,0.921
21,34,472.588,287.647,22.971,469,284,7,7,0.810,9.220,470,284,130.601,6.364,1.476,0.678,0.840
22,50,469.960,293.360,28.385,466,289,10,8,0.780,11.662,466,289,149.036,7.374,1.617,0.618,0.847
23,43,560.756,302.593,33.799,556,298,10,9,0.473,10.817,558,298,123.690,8.902,1.545,0.647,0.623
24,35,319.586,305.071,24.971,317,300,6,9,0.705,10.296,317,300,119.055,5.814,2.064,0.485,0.833
25,38,340.895,313.474,29.799,337,309,7,8,0.538,8.944,339,317,63.435,7.000,1.172,0.853,0.800
26,52,627.788,317.846,25.556,624,314,8,8,1.000,10.000,624,321,36.870,7.778,1.286,0.778,0.929
27,41,523.573,320.402,27.556,520,317,7,7,0.679,8.602,521,317,125.538,7.000,1.050,0.952,0.882
28,100,867.140,329.220,58.971,865,317,5,25,0.361,25.495,865,342,78.690,5.000,5.928,0.169,0.858
29,143,866.059,356.682,67.698,861,343,9,28,0.392,28.284,865,371,81.870,9.000,3.690,0.271,0.743
30,37,454.041,362.500,32.728,452,355,4,14,0.434,14.318,453,355,102.095,4.000,4.182,0.239,0.779
31,54,866.389,380.167,35.314,864,372,5,15,0.544,15.297,865,372,101.310,5.000,3.764,0.266,0.837
32,68,865.912,397.456,42.142,864,388,4,19,0.481,19.105,865,388,96.009,4.000,4.719,0.212,0.932
33,26,1004.269,398.962,19.899,1000,397,8,4,0.825,8.544,1000,400,20.556,4.000,1.974,0.507,0.912
34,39,959.167,407.115,31.213,956,402,6,10,0.503,10.440,957,402,106.699,6.000,1.880,0.532,0.765
35,29,455.190,411.155,28.728,453,404,4,12,0.442,12.369,454,404,104.036,4.000,3.771,0.265,0.734
36,132,495.356,426.523,42.627,490,419,11,15,0.913,15.811,491,433,55.305,11.000,1.444,0.692,0.930
37,37,456.149,479.662,34.142,454,473,4,15,0.399,15.133,455,473,97.595,4.000,4.494,0.223,0.747
38,45,991.367,485.700,30.971,989,479,5,13,0.590,13.601,989,492,72.897,5.000,3.031,0.330,0.841
39,48,357.562,487.583,31.213,354,483,8,9,0.619,9.220,357,483,102.529,8.000,1.174,0.852,0.821
40,66,977.455,496.273,29.799,972,492,11,8,0.934,11.180,972,495,169.695,8.000,1.254,0.798,0.892
41,67,687.604,504.037,31.213,683,499,10,10,0.864,10.817,684,508,56.310,9.099,1.133,0.883,0.865
42,52,551.827,510.615,33.213,547,506,9,12,0.592,13.892,547,506,120.256,6.656,2.217,0.451,0.759
43,43,653.849,516.895,23.799,650,513,8,8,0.954,8.944,652,513,116.565,7.071,1.230,0.813,0.869
