 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,765.793,210.232,30.385,762,206,8,8,0.558,9.434,763,206,122.005,7.603,1.299,0.770,0.759
2,63,891.770,226.484,43.314,890,217,4,20,0.422,20.100,891,217,95.711,4.000,5.346,0.187,0.881
3,36,690.861,225.917,34.284,687,222,8,8,0.385,8.544,689,222,110.556,7.778,1.096,0.912,0.713
4,78,564.526,231.231,31.799,559,227,11,9,0.969,11.705,559,233,19.983,9.000,1.177,0.849,0.923
5,60,917.717,250.900,41.799,913,247,10,8,0.432,11.402,913,254,37.875,8.000,1.226,0.815,0.816
6,52,536.538,257.000,32.385,533,252,7,11,0.623,11.402,536,252,105.255,7.000,1.559,0.642,0.825
7,62,710.387,281.274,41.698,705,276,10,11,0.448,11.705,708,276,109.983,10.000,1.122,0.891,0.705
8,80,960.612,283.988,47.698,956,278,10,12,0.442,12.649,958,278,108.435,10.000,1.265,0.791,0.800
9,35,597.014,300.243,34.042,594,296,7,8,0.380,8.944,595,296,116.565,7.000,1.263,0.792,0.707
10,54,908.407,301.944,37.213,904,298,9,8,0.490,10.296,904,305,29.055,8.000,1.215,0.823,0.837
11,26,886.346,307.615,23.314,884,303,4,9,0.601,9.487,885,303,108.435,4.000,2.931,0.341,0.812
12,57,696.184,328.167,37.698,691,324,10,9,0.504,10.817,692,332,33.690,8.854,1.214,0.824,0.786
13,47,819.032,355.309,36.870,814,351,9,9,0.434,10.296,817,351,119.055,8.538,1.234,0.810,0.701
14,36,748.667,360.639,26.385,744,358,10,5,0.650,10.440,744,360,163.301,5.000,2.016,0.496,0.828
15,120,830.800,366.758,63.497,824,358,17,16,0.374,18.868,825,358,147.995,14.884,1.138,0.879,0.665
16,34,822.853,365.735,23.899,821,361,4,10,0.748,10.198,821,361,101.310,4.000,2.356,0.424,0.932
17,47,926.840,373.968,33.456,922,370,9,8,0.528,9.487,922,373,161.565,8.000,1.136,0.880,0.803
18,48,722.271,385.042,33.456,718,381,9,8,0.539,9.849,718,383,156.038,7.778,1.236,0.809,0.821
19,60,930.400,386.200,44.042,922,381,15,10,0.389,17.493,922,382,149.036,8.937,2.381,0.420,0.597
20,39,802.551,397.603,29.213,799,394,8,7,0.574,8.944,799,395,153.435,7.000,1.277,0.783,0.788
21,74,414.108,405.176,48.527,410,399,9,13,0.395,13.601,412,399,107.103,9.000,1.362,0.734,0.787
22,34,879.588,416.382,34.142,878,410,4,15,0.367,15.033,879,410,93.814,4.000,4.059,0.246,0.747
23,33,878.773,433.773,33.314,877,426,4,15,0.374,15.133,878,441,82.405,4.000,4.704,0.213,0.725
24,56,435.554,446.339,47.698,432,437,7,19,0.309,19.925,432,437,107.526,5.771,4.385,0.228,0.586
25,57,777.553,446.658,43.698,774,441,8,11,0.375,11.705,776,441,109.983,8.000,1.504,0.665,0.745
26,61,1002.713,467.434,43.941,998,462,12,10,0.397,13.038,999,464,147.529,10.000,1.162,0.861,0.682
27,26,549.308,469.692,20.971,546,466,7,7,0.743,8.602,546,467,144.462,4.973,1.978,0.506,0.754
28,33,560.076,477.500,24.142,556,474,8,6,0.711,10.000,556,474,143.130,6.000,1.685,0.594,0.825
29,97,541.067,482.634,63.355,534,477,14,15,0.304,16.643,535,478,122.735,12.606,1.198,0.835,0.671
30,42,531.143,483.929,26.971,528,479,7,9,0.726,10.296,530,479,119.055,6.731,1.656,0.604,0.816
31,25,561.260,483.660,21.556,557,481,9,5,0.676,9.849,557,481,156.038,4.533,2.447,0.409,0.781
32,51,784.775,508.402,34.627,781,504,8,9,0.534,10.817,782,513,56.310,7.778,1.499,0.667,0.836
33,70,945.686,522.114,30.385,941,517,9,10,0.953,11.180,943,527,63.435,9.000,1.208,0.828,0.909
34,54,743.704,526.685,36.042,739,523,10,7,0.522,10.770,739,524,158.199,7.000,1.436,0.697,0.837
35,53,442.425,527.915,34.042,438,524,9,8,0.575,10.000,440,524,126.870,8.000,1.109,0.902,0.835
36,39,655.090,528.064,28.627,651,524,8,8,0.598,9.220,652,525,130.601,7.778,1.120,0.893,0.765
37,28,838.536,526.821,28.385,835,524,7,6,0.437,8.602,835,530,35.538,6.000,1.326,0.754,0.718
38,47,616.500,539.287,38.042,613,533,7,13,0.408,13.416,614,533,116.565,7.000,2.470,0.405,0.599
39,43,412.012,555.477,30.385,408,552,8,7,0.585,8.944,408,554,153.435,7.000,1.046,0.956,0.843
40,44,514.614,581.727,33.213,511,578,8,8,0.501,9.434,512,578,122.005,8.000,1.083,0.924,0.786
41,105,1005.376,614.881,65.113,997,610,17,9,0.311,18.028,997,612,160.560,9.000,2.046,0.489,0.792
42,56,348.304,615.625,38.627,340,612,16,8,0.472,17.464,340,619,23.629,4.919,4.031,0.248,0.812
43,26,342.538,623.385,23.556,339,620,8,6,0.589,8.944,339,620,153.435,5.692,1.785,0.560,0.693
44,72,1110.417,629.958,49.314,1108,620,5,21,0.372,21.378,1108,620,100.784,5.000,5.964,0.168,0.750
45,57,496.184,638.202,37.213,492,634,9,9,0.517,10.000,493,642,53.130,9.000,1.061,0.943,0.832
46,31,869.339,639.081,23.899,867,634,4,10,0.682,10.440,868,634,106.699,4.000,2.862,0.349,0.873
47,124,1121.097,646.339,66.971,1107,642,30,7,0.347,30.414,1107,644,170.538,6.253,6.640,0.151,0.803
48,36,635.306,651.333,27.799,632,647,7,8,0.585,9.220,632,654,40.601,6.668,1.459,0.686,0.766
49,33,1114.379,670.348,24.142,1111,666,7,8,0.711,9.220,1111,668,139.399,6.871,1.397,0.716,0.776
50,79,1109.196,685.791,54.385,1107,675,5,23,0.336,23.537,1107,698,77.735,5.000,5.977,0.167,0.798
51,53,947.896,703.481,40.284,944,699,8,10,0.410,10.817,945,708,56.310,8.000,1.297,0.771,0.768
52,44,1041.432,703.341,36.284,1037,699,8,9,0.420,9.849,1039,708,66.038,8.000,1.151,0.869,0.727
53,44,752.523,704.386,37.456,749,700,7,9,0.394,10.817,750,709,56.310,7.000,1.391,0.719,0.772
54,48,810.583,720.521,33.213,805,716,9,10,0.547,11.662,806,716,120.964,8.310,1.649,0.606,0.686
55,43,447.942,721.058,33.213,444,717,7,9,0.490,9.849,446,717,113.962,7.000,1.321,0.757,0.775
