Area,X,Y,Perim.,BX,BY,Width,Height
153,674.072,168.810,0,667,162,16,14
226,683.513,175.712,0,677,162,14,28
48,806.917,176.792,0,804,172,6,10
33,811.333,176.636,0,810,172,4,10
82,722.756,178.610,0,718,174,11,10
52,786.058,198.865,0,783,194,7,11
35,790.343,198.200,0,788,194,5,10
106,955.774,210.726,0,950,204,14,15
94,677.426,210.553,0,672,205,11,12
93,940.043,211.817,0,935,207,11,11
170,963.006,217.065,0,954,209,17,16
93,561.075,214.763,0,556,210,11,11
116,813.388,214.491,0,807,210,14,10
110,660.218,221.955,0,655,216,12,13
28,894.000,220.750,0,891,219,8,5
79,947.367,224.506,0,943,219,9,11
83,955.904,224.530,0,952,219,11,11
289,896.017,232.349,0,887,221,18,23
47,475.511,226.574,0,471,223,9,8
51,509.706,229.882,0,504,227,11,8
54,506.574,233.593,0,502,229,11,9
43,522.884,234.349,0,518,231,9,9
62,879.323,234.823,0,875,231,10,8
23,471.783,234.391,0,470,232,5,6
58,519.638,237.983,0,516,233,9,10
115,779.757,239.200,0,774,234,13,11
73,870.685,241.603,0,867,237,9,11
99,843.768,243.848,0,839,238,11,12
96,476.219,244.042,0,468,239,16,12
209,469.211,252.493,0,462,241,16,22
71,461.282,249.606,0,458,243,7,14
96,572.073,249.177,0,568,244,10,12
89,829.101,251.258,0,824,247,12,10
146,874.973,255.199,0,869,248,14,16
92,961.902,253.761,0,957,249,11,10
33,479.152,253.303,0,477,250,6,8
70,760.300,255.686,0,757,251,8,11
43,838.860,256.674,0,835,254,9,6
74,869.662,262.405,0,865,256,12,12
96,705.615,262.115,0,701,257,11,11
89,564.809,271.629,0,560,266,10,12
96,952.875,271.771,0,948,267,11,11
91,791.978,272.451,0,787,268,11,10
168,679.232,275.536,0,672,269,16,14
104,965.567,275.846,0,960,271,12,11
100,989.520,276.060,0,984,271,12,11
116,478.138,279.690,0,472,274,13,12
48,518.792,280.792,0,514,277,9,8
109,685.972,286.339,0,681,280,11,13
94,941.862,286.234,0,937,281,11,11
36,997.278,283.750,0,993,282,9,5
91,471.538,287.813,0,466,283,12,11
22,1000.364,288.318,0,998,286,6,5
93,639.538,300.946,0,635,296,10,11
96,750.677,301.188,0,746,296,10,12
93,784.656,302.559,0,779,298,12,10
86,893.116,305.058,0,889,298,10,15
92,536.717,309.337,0,532,305,11,10
128,567.383,314.500,0,561,309,16,12
62,556.710,315.032,0,553,311,8,9
93,700.774,315.677,0,696,311,11,11
67,571.582,322.343,0,568,318,8,11
97,684.784,322.629,0,679,318,12,10
57,550.947,322.140,0,546,319,12,7
77,564.234,324.065,0,559,319,12,10
57,790.421,324.667,0,787,320,8,10
166,553.614,329.699,0,546,322,15,16
66,586.348,325.773,0,582,322,9,10
90,869.056,325.878,0,864,322,11,9
96,758.448,329.021,0,754,323,10,13
75,883.347,331.747,0,880,324,7,16
87,505.552,330.161,0,501,325,10,11
104,692.423,332.933,0,687,328,12,11
73,564.164,331.959,0,559,329,12,7
134,885.433,344.813,0,880,335,12,21
93,1008.667,341.183,0,1004,336,11,11
37,420.405,341.108,0,416,339,9,6
132,1061.902,348.697,0,1058,339,9,20
71,419.239,346.000,0,413,341,12,11
39,411.179,346.872,0,409,343,5,9
34,431.147,347.059,0,428,344,7,7
135,1043.763,350.637,0,1038,345,12,13
27,411.778,354.519,0,409,352,6,6
102,422.127,355.343,0,415,352,16,8
87,814.264,358.483,0,810,353,11,11
94,856.819,358.021,0,852,353,11,11
84,847.167,359.000,0,843,354,10,11
83,612.566,359.518,0,608,355,10,11
97,913.959,361.464,0,909,356,11,12
61,1018.164,360.623,0,1015,356,8,10
104,1058.010,363.212,0,1053,357,11,14
28,411.929,360.893,0,410,358,5,7
60,618.933,363.400,0,615,358,8,11
38,1035.553,361.447,0,1032,359,9,6
47,422.745,363.915,0,420,360,7,10
100,504.600,364.450,0,499,360,12,10
183,632.541,367.148,0,626,360,16,16
119,1024.840,368.950,0,1019,362,12,16
80,1042.025,367.038,0,1038,362,9,12
106,895.255,367.858,0,890,363,12,11
93,556.677,369.613,0,552,365,11,11
88,817.057,370.273,0,812,366,11,10
87,426.897,372.655,0,423,367,9,12
47,917.298,370.362,0,912,368,11,6
83,913.253,376.578,0,909,371,10,11
114,1034.947,376.746,0,1028,372,14,11
98,465.337,378.612,0,461,373,10,12
86,665.895,378.884,0,660,374,12,10
118,573.907,382.619,0,569,376,12,14
82,563.476,382.110,0,559,377,10,12
68,424.279,384.529,0,422,378,6,14
106,1011.075,385.755,0,1006,380,11,12
293,901.543,393.416,0,886,384,31,23
154,413.357,413.740,0,412,388,5,50
119,1024.882,393.605,0,1019,388,13,12
71,601.310,402.803,0,596,398,12,10
136,628.603,405.581,0,621,399,16,14
141,1045.716,408.426,0,1038,403,17,12
101,939.485,412.446,0,935,407,10,12
107,433.804,413.832,0,428,409,12,11
45,871.600,416.400,0,868,413,8,8
108,882.287,419.685,0,877,413,12,13
