 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,51,809.088,177.147,31.799,805,173,8,8,0.634,10.000,806,173,126.870,8.000,1.128,0.887,0.836,cell
2,32,721.656,179.750,23.556,719,175,6,9,0.725,10.296,720,175,119.055,5.367,2.235,0.447,0.810,cell
3,52,788.365,198.731,40.042,784,194,9,9,0.408,10.296,784,196,150.945,8.629,1.162,0.861,0.759,cell
4,50,677.800,210.720,30.971,674,207,8,8,0.655,10.000,674,208,143.130,8.000,1.082,0.924,0.855,cell
5,73,940.568,212.514,30.385,936,208,10,9,0.994,11.402,936,209,142.125,9.000,1.148,0.871,0.924,cell
6,66,561.530,215.273,28.971,557,211,9,9,0.988,10.817,558,211,123.690,8.944,1.194,0.838,0.930,cell
7,66,813.379,214.864,34.627,808,211,11,8,0.692,11.662,808,213,149.036,8.000,1.280,0.781,0.863,cell
8,59,895.212,215.246,49.355,890,211,13,12,0.304,15.620,892,223,50.194,9.899,1.516,0.660,0.554,cell
9,66,660.682,222.348,39.113,656,217,10,11,0.542,11.662,656,219,149.036,9.192,1.076,0.929,0.795,cell
10,64,508.453,232.094,33.698,503,227,11,10,0.708,11.180,503,231,169.695,9.192,1.105,0.905,0.815,cell
11,72,521.694,236.847,31.213,517,232,10,10,0.929,10.770,520,232,111.801,9.899,1.050,0.952,0.883,cell
12,62,779.484,239.516,42.284,775,235,10,9,0.436,11.402,777,235,127.875,9.000,1.073,0.932,0.785,cell
13,79,844.108,244.259,31.799,839,239,10,10,0.982,12.207,839,248,34.992,9.192,1.308,0.765,0.935,cell
14,30,570.867,249.967,24.142,569,245,4,10,0.647,10.198,570,245,101.310,4.000,2.610,0.383,0.811,cell
15,64,829.422,251.719,29.213,824,248,11,8,0.942,11.180,824,250,169.695,8.000,1.310,0.763,0.889,cell
16,52,961.442,253.885,32.627,957,250,9,8,0.614,10.296,957,252,150.945,8.000,1.099,0.910,0.812,cell
17,44,838.932,255.205,31.213,835,251,8,8,0.568,9.220,836,252,130.601,8.000,1.172,0.853,0.786,cell
18,33,760.803,255.894,27.799,758,252,7,8,0.537,8.602,758,259,35.538,7.000,1.077,0.929,0.725,cell
19,55,705.755,262.391,26.971,702,258,8,9,0.950,10.000,702,259,126.870,8.000,1.158,0.864,0.880,cell
20,73,953.158,272.322,30.627,948,267,10,10,0.978,10.817,950,268,123.690,9.707,1.116,0.896,0.896,cell
21,56,565.196,272.143,27.556,561,268,8,9,0.927,10.296,562,268,119.055,8.000,1.231,0.812,0.903,cell
22,67,792.649,272.903,29.213,788,268,10,9,0.987,11.180,788,276,26.565,9.000,1.214,0.824,0.905,cell
23,35,680.071,276.129,31.213,675,271,8,10,0.451,10.770,679,271,111.801,7.761,1.586,0.631,0.654,cell
24,55,965.336,276.682,39.113,961,272,10,9,0.452,10.770,961,279,21.801,8.485,1.095,0.913,0.780,cell
25,70,989.871,276.629,30.385,985,272,10,9,0.953,10.817,987,281,56.310,9.000,1.081,0.925,0.915,cell
26,67,685.933,284.410,51.113,682,273,8,19,0.322,19.105,684,273,96.009,8.000,2.451,0.408,0.644,cell
27,37,518.527,281.014,25.213,515,277,7,8,0.731,8.602,515,283,35.538,7.000,1.262,0.793,0.804,cell
28,62,942.242,286.758,27.799,938,282,9,9,1.000,10.296,938,290,29.055,8.485,1.154,0.866,0.925,cell
29,69,471.978,288.196,29.799,467,284,10,9,0.976,11.662,467,291,30.964,8.485,1.330,0.752,0.926,cell
