 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,36,649.278,156.222,27.899,647,150,4,12,0.581,12.369,648,150,104.036,4.000,3.354,0.298,0.867
2,138,684.964,171.681,69.355,679,157,11,29,0.361,30.083,679,186,74.578,8.587,4.285,0.233,0.678
3,25,649.580,167.420,21.314,648,163,4,9,0.692,9.487,648,163,108.435,4.000,2.595,0.385,0.833
4,65,650.069,181.700,46.385,648,172,4,20,0.380,20.396,648,172,101.310,4.000,5.022,0.199,0.861
5,113,660.881,180.403,50.284,655,172,15,16,0.562,21.932,655,172,133.152,9.430,2.700,0.370,0.819
6,51,809.088,177.147,31.799,805,173,8,8,0.634,10.000,806,173,126.870,8.000,1.128,0.887,0.836
7,32,721.656,179.750,23.556,719,175,6,9,0.725,10.296,720,175,119.055,5.367,2.235,0.447,0.810
8,40,650.525,199.950,34.971,648,193,5,14,0.411,14.318,649,193,102.095,4.577,4.175,0.239,0.696
9,30,786.500,199.133,20.728,784,195,5,8,0.877,8.944,785,195,116.565,5.000,1.934,0.517,0.882
10,50,677.800,210.720,30.971,674,207,8,8,0.655,10.000,674,208,143.130,8.000,1.082,0.924,0.855
11,73,940.568,212.514,30.385,936,208,10,9,0.994,11.402,936,209,142.125,9.000,1.148,0.871,0.924
12,66,561.530,215.273,28.971,557,211,9,9,0.988,10.817,558,211,123.690,8.944,1.194,0.838,0.930
13,66,813.379,214.864,34.627,808,211,11,8,0.692,11.662,808,213,149.036,8.000,1.280,0.781,0.863
14,39,892.987,216.526,31.456,890,211,6,12,0.495,12.166,892,211,99.462,5.754,2.459,0.407,0.678
15,83,971.620,219.970,35.213,966,215,13,9,0.841,14.318,966,224,24.775,9.000,1.520,0.658,0.888
16,26,663.000,221.154,22.385,659,217,7,8,0.652,10.000,660,217,126.870,4.438,2.750,0.364,0.754
17,34,659.029,223.588,23.799,656,219,7,9,0.754,10.817,656,219,123.690,4.950,2.433,0.411,0.850
18,106,950.189,225.311,51.698,943,220,17,10,0.498,17.720,943,223,163.610,9.758,1.729,0.578,0.800
19,71,897.415,226.232,39.113,891,221,13,11,0.583,14.765,891,230,28.301,7.985,2.318,0.431,0.736
