Area,X,Y,Perim.,BX,BY,Width,Height
149,737.403,115.980,0,731,109,14,14
64,19.844,131.938,0,16,128,9,9
103,475.214,160.466,0,469,156,14,11
301,714.365,179.870,0,704,171,21,18
63,639.333,184.127,0,635,181,10,7
130,428.908,194.031,0,423,188,13,13
170,658.759,199.165,0,653,191,13,16
107,634.271,197.355,0,627,193,15,10
193,755.326,201.725,0,749,193,14,18
201,844.950,200.657,0,837,194,17,15
100,777.170,210.460,0,772,205,11,12
135,597.467,211.496,0,591,206,14,13
159,641.780,219.358,0,636,212,13,15
305,489.370,225.728,0,482,215,20,22
81,826.877,218.778,0,822,215,11,9
133,545.060,229.632,0,538,224,15,13
70,758.886,230.829,0,755,226,8,11
82,624.573,232.683,0,618,228,13,10
164,732.695,246.305,0,727,239,12,16
147,635.027,245.531,0,627,240,16,13
190,669.916,253.600,0,663,244,16,19
52,540.019,248.635,0,536,245,9,8
109,791.495,254.899,0,786,248,12,16
104,644.058,265.269,0,638,259,12,15
269,379.643,274.480,0,371,263,17,22
83,523.723,269.506,0,519,264,11,11
189,353.894,273.598,0,346,266,17,17
151,410.152,274.550,0,404,267,13,15
56,516.232,277.929,0,513,274,7,9
76,782.500,278.105,0,778,274,10,9
67,564.090,278.910,0,560,275,9,9
477,945.275,304.646,0,934,292,23,31
264,841.693,309.833,0,835,299,15,24
183,358.508,312.907,0,351,306,16,15
82,698.329,332.000,0,692,326,12,13
131,531.000,332.580,0,524,327,15,13
387,444.284,341.933,0,432,332,26,21
54,373.389,339.537,0,370,336,8,8
199,596.392,343.347,0,589,336,15,16
108,584.759,345.093,0,580,338,11,14
30,171.367,355.233,0,169,352,6,7
323,732.108,373.746,0,725,362,18,26
184,466.973,374.620,0,458,364,16,21
264,368.045,375.936,0,360,367,18,20
140,503.971,375.336,0,498,369,13,14
183,765.087,388.033,0,759,380,14,16
236,922.547,388.436,0,915,380,17,19
230,726.835,395.335,0,717,386,23,17
124,342.605,393.250,0,336,388,14,12
148,684.858,394.628,0,679,388,13,14
245,801.086,398.755,0,793,390,17,18
83,864.843,394.590,0,860,390,11,10
51,1260.824,403.549,0,1258,399,7,10
179,906.173,411.799,0,899,405,15,15
196,573.031,415.143,0,566,407,16,16
224,854.411,418.705,0,846,411,18,17
96,904.240,422.312,0,898,418,15,10
323,620.622,430.808,0,611,421,22,20
298,471.020,431.671,0,461,423,23,17
171,959.865,433.942,0,950,427,20,13
58,895.897,431.586,0,892,428,9,8
174,689.523,435.374,0,682,429,18,14
188,862.239,440.495,0,855,433,15,16
228,639.184,442.798,0,631,435,17,17
132,693.780,456.326,0,687,451,14,12
129,404.070,458.643,0,397,452,13,13
33,155.303,459.242,0,153,456,6,7
184,306.908,467.098,0,300,460,17,15
204,500.064,468.745,0,494,460,13,19
228,426.412,475.645,0,419,465,15,21
47,155.319,475.574,0,152,472,8,8
143,446.329,479.699,0,441,472,12,16
196,987.929,481.587,0,976,472,23,16
28,1091.214,475.500,0,1089,473,6,6
117,328.504,482.487,0,323,477,12,13
22,932.591,483.500,0,930,482,6,4
126,371.111,490.603,0,364,486,16,11
140,463.736,493.514,0,456,487,15,13
74,302.716,491.635,0,298,488,10,9
210,944.776,497.395,0,938,489,15,18
45,456.956,500.311,0,454,496,8,9
246,327.382,507.350,0,319,500,18,18
205,494.015,513.454,0,487,506,15,16
35,441.429,510.343,0,438,507,7,8
211,850.076,523.540,0,842,514,18,18
163,442.442,528.693,0,435,522,15,14
250,514.192,534.328,0,507,526,16,18
38,935.105,533.789,0,932,531,7,7
243,827.947,544.165,0,819,537,19,16
215,311.042,548.977,0,303,542,16,16
223,527.717,554.103,0,520,546,16,17
133,665.722,552.226,0,660,546,12,14
16,1083.062,547.750,0,1081,546,5,5
683,389.684,562.874,0,373,547,36,36
279,651.717,575.197,0,642,564,18,21
75,1259.627,571.533,0,1255,567,10,10
297,611.444,583.391,0,604,570,17,27
127,874.346,577.370,0,868,572,14,12
260,843.504,582.719,0,834,575,19,17
104,375.260,587.587,0,370,582,11,12
134,406.567,588.910,0,400,583,14,12
99,545.394,592.657,0,538,588,14,11
175,424.674,599.171,0,419,591,13,18
226,455.717,599.894,0,446,593,19,15
215,542.307,603.516,0,535,594,16,18
115,891.496,599.826,0,885,595,14,11
191,901.503,610.110,0,894,602,15,18
230,598.461,611.983,0,591,604,16,18
301,776.033,614.698,0,765,605,21,20
163,877.693,612.350,0,871,606,14,14
162,759.932,620.025,0,754,613,14,15
309,567.489,623.709,0,559,614,20,22
132,898.417,620.598,0,892,615,16,12
51,888.196,620.039,0,885,616,7,9
258,709.186,627.360,0,701,619,17,18
164,350.390,633.317,0,343,627,16,14
171,796.333,634.825,0,791,627,12,16
71,820.366,631.028,0,815,627,11,9
123,637.593,636.935,0,631,631,14,12
82,914.720,638.488,0,910,634,11,10
320,636.706,651.456,0,626,638,20,27
154,493.584,652.052,0,486,646,15,14
121,774.645,665.174,0,768,659,13,14
255,474.788,670.886,0,465,663,20,16
126,533.762,669.611,0,528,663,12,14
15,1035.333,683.600,0,1034,681,4,6
186,789.414,718.452,0,782,711,16,15
24,1011.333,731.583,0,1009,729,6,6
183,832.989,743.131,0,826,735,14,19
136,543.868,756.441,0,538,750,12,14
268,504.108,766.090,0,496,755,18,25
146,755.459,769.260,0,750,762,12,15
271,788.550,771.148,0,778,763,23,17
61,510.410,772.689,0,507,767,8,12
182,701.874,783.275,0,694,777,17,14
16,651.250,875.062,0,649,873,5,5
