 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,88,633.898,106.716,45.355,626,101,16,11,0.538,17.088,626,104,159.444,9.944,1.985,0.504,0.727,cell
2,34,691.088,107.794,22.142,687,105,9,5,0.871,9.487,687,106,161.565,5.000,1.793,0.558,0.895,cell
3,45,737.856,115.011,23.799,734,111,8,8,0.998,9.434,735,111,122.005,7.071,1.316,0.760,0.882,cell
4,40,734.975,155.875,23.556,731,152,8,7,0.906,10.000,731,153,143.130,6.261,1.686,0.593,0.870,cell
5,37,474.878,160.419,24.385,471,157,8,8,0.782,10.000,473,165,53.130,6.247,1.805,0.554,0.796,cell
6,35,715.471,180.614,21.899,712,177,6,7,0.917,8.602,713,184,54.462,6.000,1.332,0.751,0.921,cell
7,32,640.250,184.500,21.314,636,182,8,5,0.885,8.944,636,183,153.435,5.000,1.794,0.558,0.889,cell
8,57,737.974,191.026,27.799,734,186,8,10,0.927,10.198,737,186,101.310,8.000,1.212,0.825,0.884,cell
9,34,427.912,193.353,22.385,424,190,8,7,0.853,9.220,425,197,40.601,5.657,1.825,0.548,0.829,cell
10,54,659.574,199.130,28.385,656,194,7,11,0.842,11.705,658,205,70.017,7.000,1.576,0.635,0.871,cell
11,40,753.725,201.050,22.971,750,197,7,8,0.953,8.944,752,197,116.565,6.656,1.403,0.713,0.879,cell
12,54,843.426,203.889,26.385,839,200,9,8,0.975,9.849,839,206,23.962,8.000,1.222,0.818,0.900,cell
13,34,826.412,219.500,20.971,823,216,7,7,0.972,8.602,824,216,125.538,5.657,1.573,0.636,0.883,cell
14,33,644.924,221.076,19.899,642,218,6,6,1.000,7.810,642,224,39.806,6.000,1.071,0.934,0.957,cell
15,39,544.090,229.038,22.142,540,226,8,6,1.000,8.602,541,226,144.462,6.000,1.311,0.763,0.918,cell
16,37,623.500,233.419,22.142,619,230,8,6,0.948,8.944,619,235,26.565,6.000,1.342,0.745,0.902,cell
17,41,730.939,247.549,22.971,728,243,6,9,0.976,9.220,730,243,102.529,6.000,1.433,0.698,0.901,cell
18,25,635.180,247.820,17.556,632,245,6,6,1.000,7.211,633,245,123.690,4.950,1.475,0.678,0.877,cell
19,31,799.081,253.210,20.142,796,250,6,7,0.960,7.616,797,250,113.199,6.000,1.283,0.779,0.873,cell
20,27,523.907,270.241,20.142,521,267,6,6,0.836,7.211,522,267,123.690,6.000,1.251,0.800,0.857,cell
21,40,354.650,273.225,22.385,351,269,7,8,1.000,8.544,353,269,110.556,7.000,1.142,0.876,0.860,cell
22,35,412.529,273.329,22.971,409,269,7,8,0.834,8.944,411,269,116.565,6.641,1.325,0.755,0.805,cell
