Area,X,Y,Perim.,BX,BY,Width,Height
69,575.275,113.739,0,571,109,10,10
91,543.560,121.692,0,539,117,10,11
81,768.457,121.198,0,763,117,12,9
110,495.218,133.182,0,488,129,16,10
106,468.679,137.717,0,457,131,24,16
44,708.750,136.477,0,706,132,7,9
82,486.390,139.085,0,481,135,12,9
120,477.367,143.933,0,471,138,15,12
70,496.557,144.743,0,493,140,9,10
102,436.725,148.569,0,431,143,14,13
48,489.896,146.542,0,486,143,8,9
82,616.768,148.171,0,612,144,11,9
241,508.307,152.763,0,499,145,20,17
77,455.662,153.481,0,451,149,10,10
59,509.542,162.492,0,503,160,13,7
30,506.033,166.400,0,503,164,7,6
170,839.082,172.641,0,831,164,16,20
167,472.222,183.737,0,464,176,17,16
143,465.811,189.804,0,460,178,14,21
81,484.667,183.827,0,481,178,9,12
244,454.848,192.398,0,445,184,19,19
84,708.548,189.310,0,704,184,10,12
78,745.846,192.526,0,741,188,10,10
81,572.259,194.852,0,568,190,9,11
61,477.066,194.279,0,473,191,9,9
75,483.827,196.440,0,479,191,10,12
95,629.105,196.874,0,624,192,12,11
79,527.873,199.797,0,524,195,9,11
79,536.025,214.835,0,531,211,11,9
72,467.986,218.972,0,463,215,10,9
56,690.304,220.179,0,687,216,8,9
184,630.897,233.505,0,624,226,15,16
71,696.535,232.324,0,692,228,10,10
141,421.241,240.759,0,416,234,12,15
219,471.566,241.790,0,458,236,27,14
156,461.109,253.878,0,455,244,15,20
71,520.521,258.324,0,517,254,9,10
54,810.222,258.019,0,806,255,9,7
128,642.992,266.117,0,637,260,13,13
84,889.679,268.738,0,885,264,11,10
87,880.471,273.885,0,876,269,10,11
56,782.500,278.000,0,778,275,10,7
149,673.336,282.953,0,667,276,14,14
78,891.308,281.756,0,887,276,10,12
100,347.610,284.060,0,343,279,11,11
151,436.887,287.623,0,430,280,15,16
84,466.357,285.321,0,461,281,11,10
62,787.274,286.290,0,783,282,9,9
126,459.103,294.587,0,455,286,10,18
187,950.925,293.989,0,943,287,17,14
164,468.854,297.030,0,462,290,15,15
43,449.930,294.535,0,447,291,7,8
200,377.370,306.730,0,370,299,15,16
72,451.361,308.278,0,447,304,10,9
71,346.563,311.352,0,343,307,9,10
229,929.843,341.367,0,926,314,8,59
70,903.671,329.914,0,899,326,11,8
102,631.549,331.029,0,625,327,13,10
105,854.514,332.571,0,849,327,12,12
85,340.918,333.024,0,337,328,9,11
104,387.048,335.721,0,383,329,9,15
93,552.516,336.290,0,548,331,10,12
108,902.194,338.907,0,897,333,11,12
70,742.914,339.400,0,739,335,9,10
74,474.716,340.095,0,470,336,10,9
60,559.233,341.667,0,555,338,9,8
75,813.853,345.653,0,810,341,9,10
199,399.573,351.352,0,391,344,18,16
82,805.024,350.683,0,801,345,9,12
54,469.704,349.574,0,466,346,8,8
63,390.365,356.079,0,386,352,10,9
78,597.679,357.064,0,593,353,11,9
64,564.250,357.922,0,560,354,9,9
85,904.906,359.929,0,900,356,11,9
50,815.640,360.080,0,812,357,9,8
82,919.402,363.585,0,915,358,10,12
56,817.232,365.982,0,813,362,9,8
85,868.765,368.471,0,865,363,9,12
63,791.349,368.079,0,787,364,9,9
78,326.692,369.833,0,322,366,10,9
122,348.262,371.549,0,341,367,15,12
64,852.703,375.984,0,849,372,9,9
85,323.341,379.165,0,319,373,10,13
63,342.175,377.651,0,338,373,10,10
96,332.229,378.417,0,327,374,11,11
66,353.621,377.576,0,348,374,12,8
41,615.829,384.683,0,613,381,7,8
97,890.485,393.330,0,886,388,10,12
84,995.798,392.905,0,991,388,11,10
82,515.610,402.207,0,512,397,9,11
61,446.164,405.443,0,442,401,9,10
98,797.684,409.755,0,793,405,11,11
47,470.681,414.298,0,467,411,8,8
76,818.750,416.882,0,815,412,9,11
83,480.614,418.373,0,476,414,10,10
66,761.227,424.500,0,757,420,9,10
72,502.708,434.556,0,498,431,10,9
68,505.647,442.309,0,501,438,10,9
41,876.878,443.439,0,873,441,8,6
70,475.586,446.614,0,472,442,8,10
106,498.679,449.028,0,495,442,9,17
78,820.026,449.936,0,816,445,9,11
265,501.023,466.543,0,494,453,14,26
36,493.861,457.250,0,491,454,7,8
79,465.911,459.278,0,461,455,11,9
83,533.711,474.133,0,530,468,9,12
201,789.244,481.015,0,763,479,48,6
89,929.966,492.191,0,928,483,5,19
85,820.365,498.459,0,816,493,9,12
92,979.891,505.033,0,975,500,10,11
52,784.250,511.962,0,781,508,8,9
43,312.512,513.488,0,309,509,7,9
71,946.746,514.592,0,942,511,10,9
42,511.952,516.095,0,509,513,7,7
64,450.188,518.438,0,446,515,10,8
38,735.684,519.974,0,733,517,7,7
94,428.170,525.096,0,423,520,11,11
73,842.493,528.329,0,838,524,10,10
116,875.353,532.345,0,871,526,10,14
84,443.940,531.155,0,439,527,11,9
93,619.226,531.763,0,614,527,11,10
81,470.099,533.210,0,465,529,11,9
96,434.865,538.396,0,430,530,10,15
63,460.333,538.952,0,456,535,9,9
69,760.391,540.377,0,756,535,9,11
68,689.662,546.838,0,686,542,9,10
61,739.557,547.131,0,736,543,8,10
205,893.732,551.361,0,887,543,15,18
106,437.642,550.151,0,432,544,12,12
65,793.662,553.354,0,790,549,9,10
58,538.121,556.810,0,534,553,9,9
325,436.043,564.031,0,426,555,23,21
68,587.176,559.853,0,584,555,8,11
67,662.000,560.000,0,658,556,9,9
46,896.957,561.348,0,892,559,10,6
92,771.174,564.739,0,766,560,11,11
54,448.870,565.463,0,444,562,10,7
82,462.085,567.280,0,458,562,9,12
80,476.075,572.450,0,472,567,9,12
73,694.630,573.945,0,690,570,10,9
44,595.773,575.932,0,593,572,7,9
116,903.086,582.767,0,898,576,11,14
59,707.356,580.305,0,701,578,14,6
80,395.913,582.862,0,391,579,11,9
92,767.033,585.522,0,762,580,11,12
78,453.051,586.038,0,449,581,9,11
137,713.248,591.044,0,706,585,14,15
290,682.317,600.469,0,673,589,19,25
30,717.867,604.100,0,716,600,5,9
75,806.947,605.707,0,803,601,9,11
121,779.612,609.157,0,774,603,12,13
104,679.125,614.567,0,674,609,12,12
62,702.565,613.339,0,697,610,12,7
179,898.955,616.961,0,891,610,17,15
125,833.848,621.360,0,828,615,12,13
92,750.130,626.837,0,745,622,11,11
154,888.377,644.084,0,881,638,16,13
81,517.988,646.284,0,513,642,11,9
46,702.739,646.848,0,699,642,8,10
65,570.923,647.200,0,567,643,9,9
78,752.859,648.205,0,747,643,12,12
48,710.229,647.708,0,707,644,7,9
96,808.677,653.062,0,803,648,12,13
92,538.728,653.750,0,534,649,10,11
83,865.831,654.518,0,862,649,9,12
204,526.824,657.426,0,520,650,17,17
49,705.959,654.571,0,703,651,8,9
86,564.977,657.709,0,560,653,11,11
44,709.864,658.432,0,706,654,8,9
90,701.722,669.211,0,698,662,9,15
92,531.185,668.283,0,526,663,11,14
104,869.981,673.904,0,863,669,14,10
