 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,43,611.314,117.570,24.971,608,113,7,9,0.867,9.487,609,122,71.565,7.000,1.229,0.814,0.843
2,40,711.900,120.475,23.556,709,116,6,9,0.906,9.434,710,116,122.005,6.000,1.498,0.668,0.889
3,40,543.800,122.200,25.213,540,118,8,8,0.791,8.944,540,124,26.565,7.071,1.228,0.814,0.816
4,53,768.991,121.802,26.627,764,118,10,8,0.939,10.198,764,121,168.690,8.000,1.279,0.782,0.876
5,87,495.695,134.397,45.113,489,130,15,9,0.537,16.553,489,138,25.017,9.000,1.942,0.515,0.780
6,33,708.773,137.318,22.142,706,133,6,8,0.846,8.602,707,133,125.538,6.000,1.318,0.759,0.825
7,87,487.213,142.511,51.355,482,136,11,14,0.415,17.205,483,136,125.538,10.419,1.600,0.625,0.744
8,36,495.917,144.111,24.385,493,140,7,8,0.761,8.944,494,148,63.435,7.000,1.141,0.877,0.791
9,48,477.208,145.125,35.456,472,141,10,8,0.480,10.770,472,143,158.199,7.519,1.433,0.698,0.733
10,41,617.354,149.134,28.385,613,146,9,6,0.639,9.487,613,147,161.565,6.000,1.565,0.639,0.854
11,134,837.881,174.776,59.255,830,168,16,15,0.480,17.889,830,170,153.435,14.311,1.159,0.863,0.722
12,125,470.972,184.324,47.698,463,177,16,13,0.690,18.028,464,180,146.310,12.021,1.533,0.652,0.836
13,41,484.963,184.939,24.142,482,181,6,8,0.884,9.434,483,189,57.995,6.000,1.289,0.776,0.911
14,49,708.929,189.520,25.799,705,185,8,9,0.925,9.849,707,194,66.038,7.603,1.329,0.752,0.867
15,47,451.585,190.394,30.042,447,186,9,8,0.654,9.487,447,192,18.435,8.000,1.136,0.880,0.817
16,50,746.800,193.160,25.213,742,189,9,8,0.988,9.487,742,194,18.435,8.000,1.137,0.880,0.877
17,58,572.793,195.103,27.213,569,190,8,10,0.984,10.440,571,190,106.699,8.000,1.245,0.803,0.892
18,135,475.433,195.241,65.355,464,191,23,10,0.397,23.087,464,194,162.350,9.839,2.470,0.405,0.736
19,31,630.339,197.661,26.971,626,195,8,6,0.536,8.944,626,200,26.565,6.000,1.414,0.707,0.713
20,39,528.346,200.115,22.971,525,196,7,8,0.929,8.602,526,204,54.462,7.000,1.195,0.837,0.867
21,46,537.022,215.370,24.142,533,212,8,7,0.992,9.434,533,218,32.005,7.000,1.248,0.801,0.920
22,34,690.765,220.500,20.142,688,217,6,7,1.000,7.616,689,217,113.199,6.000,1.156,0.865,0.919
23,48,697.000,232.729,24.971,693,229,8,8,0.967,9.220,693,235,40.601,7.778,1.145,0.873,0.897
24,60,422.517,239.383,27.799,418,235,9,9,0.976,10.296,420,235,119.055,8.485,1.188,0.842,0.902
25,79,382.943,254.095,42.527,378,248,11,13,0.549,15.000,379,261,53.130,8.918,1.822,0.549,0.763
26,42,520.833,258.857,23.314,518,255,6,8,0.971,9.434,518,263,57.995,6.000,1.339,0.747,0.944
27,35,810.757,258.900,29.213,807,255,7,7,0.515,9.220,808,255,130.601,7.000,1.180,0.848,0.805
28,49,889.847,269.071,33.213,886,265,8,8,0.558,9.434,886,267,147.995,8.000,1.139,0.878,0.845
29,30,717.600,270.433,19.556,714,267,7,6,0.986,7.280,714,270,164.055,6.000,1.152,0.868,0.882
30,47,881.074,273.989,24.971,877,270,8,8,0.947,10.000,878,270,126.870,7.071,1.346,0.743,0.895
31,32,955.438,274.469,24.971,953,270,6,8,0.645,8.944,953,278,63.435,6.000,1.469,0.681,0.800
32,49,891.459,281.867,24.971,888,277,7,9,0.988,9.849,889,286,66.038,7.000,1.295,0.772,0.916
33,63,348.040,284.071,28.385,344,279,8,10,0.983,11.180,346,279,116.565,8.000,1.313,0.762,0.926
34,50,674.800,284.660,37.456,668,279,11,9,0.448,11.402,668,285,164.745,9.000,1.269,0.788,0.704
35,60,466.617,286.133,36.284,462,281,9,10,0.573,10.770,465,281,111.801,9.000,1.228,0.814,0.816
36,48,788.000,286.708,24.142,784,283,8,7,1.000,8.944,784,285,153.435,7.000,1.137,0.879,0.941
37,129,463.671,295.492,50.184,456,289,17,13,0.644,17.720,456,293,163.610,11.590,1.615,0.619,0.791
38,49,950.173,294.929,36.284,943,291,14,8,0.468,14.866,943,296,19.654,6.227,2.969,0.337,0.685
39,67,378.067,304.530,29.213,373,300,10,9,0.987,10.817,374,301,146.310,8.944,1.204,0.830,0.899
40,31,451.984,308.597,20.485,449,306,6,6,0.928,7.810,449,306,140.194,6.000,1.127,0.887,0.925
41,39,963.013,310.628,23.799,959,307,8,7,0.865,8.602,959,312,35.538,7.000,1.119,0.893,0.857
42,35,346.671,311.614,24.142,344,308,6,8,0.755,9.434,345,316,57.995,5.942,1.727,0.579,0.843
43,33,486.470,324.288,26.971,482,319,9,8,0.570,9.434,483,327,57.995,7.761,1.445,0.692,0.688
44,142,784.817,329.380,49.456,778,322,13,16,0.730,18.601,780,323,126.254,13.000,1.310,0.764,0.835
45,137,795.690,331.967,48.042,791,323,10,18,0.746,18.439,791,323,102.529,10.000,1.574,0.635,0.901
46,82,632.256,331.573,32.627,626,327,12,9,0.968,13.000,626,329,157.380,9.000,1.407,0.711,0.916
47,135,808.396,333.485,49.456,802,327,16,14,0.694,17.464,802,338,23.629,14.000,1.127,0.887,0.799
48,60,854.833,333.017,30.870,850,328,10,10,0.791,12.806,851,328,128.660,7.071,1.795,0.557,0.851
49,129,387.081,338.547,52.870,383,329,9,20,0.580,20.881,384,349,73.301,9.000,2.670,0.374,0.849
50,48,553.188,336.667,26.971,550,332,7,9,0.829,9.487,552,332,108.435,7.000,1.303,0.767,0.889
51,54,903.759,338.630,27.556,900,333,7,10,0.894,11.180,901,343,63.435,7.000,1.476,0.678,0.908
52,36,743.278,339.389,20.971,740,336,7,7,1.000,8.062,741,336,119.745,6.708,1.211,0.826,0.878
53,49,475.071,340.561,24.728,471,337,8,7,1.000,10.000,471,338,143.130,7.000,1.267,0.789,0.951
54,72,787.528,341.778,35.213,782,337,12,9,0.730,15.000,782,337,143.130,8.489,1.826,0.548,0.857
55,150,803.847,345.693,59.012,795,338,16,18,0.541,18.974,800,338,108.435,14.828,1.346,0.743,0.752
56,37,559.419,342.041,21.314,556,339,7,6,1.000,8.062,556,340,150.255,6.000,1.139,0.878,0.937
57,43,814.709,346.384,24.142,812,342,6,9,0.927,9.434,812,342,122.005,6.000,1.346,0.743,0.905
58,36,470.083,349.972,21.314,467,346,6,7,0.996,8.485,467,353,45.000,6.000,1.097,0.911,0.935
59,44,390.568,356.659,23.899,387,353,7,7,0.968,9.220,388,353,130.601,7.000,1.063,0.941,0.946
60,48,598.125,357.479,24.728,594,354,8,7,0.986,9.434,594,360,32.005,7.000,1.184,0.845,0.932
61,35,564.643,358.271,21.556,561,355,7,7,0.947,7.810,561,360,39.806,7.000,1.084,0.923,0.864
62,44,905.250,360.341,24.971,901,357,8,7,0.887,8.944,901,359,153.435,7.000,1.101,0.909,0.889
63,47,919.691,364.138,25.556,916,359,7,9,0.904,9.849,917,368,66.038,7.000,1.333,0.750,0.913
64,43,791.733,368.291,24.385,788,364,8,8,0.909,9.434,790,364,122.005,7.071,1.345,0.744,0.869
65,41,868.963,368.915,22.728,866,365,6,8,0.997,8.944,867,373,63.435,6.000,1.363,0.734,0.932
66,36,327.000,370.861,29.799,323,368,8,6,0.509,9.220,323,368,139.399,6.000,1.414,0.707,0.809
67,35,853.071,376.414,20.728,850,373,6,7,1.000,8.602,851,380,54.462,6.000,1.345,0.744,0.933
68,28,928.857,376.500,29.213,924,373,8,8,0.412,9.220,924,375,139.399,7.600,1.108,0.903,0.602
69,53,324.047,379.085,26.728,321,374,6,10,0.932,11.180,322,374,116.565,6.000,1.673,0.598,0.955
70,81,333.093,378.883,32.385,328,374,10,10,0.971,12.207,328,382,34.992,9.899,1.213,0.825,0.931
71,32,616.000,385.500,20.142,613,382,6,7,0.991,8.062,614,382,119.745,5.814,1.422,0.703,0.889
72,35,890.929,392.614,22.142,888,389,6,7,0.897,8.602,889,389,125.538,6.000,1.271,0.787,0.909
73,54,996.204,393.000,26.142,992,389,8,8,0.993,9.434,992,391,147.995,8.000,1.068,0.936,0.931
74,48,930.229,405.542,44.142,928,395,4,20,0.310,20.100,929,415,84.289,4.000,6.616,0.151,0.738
75,35,515.814,402.100,27.799,513,398,6,8,0.569,8.544,515,398,110.556,6.000,1.337,0.748,0.824
76,39,446.603,406.141,22.385,443,402,7,8,0.978,8.246,446,402,104.036,7.000,1.108,0.902,0.876
77,43,819.314,417.500,24.971,816,413,7,9,0.867,9.849,817,413,113.962,6.791,1.577,0.634,0.851
78,40,480.550,418.575,23.556,477,415,7,7,0.906,9.220,477,416,139.399,7.000,1.143,0.875,0.889
79,30,702.167,418.500,28.971,698,416,8,5,0.449,8.544,698,417,159.444,5.000,1.524,0.656,0.800
80,42,761.714,424.143,26.385,758,420,7,9,0.758,9.849,760,429,66.038,6.957,1.498,0.667,0.848
81,51,297.500,431.500,26.142,294,427,7,9,0.938,10.296,295,436,60.945,7.000,1.380,0.724,0.911
82,60,504.233,439.300,45.113,500,432,8,14,0.370,14.765,500,433,118.301,6.868,2.535,0.394,0.686
83,31,877.403,443.790,20.142,874,441,7,6,0.960,7.616,874,445,23.199,6.000,1.068,0.936,0.873
84,30,475.633,446.900,24.385,473,443,6,8,0.634,8.246,474,443,104.036,6.000,1.341,0.745,0.769
85,51,499.539,448.402,37.456,495,443,8,10,0.457,10.817,496,444,123.690,7.906,1.375,0.727,0.791
86,35,820.643,450.186,30.870,817,446,7,8,0.462,8.944,818,454,63.435,7.000,1.128,0.886,0.761
