Area,X,Y,Perim.,BX,BY,Width,Height
50,700.920,68.360,0,696,65,11,7
33,720.909,74.576,0,718,72,7,6
130,587.908,81.508,0,582,75,13,14
68,732.397,78.456,0,727,75,12,8
149,770.074,79.617,0,755,75,29,11
158,792.247,86.278,0,783,80,18,14
96,772.844,89.812,0,767,86,13,9
89,748.393,95.629,0,744,91,10,11
67,766.030,96.881,0,762,92,9,11
46,756.913,97.717,0,753,95,9,7
59,769.322,105.017,0,765,101,9,9
190,736.437,121.147,0,730,112,15,21
61,756.639,117.082,0,752,113,11,9
187,530.519,119.610,0,523,114,17,14
113,480.345,123.230,0,476,117,10,14
82,579.585,128.134,0,575,124,10,10
120,745.200,133.917,0,735,129,18,11
119,800.101,134.941,0,794,130,14,11
91,712.527,146.703,0,707,142,12,10
88,849.932,148.136,0,845,144,11,10
133,796.827,152.624,0,791,145,12,15
44,781.205,166.114,0,778,163,8,7
370,657.527,179.081,0,648,165,21,27
107,836.402,172.486,0,831,166,12,13
165,670.006,173.570,0,663,167,15,14
85,778.647,181.859,0,774,176,10,12
115,612.748,192.713,0,607,187,13,12
89,626.843,195.090,0,621,191,12,9
82,741.366,199.841,0,737,195,10,11
83,538.386,204.518,0,534,200,10,10
42,579.238,211.333,0,575,209,9,6
123,575.951,218.561,0,569,213,15,12
74,542.284,220.568,0,539,216,8,11
103,458.893,222.864,0,454,217,11,13
91,557.418,221.670,0,552,217,12,11
153,549.092,226.895,0,540,218,20,15
173,893.879,227.202,0,887,220,15,14
127,576.299,228.496,0,568,223,16,11
184,948.207,247.239,0,940,240,16,18
92,739.370,263.304,0,734,258,11,12
86,788.547,264.070,0,784,259,10,11
139,643.072,265.978,0,637,260,13,13
103,521.932,266.330,0,514,262,16,10
92,722.728,274.457,0,718,269,10,12
117,927.179,294.744,0,922,289,11,14
101,597.703,300.713,0,593,295,10,13
145,321.331,306.159,0,315,300,14,13
96,529.573,309.458,0,525,304,10,12
245,848.143,320.820,0,840,310,17,21
200,809.890,324.400,0,801,315,19,21
127,514.276,326.228,0,508,320,13,13
132,355.303,328.515,0,349,323,14,12
69,656.145,328.420,0,652,324,9,10
101,769.911,329.891,0,765,324,11,13
76,484.645,332.605,0,480,328,10,10
105,854.562,340.229,0,850,334,10,13
53,616.585,347.509,0,613,344,8,8
94,605.649,349.468,0,600,345,13,10
84,643.560,351.917,0,639,347,10,11
214,321.112,362.766,0,313,352,21,21
165,714.836,361.988,0,709,354,13,17
86,456.233,359.907,0,452,355,10,11
62,415.935,360.694,0,412,356,9,10
194,424.418,384.598,0,421,364,7,38
115,471.330,370.409,0,466,364,12,14
65,757.785,371.108,0,754,367,9,10
134,489.940,373.485,0,484,368,13,13
66,764.652,372.439,0,760,368,10,10
74,564.095,382.608,0,560,378,9,10
134,834.388,392.769,0,828,386,14,14
81,840.136,400.605,0,836,395,9,11
89,328.663,401.371,0,323,397,12,10
125,563.352,404.936,0,558,399,12,13
154,424.617,416.883,0,421,402,7,34
133,628.496,416.759,0,622,411,14,12
77,832.416,414.636,0,825,411,15,9
92,572.272,416.783,0,567,412,11,11
288,494.483,425.184,0,486,413,17,24
63,830.286,419.254,0,825,414,13,10
88,548.886,421.489,0,545,416,9,12
203,602.700,423.271,0,594,416,18,16
94,891.947,424.617,0,887,420,11,10
66,326.197,428.258,0,323,423,8,11
38,484.816,435.158,0,481,433,9,6
70,839.614,436.457,0,834,433,12,8
59,829.949,440.915,0,825,438,11,7
298,836.721,448.473,0,824,439,25,20
175,424.851,458.709,0,422,442,7,35
67,629.716,450.015,0,625,446,10,9
110,991.827,449.355,0,982,447,21,6
43,732.558,450.791,0,729,448,8,7
145,825.041,458.910,0,820,449,13,18
59,834.559,459.220,0,830,455,10,10
98,441.888,461.398,0,437,456,10,13
89,431.764,462.910,0,428,458,10,12
57,741.088,461.842,0,737,458,9,8
376,854.649,473.593,0,842,464,27,22
69,472.812,473.304,0,469,469,9,10
78,430.705,479.141,0,426,474,10,11
99,990.202,485.515,0,986,475,8,20
280,357.818,493.957,0,348,483,19,24
32,347.156,487.812,0,344,485,8,7
73,623.233,492.630,0,619,488,9,10
81,644.395,496.148,0,640,492,10,10
78,438.551,503.231,0,434,499,10,10
64,369.844,505.109,0,365,501,10,9
54,355.130,507.593,0,351,503,9,9
207,387.053,509.763,0,378,503,19,15
71,326.944,509.014,0,323,505,10,9
34,837.059,509.647,0,834,507,7,7
43,880.512,511.605,0,876,509,10,7
156,305.699,516.372,0,298,510,17,13
79,617.139,518.987,0,613,514,10,11
58,877.983,517.534,0,874,514,9,8
145,871.669,527.110,0,866,520,13,15
35,908.200,524.057,0,905,521,7,7
103,304.146,526.466,0,298,522,14,10
60,882.100,525.017,0,877,522,12,7
27,886.370,532.296,0,884,529,6,7
101,359.762,535.436,0,355,530,11,12
63,931.762,535.397,0,928,530,8,12
55,925.291,534.364,0,921,531,9,8
43,304.884,534.651,0,301,532,9,6
80,875.475,538.375,0,870,534,12,10
29,917.931,537.586,0,915,535,7,6
70,940.743,541.557,0,937,537,9,10
51,924.804,540.765,0,920,538,11,6
51,824.431,543.353,0,821,539,8,9
115,910.313,553.878,0,905,549,12,11
95,864.421,559.537,0,859,554,11,11
135,823.244,568.096,0,817,562,14,13
