 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,33,701.015,68.470,22.971,697,65,9,6,0.786,9.849,697,66,156.038,5.367,2.154,0.464,0.795,cell
2,49,730.888,78.888,32.627,725,75,12,7,0.578,12.369,725,82,14.036,7.000,1.630,0.613,0.731,cell
3,56,589.518,80.161,26.385,585,76,9,8,1.000,9.849,585,78,156.038,8.000,1.184,0.845,0.903,cell
4,37,772.095,91.635,29.213,768,87,10,8,0.545,10.440,768,88,163.301,7.140,1.785,0.560,0.649,cell
5,76,532.526,119.579,31.799,527,115,11,9,0.944,11.705,527,122,19.983,9.000,1.219,0.820,0.910,cell
6,62,480.935,122.629,28.971,477,118,8,10,0.928,10.817,478,127,56.310,8.000,1.270,0.787,0.905,cell
7,49,580.194,128.561,24.728,576,125,8,7,1.000,9.220,577,132,40.601,7.000,1.121,0.892,0.942,cell
8,59,800.161,135.263,28.627,796,130,9,10,0.905,10.817,798,130,123.690,7.778,1.390,0.719,0.881,cell
9,36,711.750,147.611,27.799,708,144,8,7,0.585,8.944,708,146,153.435,7.000,1.144,0.874,0.742,cell
10,42,850.143,148.690,33.213,846,145,9,7,0.478,9.849,846,147,156.038,7.000,1.215,0.823,0.778,cell
11,70,797.157,153.871,30.627,793,148,9,11,0.938,11.402,796,148,105.255,9.000,1.156,0.865,0.886,cell
12,47,778.989,181.883,26.627,775,177,8,10,0.833,10.198,778,187,78.690,7.778,1.272,0.786,0.839,cell
13,57,626.974,195.254,27.799,622,191,10,8,0.927,10.440,622,197,16.699,8.000,1.252,0.799,0.864,cell
14,41,741.768,200.134,23.556,738,196,7,8,0.928,9.434,739,204,57.995,7.000,1.366,0.732,0.882,cell
15,29,390.155,200.431,29.556,386,197,7,7,0.417,8.602,386,202,35.538,7.000,1.349,0.741,0.674,cell
16,116,577.026,221.681,61.841,569,214,14,17,0.381,17.493,572,215,120.964,13.892,1.357,0.737,0.665,cell
17,61,459.303,223.107,28.385,455,218,8,10,0.951,10.817,457,228,56.310,8.000,1.323,0.756,0.897,cell
18,37,891.878,227.311,23.556,889,223,6,9,0.838,10.296,889,232,60.945,6.000,1.789,0.559,0.860,cell
19,223,946.805,253.545,92.225,940,242,14,26,0.329,27.313,943,242,113.749,14.000,2.162,0.462,0.715,cell
20,57,740.009,263.430,26.971,736,259,8,9,0.985,10.817,737,259,123.690,7.778,1.384,0.723,0.927,cell
21,45,788.700,264.656,29.456,785,260,8,9,0.652,10.000,785,268,53.130,7.603,1.250,0.800,0.789,cell
22,96,517.250,268.646,56.426,509,263,17,12,0.379,19.723,509,275,30.466,9.998,2.417,0.414,0.655,cell
23,58,723.293,274.552,26.971,719,270,8,9,1.000,10.296,721,279,60.945,8.000,1.240,0.806,0.928,cell
24,62,927.677,294.645,28.385,923,290,9,9,0.967,10.817,925,290,123.690,8.485,1.272,0.786,0.912,cell
25,54,598.648,301.444,26.728,595,297,7,9,0.950,10.296,596,297,119.055,7.000,1.345,0.743,0.931,cell
26,65,530.054,310.023,28.971,526,305,8,10,0.973,10.770,528,305,111.801,8.000,1.298,0.770,0.922,cell
27,36,354.806,328.389,25.799,351,324,7,8,0.680,8.544,353,332,69.444,7.000,1.245,0.803,0.791,cell
28,32,485.000,333.000,21.314,482,330,6,6,0.885,7.810,483,330,129.806,6.000,1.070,0.934,0.914,cell
29,26,853.269,340.115,23.556,851,336,5,9,0.589,9.849,852,345,66.038,4.533,2.511,0.398,0.765,cell
30,48,625.625,347.333,29.213,621,343,9,9,0.707,11.402,621,352,37.875,7.603,1.704,0.587,0.787,cell
31,31,604.306,350.468,25.213,601,346,7,8,0.613,8.544,603,354,69.444,7.000,1.160,0.862,0.738,cell
32,40,644.100,352.175,24.728,641,349,7,7,0.822,8.602,641,349,125.538,7.000,1.148,0.871,0.889,cell
33,53,455.991,360.651,27.213,452,356,8,9,0.899,9.849,454,365,66.038,8.000,1.180,0.848,0.883,cell
34,48,715.812,360.979,38.042,712,356,8,10,0.417,10.817,714,356,123.690,8.000,1.297,0.771,0.750,cell
35,53,347.877,372.425,26.142,343,369,9,7,0.975,9.849,343,371,156.038,7.000,1.247,0.802,0.930,cell
36,58,490.793,372.707,26.971,486,369,9,8,1.000,9.849,486,371,156.038,8.000,1.141,0.876,0.928,cell
37,36,564.139,382.333,24.385,561,379,7,8,0.761,8.544,562,379,110.556,7.000,1.141,0.876,0.828,cell
38,52,839.808,399.500,37.456,836,394,8,11,0.466,12.207,836,394,124.992,7.562,1.547,0.646,0.754,cell
39,30,1003.700,399.067,21.899,999,397,9,4,0.786,9.849,999,401,23.962,4.000,2.388,0.419,0.923,cell
40,60,329.250,402.017,28.385,324,398,10,8,0.936,10.198,324,402,168.690,8.000,1.167,0.857,0.896,cell
41,44,563.909,404.250,27.213,560,400,8,9,0.747,9.220,563,400,102.529,8.000,1.087,0.920,0.786,cell
42,69,830.964,417.543,45.113,826,412,10,11,0.426,12.207,826,414,145.008,10.000,1.073,0.932,0.746,cell
43,54,627.926,417.963,35.456,623,413,10,9,0.540,11.662,623,420,30.964,7.614,1.573,0.636,0.750,cell
44,39,548.987,421.474,29.799,546,417,7,9,0.552,9.487,547,426,71.565,7.000,1.216,0.822,0.788,cell
45,111,603.527,423.671,60.426,596,417,15,13,0.382,15.620,599,430,50.194,12.075,1.147,0.872,0.745,cell
46,128,495.367,426.680,42.870,490,419,11,16,0.875,16.279,495,435,79.380,11.000,1.498,0.668,0.908,cell
47,66,891.909,425.045,29.799,887,420,9,10,0.934,11.314,888,429,45.000,9.000,1.181,0.846,0.892,cell
48,27,840.500,437.056,21.556,836,435,9,4,0.730,9.220,836,436,167.471,4.000,2.109,0.474,0.871,cell
49,32,629.812,450.594,28.627,626,447,8,7,0.491,8.544,626,449,159.444,6.364,1.345,0.744,0.744,cell
50,64,442.234,461.688,29.213,438,456,8,11,0.942,11.705,440,467,70.017,8.000,1.447,0.691,0.908,cell
51,37,741.392,462.068,23.314,738,459,7,6,0.855,9.220,738,465,40.601,6.000,1.220,0.820,0.914,cell
52,121,855.806,472.847,66.669,849,466,15,16,0.342,17.692,851,480,47.291,14.581,1.186,0.843,0.658,cell
53,35,473.243,473.500,28.385,470,470,7,7,0.546,9.220,471,470,130.601,7.000,1.269,0.788,0.787,cell
54,36,991.194,485.639,27.899,989,479,4,12,0.581,12.369,989,491,75.964,4.000,3.312,0.302,0.878,cell
55,28,623.643,493.000,26.971,621,490,6,7,0.484,8.062,622,497,60.255,6.000,1.198,0.835,0.767,cell
56,54,645.019,496.870,26.142,641,493,8,8,0.993,10.000,641,500,36.870,8.000,1.148,0.871,0.931,cell
57,48,388.042,507.604,38.870,382,504,13,9,0.399,13.342,382,506,167.005,8.629,1.658,0.603,0.600,cell
58,50,327.300,509.220,26.042,323,505,9,9,0.926,9.487,326,514,71.565,7.778,1.081,0.925,0.862,cell
59,28,333.357,513.536,25.213,330,510,8,7,0.553,10.000,330,517,36.870,5.310,2.202,0.454,0.709,cell
60,151,306.162,522.129,70.912,298,512,17,20,0.377,21.260,301,531,48.814,14.758,1.818,0.550,0.648,cell
61,33,351.439,515.561,30.042,347,512,9,7,0.459,9.220,347,515,167.471,7.000,1.413,0.708,0.688,cell
62,25,616.540,519.020,22.971,614,515,6,9,0.595,9.487,616,524,71.565,4.727,2.434,0.411,0.694,cell
63,53,360.368,535.915,26.385,357,531,7,10,0.957,10.198,359,531,101.310,7.000,1.306,0.766,0.891,cell
64,44,928.364,536.205,31.213,922,533,12,7,0.568,12.649,922,535,161.565,6.181,2.533,0.395,0.727,cell
65,50,941.440,541.540,24.971,938,537,7,9,1.000,9.487,940,537,108.435,7.000,1.272,0.786,0.917,cell
66,25,738.380,557.060,18.142,735,554,6,6,0.954,7.810,735,559,39.806,4.950,1.620,0.617,0.877,cell
67,46,864.609,560.152,31.213,861,556,8,8,0.593,10.000,862,564,53.130,8.000,1.131,0.884,0.814,cell
68,48,533.958,574.604,24.971,530,571,8,8,0.967,9.434,531,571,122.005,7.778,1.238,0.808,0.897,cell
69,120,450.975,584.183,53.355,446,576,11,17,0.530,17.720,447,576,106.390,11.000,1.742,0.574,0.811,cell
70,69,412.051,581.949,30.142,408,577,8,10,0.954,11.662,409,587,59.036,8.000,1.324,0.755,0.939,cell
71,47,846.564,585.989,27.213,843,582,8,8,0.798,9.434,844,582,122.005,7.778,1.132,0.884,0.862,cell
