 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,33,701.015,68.470,22.971,697,65,9,6,0.786,9.849,697,66,156.038,5.367,2.154,0.464,0.795
2,49,730.888,78.888,32.627,725,75,12,7,0.578,12.369,725,82,14.036,7.000,1.630,0.613,0.731
3,53,589.519,80.255,31.799,585,76,9,8,0.659,9.849,585,78,156.038,8.000,1.213,0.824,0.855
4,37,772.095,91.635,29.213,768,87,10,8,0.545,10.440,768,88,163.301,7.140,1.785,0.560,0.649
5,55,749.409,96.300,38.042,745,91,9,9,0.478,10.630,746,92,131.186,9.000,1.124,0.890,0.797
6,150,748.860,114.527,75.983,740,104,20,17,0.326,23.324,740,106,149.036,12.780,1.892,0.528,0.701
7,135,737.789,119.448,64.912,730,110,16,16,0.403,17.464,730,116,156.371,12.969,1.283,0.780,0.767
8,66,532.303,119.485,44.527,527,115,11,9,0.418,11.705,527,122,19.983,9.000,1.257,0.796,0.795
9,57,480.781,122.711,36.042,477,118,8,10,0.551,10.817,478,127,56.310,8.000,1.296,0.772,0.832
10,45,580.033,128.567,30.971,576,125,8,7,0.590,9.220,577,132,40.601,7.000,1.076,0.930,0.865
11,54,800.074,135.407,33.456,796,130,9,10,0.606,10.817,798,130,123.690,7.778,1.462,0.684,0.806
12,36,711.750,147.611,27.799,708,144,8,7,0.585,8.944,708,146,153.435,7.000,1.144,0.874,0.742
13,42,850.143,148.690,33.213,846,145,9,7,0.478,9.849,846,147,156.038,7.000,1.215,0.823,0.778
14,63,796.944,153.881,40.284,793,148,9,11,0.488,11.402,796,148,105.255,9.000,1.232,0.812,0.797
15,100,668.200,169.810,45.355,660,164,17,11,0.611,18.385,660,167,157.620,8.630,2.239,0.447,0.816
16,48,651.438,176.000,31.799,648,170,7,13,0.597,13.928,649,183,68.962,5.618,2.890,0.346,0.780
17,129,663.539,177.771,64.770,654,173,23,11,0.386,24.042,654,182,16.928,10.667,2.910,0.344,0.631
