Area,X,Y,Perim.,BX,BY,Width,Height
72,1113.319,3.222,0,1109,0,10,8
33,113.667,6.909,0,112,3,5,9
90,1155.678,16.600,0,1151,11,10,12
134,749.963,27.119,0,741,22,17,11
73,998.699,28.425,0,993,25,12,8
110,582.391,34.500,0,577,27,13,14
32,773.094,36.938,0,770,34,7,7
50,547.500,44.000,0,544,40,8,9
61,1080.377,43.508,0,1075,40,11,8
56,689.500,66.375,0,685,63,10,8
71,1115.789,71.915,0,1111,68,11,9
73,707.164,76.027,0,704,70,9,12
60,748.333,75.633,0,745,71,8,10
157,689.643,77.924,0,682,72,14,15
52,1157.942,75.250,0,1154,72,9,7
57,491.772,83.281,0,488,79,8,9
62,853.371,84.403,0,849,81,10,8
104,961.413,87.019,0,955,82,13,11
29,524.759,99.483,0,522,97,6,6
89,571.000,105.247,0,567,99,9,13
56,732.179,105.625,0,730,99,5,13
124,792.032,106.944,0,785,102,15,10
79,675.532,108.684,0,672,103,8,13
157,506.401,111.357,0,500,104,12,17
67,658.701,110.552,0,656,105,7,13
26,484.154,108.385,0,481,106,7,6
130,457.385,115.285,0,451,110,14,13
56,627.500,115.286,0,624,112,8,8
241,703.975,124.087,0,698,113,13,24
58,802.345,119.259,0,800,113,5,15
63,872.667,115.460,0,867,113,12,6
92,28.217,120.500,0,23,115,11,12
102,789.716,122.794,0,784,117,12,11
120,611.008,126.358,0,608,118,7,18
88,564.091,124.318,0,559,120,11,10
69,578.464,124.449,0,574,120,10,10
64,834.469,123.906,0,830,120,10,9
77,570.844,130.857,0,567,126,9,11
131,494.687,133.809,0,489,127,12,14
38,679.500,131.000,0,677,128,6,7
38,460.026,136.842,0,457,133,7,8
35,66.429,139.114,0,64,135,6,9
37,689.514,139.432,0,687,136,6,8
328,612.976,144.893,0,596,138,34,14
70,38.886,146.129,0,33,142,13,9
49,371.388,147.286,0,368,143,8,9
57,476.526,147.281,0,473,144,10,8
53,516.019,148.509,0,513,144,7,10
53,531.755,148.358,0,528,144,8,9
51,686.627,148.000,0,684,144,7,9
57,762.930,147.544,0,759,144,9,8
274,646.894,158.974,0,640,145,16,27
333,874.637,152.613,0,860,145,28,15
31,995.935,147.677,0,993,145,7,6
97,1299.237,150.052,0,1294,145,12,12
105,850.143,152.162,0,846,146,9,13
111,451.036,157.631,0,447,151,9,16
91,570.549,155.033,0,565,151,12,9
102,694.402,155.500,0,689,151,12,10
162,521.370,159.123,0,516,152,12,16
370,621.078,166.065,0,607,156,29,20
200,925.820,167.665,0,919,159,14,19
162,375.636,167.957,0,369,161,15,14
35,827.086,163.686,0,824,161,7,6
30,597.967,163.467,0,594,162,9,4
108,952.917,168.852,0,948,163,11,13
93,349.581,171.495,0,344,167,13,10
233,900.678,176.318,0,890,168,21,17
54,1324.722,171.944,0,1321,168,8,9
