 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,57,746.061,213.430,27.556,742,209,8,9,0.943,11.402,743,218,52.125,7.603,1.509,0.663,0.927
2,29,708.569,243.569,26.971,706,240,6,8,0.501,9.220,706,247,49.399,6.000,1.629,0.614,0.744
3,34,473.824,279.235,21.314,470,276,7,6,0.941,7.810,472,276,129.806,6.000,1.036,0.965,0.907
4,58,470.345,289.466,36.627,464,285,13,8,0.543,13.601,464,287,162.897,7.376,2.269,0.441,0.725
5,27,472.981,297.500,19.556,469,295,8,5,0.887,8.544,469,296,159.444,5.000,1.607,0.622,0.831
6,61,833.107,303.303,27.799,829,298,8,10,0.992,10.440,831,308,73.301,8.000,1.237,0.808,0.904
7,31,447.371,306.565,22.728,443,304,9,5,0.754,9.849,443,305,156.038,4.603,2.473,0.404,0.838
8,44,671.750,308.523,23.556,668,305,8,7,0.996,8.944,668,311,26.565,7.000,1.193,0.838,0.907
9,37,1007.446,308.068,20.728,1004,305,7,6,1.000,8.062,1004,306,150.255,6.000,1.187,0.842,0.937
10,53,468.292,310.311,30.385,463,306,11,8,0.721,12.530,463,314,28.610,6.708,2.168,0.461,0.803
11,82,1004.659,316.280,42.042,998,312,12,10,0.583,12.806,1000,312,141.340,10.000,1.227,0.815,0.816
12,95,455.026,318.405,47.698,448,313,15,13,0.525,15.811,448,320,18.435,12.000,1.427,0.701,0.686
13,77,653.474,325.240,30.971,649,320,9,10,1.000,11.662,651,320,120.964,9.000,1.164,0.859,0.951
14,29,451.638,327.500,21.556,449,323,6,8,0.784,8.544,450,323,110.556,6.000,1.518,0.659,0.817
15,86,1007.349,328.860,33.213,1002,324,11,10,0.980,12.530,1002,332,28.610,9.839,1.283,0.780,0.930
16,48,524.146,336.479,24.971,521,332,7,9,0.967,9.849,522,341,66.038,7.000,1.385,0.722,0.906
17,62,822.548,342.129,28.385,818,338,9,9,0.967,10.000,820,338,126.870,9.000,1.072,0.932,0.905
18,47,541.053,350.223,24.385,537,346,8,8,0.993,10.000,537,347,143.130,7.071,1.399,0.715,0.895
19,34,598.000,356.500,20.142,595,353,6,7,1.000,8.062,596,360,60.255,6.000,1.275,0.784,0.919
20,72,384.542,389.444,42.527,379,384,11,11,0.500,12.530,379,386,151.390,9.839,1.352,0.740,0.778
21,77,484.539,391.578,31.213,479,387,11,9,0.993,11.705,479,390,160.017,9.000,1.232,0.812,0.917
22,47,635.394,408.394,24.385,631,405,9,7,0.993,9.487,631,410,18.435,7.000,1.228,0.814,0.904
23,30,915.800,423.967,20.971,913,420,6,8,0.857,9.434,913,420,122.005,5.270,1.932,0.518,0.833
24,39,923.141,427.013,22.971,919,423,7,8,0.929,8.246,923,423,104.036,7.000,1.138,0.879,0.876
25,25,917.180,431.940,17.556,914,429,6,6,1.000,6.708,914,433,26.565,5.657,1.185,0.844,0.862
26,60,941.333,433.533,38.870,932,430,15,8,0.499,15.811,932,431,161.565,8.000,2.430,0.412,0.706
27,63,983.071,441.405,32.627,977,437,12,8,0.744,12.649,977,440,161.565,8.000,1.610,0.621,0.840
