Area,X,Y,Perim.,BX,BY,Width,Height
121,643.802,197.835,0,638,191,12,14
238,791.916,204.538,0,784,193,18,23
106,749.830,210.689,0,744,206,13,12
78,845.808,231.026,0,841,227,11,9
125,847.040,249.936,0,841,244,13,13
319,814.285,276.182,0,804,267,21,20
90,587.567,290.144,0,583,285,10,11
107,914.626,291.075,0,909,286,12,11
75,1017.733,297.880,0,1012,295,12,8
93,800.892,305.602,0,796,301,11,10
54,1015.000,305.074,0,1012,301,7,10
71,1021.127,309.211,0,1017,305,10,10
76,581.526,313.263,0,577,309,11,10
51,592.020,319.902,0,588,315,8,10
26,892.115,321.231,0,890,318,5,7
142,938.542,324.965,0,933,318,12,15
164,936.311,349.768,0,929,343,15,15
112,681.679,362.286,0,677,356,10,15
27,935.481,359.148,0,933,357,7,5
141,689.582,365.929,0,683,358,13,16
81,877.346,374.481,0,872,371,12,8
111,419.640,377.595,0,414,372,12,12
56,463.750,384.964,0,460,381,8,9
102,642.353,400.735,0,637,395,11,12
99,539.384,401.364,0,534,396,12,11
62,527.710,405.290,0,524,401,10,10
105,970.371,405.952,0,965,401,12,11
117,825.880,410.949,0,820,404,13,14
105,729.352,410.133,0,724,405,12,11
214,760.051,421.804,0,753,413,16,19
120,799.725,424.617,0,794,419,12,12
29,744.931,424.931,0,743,421,5,10
154,463.000,429.500,0,456,423,15,14
76,1073.500,430.526,0,1068,426,12,11
83,507.241,434.880,0,502,430,11,10
143,1023.545,437.315,0,1017,431,14,13
121,751.215,452.901,0,746,447,12,13
108,506.102,453.111,0,500,448,13,11
84,873.107,464.190,0,868,460,11,10
118,773.661,467.847,0,768,462,12,13
117,488.308,471.863,0,482,466,14,12
88,763.580,471.455,0,759,466,10,11
34,849.618,484.735,0,846,481,8,8
110,1060.482,488.364,0,1054,483,13,11
70,736.514,489.614,0,732,485,9,10
52,982.365,488.827,0,978,486,10,7
96,813.000,513.406,0,808,509,11,10
73,583.959,518.438,0,579,513,11,11
24,991.875,515.333,0,990,513,5,6
129,698.690,523.318,0,692,517,14,14
44,803.795,519.886,0,800,517,8,7
104,999.971,521.712,0,994,517,13,11
108,991.657,526.296,0,988,518,9,16
103,586.019,530.544,0,580,524,12,13
60,693.850,529.283,0,690,524,9,10
98,777.602,533.316,0,772,528,12,11
101,1015.119,533.911,0,1010,529,12,11
39,792.487,532.872,0,788,530,9,7
82,966.829,539.390,0,962,535,10,11
117,959.009,545.607,0,953,540,14,12
139,949.424,552.396,0,943,546,14,14
118,351.839,559.144,0,345,554,14,11
194,945.701,563.144,0,937,555,19,17
50,472.740,566.540,0,469,563,8,8
93,938.634,569.462,0,932,564,14,12
103,1138.612,577.146,0,1133,572,12,11
109,612.064,581.991,0,606,577,13,11
215,894.326,585.251,0,887,577,16,19
147,609.211,606.374,0,603,600,14,14
103,1027.000,605.000,0,1022,600,11,11
69,1131.072,641.551,0,1126,638,11,8
123,886.187,648.285,0,880,643,13,12
124,815.815,650.726,0,810,645,13,12
98,667.582,652.418,0,663,647,10,12
130,1068.346,675.377,0,1063,667,12,16
108,554.296,672.824,0,548,668,13,11
98,908.571,675.276,0,903,670,12,11
67,1058.090,675.701,0,1054,671,9,10
106,380.085,677.038,0,374,672,13,11
116,563.284,681.138,0,557,676,13,12
75,762.627,683.200,0,759,677,8,13
162,387.179,689.167,0,379,682,16,15
133,740.880,694.308,0,735,688,13,13
36,1043.944,693.667,0,1041,691,7,7
54,501.759,710.167,0,498,706,8,9
166,879.843,721.765,0,871,715,17,13
120,740.692,725.867,0,735,721,13,11
88,928.182,741.148,0,924,735,9,13
139,910.806,745.835,0,904,740,15,13
47,622.298,749.149,0,619,745,8,9
158,1093.886,754.861,0,1088,748,13,15
89,658.539,767.584,0,654,762,10,12
73,379.986,772.068,0,376,767,9,11
50,670.420,771.720,0,667,768,8,8
91,708.363,776.604,0,703,772,12,10
81,668.506,778.753,0,664,774,11,10
53,670.321,788.491,0,667,784,7,10
160,409.981,794.019,0,405,785,12,19
50,808.920,790.020,0,805,787,9,7
73,525.110,802.301,0,520,798,11,9
122,989.451,803.885,0,982,799,15,11
115,856.652,808.574,0,849,804,17,10
37,858.676,815.216,0,856,812,7,7
132,850.742,827.076,0,846,820,11,15
54,607.926,824.389,0,604,821,9,8
49,705.061,838.551,0,702,835,7,8
117,736.393,844.513,0,731,839,12,12
154,939.182,861.292,0,933,854,15,15
41,930.732,861.098,0,928,857,6,9
49,734.000,870.592,0,729,867,10,8
48,830.146,892.062,0,825,890,11,5
172,519.988,906.779,0,513,896,15,21
110,507.073,907.591,0,501,901,13,13
83,952.133,908.012,0,947,904,11,10
164,728.140,912.524,0,721,906,15,14
126,929.897,925.563,0,925,919,11,14
53,619.585,935.981,0,615,933,10,7
76,582.184,948.474,0,577,944,11,10
127,612.559,957.055,0,607,951,12,13
86,650.128,962.523,0,646,957,9,12
78,778.423,964.333,0,774,959,9,12
176,641.227,972.301,0,633,965,18,14
207,791.681,976.014,0,785,967,16,18
43,786.209,987.558,0,782,984,8,8
