Area,X,Y,Perim.,BX,BY,Width,Height
82,757.244,194.329,0,753,190,10,10
121,741.223,195.868,0,735,191,14,11
73,811.164,195.753,0,805,193,13,7
121,827.107,205.091,0,821,198,13,15
69,811.710,201.913,0,806,199,12,8
65,807.338,207.138,0,802,203,12,10
299,794.977,214.090,0,785,205,21,21
40,775.150,215.200,0,772,212,7,9
72,769.958,218.542,0,766,213,9,11
90,826.856,218.422,0,821,214,12,10
104,774.625,228.442,0,768,224,15,10
78,948.603,253.231,0,944,249,10,10
271,937.808,264.609,0,928,250,18,29
138,963.000,269.500,0,958,262,11,16
87,849.460,271.253,0,845,266,10,11
22,491.045,275.273,0,489,273,5,5
176,977.966,304.767,0,967,299,24,14
74,664.311,306.432,0,660,301,9,11
116,454.422,308.776,0,448,304,14,10
93,923.548,312.925,0,919,308,10,11
112,994.214,315.518,0,989,308,11,18
179,984.832,323.179,0,976,316,18,15
74,661.905,325.311,0,658,319,8,15
116,940.052,329.500,0,935,324,12,12
93,751.204,337.677,0,746,333,11,10
102,821.912,343.225,0,816,338,13,11
76,429.921,345.171,0,426,340,9,11
252,1062.468,368.730,0,1058,344,10,51
46,830.109,351.065,0,827,347,7,10
94,838.979,353.319,0,834,348,11,11
34,825.941,352.765,0,823,349,7,8
87,1019.805,356.770,0,1015,352,10,11
120,1025.292,366.342,0,1019,361,16,12
94,784.074,369.128,0,779,364,12,11
161,810.994,371.696,0,804,365,16,14
89,768.899,369.921,0,764,366,11,9
34,799.676,371.088,0,796,369,8,5
113,801.416,379.177,0,796,373,13,12
69,876.681,376.551,0,872,373,11,8
108,787.019,377.889,0,780,374,16,9
119,847.395,379.437,0,842,374,12,12
79,775.911,382.025,0,771,377,10,10
86,788.163,384.407,0,780,381,16,7
84,767.488,391.690,0,763,387,10,10
144,809.389,397.681,0,803,390,14,16
228,1081.746,398.737,0,1064,395,37,8
38,485.211,400.684,0,482,398,9,7
164,991.573,401.939,0,978,399,27,9
61,1085.721,416.148,0,1081,413,11,8
87,886.552,430.839,0,878,428,18,7
141,879.319,436.723,0,873,429,14,15
92,899.370,437.891,0,895,432,10,12
85,890.871,438.753,0,886,434,10,10
73,569.959,440.712,0,566,436,9,10
55,976.764,445.364,0,973,441,8,9
159,1084.818,447.472,0,1072,442,27,12
117,884.026,449.060,0,878,443,13,13
65,598.215,448.938,0,592,444,13,10
59,1005.407,452.085,0,1002,448,8,9
180,1099.711,459.950,0,1094,450,13,21
139,486.835,461.101,0,481,452,13,18
52,478.519,458.962,0,474,455,9,8
109,513.211,460.376,0,507,455,13,11
75,1003.147,458.973,0,996,455,14,10
29,649.069,458.621,0,646,456,7,7
103,644.476,463.398,0,639,458,13,11
69,712.406,461.971,0,708,458,10,9
88,873.295,464.580,0,868,460,11,10
133,1011.556,468.729,0,1005,461,15,15
57,476.544,465.088,0,472,462,10,7
117,1091.000,470.675,0,1086,462,12,16
135,586.837,470.052,0,582,463,12,17
76,904.079,467.592,0,900,463,9,10
139,599.302,468.964,0,591,464,18,11
116,1060.853,470.388,0,1056,465,13,13
73,894.356,470.219,0,890,466,10,10
42,489.310,469.643,0,485,467,9,7
51,619.490,469.863,0,615,467,10,7
80,520.950,476.738,0,518,470,7,15
51,1074.686,475.157,0,1072,470,6,11
65,1113.200,474.323,0,1110,470,9,10
97,627.351,476.753,0,622,472,12,10
86,616.407,478.198,0,611,473,11,11
96,1005.979,475.854,0,997,473,20,7
73,528.192,478.808,0,524,474,9,10
67,1076.642,483.463,0,1072,480,12,8
129,1052.085,495.341,0,1049,481,7,31
102,622.245,487.539,0,617,482,11,12
58,521.741,487.759,0,517,483,10,10
31,611.065,485.645,0,608,483,7,6
37,1068.865,485.919,0,1066,483,7,7
45,1130.244,489.267,0,1127,486,8,8
78,593.244,495.705,0,588,491,11,10
109,1106.459,499.771,0,1102,494,10,13
162,1049.765,528.889,0,1047,511,7,36
94,1090.691,534.691,0,1086,530,11,11
98,554.827,539.276,0,550,534,10,12
45,944.800,537.133,0,940,535,11,5
50,944.340,541.640,0,939,539,12,6
60,360.283,544.867,0,356,541,9,9
93,620.742,547.204,0,616,542,10,11
94,891.809,548.521,0,885,544,13,11
56,886.107,552.750,0,881,549,12,8
93,595.753,562.753,0,592,557,10,13
38,681.763,559.868,0,678,558,9,5
90,1065.700,569.700,0,1061,565,11,11
84,739.429,573.595,0,735,569,10,10
61,764.590,571.475,0,759,569,12,6
86,871.872,577.570,0,867,573,11,11
107,336.355,577.037,0,328,574,17,8
90,771.867,578.856,0,767,574,11,12
91,978.077,578.747,0,973,574,11,11
65,865.277,580.954,0,861,575,10,12
163,882.098,582.724,0,875,575,15,16
70,890.471,579.843,0,886,575,10,10
22,730.227,583.227,0,728,581,5,5
80,737.000,585.288,0,733,581,10,10
107,760.972,589.308,0,757,582,11,15
68,754.221,589.088,0,751,583,7,14
88,785.080,587.568,0,780,583,11,10
93,814.054,587.688,0,809,583,11,11
45,936.778,589.778,0,932,587,10,7
89,881.382,593.101,0,873,590,17,7
26,897.577,592.885,0,895,590,6,7
47,937.468,594.404,0,932,591,11,7
102,905.971,609.304,0,901,604,12,11
45,602.800,610.622,0,599,607,9,7
120,518.375,615.992,0,512,611,14,11
130,639.131,617.085,0,631,613,17,11
101,628.525,625.366,0,625,617,8,17
117,704.427,622.752,0,699,617,12,12
82,617.207,624.573,0,612,619,13,13
44,634.727,623.568,0,632,620,7,9
60,620.633,628.550,0,615,624,11,9
106,415.783,632.679,0,411,627,11,13
87,982.494,634.172,0,978,629,10,11
172,1042.698,647.645,0,1040,631,7,35
126,1129.111,639.563,0,1123,631,16,16
120,1136.667,634.758,0,1127,631,20,8
99,396.737,638.283,0,392,633,11,12
230,882.396,643.461,0,874,636,19,17
81,520.716,644.531,0,516,640,10,10
102,741.098,650.500,0,736,645,11,12
123,589.081,657.203,0,583,650,12,17
79,385.038,658.519,0,381,653,9,13
64,584.266,664.750,0,581,660,8,11
67,378.552,665.119,0,375,661,10,10
109,1026.578,671.450,0,1022,666,11,12
103,722.456,682.981,0,717,678,12,11
48,715.146,684.667,0,712,680,8,10
120,352.342,686.692,0,347,681,12,13
240,734.267,694.421,0,726,681,16,24
60,837.450,691.200,0,834,686,8,11
44,930.068,689.909,0,926,687,9,7
63,402.238,696.063,0,398,692,9,9
33,931.212,694.485,0,928,692,8,6
51,959.843,694.255,0,954,692,12,6
29,842.207,697.276,0,840,694,6,7
49,1072.673,696.388,0,1068,694,10,6
121,788.983,700.802,0,783,696,13,11
55,958.491,698.764,0,953,696,12,7
98,1073.133,702.551,0,1065,699,15,10
41,1082.439,707.585,0,1080,704,6,8
144,1104.868,711.007,0,1099,704,12,15
42,1059.286,708.786,0,1056,705,8,8
60,1070.350,707.750,0,1065,705,13,6
39,735.487,708.282,0,731,706,10,5
49,774.959,721.959,0,772,718,7,9
96,855.667,729.198,0,850,725,12,10
106,396.509,732.943,0,391,728,12,11
103,854.049,739.272,0,849,734,11,11
92,984.913,747.837,0,980,743,11,11
102,580.539,750.863,0,575,746,12,11
81,563.802,753.543,0,559,749,10,10
64,480.281,763.859,0,477,759,8,10
106,397.849,768.934,0,393,764,11,11
61,381.131,771.984,0,377,768,9,9
99,483.273,774.475,0,478,769,11,12
115,794.061,774.226,0,788,769,13,11
100,504.790,782.910,0,500,778,11,11
72,784.208,784.333,0,780,780,10,10
139,884.676,803.820,0,879,797,12,15
34,497.118,803.265,0,494,800,7,8
64,493.578,807.609,0,491,801,7,14
59,503.119,807.085,0,500,801,7,13
147,996.143,809.163,0,989,801,14,16
109,565.128,809.303,0,560,804,11,12
37,1005.784,809.081,0,1003,806,7,7
31,985.548,811.581,0,983,809,6,6
171,556.825,818.117,0,548,810,19,15
50,1011.240,816.860,0,1009,812,6,11
43,1004.907,815.605,0,1001,813,8,7
30,986.533,817.533,0,984,815,6,6
96,1001.417,823.125,0,994,819,15,10
40,1017.950,821.725,0,1014,819,9,7
62,1029.210,828.548,0,1027,823,6,12
67,1023.269,829.313,0,1020,824,7,12
73,521.493,826.986,0,513,825,16,6
151,1001.219,837.272,0,993,830,17,16
73,1010.836,835.178,0,1007,830,8,12
98,558.908,837.571,0,554,832,11,12
50,1018.800,835.300,0,1015,832,10,7
79,868.734,842.494,0,865,837,8,13
52,994.885,843.827,0,992,839,7,10
103,1047.786,844.922,0,1042,840,12,11
20,1004.450,846.350,0,1002,845,6,4
27,889.407,850.444,0,886,849,8,4
52,586.577,856.423,0,583,852,8,9
105,848.086,859.267,0,843,854,11,12
78,838.885,860.167,0,835,855,10,11
263,1009.951,867.840,0,988,863,45,10
110,853.645,869.300,0,847,864,13,12
112,856.571,883.973,0,851,878,12,13
109,564.844,886.780,0,560,881,11,13
108,819.324,891.093,0,814,886,12,11
86,870.314,890.953,0,865,887,12,9
68,520.191,909.794,0,515,905,10,10
104,634.635,917.010,0,630,911,10,13
82,745.439,923.402,0,741,919,10,10
107,915.383,926.299,0,909,921,13,11
53,879.264,929.962,0,875,927,11,7
103,871.320,935.544,0,866,930,12,12
118,887.424,941.169,0,882,934,12,14
68,880.059,940.912,0,877,935,7,13
104,909.404,941.558,0,904,937,12,10
27,875.111,942.296,0,872,939,6,7
84,732.560,952.298,0,728,947,10,11
122,880.631,961.877,0,875,956,12,13
