 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,30,718.067,187.767,25.799,714,184,9,7,0.566,9.849,714,184,156.038,6.063,1.961,0.510,0.667,cell
2,77,741.604,196.422,31.799,736,192,11,9,0.957,11.705,736,198,19.983,9.000,1.273,0.785,0.917,cell
3,45,726.233,231.122,40.870,722,227,10,8,0.339,11.662,722,228,149.036,8.000,1.398,0.716,0.621,cell
4,62,963.935,268.403,34.627,960,263,8,12,0.650,12.369,963,263,104.036,8.000,1.292,0.774,0.795,cell
5,57,849.939,271.675,26.971,846,267,8,9,0.985,10.296,847,276,60.945,8.000,1.252,0.799,0.919,cell
6,48,488.688,281.604,38.870,484,274,9,14,0.399,16.125,485,274,119.745,6.102,3.351,0.298,0.676,cell
7,73,981.144,304.445,45.213,972,301,19,8,0.449,20.616,972,309,22.834,5.494,4.444,0.225,0.811,cell
8,44,664.727,307.227,23.556,661,303,7,8,0.996,8.944,663,303,116.565,7.000,1.153,0.867,0.907,cell
9,62,454.710,309.500,48.284,449,305,11,9,0.334,11.705,449,311,19.983,9.000,1.157,0.865,0.747,cell
10,96,994.802,316.073,49.941,989,306,12,20,0.484,21.541,992,326,68.199,8.359,3.046,0.328,0.777,cell
11,33,923.652,312.712,34.627,920,309,8,8,0.346,9.434,921,317,57.995,8.000,1.256,0.796,0.600,cell
12,50,976.880,320.260,34.042,971,316,11,10,0.542,14.142,971,316,135.000,8.066,1.918,0.521,0.709,cell
13,47,940.032,329.479,36.042,936,325,9,10,0.455,10.770,937,325,111.801,9.000,1.108,0.903,0.662,cell
14,45,751.322,338.100,35.213,747,334,8,8,0.456,9.434,749,342,57.995,8.000,1.123,0.891,0.789,cell
15,29,1035.224,350.707,22.142,1033,347,5,8,0.743,8.944,1033,355,63.435,5.000,1.949,0.513,0.841,cell
16,43,784.081,369.779,33.213,780,366,9,7,0.490,9.487,780,368,161.565,7.000,1.209,0.827,0.804,cell
17,46,768.957,370.457,24.142,765,367,8,7,0.992,9.434,765,368,147.995,7.000,1.277,0.783,0.920,cell
18,50,768.040,392.100,24.385,764,388,8,8,1.000,8.944,766,388,116.565,8.000,1.001,0.999,0.909,cell
19,32,486.156,402.656,30.870,482,399,8,8,0.422,8.602,484,399,125.538,7.071,1.398,0.715,0.667,cell
20,36,570.139,440.944,25.213,567,437,7,8,0.712,8.602,567,443,35.538,7.000,1.323,0.756,0.766,cell
21,99,484.490,461.581,55.012,476,455,16,14,0.411,16.279,476,462,10.620,12.542,1.184,0.844,0.664,cell
22,52,513.135,461.423,34.042,508,457,11,8,0.564,11.180,508,460,169.695,8.000,1.309,0.764,0.754,cell
23,95,645.911,462.837,37.456,640,457,12,11,0.851,13.601,641,467,36.027,10.585,1.298,0.771,0.876,cell
24,37,713.041,462.365,33.456,709,458,8,8,0.415,8.544,712,458,110.556,7.778,1.059,0.944,0.740,cell
25,29,476.879,465.707,20.142,473,463,8,5,0.898,8.944,473,463,153.435,4.903,1.947,0.514,0.866,cell
26,29,904.466,467.776,27.556,901,465,7,6,0.480,8.062,901,470,29.745,6.000,1.268,0.788,0.734,cell
27,40,894.625,470.725,22.385,891,467,7,8,1.000,8.246,893,467,104.036,7.000,1.106,0.905,0.889,cell
28,56,520.196,479.607,47.113,515,471,9,18,0.317,18.974,516,489,71.565,7.426,3.538,0.283,0.538,cell
29,56,1006.696,476.518,38.385,998,474,17,5,0.478,17.464,998,474,166.759,5.000,4.065,0.246,0.818,cell
30,29,527.431,479.155,21.556,525,475,5,8,0.784,8.944,526,475,116.565,5.000,1.789,0.559,0.829,cell
31,26,1076.231,483.769,21.556,1073,481,8,5,0.703,8.544,1073,482,159.444,5.000,1.806,0.554,0.800,cell
32,69,1106.862,500.225,30.385,1103,495,8,11,0.939,11.402,1105,495,105.255,8.000,1.355,0.738,0.914,cell
33,40,1090.875,534.700,34.870,1087,531,8,8,0.413,9.434,1087,537,32.005,8.000,1.178,0.849,0.714,cell
34,60,555.333,539.767,28.971,551,535,8,10,0.898,10.817,552,544,56.310,8.000,1.324,0.755,0.889,cell
35,41,360.256,545.329,34.870,355,541,9,9,0.424,9.849,355,547,23.962,8.497,1.165,0.858,0.656,cell
36,40,620.350,547.950,29.213,617,544,7,8,0.589,9.899,617,551,45.000,7.000,1.337,0.748,0.792,cell
37,56,893.000,548.821,32.042,886,545,12,9,0.685,12.369,886,547,165.964,8.835,1.478,0.677,0.742,cell
38,40,596.225,562.875,25.799,593,559,7,8,0.755,8.602,593,565,35.538,7.000,1.012,0.988,0.851,cell
39,56,1065.929,570.250,26.971,1062,566,8,9,0.967,9.487,1065,575,71.565,8.000,1.062,0.942,0.903,cell
40,49,739.806,574.133,24.971,736,570,8,8,0.988,9.434,738,570,122.005,8.000,1.106,0.904,0.891,cell
41,181,764.942,583.715,77.740,758,574,17,21,0.376,21.213,760,595,81.870,16.717,1.407,0.711,0.736,cell
42,56,978.750,579.018,26.385,974,575,9,8,1.000,10.000,976,575,126.870,8.000,1.159,0.863,0.911,cell
43,28,684.607,583.714,20.728,682,580,5,7,0.819,7.810,682,581,129.806,5.000,1.346,0.743,0.875,cell
44,52,737.558,585.885,25.556,734,582,8,8,1.000,9.434,735,590,57.995,8.000,1.081,0.925,0.929,cell
45,40,785.175,588.250,30.042,782,584,7,8,0.557,8.944,783,592,63.435,7.000,1.193,0.838,0.816,cell
46,47,814.011,588.479,32.627,810,584,9,8,0.555,9.849,810,591,23.962,8.000,1.103,0.907,0.790,cell
47,29,603.362,609.776,27.799,600,606,7,7,0.472,8.062,602,606,119.745,6.791,1.267,0.789,0.707,cell
48,66,518.470,616.803,35.799,513,613,11,8,0.647,12.042,514,613,138.366,8.000,1.318,0.759,0.863,cell
49,96,639.042,619.094,48.527,632,614,14,12,0.512,14.866,632,615,160.346,11.411,1.305,0.766,0.777,cell
50,78,704.718,623.256,36.870,700,617,11,11,0.721,12.530,703,617,118.610,9.899,1.272,0.786,0.843,cell
51,44,629.136,626.455,32.728,627,619,5,14,0.516,14.560,628,619,105.945,4.740,3.616,0.277,0.807,cell
52,77,416.253,632.994,32.627,412,627,9,12,0.909,12.166,415,639,80.538,9.000,1.247,0.802,0.885,cell
53,28,982.893,633.643,31.799,979,630,7,8,0.348,8.944,982,630,116.565,7.000,1.053,0.950,0.602,cell
54,56,396.946,638.250,31.456,393,634,9,9,0.711,10.817,394,634,123.690,8.485,1.186,0.843,0.842,cell
55,93,884.489,643.134,51.941,877,638,15,11,0.433,16.155,877,646,21.801,11.000,1.687,0.593,0.694,cell
56,37,521.095,645.473,30.971,518,641,7,8,0.485,8.602,518,642,125.538,7.000,1.029,0.972,0.755,cell
57,67,741.634,651.007,30.385,737,646,9,10,0.912,10.817,738,655,56.310,9.000,1.191,0.840,0.887,cell
58,42,336.476,651.929,28.385,333,648,7,8,0.655,10.000,334,648,126.870,7.000,1.341,0.746,0.808,cell
59,101,587.490,659.510,52.527,582,652,11,17,0.460,18.788,584,669,64.799,9.391,2.019,0.495,0.774,cell
60,163,395.653,659.316,73.841,384,654,23,12,0.376,24.352,384,663,19.179,10.644,2.798,0.357,0.743,cell
61,73,1026.993,671.938,30.971,1023,667,9,10,0.956,11.180,1024,667,116.565,9.000,1.158,0.863,0.930,cell
62,75,722.967,683.967,35.456,718,679,10,12,0.750,13.892,720,679,120.256,9.192,1.361,0.735,0.833,cell
63,146,843.274,689.356,75.640,835,679,18,18,0.321,18.868,837,696,57.995,17.196,1.195,0.837,0.617,cell
64,80,352.500,687.400,32.627,348,682,10,11,0.944,12.083,350,693,65.556,9.839,1.246,0.802,0.909,cell
65,27,402.130,696.130,27.799,399,693,7,7,0.439,8.602,400,700,54.462,6.364,1.470,0.680,0.659,cell
66,51,959.500,697.010,39.213,955,693,9,8,0.417,10.817,955,700,33.690,8.000,1.144,0.874,0.785,cell
67,63,788.579,700.913,42.627,783,697,11,8,0.436,11.705,783,700,160.017,8.000,1.202,0.832,0.803,cell
68,58,1074.534,702.879,37.213,1067,699,13,9,0.526,13.892,1067,700,149.744,8.963,2.067,0.484,0.682,cell
69,59,704.737,709.483,29.213,701,704,8,11,0.869,11.402,704,704,105.255,8.000,1.321,0.757,0.843,cell
70,76,1105.092,711.184,40.042,1101,705,8,13,0.596,13.928,1103,718,68.962,8.000,1.814,0.551,0.835,cell
71,44,855.568,729.591,35.799,851,726,9,7,0.431,10.296,851,728,150.945,7.000,1.198,0.835,0.779,cell
72,52,396.519,733.038,37.113,392,729,10,9,0.474,10.198,392,732,168.690,9.000,1.039,0.963,0.754,cell
73,67,854.500,739.679,28.971,850,735,9,9,1.000,10.817,852,735,123.690,9.000,1.171,0.854,0.937,cell
74,42,985.310,747.881,36.042,981,744,8,8,0.406,9.434,981,750,32.005,8.000,1.070,0.934,0.737,cell
75,63,580.484,751.278,38.627,576,747,9,9,0.531,10.817,576,754,33.690,9.000,1.031,0.970,0.857,cell
76,39,564.705,754.423,32.042,560,750,8,8,0.477,8.944,563,750,116.565,8.000,1.126,0.888,0.743,cell
77,50,398.600,769.460,40.870,394,765,9,9,0.376,10.630,395,765,131.186,9.000,1.067,0.937,0.714,cell
78,46,484.022,774.391,36.284,480,770,8,10,0.439,10.440,482,780,73.301,8.000,1.176,0.850,0.730,cell
79,62,795.016,775.016,43.799,789,771,11,8,0.406,11.705,789,774,160.017,8.000,1.315,0.760,0.800,cell
80,62,505.016,783.371,28.142,501,779,8,9,0.984,10.630,501,787,41.186,8.000,1.153,0.867,0.939,cell
81,43,723.407,798.128,40.627,719,794,9,10,0.327,11.402,720,795,127.875,8.485,1.177,0.849,0.619,cell
82,32,887.188,803.531,30.385,883,798,7,12,0.436,13.416,883,798,116.565,5.014,3.423,0.292,0.610,cell
83,64,496.844,810.234,42.042,492,803,10,13,0.455,16.401,492,803,127.569,8.370,2.231,0.448,0.711,cell
84,28,503.571,807.786,24.142,501,803,5,10,0.604,10.770,501,803,111.801,4.271,3.104,0.322,0.789,cell
85,72,1048.736,845.097,31.213,1044,840,10,10,0.929,10.817,1044,848,33.690,9.707,1.125,0.889,0.889,cell
86,25,586.740,857.180,28.385,583,853,7,7,0.390,8.602,583,859,35.538,6.800,1.510,0.662,0.610,cell
87,42,669.119,863.238,31.799,665,859,8,8,0.522,9.434,667,867,57.995,8.000,1.158,0.863,0.750,cell
88,44,964.545,873.000,40.284,960,868,10,13,0.341,15.000,960,881,53.130,8.692,2.211,0.452,0.515,cell
89,68,565.118,887.250,30.385,561,882,8,11,0.926,11.180,564,882,100.305,8.000,1.271,0.787,0.907,cell
90,81,819.549,891.574,32.627,814,887,11,10,0.956,12.083,814,894,24.444,9.899,1.219,0.821,0.910,cell
91,28,476.857,893.286,26.042,473,889,7,8,0.519,8.062,478,889,97.125,7.000,1.160,0.862,0.683,cell
92,59,520.314,909.483,27.213,516,905,9,9,1.000,10.000,518,905,126.870,8.485,1.159,0.863,0.894,cell
93,80,635.212,917.450,31.799,631,912,9,11,0.994,11.705,633,912,109.983,9.000,1.244,0.804,0.925,cell
94,75,915.860,926.700,31.213,910,922,11,9,0.967,11.402,910,926,164.745,9.000,1.194,0.838,0.909,cell
95,32,885.656,939.844,24.971,883,935,6,10,0.645,10.440,883,935,106.699,5.657,2.046,0.489,0.790,cell
96,71,909.894,941.739,29.799,905,937,10,9,1.000,11.180,905,939,153.435,9.000,1.214,0.823,0.916,cell
97,47,732.755,952.777,24.728,729,949,7,8,0.966,9.220,729,955,40.601,7.000,1.110,0.901,0.931,cell
98,71,881.148,962.303,30.627,876,957,10,10,0.951,11.180,878,967,63.435,9.192,1.160,0.862,0.899,cell
99,1008,928.130,261.052,132.368,909,244,44,35,0.723,45.880,909,266,16.460,33.591,1.265,0.791,0.900,cluster
100,351,887.001,438.830,132.610,874,429,30,25,0.251,31.048,874,434,165.069,24.724,1.268,0.789,0.686,cluster
101,253,1002.532,467.014,99.882,990,456,29,19,0.319,30.083,990,467,164.578,18.313,1.788,0.559,0.678,cluster
102,640,607.064,475.714,205.865,583,464,49,29,0.190,50.010,583,469,168.465,22.421,2.587,0.387,0.685,cluster
103,270,879.985,585.322,128.610,868,574,25,22,0.205,27.586,869,574,133.531,21.839,1.101,0.908,0.617,cluster
104,300,736.613,693.803,118.610,725,683,24,21,0.268,25.000,729,685,143.130,21.000,1.173,0.852,0.727,cluster
