Area,X,Y,Perim.,BX,BY,Width,Height
101,612.208,106.545,0,607,102,12,10
105,629.600,110.467,0,625,105,10,12
93,600.301,121.505,0,596,116,10,12
209,635.402,137.612,0,629,128,15,20
101,761.386,136.723,0,757,131,10,14
92,729.967,159.478,0,725,155,11,11
192,729.771,178.401,0,722,169,21,22
86,706.616,176.140,0,702,171,10,11
75,719.653,179.347,0,715,174,10,11
94,845.691,184.500,0,841,179,10,12
100,733.310,186.630,0,728,181,12,12
87,638.609,196.391,0,634,191,12,11
115,628.087,198.461,0,620,192,15,14
171,637.497,207.345,0,631,201,15,16
50,626.900,207.500,0,623,204,8,8
114,872.877,211.614,0,868,205,11,14
94,517.511,211.574,0,512,207,12,10
51,630.020,214.235,0,626,211,10,7
92,549.870,222.707,0,546,217,9,12
91,444.110,231.429,0,440,226,10,12
86,473.663,250.070,0,469,245,10,11
110,414.764,249.918,0,407,246,15,10
59,681.949,251.559,0,679,247,7,10
140,925.136,261.493,0,912,255,25,16
184,612.266,269.380,0,605,261,16,20
221,632.009,269.502,0,622,263,21,14
43,928.395,269.628,0,925,266,8,8
123,940.325,272.537,0,933,266,19,13
88,762.330,271.693,0,757,268,12,9
126,769.992,277.873,0,764,269,12,18
135,779.644,275.874,0,774,270,14,13
77,686.870,276.675,0,682,273,11,9
105,788.295,281.000,0,783,273,11,16
81,799.741,278.889,0,796,274,9,11
75,418.987,281.253,0,415,277,9,10
77,874.494,281.688,0,871,277,10,12
87,867.816,284.356,0,864,278,8,15
82,618.305,284.268,0,613,279,11,12
33,887.970,280.939,0,884,279,9,5
70,609.143,283.814,0,604,280,11,9
96,778.521,286.729,0,773,282,14,10
132,885.455,288.462,0,879,282,14,13
56,876.821,288.732,0,873,283,8,11
57,775.246,296.474,0,772,291,9,11
70,747.071,297.000,0,743,293,10,9
116,869.802,301.759,0,863,296,14,13
157,864.745,313.159,0,858,306,15,14
128,442.828,314.445,0,437,308,12,14
83,457.289,311.855,0,452,308,11,10
115,597.174,320.000,0,592,314,11,13
80,737.050,317.887,0,732,314,11,9
76,766.632,324.039,0,762,319,10,11
219,853.082,340.447,0,851,319,6,45
129,974.070,328.496,0,968,322,14,13
76,459.250,326.842,0,454,323,11,9
177,784.531,329.689,0,771,324,27,12
161,800.665,337.329,0,793,327,17,20
77,588.506,335.662,0,584,331,10,10
78,813.282,338.385,0,809,333,9,12
185,412.486,341.427,0,405,334,17,18
92,965.696,339.707,0,960,335,12,10
155,421.361,352.490,0,416,343,12,20
249,864.289,351.566,0,856,343,18,18
50,737.180,350.340,0,732,347,11,8
122,739.574,357.615,0,734,352,12,12
50,415.360,357.140,0,412,353,8,9
178,397.983,363.848,0,381,360,35,8
129,986.527,362.853,0,976,360,22,7
74,1001.068,371.392,0,998,364,7,16
82,411.951,369.622,0,406,366,13,8
58,881.569,372.172,0,877,369,11,7
72,344.514,379.306,0,340,375,10,10
85,907.835,380.965,0,904,376,9,11
83,755.157,393.108,0,751,388,9,11
84,933.667,395.488,0,929,391,10,10
71,786.155,398.423,0,782,394,9,10
109,424.450,404.165,0,417,398,14,14
113,906.504,412.823,0,902,406,10,14
98,749.469,412.367,0,745,407,10,12
92,834.109,423.685,0,829,419,12,10
276,531.475,434.188,0,523,424,17,21
84,861.167,438.536,0,856,434,11,10
26,841.808,439.192,0,840,436,5,7
83,836.482,445.048,0,832,440,10,12
109,804.826,447.394,0,799,442,13,12
78,485.872,458.833,0,482,454,9,11
58,809.897,458.897,0,806,454,9,10
70,852.114,459.714,0,848,454,9,12
61,564.148,460.344,0,560,457,9,8
111,545.631,463.081,0,540,458,12,12
76,687.750,462.645,0,683,458,10,10
58,845.362,463.690,0,842,459,8,10
74,858.743,463.838,0,855,459,8,11
181,500.077,467.751,0,494,460,13,17
98,725.602,465.031,0,720,461,12,10
51,656.980,467.745,0,654,464,7,9
179,830.844,470.380,0,824,464,17,16
72,465.528,469.583,0,461,465,10,10
56,620.071,471.000,0,617,467,8,9
82,537.939,474.232,0,533,469,11,11
88,337.693,478.034,0,333,473,10,11
49,541.735,481.673,0,538,478,9,8
73,495.863,484.164,0,491,480,11,9
74,582.162,493.095,0,576,488,13,11
63,747.190,492.714,0,743,489,9,9
60,828.717,493.000,0,825,489,9,9
69,784.333,496.797,0,780,493,10,9
57,666.561,500.544,0,663,497,8,8
70,674.357,508.271,0,671,503,8,11
37,522.297,509.541,0,520,506,6,8
123,409.423,520.740,0,404,514,11,15
76,802.316,520.789,0,798,516,9,11
69,371.565,537.536,0,367,534,10,8
65,486.446,552.400,0,483,548,8,10
55,679.673,571.436,0,676,568,8,8
77,390.948,583.442,0,387,579,9,10
52,436.615,586.923,0,433,583,8,9
85,516.753,589.012,0,512,584,10,11
100,431.800,594.960,0,427,589,10,13
221,587.787,601.471,0,580,592,15,20
49,578.612,597.286,0,576,593,7,11
77,458.364,597.883,0,454,594,10,9
72,616.764,609.903,0,613,605,9,11
79,902.443,616.468,0,898,612,10,10
61,698.852,617.344,0,695,614,9,8
76,461.421,635.566,0,457,631,10,10
66,805.803,653.985,0,802,650,9,10
174,822.287,663.937,0,818,653,11,23
156,830.987,667.686,0,826,659,12,16
84,557.179,668.940,0,552,665,12,9
80,466.225,677.337,0,461,673,11,10
90,830.889,678.644,0,825,675,12,10
108,840.167,687.148,0,833,682,15,11
79,770.608,689.076,0,766,684,10,11
83,519.060,691.482,0,514,687,11,10
101,793.931,692.703,0,789,687,11,14
40,822.000,693.125,0,819,689,7,8
70,861.514,696.471,0,857,692,9,10
140,772.321,702.029,0,766,696,15,15
79,528.380,702.367,0,524,698,10,10
195,843.287,708.077,0,836,698,15,20
105,785.019,706.762,0,781,700,10,15
143,775.210,711.420,0,769,701,13,20
95,834.695,707.916,0,831,701,9,16
77,696.247,706.182,0,692,702,10,10
125,513.024,714.392,0,505,709,16,12
105,523.514,717.638,0,519,711,10,15
205,462.200,727.088,0,454,718,16,19
82,516.341,725.195,0,510,721,13,10
93,827.108,731.290,0,823,725,10,14
81,509.259,741.111,0,505,736,9,11
36,570.444,741.333,0,568,738,6,8
82,672.220,799.134,0,667,795,11,10
