 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,55,612.773,107.209,37.456,608,103,10,8,0.493,10.440,608,105,163.301,8.000,1.309,0.764,0.815
2,49,629.643,111.173,37.213,626,107,8,9,0.445,10.296,627,107,119.055,8.000,1.276,0.784,0.790
3,60,600.900,120.583,40.870,597,114,8,13,0.451,13.928,599,127,68.962,8.000,1.815,0.551,0.741
4,100,634.960,136.310,54.184,630,129,10,15,0.428,15.297,633,129,101.310,9.899,1.574,0.635,0.823
5,53,761.745,136.953,39.456,758,132,8,10,0.428,10.817,759,132,123.690,8.000,1.328,0.753,0.785
6,30,539.200,150.700,19.899,536,148,7,5,0.952,8.062,536,148,150.255,5.000,1.529,0.654,0.923
7,125,731.260,176.204,53.941,725,166,13,18,0.540,18.385,728,166,112.380,11.245,1.519,0.658,0.751
8,57,707.061,176.482,26.971,703,172,8,9,0.985,10.817,704,172,123.690,7.778,1.413,0.708,0.927
9,95,742.658,180.595,40.042,737,173,12,13,0.745,16.401,739,173,127.569,9.899,1.659,0.603,0.852
10,52,846.000,185.000,26.627,842,180,8,10,0.922,10.198,845,190,78.690,8.000,1.163,0.860,0.867
11,51,725.539,187.520,27.556,722,182,7,10,0.844,10.770,724,182,111.801,7.000,1.426,0.701,0.879
12,53,733.708,187.575,28.971,729,184,10,8,0.794,11.662,729,191,30.964,7.761,1.515,0.660,0.848
13,98,743.092,192.449,40.627,737,187,11,14,0.746,14.866,743,201,70.346,11.000,1.321,0.757,0.867
14,124,732.944,197.968,51.941,724,192,18,12,0.578,20.125,724,193,153.435,12.000,1.575,0.635,0.803
15,26,648.846,203.423,27.213,645,200,7,9,0.441,10.817,645,200,123.690,4.919,2.575,0.388,0.667
16,74,872.973,212.203,42.870,869,206,8,12,0.506,12.649,871,218,71.565,8.000,1.487,0.673,0.865
17,64,518.031,212.031,29.213,513,207,10,9,0.942,11.180,513,210,153.435,8.485,1.318,0.758,0.901
18,54,550.407,223.370,38.971,547,218,7,10,0.447,10.770,548,228,68.199,7.000,1.313,0.762,0.850
19,44,444.455,231.341,31.213,441,227,7,9,0.568,9.487,443,227,108.435,7.000,1.347,0.743,0.822
20,49,474.153,250.316,34.627,470,246,8,9,0.514,10.296,472,255,60.945,8.000,1.365,0.732,0.803
21,39,417.064,250.833,31.799,414,247,7,8,0.485,9.220,415,247,130.601,7.000,1.081,0.925,0.788
22,45,682.367,252.033,32.385,679,248,7,8,0.539,9.434,680,248,122.005,7.000,1.243,0.805,0.849
23,60,609.967,268.483,32.042,605,264,10,10,0.734,12.207,608,274,55.008,8.043,1.623,0.616,0.833
24,107,950.977,272.921,58.669,942,266,20,14,0.391,22.825,942,268,151.189,8.598,3.413,0.293,0.738
25,65,763.146,272.100,28.971,758,268,10,8,0.973,11.662,758,269,149.036,8.000,1.409,0.710,0.922
26,70,935.057,272.429,43.941,926,268,15,10,0.456,17.493,926,268,149.036,8.497,2.506,0.399,0.725
27,56,770.714,277.946,40.284,765,271,9,14,0.434,14.142,771,285,81.870,8.728,1.778,0.562,0.691
28,114,782.219,278.070,48.870,775,271,15,13,0.600,17.029,778,271,130.236,11.359,1.422,0.703,0.778
29,44,687.318,277.000,24.385,683,273,8,8,0.930,9.220,684,274,139.399,7.603,1.186,0.843,0.854
30,41,799.866,279.110,31.799,797,275,6,9,0.510,9.487,798,275,108.435,6.000,1.485,0.674,0.837
31,78,949.167,280.692,54.669,941,276,16,11,0.328,17.088,941,278,159.444,8.800,2.145,0.466,0.693
32,37,419.365,281.149,28.627,416,277,7,8,0.567,8.944,417,285,63.435,7.000,1.332,0.751,0.787
33,98,875.643,285.194,45.698,870,278,11,15,0.590,15.811,873,278,108.435,10.286,1.615,0.619,0.813
34,45,867.144,284.433,27.799,863,279,8,10,0.732,10.440,867,279,106.699,7.692,1.427,0.701,0.789
35,75,619.887,285.273,32.971,614,281,11,9,0.867,13.601,614,281,143.973,8.825,1.515,0.660,0.904
36,89,885.893,288.253,40.870,880,283,13,11,0.670,15.811,880,293,34.695,10.983,1.452,0.689,0.813
37,44,959.909,287.977,30.385,953,285,13,6,0.599,13.601,953,287,162.897,5.082,2.946,0.339,0.815
38,36,747.444,297.722,21.899,744,295,7,6,0.943,8.602,744,295,144.462,6.000,1.279,0.782,0.923
39,56,870.411,300.643,34.627,864,296,12,9,0.587,14.213,865,305,39.289,6.174,2.698,0.371,0.794
40,46,327.087,306.913,36.627,323,303,8,8,0.431,10.000,324,303,126.870,8.000,1.140,0.877,0.793
41,81,445.969,315.562,48.284,440,309,12,14,0.437,15.652,442,309,116.565,12.000,1.192,0.839,0.656
42,46,457.870,312.000,25.556,453,309,9,7,0.885,10.000,453,310,143.130,7.000,1.457,0.686,0.893
43,49,867.724,313.643,29.213,864,309,8,9,0.722,10.630,864,310,131.186,7.778,1.310,0.763,0.845
44,51,737.578,318.245,25.799,733,314,9,8,0.963,9.487,733,317,161.565,7.906,1.244,0.804,0.872
45,57,455.079,319.342,28.971,451,315,9,9,0.853,10.630,452,315,138.814,9.000,1.107,0.903,0.857
46,42,598.214,321.333,28.627,595,317,7,9,0.644,9.487,597,317,108.435,7.000,1.437,0.696,0.808
47,29,766.534,324.569,23.556,764,321,6,7,0.657,8.602,765,321,125.538,5.883,1.467,0.682,0.795
48,45,459.256,327.011,30.042,455,323,8,8,0.627,9.434,457,323,122.005,7.778,1.249,0.801,0.833
49,55,972.755,328.555,36.627,969,323,8,10,0.515,10.770,970,333,68.199,8.000,1.223,0.818,0.815
50,43,588.965,336.244,22.971,585,333,8,7,1.000,8.944,585,338,26.565,7.000,1.246,0.803,0.915
51,36,813.417,338.667,27.213,810,335,7,8,0.611,9.434,811,335,122.005,7.000,1.369,0.730,0.783
52,42,416.119,339.000,26.385,411,336,9,8,0.758,9.899,411,337,135.000,7.766,1.207,0.829,0.816
53,46,965.413,340.152,34.042,961,336,9,8,0.499,10.296,961,342,29.055,7.906,1.262,0.793,0.780
54,49,410.929,345.173,28.971,408,339,6,12,0.734,12.369,410,339,104.036,5.754,2.292,0.436,0.860
55,48,867.917,348.292,32.385,864,344,8,8,0.575,10.000,864,351,36.870,7.906,1.200,0.833,0.835
56,59,739.314,355.263,38.870,735,349,9,11,0.491,11.705,737,360,70.017,8.974,1.421,0.704,0.738
57,109,597.638,367.794,61.556,585,365,27,5,0.361,27.295,585,365,171.573,5.000,6.339,0.158,0.879
58,44,344.727,379.227,31.799,341,375,8,8,0.547,9.434,341,382,32.005,8.000,1.100,0.909,0.793
59,46,908.239,381.000,34.870,905,376,7,10,0.475,10.440,907,376,106.699,7.000,1.461,0.684,0.793
60,50,755.540,393.260,25.556,752,389,7,9,0.962,9.487,755,398,71.565,7.000,1.196,0.836,0.909
61,45,933.944,395.722,32.042,930,392,8,8,0.551,10.000,931,392,126.870,7.778,1.135,0.881,0.818
62,26,786.308,398.538,20.728,784,395,5,7,0.760,8.602,784,402,54.462,5.000,1.816,0.551,0.839
63,40,426.550,402.725,32.042,423,398,7,11,0.490,11.705,425,409,70.017,7.000,1.691,0.591,0.690
64,36,749.306,411.778,22.971,746,408,7,7,0.857,8.602,746,414,35.538,7.000,1.174,0.852,0.847
65,25,907.220,412.180,24.971,904,408,7,7,0.504,8.062,906,408,119.745,6.000,1.644,0.608,0.658
66,25,783.340,414.820,21.556,781,412,6,7,0.676,8.602,782,419,54.462,5.659,1.747,0.572,0.746
67,49,834.092,424.112,25.799,830,420,9,8,0.925,9.487,830,422,161.565,8.000,1.073,0.932,0.860
68,57,301.395,427.675,37.456,297,422,9,10,0.511,12.207,299,422,124.992,9.000,1.214,0.824,0.755
