Area,X,Y,Perim.,BX,BY,Width,Height
48,1363.917,3.396,0,1361,0,7,8
27,513.481,35.630,0,512,32,4,8
20,1235.050,33.450,0,1233,32,6,4
22,105.591,35.773,0,104,33,4,7
208,189.462,41.308,0,183,34,14,16
33,1179.515,36.727,0,1176,34,8,6
28,9.500,43.500,0,8,40,4,8
26,1371.654,43.423,0,1369,41,6,6
25,129.440,51.320,0,128,48,4,7
32,1226.062,52.781,0,1224,49,6,8
27,1105.519,59.370,0,1104,56,4,8
22,1156.227,61.591,0,1153,60,7,4
26,913.500,67.231,0,912,64,4,7
28,1355.536,76.500,0,1353,74,6,6
44,131.591,83.591,0,128,80,8,8
28,905.500,99.500,0,904,96,4,8
36,1217.778,100.056,0,1216,96,5,9
30,1218.567,109.200,0,1216,107,7,6
20,1291.500,121.500,0,1289,120,6,4
21,1201.571,123.619,0,1200,121,4,6
233,1123.146,132.953,0,1115,124,16,18
33,1289.848,130.424,0,1288,127,5,8
28,1153.500,131.500,0,1152,128,4,8
28,1353.500,147.500,0,1352,144,4,8
50,730.960,156.320,0,727,153,8,8
87,867.529,171.552,0,863,167,10,10
30,1362.000,171.867,0,1360,168,5,8
40,795.700,171.875,0,793,169,7,7
27,853.444,171.407,0,851,169,6,6
17,1345.824,187.882,0,1344,185,4,6
89,743.742,195.472,0,736,193,16,6
131,1163.458,218.359,0,1157,213,14,12
138,1339.500,243.551,0,1334,237,12,14
28,1129.500,243.500,0,1128,240,4,8
23,1061.087,244.783,0,1059,242,5,6
44,1020.409,251.045,0,1017,247,7,9
45,1060.844,259.022,0,1058,255,7,9
35,1203.486,259.371,0,1200,257,8,6
54,411.759,283.537,0,408,280,8,8
302,937.623,296.119,0,930,286,18,23
22,1260.091,297.091,0,1258,295,5,5
57,1275.561,299.456,0,1272,296,8,8
22,1284.500,305.500,0,1282,304,6,4
29,1345.690,315.241,0,1344,312,5,8
48,1378.458,315.646,0,1375,312,8,8
58,1356.259,318.069,0,1353,314,8,10
127,91.402,323.409,0,86,318,12,13
57,1251.684,323.772,0,1248,320,8,9
18,1078.778,323.778,0,1077,321,4,6
76,857.355,326.645,0,853,322,10,10
51,1266.863,324.863,0,1263,322,9,7
60,1243.500,331.500,0,1240,328,8,8
56,1259.607,331.071,0,1256,328,9,8
28,57.500,339.500,0,56,336,4,8
64,1250.734,339.875,0,1247,336,8,9
111,536.000,350.793,0,529,343,14,14
63,1243.730,346.730,0,1239,343,10,9
45,1330.400,346.178,0,1327,343,8,7
36,155.694,347.444,0,153,344,7,8
39,1080.795,347.949,0,1079,344,5,9
52,1315.885,347.865,0,1312,344,8,8
44,1250.455,348.909,0,1247,345,7,9
56,211.107,354.893,0,207,351,9,9
53,1282.849,355.245,0,1278,352,10,7
67,1323.955,355.448,0,1320,352,9,8
65,1347.754,355.738,0,1344,352,9,8
29,1155.034,356.034,0,1153,353,5,7
41,1341.000,362.000,0,1338,359,7,7
53,1251.132,363.358,0,1248,360,8,8
36,1374.389,364.139,0,1372,361,6,7
226,1023.752,376.283,0,1015,369,18,18
71,615.155,382.141,0,612,377,7,11
65,1323.692,387.538,0,1320,383,9,9
89,804.360,395.539,0,800,390,10,12
85,1291.447,403.635,0,1287,399,10,10
28,53.500,411.500,0,52,408,4,8
120,1159.600,411.400,0,1152,408,16,8
65,1299.723,411.446,0,1296,408,9,8
57,1347.789,412.018,0,1344,408,9,8
53,1355.774,415.226,0,1353,410,7,11
49,1362.347,419.878,0,1359,415,8,9
242,724.917,426.182,0,714,419,22,16
100,1343.270,422.890,0,1338,419,12,10
28,201.500,427.500,0,200,424,4,8
72,1227.236,427.861,0,1223,424,9,9
31,1356.032,427.129,0,1353,425,7,5
47,1220.809,434.362,0,1217,431,8,8
61,1234.213,435.557,0,1231,431,8,10
46,1227.957,443.413,0,1225,440,8,8
29,1242.793,446.000,0,1240,444,7,5
76,1235.684,451.092,0,1231,447,10,10
53,1371.170,450.585,0,1367,447,9,8
26,17.577,451.269,0,16,448,4,8
37,1251.162,452.432,0,1249,449,5,8
35,1364.914,452.571,0,1362,450,7,6
21,1395.667,454.048,0,1392,453,8,3
114,1342.956,461.061,0,1337,454,12,14
45,1196.222,459.178,0,1193,455,7,9
30,1299.467,457.533,0,1297,455,6,6
28,137.500,459.500,0,136,456,4,8
37,1202.757,459.162,0,1200,456,7,7
48,1387.667,459.792,0,1384,456,8,8
121,1154.893,470.074,0,1150,464,11,14
115,1294.730,467.809,0,1288,464,15,9
