 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,34,865.794,262.912,21.556,862,259,7,7,0.919,8.062,863,266,60.255,6.708,1.196,0.836,0.850
2,58,686.448,326.966,27.213,682,322,9,9,0.984,10.630,682,330,41.186,7.778,1.326,0.754,0.899
3,42,474.095,328.262,23.556,471,324,6,9,0.951,10.296,471,324,119.055,6.000,1.657,0.603,0.913
4,42,931.452,337.881,24.385,928,333,7,9,0.888,9.849,929,342,66.038,6.364,1.580,0.633,0.884
5,58,531.345,342.793,30.971,528,336,7,12,0.760,12.649,529,348,71.565,7.000,1.777,0.563,0.853
6,68,464.691,365.868,31.213,460,361,9,11,0.877,13.038,461,361,122.471,8.433,1.611,0.621,0.877
7,31,917.629,441.468,19.899,915,438,5,7,0.984,8.062,916,445,60.255,5.000,1.443,0.693,0.939
8,53,997.425,447.594,26.627,993,443,9,9,0.939,10.296,993,445,150.945,7.778,1.366,0.732,0.862
9,42,811.833,455.881,23.556,808,452,7,8,0.951,9.434,810,460,57.995,7.000,1.361,0.735,0.903
10,39,523.679,462.295,23.799,520,458,7,9,0.865,10.000,520,459,126.870,6.200,1.691,0.591,0.839
11,63,688.627,503.706,28.385,684,499,9,9,0.983,10.296,684,506,29.055,8.854,1.149,0.870,0.913
12,40,373.450,504.975,22.385,370,501,7,8,1.000,8.544,372,501,110.556,7.000,1.095,0.913,0.870
13,63,554.690,507.246,29.556,550,503,9,9,0.906,10.630,551,511,48.814,8.974,1.091,0.916,0.894
14,77,411.604,525.617,36.042,407,519,9,14,0.745,15.232,408,519,113.199,8.200,1.994,0.502,0.856
15,79,383.943,530.589,38.971,381,522,6,16,0.654,16.279,383,522,100.620,6.000,2.603,0.384,0.913
16,66,969.273,529.379,29.213,964,525,10,9,0.972,10.770,964,528,158.199,9.000,1.232,0.811,0.892
17,103,402.015,538.257,50.627,396,527,9,21,0.505,21.095,402,527,95.440,9.000,2.471,0.405,0.760
18,74,372.122,533.676,33.456,367,528,10,12,0.831,13.416,368,528,116.565,8.050,1.642,0.609,0.865
19,41,1080.256,536.695,22.971,1076,534,9,6,0.976,9.487,1076,538,18.435,6.000,1.478,0.676,0.901
20,29,489.603,545.190,20.971,486,542,8,6,0.829,9.434,486,542,147.995,4.950,2.138,0.468,0.853
21,52,559.885,563.538,27.213,556,559,8,9,0.882,9.849,558,568,66.038,8.000,1.147,0.872,0.874
22,54,828.611,572.204,25.799,824,568,9,8,1.000,9.849,824,574,23.962,8.000,1.225,0.816,0.900
23,26,1070.385,574.462,18.142,1067,572,7,5,0.993,7.280,1067,573,164.055,5.000,1.349,0.742,0.881
24,75,758.847,599.687,30.971,754,595,10,9,0.983,11.402,756,595,127.875,9.000,1.139,0.878,0.938
25,73,453.048,627.199,35.799,448,623,10,9,0.716,11.402,450,632,52.125,9.000,1.161,0.861,0.885
26,87,586.454,634.247,34.042,581,628,10,12,0.943,13.000,584,640,67.380,9.899,1.306,0.766,0.916
27,71,1035.599,637.176,30.385,1031,632,9,10,0.966,11.402,1031,634,142.125,9.000,1.161,0.862,0.922
28,50,793.600,684.200,25.799,789,680,9,8,0.944,9.487,789,683,161.565,8.000,1.158,0.864,0.877
29,61,961.861,745.533,32.627,956,741,12,9,0.720,13.416,956,743,153.435,7.546,2.202,0.454,0.797
30,45,1122.144,754.678,24.971,1119,750,6,9,0.907,9.849,1121,750,113.962,6.000,1.478,0.677,0.918
31,54,936.722,763.611,31.799,933,757,7,12,0.671,12.369,935,769,75.964,6.505,2.098,0.477,0.818
32,32,443.312,772.094,21.799,440,768,7,8,0.846,9.434,441,776,57.995,4.950,1.954,0.512,0.842
33,73,646.075,787.486,38.042,641,783,11,9,0.634,12.207,641,784,145.008,9.000,1.290,0.775,0.869
34,42,855.167,818.810,24.385,852,814,7,9,0.888,9.220,855,814,102.529,7.000,1.347,0.742,0.848
35,36,552.111,826.056,25.799,549,821,7,10,0.680,10.817,549,821,123.690,5.659,2.225,0.449,0.774
36,27,543.796,827.241,20.728,541,823,5,8,0.790,8.544,543,823,110.556,4.919,1.870,0.535,0.857
37,42,1030.000,829.643,24.385,1025,826,9,7,0.888,9.487,1025,829,161.565,6.957,1.364,0.733,0.857
38,27,563.130,837.352,20.142,560,834,6,7,0.836,8.485,560,835,135.000,5.657,1.623,0.616,0.831
