Area,X,Y,Perim.,BX,BY,Width,Height
40,1252.900,1.950,0,1249,0,9,6
64,1266.047,8.484,0,1261,4,11,10
34,604.088,67.324,0,602,64,5,8
71,902.197,103.352,0,898,99,9,10
47,1323.830,106.702,0,1320,104,9,7
106,1271.443,120.519,0,1266,116,13,11
65,1219.046,123.246,0,1214,119,10,9
93,1395.376,131.677,0,1390,127,12,10
116,1411.345,136.302,0,1405,130,13,13
113,1387.735,255.814,0,1383,249,10,15
101,196.515,275.406,0,191,270,11,12
70,1052.043,283.943,0,1048,280,9,9
30,451.300,291.967,0,449,289,6,7
44,1065.932,298.795,0,1063,296,7,7
299,505.666,313.920,0,496,304,20,20
56,935.143,316.375,0,932,312,8,9
143,1302.832,334.224,0,1296,329,15,12
73,1416.164,338.082,0,1412,334,10,9
121,583.256,383.917,0,576,377,15,14
100,841.230,385.790,0,835,381,13,11
103,1053.204,388.883,0,1048,382,11,14
92,813.793,394.446,0,809,390,11,10
68,544.765,395.647,0,539,392,12,8
18,1123.611,435.556,0,1122,433,4,6
92,1304.228,463.022,0,1299,458,12,11
100,76.990,467.120,0,72,462,11,11
74,852.473,474.689,0,848,470,11,10
86,963.860,477.465,0,959,473,11,10
72,420.486,480.250,0,415,477,13,9
26,1187.654,492.577,0,1185,490,6,7
165,1409.709,519.461,0,1402,513,18,13
53,1187.698,523.943,0,1184,520,9,8
55,566.400,574.855,0,564,569,6,13
63,1081.333,575.810,0,1077,572,9,9
79,929.304,577.443,0,924,574,12,8
161,207.758,592.689,0,202,585,12,16
67,815.090,596.821,0,811,593,10,9
78,1136.526,600.756,0,1131,596,12,10
112,1278.366,624.080,0,1273,618,12,13
90,1061.989,667.400,0,1057,663,11,10
125,731.680,683.504,0,726,678,13,12
169,1375.982,687.899,0,1369,682,16,13
86,35.326,707.186,0,31,703,10,10
38,17.974,708.684,0,15,705,7,8
109,746.174,756.541,0,737,751,19,12
58,134.828,763.241,0,130,760,11,7
48,734.646,775.104,0,730,772,10,7
86,37.349,779.942,0,32,776,12,9
69,170.435,780.913,0,167,776,8,11
124,253.048,828.000,0,248,821,12,15
157,286.331,840.204,0,281,832,12,17
76,569.316,842.921,0,566,836,7,14
86,253.558,851.814,0,248,848,12,9
89,703.461,858.865,0,698,854,12,10
63,727.048,861.619,0,722,858,11,8
121,755.372,871.719,0,750,866,12,13
42,229.452,874.286,0,225,872,9,6
263,515.084,900.342,0,506,892,19,19
104,187.558,921.096,0,183,914,9,15
123,351.667,928.959,0,346,923,12,13
141,1319.688,949.298,0,1313,944,15,12
94,274.723,963.191,0,270,957,11,14
53,1036.057,963.698,0,1033,960,8,9
145,303.972,979.745,0,299,972,11,16
63,250.952,996.111,0,247,992,9,9
46,4.413,1011.391,0,0,1009,11,6
118,306.712,1019.127,0,302,1011,10,16
51,5.608,1017.529,0,1,1014,10,8
56,1139.500,1018.786,0,1136,1015,8,9
72,1146.417,1027.986,0,1142,1024,10,9
53,1211.358,1027.679,0,1208,1024,8,8
47,55.681,1029.702,0,51,1027,10,7
46,61.978,1033.674,0,59,1030,7,9
55,10.600,1035.927,0,6,1032,10,9
68,365.824,1036.956,0,361,1033,10,9
46,50.152,1036.478,0,43,1034,15,5
74,5.365,1040.973,0,1,1036,10,10
55,387.527,1043.782,0,384,1040,8,8
114,16.991,1046.500,0,11,1041,15,12
99,396.000,1053.101,0,392,1046,9,15
46,2.978,1052.130,0,1,1047,5,11
70,686.686,1053.243,0,683,1049,9,10
54,53.630,1056.481,0,48,1054,12,6
40,41.350,1058.500,0,37,1056,10,6
39,413.282,1059.897,0,410,1056,7,9
61,747.787,1059.508,0,743,1056,10,8
81,49.938,1062.815,0,42,1059,16,8
69,340.638,1066.696,0,337,1063,9,9
41,1227.610,1067.780,0,1224,1065,8,7
152,382.539,1073.875,0,376,1067,15,13
