 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,60,847.383,317.933,27.556,843,314,9,8,0.993,10.817,843,321,33.690,8.000,1.305,0.766,0.938,cell
2,72,706.403,342.083,30.385,701,338,11,8,0.980,11.705,701,340,160.017,8.000,1.322,0.756,0.935,cell
3,67,1010.351,342.082,29.799,1005,338,11,8,0.948,11.705,1005,344,19.983,8.000,1.461,0.684,0.905,cell
4,45,593.744,388.011,26.385,590,383,7,10,0.812,10.770,592,383,111.801,6.247,1.955,0.512,0.833,cell
5,91,546.533,389.797,51.355,539,384,16,12,0.434,17.205,541,385,144.462,10.262,1.870,0.535,0.667,cell
6,39,584.987,389.756,27.799,579,387,11,6,0.634,11.402,579,389,164.745,5.491,2.457,0.407,0.772,cell
7,60,585.500,398.683,31.456,581,393,9,11,0.762,11.402,582,394,127.875,8.356,1.538,0.650,0.822,cell
8,83,1007.536,401.367,38.627,1001,395,12,11,0.699,14.866,1002,406,47.726,10.607,1.417,0.706,0.826,cell
9,39,1018.218,402.731,26.971,1015,397,6,11,0.674,11.180,1017,408,79.695,5.376,2.290,0.437,0.796,cell
10,69,419.645,421.717,30.627,415,417,10,10,0.924,12.042,416,417,131.634,8.485,1.415,0.707,0.885,cell
11,57,657.465,438.939,26.385,653,435,9,8,1.000,9.849,653,437,156.038,8.000,1.180,0.848,0.912,cell
12,62,1072.629,454.194,34.042,1068,449,9,12,0.672,13.892,1069,461,59.744,8.004,2.110,0.474,0.790,cell
13,62,1088.484,457.097,29.799,1084,452,9,10,0.877,11.662,1085,462,59.036,8.050,1.479,0.676,0.879,cell
14,42,423.119,483.119,35.799,418,479,11,8,0.412,11.705,418,481,160.017,8.000,1.260,0.794,0.622,cell
15,74,504.243,493.068,31.213,499,488,10,10,0.954,12.207,499,490,145.008,9.192,1.314,0.761,0.902,cell
16,57,734.939,499.307,34.627,729,494,12,10,0.597,13.000,729,498,157.380,9.192,1.575,0.635,0.731,cell
17,103,671.665,517.995,50.770,666,508,12,18,0.502,20.591,667,508,119.055,8.460,3.027,0.330,0.772,cell
18,79,871.133,534.133,31.213,866,529,10,10,1.000,11.180,869,529,116.565,9.899,1.069,0.936,0.935,cell
19,50,447.080,548.260,25.556,443,545,9,7,0.962,9.849,443,551,23.962,7.000,1.297,0.771,0.917,cell
20,100,654.730,555.700,57.255,645,551,19,11,0.383,19.925,645,555,162.474,9.617,2.499,0.400,0.619,cell
21,42,671.667,554.048,23.556,667,551,9,6,0.951,9.849,667,556,23.962,6.000,1.612,0.620,0.913,cell
22,63,1086.484,575.262,44.870,1079,569,12,12,0.393,15.000,1079,578,36.870,10.927,1.521,0.657,0.615,cell
23,32,738.219,582.406,20.142,735,579,6,7,0.991,8.602,736,579,125.538,5.657,1.522,0.657,0.914,cell
24,25,620.580,583.060,17.314,618,580,5,6,1.000,6.708,619,580,116.565,5.000,1.230,0.813,0.909,cell
25,32,693.656,592.625,20.971,690,589,7,7,0.914,8.602,690,595,35.538,5.657,1.694,0.590,0.853,cell
26,49,1115.357,593.480,26.971,1111,589,8,9,0.846,10.630,1112,597,48.814,7.761,1.448,0.691,0.867,cell
27,56,715.625,600.161,26.971,712,596,8,9,0.967,9.849,714,605,66.038,8.000,1.136,0.880,0.911,cell
28,35,714.157,614.014,22.385,710,611,8,7,0.878,8.544,710,615,20.556,6.934,1.250,0.800,0.833,cell
29,76,710.263,625.079,38.042,705,620,11,11,0.660,13.038,706,620,122.471,10.590,1.146,0.872,0.784,cell
30,57,666.816,627.675,31.799,663,622,7,12,0.708,12.369,664,622,104.036,6.788,2.051,0.488,0.820,cell
31,32,687.250,633.688,22.728,683,631,8,5,0.778,8.944,683,636,26.565,5.000,1.757,0.569,0.877,cell
32,58,805.776,651.621,27.213,801,647,9,9,0.984,10.817,801,654,33.690,7.778,1.322,0.756,0.899,cell
33,41,842.963,660.085,24.142,839,657,8,7,0.884,10.000,839,663,36.870,6.261,1.589,0.629,0.891,cell
34,56,599.161,664.161,29.213,595,659,8,10,0.825,11.662,596,659,120.964,7.452,1.709,0.585,0.855,cell
35,26,782.000,663.500,19.556,778,661,8,5,0.854,8.544,778,662,159.444,4.950,1.778,0.562,0.867,cell
36,61,567.418,675.156,27.556,563,671,9,8,1.000,10.296,563,678,29.055,8.000,1.168,0.856,0.938,cell
37,66,732.273,683.788,29.213,727,679,10,9,0.972,10.817,728,687,33.690,8.944,1.228,0.814,0.898,cell
38,54,377.944,692.685,26.971,373,689,10,7,0.933,10.770,373,695,21.801,7.000,1.494,0.669,0.908,cell
39,25,371.060,712.060,19.314,367,710,8,4,0.842,8.944,367,714,26.565,4.000,2.199,0.455,0.909,cell
40,43,734.616,721.384,22.728,731,718,7,7,1.000,8.602,732,718,125.538,7.000,1.088,0.919,0.945,cell
41,26,720.000,763.385,19.556,717,760,6,7,0.854,8.602,718,767,54.462,4.950,2.051,0.487,0.825,cell
42,39,655.500,772.500,22.142,652,769,7,7,1.000,8.602,653,769,125.538,6.708,1.283,0.780,0.907,cell
43,147,794.330,784.820,55.941,789,774,10,20,0.590,20.881,791,794,73.301,10.000,2.369,0.422,0.838,cell
44,98,616.408,790.765,47.698,609,786,16,10,0.541,16.763,609,795,17.354,8.974,2.145,0.466,0.778,cell
45,69,407.877,799.949,29.799,402,796,11,8,0.976,11.402,402,799,164.745,8.000,1.323,0.756,0.926,cell
46,156,395.853,819.635,76.569,388,810,19,18,0.334,20.248,390,811,147.095,16.100,1.037,0.964,0.665,cell
47,86,891.814,825.500,33.799,887,820,10,11,0.946,11.705,890,820,109.983,10.000,1.122,0.891,0.915,cell
48,111,410.167,828.932,60.770,400,823,18,13,0.378,18.439,400,830,12.529,12.522,1.284,0.779,0.661,cell
49,25,416.620,836.940,17.899,413,835,7,4,0.981,7.616,413,838,23.199,4.000,1.706,0.586,0.943,cell
50,53,514.349,844.858,25.799,510,841,9,8,1.000,9.849,510,847,23.962,8.000,1.232,0.812,0.891,cell
51,62,809.226,854.274,29.213,804,850,10,9,0.913,11.402,805,850,127.875,8.485,1.354,0.738,0.879,cell
52,98,480.541,855.888,36.627,474,851,13,10,0.918,13.601,474,858,17.103,10.000,1.358,0.736,0.912,cell
53,95,860.026,859.184,37.698,854,853,12,13,0.840,13.601,858,853,107.103,10.118,1.344,0.744,0.872,cell
54,67,898.067,881.187,28.971,894,876,8,10,1.000,11.180,896,876,116.565,8.000,1.286,0.778,0.931,cell
55,69,795.312,885.442,30.042,791,880,9,11,0.961,11.180,794,880,100.305,9.000,1.162,0.860,0.885,cell
56,54,438.852,887.500,31.799,432,884,13,6,0.671,13.601,432,890,17.103,6.000,2.422,0.413,0.857,cell
57,76,934.105,892.079,31.799,928,888,12,8,0.944,12.166,928,891,170.538,8.000,1.392,0.719,0.916,cell
58,78,518.308,899.513,31.799,513,895,11,9,0.969,11.705,513,902,19.983,9.000,1.189,0.841,0.923,cell
59,78,813.808,933.692,43.355,808,927,12,13,0.521,15.811,809,927,124.695,8.403,2.288,0.437,0.739,cell
60,83,859.127,952.970,32.971,854,948,10,10,0.959,12.806,855,948,128.660,9.899,1.263,0.792,0.938,cell
61,67,820.888,964.933,37.941,815,960,12,10,0.585,14.422,815,969,33.690,7.906,2.145,0.466,0.753,cell
62,69,789.848,985.297,31.799,785,979,9,11,0.857,13.038,786,990,57.529,8.485,1.615,0.619,0.908,cell
63,442,815.995,262.805,153.581,797,247,36,32,0.235,36.346,797,260,7.907,26.859,1.646,0.608,0.623,cluster
64,779,884.257,442.463,299.747,860,420,46,41,0.109,46.872,860,449,11.070,39.554,1.283,0.779,0.569,cluster
65,900,683.826,609.819,277.262,653,585,55,46,0.147,63.655,657,585,136.273,35.794,2.093,0.478,0.564,cluster
66,274,771.405,613.343,72.083,761,603,22,20,0.663,22.804,761,607,164.745,19.922,1.045,0.957,0.835,cluster
67,317,944.869,673.267,125.054,932,661,32,24,0.255,33.838,932,663,161.030,21.563,1.482,0.675,0.625,cluster
68,270,655.548,715.874,128.024,647,699,23,31,0.207,32.016,652,699,104.470,20.237,1.941,0.515,0.570,cluster
69,377,626.248,725.447,148.752,613,713,33,26,0.214,38.419,616,738,38.660,24.824,1.509,0.663,0.602,cluster
70,295,623.873,777.408,118.711,609,761,30,27,0.263,31.385,621,761,120.651,24.166,1.427,0.701,0.613,cluster
71,679,431.712,861.565,158.894,410,845,38,36,0.338,40.497,410,856,159.775,31.063,1.293,0.774,0.753,cluster
72,229,815.365,950.421,88.569,803,941,24,19,0.367,24.515,803,951,11.768,17.261,1.670,0.599,0.693,cluster
