 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,121,825.103,255.285,64.184,816,247,17,15,0.369,18.028,817,251,146.310,14.069,1.569,0.637,0.652
2,49,803.480,260.643,29.213,797,258,12,6,0.722,12.649,797,258,161.565,6.000,2.159,0.463,0.838
3,60,847.383,317.933,27.556,843,314,9,8,0.993,10.817,843,321,33.690,8.000,1.305,0.766,0.938
4,39,578.244,335.526,23.799,575,332,7,8,0.865,8.602,575,338,35.538,7.000,1.070,0.935,0.839
5,104,580.808,344.817,45.113,574,337,13,16,0.642,17.088,581,353,69.444,11.489,1.484,0.674,0.816
6,120,589.033,348.917,57.113,583,338,12,22,0.462,23.087,584,360,72.350,10.119,2.974,0.336,0.721
7,72,706.403,342.083,30.385,701,338,11,8,0.980,11.705,701,340,160.017,8.000,1.322,0.756,0.935
8,67,1010.351,342.082,29.799,1005,338,11,8,0.948,11.705,1005,344,19.983,8.000,1.461,0.684,0.905
9,38,587.526,374.763,24.385,583,371,8,8,0.803,10.000,585,371,126.870,5.657,1.821,0.549,0.864
10,78,565.064,380.154,38.042,559,373,12,12,0.677,15.000,559,376,143.130,8.655,1.964,0.509,0.808
11,45,593.744,388.011,26.385,590,383,7,10,0.812,10.770,592,383,111.801,6.247,1.955,0.512,0.833
12,73,545.116,388.774,37.456,539,384,13,9,0.654,13.601,539,393,17.103,8.910,1.626,0.615,0.793
13,43,565.779,389.337,23.556,562,386,8,7,0.974,8.602,563,386,125.538,7.000,1.091,0.917,0.896
14,76,573.724,394.776,32.385,568,390,11,9,0.911,12.042,570,390,131.634,9.000,1.217,0.822,0.899
15,60,585.500,398.683,31.456,581,393,9,11,0.762,11.402,582,394,127.875,8.356,1.538,0.650,0.822
16,83,1007.536,401.367,38.627,1001,395,12,11,0.699,14.866,1002,406,47.726,10.607,1.417,0.706,0.826
17,39,1018.218,402.731,26.971,1015,397,6,11,0.674,11.180,1017,408,79.695,5.376,2.290,0.437,0.796
18,56,574.250,403.750,30.385,569,400,11,8,0.762,12.207,569,408,34.992,7.692,1.648,0.607,0.818
19,38,577.132,410.684,22.142,574,407,7,7,0.974,8.602,574,414,35.538,6.957,1.222,0.818,0.905
20,69,419.645,421.717,30.627,415,417,10,10,0.924,12.042,416,417,131.634,8.485,1.415,0.707,0.885
21,57,657.465,438.939,26.385,653,435,9,8,1.000,9.849,653,437,156.038,8.000,1.180,0.848,0.912
22,41,883.866,439.890,26.385,880,436,8,9,0.740,10.296,881,436,119.055,7.071,1.442,0.694,0.759
23,67,868.157,441.679,35.799,862,438,14,7,0.657,14.866,862,439,160.346,7.000,2.311,0.433,0.848
24,88,880.920,449.159,45.456,876,441,10,14,0.535,15.652,877,441,116.565,10.000,1.465,0.683,0.819
25,92,866.380,449.663,44.042,860,445,14,11,0.596,15.620,862,455,39.806,10.491,1.617,0.619,0.790
26,30,902.533,448.300,20.728,900,445,6,7,0.877,8.602,900,452,54.462,6.000,1.438,0.696,0.870
27,57,890.149,451.623,36.042,887,446,8,12,0.551,12.369,888,446,104.036,8.000,1.575,0.635,0.765
28,62,1072.629,454.194,34.042,1068,449,9,12,0.672,13.892,1069,461,59.744,8.004,2.110,0.474,0.790
29,62,1088.484,457.097,29.799,1084,452,9,10,0.877,11.662,1085,462,59.036,8.050,1.479,0.676,0.879
30,42,423.119,483.119,35.799,418,479,11,8,0.412,11.705,418,481,160.017,8.000,1.260,0.794,0.622
31,74,504.243,493.068,31.213,499,488,10,10,0.954,12.207,499,490,145.008,9.192,1.314,0.761,0.902
32,57,734.939,499.307,34.627,729,494,12,10,0.597,13.000,729,498,157.380,9.192,1.575,0.635,0.731
33,27,670.093,514.870,18.728,667,512,6,6,0.967,7.211,667,517,33.690,5.821,1.247,0.802,0.871
34,55,673.427,522.009,26.385,669,518,9,8,0.993,10.817,669,519,146.310,7.603,1.471,0.680,0.909
35,79,871.133,534.133,31.213,866,529,10,10,1.000,11.180,869,529,116.565,9.899,1.069,0.936,0.935
36,50,447.080,548.260,25.556,443,545,9,7,0.962,9.849,443,551,23.962,7.000,1.297,0.771,0.917
37,55,650.355,554.918,32.870,645,551,11,9,0.640,12.530,645,558,28.610,7.603,1.904,0.525,0.775
38,42,671.667,554.048,23.556,667,551,9,6,0.951,9.849,667,556,23.962,6.000,1.612,0.620,0.913
39,41,660.427,556.915,26.385,657,553,7,9,0.740,10.817,657,553,123.690,6.412,1.851,0.540,0.837
40,40,1088.900,574.725,29.556,1086,569,5,12,0.575,12.166,1088,569,99.462,5.000,2.587,0.387,0.800
41,32,738.219,582.406,20.142,735,579,6,7,0.991,8.602,736,579,125.538,5.657,1.522,0.657,0.914
42,25,620.580,583.060,17.314,618,580,5,6,1.000,6.708,619,580,116.565,5.000,1.230,0.813,0.909
43,32,693.656,592.625,20.971,690,589,7,7,0.914,8.602,690,595,35.538,5.657,1.694,0.590,0.853
44,49,1115.357,593.480,26.971,1111,589,8,9,0.846,10.630,1112,597,48.814,7.761,1.448,0.691,0.867
45,30,656.867,597.100,21.556,653,594,7,6,0.811,8.602,653,600,35.538,6.000,1.413,0.708,0.833
46,56,715.625,600.161,26.971,712,596,8,9,0.967,9.849,714,605,66.038,8.000,1.136,0.880,0.911
47,31,696.790,601.597,20.142,694,598,6,7,0.960,8.062,695,598,119.745,5.814,1.465,0.683,0.886
48,82,766.939,609.134,36.870,761,603,12,12,0.758,13.000,764,615,67.380,10.286,1.254,0.798,0.796
49,79,694.399,609.778,34.284,689,605,12,11,0.845,12.369,689,607,165.964,10.243,1.214,0.824,0.854
50,48,778.333,610.458,27.799,774,606,9,9,0.781,12.042,774,606,131.634,6.364,2.051,0.487,0.850
51,90,701.011,616.122,41.456,695,610,13,12,0.658,17.029,695,622,40.236,9.192,2.151,0.465,0.811
52,35,714.157,614.014,22.385,710,611,8,7,0.878,8.544,710,615,20.556,6.934,1.250,0.800,0.833
53,105,771.081,618.424,41.113,763,613,16,10,0.781,16.492,763,620,14.036,10.000,1.779,0.562,0.864
54,70,676.371,619.900,33.799,673,614,7,12,0.770,13.000,674,614,112.620,7.000,1.793,0.558,0.886
55,118,687.610,619.839,43.698,681,614,13,14,0.777,15.811,681,614,124.695,11.800,1.389,0.720,0.858
56,76,710.263,625.079,38.042,705,620,11,11,0.660,13.038,706,620,122.471,10.590,1.146,0.872,0.784
57,57,666.816,627.675,31.799,663,622,7,12,0.708,12.369,664,622,104.036,6.788,2.051,0.488,0.820
58,44,699.045,625.909,26.385,694,623,10,6,0.794,10.440,694,624,163.301,6.000,1.747,0.572,0.838
59,32,687.250,633.688,22.728,683,631,8,5,0.778,8.944,683,636,26.565,5.000,1.757,0.569,0.877
60,58,805.776,651.621,27.213,801,647,9,9,0.984,10.817,801,654,33.690,7.778,1.322,0.756,0.899
61,41,842.963,660.085,24.142,839,657,8,7,0.884,10.000,839,663,36.870,6.261,1.589,0.629,0.891
62,56,599.161,664.161,29.213,595,659,8,10,0.825,11.662,596,659,120.964,7.452,1.709,0.585,0.855
63,26,782.000,663.500,19.556,778,661,8,5,0.854,8.544,778,662,159.444,4.950,1.778,0.562,0.867
64,43,935.058,665.058,23.314,932,661,6,8,0.994,8.944,933,661,116.565,6.000,1.340,0.746,0.945
65,119,942.769,674.576,51.355,934,668,16,13,0.567,17.464,934,672,156.371,11.600,1.681,0.595,0.810
66,88,954.443,671.955,48.870,946,668,18,11,0.463,18.974,946,668,161.565,11.000,1.561,0.641,0.638
67,61,567.418,675.156,27.556,563,671,9,8,1.000,10.296,563,678,29.055,8.000,1.168,0.856,0.938
68,66,732.273,683.788,29.213,727,679,10,9,0.972,10.817,728,687,33.690,8.944,1.228,0.814,0.898
69,40,939.125,681.650,27.556,934,679,11,6,0.662,12.083,934,679,155.556,5.494,2.553,0.392,0.833
70,54,377.944,692.685,26.971,373,689,10,7,0.933,10.770,373,695,21.801,7.000,1.494,0.669,0.908
