Area,X,Y,Perim.,BX,BY,Width,Height
86,643.198,95.605,0,638,91,11,10
79,554.152,108.304,0,549,104,11,10
69,784.145,115.290,0,776,113,16,6
114,663.404,119.447,0,658,114,12,12
55,756.927,119.127,0,754,114,8,11
71,555.479,129.690,0,551,126,10,9
82,478.671,142.085,0,474,137,10,11
103,666.311,147.340,0,661,142,11,12
102,562.608,152.461,0,558,147,11,12
52,568.942,156.788,0,566,151,6,12
86,633.953,155.663,0,629,151,11,11
82,483.220,163.878,0,479,159,10,11
79,511.709,167.797,0,507,163,10,11
172,706.000,171.581,0,699,163,14,18
72,697.014,173.833,0,693,169,9,11
197,722.929,178.020,0,715,170,15,18
97,449.443,186.649,0,445,181,10,12
105,421.924,195.371,0,417,190,11,12
88,625.011,195.125,0,620,190,11,11
188,641.404,194.527,0,630,190,22,12
107,452.178,202.682,0,447,198,12,11
89,491.596,202.764,0,487,198,10,11
70,653.086,211.871,0,648,208,10,9
15,903.800,211.267,0,902,210,5,4
70,537.443,214.943,0,533,211,10,10
154,748.091,217.727,0,741,212,16,13
48,904.438,215.479,0,899,212,11,7
114,874.175,219.921,0,869,214,11,13
39,889.333,217.333,0,887,214,7,9
100,835.880,220.470,0,830,215,12,11
105,516.667,221.200,0,511,216,12,11
151,901.517,221.225,0,889,217,28,8
66,797.197,221.576,0,793,218,10,8
131,491.824,225.092,0,485,219,14,13
37,883.649,223.081,0,880,221,9,5
73,862.068,224.808,0,854,222,17,6
81,848.963,227.309,0,844,223,11,10
86,916.930,227.756,0,912,223,11,10
190,753.268,233.968,0,747,224,12,21
76,774.895,233.513,0,771,228,8,12
107,733.626,237.514,0,729,231,10,15
44,781.227,240.159,0,778,236,7,9
133,364.985,242.113,0,350,240,29,5
55,753.764,247.618,0,749,244,10,8
82,550.573,249.866,0,546,245,10,11
167,362.090,253.413,0,354,247,16,14
79,592.544,253.962,0,589,249,8,11
58,725.793,255.172,0,722,251,8,10
86,790.837,255.093,0,785,251,12,10
53,463.679,256.585,0,460,253,8,8
189,643.513,266.159,0,636,259,16,15
34,922.971,263.059,0,920,260,7,7
117,680.641,268.795,0,675,262,11,15
137,470.883,268.825,0,465,263,13,13
126,714.722,267.643,0,707,264,17,9
76,732.934,267.855,0,728,264,11,9
91,916.154,269.956,0,911,265,11,11
62,424.323,275.210,0,420,271,9,10
148,670.622,277.378,0,663,271,16,13
85,810.365,278.071,0,806,273,10,11
81,731.049,279.383,0,727,274,9,12
41,679.171,279.634,0,676,276,8,8
75,939.107,282.547,0,935,278,9,10
94,890.660,285.894,0,885,281,12,11
78,572.744,290.346,0,569,285,9,11
225,689.129,294.724,0,681,286,16,18
154,700.377,295.448,0,693,287,13,18
31,760.935,290.613,0,758,288,7,6
270,715.748,297.563,0,706,290,22,17
84,544.214,295.750,0,540,291,10,11
82,507.744,298.268,0,504,293,9,12
84,499.869,300.143,0,496,295,9,12
45,825.800,300.156,0,822,297,8,8
108,404.213,304.546,0,399,299,12,12
209,653.722,310.919,0,646,303,18,17
75,704.653,307.440,0,700,303,10,10
86,718.465,308.384,0,713,303,12,12
80,447.212,313.988,0,443,309,9,11
95,402.474,315.284,0,394,311,16,10
92,567.565,318.185,0,563,313,10,12
288,624.372,321.465,0,607,315,32,16
50,659.620,319.060,0,654,316,11,7
73,769.767,320.370,0,766,316,9,10
35,649.600,320.600,0,647,318,7,7
78,687.769,323.500,0,683,319,10,10
128,529.219,327.234,0,523,321,13,13
73,722.068,325.151,0,718,321,9,10
74,856.432,325.608,0,852,321,10,10
98,828.510,326.653,0,823,322,12,11
141,646.355,331.787,0,639,324,15,16
84,518.964,331.393,0,515,326,9,12
48,709.812,329.104,0,706,326,8,8
45,609.444,332.356,0,607,328,6,9
67,817.791,333.418,0,813,329,10,11
242,625.599,340.331,0,615,330,20,20
86,735.140,335.477,0,731,330,10,12
251,790.203,337.992,0,772,330,32,19
96,510.667,336.708,0,506,331,11,13
97,493.732,337.216,0,489,332,10,12
114,841.061,339.693,0,836,333,11,14
66,925.182,338.788,0,922,333,7,12
90,669.267,338.922,0,665,334,10,11
95,906.716,338.179,0,898,334,19,10
35,648.114,338.457,0,644,335,8,7
86,612.302,341.023,0,608,336,10,11
76,559.447,343.026,0,555,338,10,11
46,514.913,343.174,0,511,339,8,9
81,905.679,343.914,0,898,339,16,10
98,464.571,349.857,0,460,344,10,12
87,859.046,351.713,0,854,347,11,11
45,905.756,349.933,0,902,347,8,8
90,509.100,353.711,0,505,348,10,12
74,780.486,353.243,0,777,348,8,11
75,730.680,357.907,0,727,353,9,11
64,626.438,358.875,0,623,355,8,9
98,344.367,362.357,0,339,357,11,12
100,505.900,363.500,0,500,359,12,11
163,762.399,365.086,0,755,359,16,13
76,804.158,364.789,0,799,360,10,11
68,428.191,367.162,0,424,363,9,10
119,382.286,371.328,0,376,366,13,12
241,495.593,375.577,0,487,366,22,22
125,576.944,373.144,0,571,366,13,15
83,347.867,370.518,0,342,367,13,8
97,326.351,379.021,0,321,374,12,11
75,623.853,378.653,0,620,374,9,10
127,877.354,384.315,0,870,377,16,16
72,927.583,389.403,0,924,384,8,12
343,587.875,397.055,0,579,386,20,25
114,788.807,392.447,0,784,386,11,14
180,917.111,394.522,0,909,386,16,16
133,935.195,394.511,0,928,387,14,14
100,326.340,393.930,0,321,388,12,12
61,865.459,393.656,0,861,390,10,8
101,443.584,398.188,0,437,393,14,13
138,632.652,398.594,0,626,393,15,12
89,517.843,399.955,0,513,395,11,11
70,657.957,402.129,0,653,398,10,10
172,923.244,408.285,0,914,398,18,20
96,441.188,406.031,0,436,399,11,14
159,477.283,408.692,0,472,400,11,18
86,566.000,406.988,0,560,402,13,10
53,351.170,406.623,0,347,403,9,8
129,529.426,409.674,0,524,403,12,15
116,399.569,412.250,0,394,407,12,13
97,432.175,411.753,0,427,407,11,11
94,499.777,411.979,0,495,407,11,11
79,937.899,415.709,0,934,411,9,11
156,408.942,418.429,0,401,412,16,13
93,316.538,417.785,0,312,413,10,11
105,355.514,417.810,0,350,413,12,11
112,374.402,417.688,0,369,413,12,11
156,595.782,420.987,0,590,414,13,15
97,397.247,424.876,0,392,420,12,11
96,497.552,430.104,0,493,425,11,11
171,899.532,428.427,0,874,426,48,5
85,449.976,435.565,0,446,430,9,12
181,470.829,436.635,0,462,430,18,13
84,937.536,434.143,0,933,430,10,10
85,589.106,434.941,0,584,431,11,9
44,286.773,437.705,0,283,434,8,8
44,791.545,439.636,0,788,437,8,7
60,284.133,444.267,0,279,441,11,8
118,330.161,447.161,0,324,441,13,12
59,820.746,445.847,0,817,442,8,9
35,308.400,445.229,0,305,443,8,6
117,655.692,451.231,0,650,446,12,12
148,289.453,450.818,0,276,447,26,8
66,506.727,451.727,0,503,447,9,10
126,857.548,459.000,0,854,448,8,23
88,613.670,455.023,0,609,450,10,11
36,950.139,452.972,0,946,450,9,7
196,490.306,460.260,0,484,451,13,20
104,846.048,455.990,0,840,451,13,11
177,918.994,459.593,0,910,453,19,14
45,951.356,457.311,0,947,454,9,7
88,479.102,462.909,0,475,458,10,11
130,757.846,465.577,0,750,461,17,10
75,618.960,468.973,0,614,465,11,9
123,953.098,472.098,0,948,465,11,15
90,608.656,472.144,0,604,467,10,12
97,853.680,472.619,0,848,468,12,11
148,943.764,477.662,0,938,470,13,17
94,317.096,476.340,0,312,472,11,10
107,397.140,476.963,0,392,472,12,12
67,657.970,476.746,0,654,472,9,11
84,619.119,476.536,0,614,473,11,9
71,963.732,478.141,0,959,474,10,9
45,666.111,479.889,0,663,476,7,9
88,443.670,484.295,0,439,479,10,11
72,924.639,484.917,0,920,480,10,10
219,937.018,491.986,0,929,480,17,22
70,743.200,485.986,0,739,482,10,9
66,653.788,485.818,0,648,483,13,7
112,899.804,489.732,0,894,484,13,14
101,416.594,489.604,0,411,485,12,11
134,585.813,495.597,0,580,489,13,13
131,572.626,497.145,0,567,491,13,14
252,636.952,499.940,0,627,491,20,20
142,649.655,499.915,0,643,492,16,16
89,426.157,497.742,0,421,493,11,11
78,516.038,497.551,0,512,493,10,10
75,739.293,497.667,0,735,493,10,10
98,844.327,499.286,0,839,494,11,11
34,284.206,500.000,0,282,496,5,9
221,789.462,506.072,0,782,497,15,20
53,908.566,501.283,0,903,498,11,7
43,797.907,504.767,0,796,500,5,10
46,653.870,505.826,0,649,503,10,7
80,711.550,509.250,0,707,505,10,10
71,637.944,511.944,0,632,508,12,9
93,690.710,514.538,0,686,509,10,12
80,631.075,516.375,0,627,511,9,12
195,522.385,520.964,0,515,514,15,16
90,596.400,518.744,0,592,514,10,11
165,613.618,525.085,0,604,518,19,16
105,809.933,523.362,0,804,519,13,10
80,907.975,525.700,0,903,521,11,10
50,800.760,525.780,0,797,522,8,8
113,566.354,532.204,0,560,524,12,17
72,778.236,528.097,0,774,524,10,9
137,331.555,533.861,0,327,526,11,16
92,493.989,530.620,0,489,526,11,11
135,551.993,532.881,0,545,527,16,12
43,617.535,531.767,0,614,528,8,8
136,635.559,536.331,0,631,528,10,17
127,787.276,535.047,0,781,528,14,14
125,844.776,534.624,0,838,529,14,12
94,376.106,540.128,0,371,535,11,11
158,669.411,547.278,0,663,539,14,17
40,689.275,542.250,0,686,539,7,8
84,788.369,545.024,0,783,541,11,10
132,682.023,551.326,0,676,544,12,16
97,378.969,549.959,0,374,545,11,11
109,537.982,551.239,0,533,546,11,13
73,690.014,552.438,0,687,547,8,12
94,557.277,555.904,0,552,551,11,11
104,719.288,556.500,0,715,551,10,12
135,784.096,557.081,0,778,551,13,14
94,489.404,558.266,0,484,553,11,11
88,499.511,558.682,0,495,554,10,11
72,543.764,559.847,0,539,555,11,10
103,676.971,562.155,0,672,556,11,13
181,794.840,562.751,0,785,556,19,14
95,369.632,565.737,0,365,560,10,12
97,637.216,566.753,0,632,562,12,11
81,964.593,567.617,0,961,562,9,12
84,817.750,570.155,0,813,565,10,11
172,685.198,579.808,0,678,573,16,15
76,696.158,578.829,0,692,573,9,13
89,466.742,579.202,0,463,574,9,12
77,525.377,580.584,0,521,576,10,11
85,568.588,581.859,0,564,577,10,11
95,510.716,583.032,0,506,578,11,12
181,809.116,583.972,0,801,578,17,15
53,699.396,585.792,0,696,581,8,10
69,819.130,587.130,0,815,581,9,13
96,850.698,586.375,0,845,582,12,10
160,519.013,589.812,0,510,583,19,14
72,825.083,589.347,0,822,583,7,13
85,959.765,587.000,0,954,583,12,9
79,698.962,594.430,0,695,590,9,11
58,814.362,594.362,0,810,591,10,8
46,500.500,594.652,0,497,592,8,7
72,754.875,595.847,0,750,592,11,9
86,356.558,600.581,0,352,595,10,12
86,693.523,602.058,0,690,595,8,14
46,863.348,603.109,0,862,596,4,14
194,583.304,608.789,0,577,600,14,18
249,428.321,614.976,0,418,604,20,23
90,441.878,610.044,0,438,604,9,13
104,877.712,609.481,0,872,604,12,13
98,504.949,610.031,0,500,605,11,11
157,853.892,619.688,0,847,612,14,17
128,864.633,619.383,0,860,612,11,15
73,441.616,619.014,0,435,614,13,10
86,652.140,619.930,0,648,615,10,11
88,841.602,620.193,0,837,615,10,11
108,597.889,621.315,0,592,616,12,12
98,710.633,622.184,0,706,617,10,12
36,433.306,622.028,0,430,619,7,7
65,629.277,624.385,0,624,621,11,8
53,811.415,630.094,0,808,627,8,8
78,707.487,636.487,0,703,632,10,10
97,590.856,640.010,0,585,635,13,10
105,368.610,641.886,0,364,636,10,14
216,630.398,639.361,0,605,637,54,6
172,866.767,658.785,0,864,638,7,45
99,425.677,643.798,0,420,639,12,10
112,772.571,644.759,0,766,640,15,10
94,784.968,646.138,0,779,641,13,10
102,675.255,649.333,0,670,644,11,12
161,432.019,649.689,0,413,647,37,7
112,759.688,652.723,0,754,647,12,12
94,691.649,655.617,0,686,651,13,10
96,650.948,657.885,0,646,653,11,11
123,538.756,659.585,0,532,654,14,12
91,812.022,659.868,0,808,654,10,13
114,856.912,659.298,0,851,654,12,12
53,408.585,657.302,0,404,655,10,6
182,693.951,665.027,0,684,658,19,16
102,706.696,662.157,0,700,658,14,10
108,902.833,664.713,0,897,660,13,11
120,431.008,667.633,0,425,662,13,12
70,356.357,669.243,0,352,665,9,11
137,877.781,672.628,0,871,666,14,13
252,468.623,679.921,0,461,671,17,19
106,414.434,679.585,0,410,674,10,12
219,888.005,683.795,0,880,676,18,18
73,500.123,686.370,0,496,682,9,10
95,594.116,687.137,0,589,682,11,11
41,660.878,690.561,0,657,687,8,8
216,648.903,696.296,0,640,688,18,16
97,749.052,693.474,0,744,689,11,10
100,853.230,695.700,0,848,691,12,11
99,766.101,696.949,0,761,692,11,11
85,659.976,702.612,0,655,698,10,11
55,667.327,702.109,0,664,698,8,10
93,587.914,704.828,0,583,700,11,11
95,601.779,706.526,0,597,701,11,12
98,755.214,705.837,0,750,701,11,11
96,459.573,710.083,0,455,705,10,11
102,748.422,712.912,0,743,708,12,11
107,512.252,719.664,0,507,714,11,13
93,713.946,727.473,0,709,723,11,10
168,854.619,729.077,0,847,723,18,14
104,797.462,738.471,0,792,733,12,12
