 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,37,671.392,93.851,28.627,667,90,8,8,0.567,10.000,668,90,126.870,6.800,1.773,0.564,0.740,cell
2,55,643.718,96.118,26.385,639,92,9,8,0.993,9.487,639,95,161.565,8.000,1.068,0.936,0.894,cell
3,27,555.389,107.500,24.385,551,105,8,6,0.571,8.944,551,106,153.435,5.942,1.804,0.554,0.684,cell
4,58,663.741,119.862,28.627,659,115,9,10,0.889,11.180,661,115,116.565,7.778,1.459,0.685,0.872,cell
5,25,787.020,123.860,24.627,783,121,8,6,0.518,8.544,783,122,159.444,5.578,1.932,0.518,0.685,cell
6,41,556.256,129.890,28.627,552,126,8,8,0.629,8.944,552,128,153.435,7.778,1.212,0.825,0.788,cell
7,39,666.526,148.346,29.213,662,145,8,8,0.574,9.434,663,145,122.005,7.778,1.238,0.808,0.750,cell
8,25,834.620,149.380,22.142,831,147,8,5,0.641,8.944,831,147,153.435,4.919,2.103,0.476,0.806,cell
9,65,566.946,154.915,44.284,562,148,9,14,0.417,15.652,563,148,116.565,8.627,1.959,0.510,0.722,cell
10,47,634.521,156.202,28.627,630,152,8,9,0.721,9.487,633,161,71.565,8.000,1.161,0.861,0.825,cell
11,25,524.140,157.020,17.556,521,154,6,6,1.000,7.211,522,154,123.690,5.547,1.443,0.693,0.847,cell
12,40,484.125,163.825,30.627,480,160,8,8,0.536,8.944,482,160,116.565,8.000,1.131,0.884,0.755,cell
13,42,512.595,168.214,26.385,508,164,8,9,0.758,10.296,510,164,119.055,6.715,1.829,0.547,0.771,cell
14,151,703.526,171.791,56.770,694,164,18,14,0.589,18.248,694,172,170.538,13.490,1.569,0.637,0.793,cell
15,65,725.808,179.977,33.799,722,174,7,13,0.715,13.153,725,187,81.254,7.000,1.695,0.590,0.850,cell
16,64,449.938,186.875,28.385,446,182,8,10,0.998,10.770,448,192,68.199,8.000,1.261,0.793,0.928,cell
17,59,422.568,195.568,27.799,418,191,9,9,0.959,10.296,420,200,60.945,8.485,1.158,0.864,0.887,cell
18,37,626.095,194.986,25.213,621,191,9,8,0.731,10.296,621,193,150.945,5.657,2.022,0.494,0.771,cell
19,54,646.259,195.074,31.213,641,191,10,9,0.697,10.817,644,191,123.690,8.497,1.371,0.730,0.777,cell
20,59,453.195,202.619,34.627,448,198,10,9,0.618,11.180,448,200,153.435,9.000,1.306,0.766,0.792,cell
21,33,492.894,202.500,28.385,489,199,7,8,0.515,8.944,491,199,116.565,7.000,1.283,0.780,0.702,cell
22,28,593.143,212.036,23.556,589,209,7,7,0.634,7.616,591,209,113.199,6.600,1.308,0.764,0.737,cell
23,34,653.882,212.206,21.556,650,209,7,7,0.919,8.602,651,209,125.538,6.200,1.525,0.656,0.850,cell
24,26,904.885,213.385,22.971,902,210,6,7,0.619,8.062,903,210,119.745,5.821,1.677,0.596,0.722,cell
25,40,538.525,215.325,25.799,534,211,8,9,0.755,10.000,535,212,126.870,6.715,1.701,0.588,0.755,cell
26,123,897.703,220.850,70.042,887,214,28,11,0.315,28.443,887,217,169.875,11.000,3.615,0.277,0.599,cell
27,67,836.545,221.067,31.456,831,216,11,10,0.851,11.705,831,219,160.017,8.600,1.271,0.787,0.827,cell
28,48,517.292,221.208,34.042,513,217,9,9,0.521,10.296,515,217,119.055,7.778,1.403,0.713,0.768,cell
29,57,797.939,221.886,27.799,793,218,10,8,0.927,10.440,793,220,163.301,8.000,1.208,0.828,0.884,cell
30,51,493.186,225.225,24.971,489,221,8,8,1.000,9.434,489,223,147.995,8.000,1.106,0.904,0.911,cell
31,56,459.339,228.286,27.556,455,224,8,9,0.927,10.296,457,233,60.945,8.000,1.263,0.792,0.903,cell
32,65,917.269,228.577,29.213,912,224,10,9,0.957,10.770,912,227,158.199,9.000,1.162,0.860,0.884,cell
33,60,550.983,250.400,27.556,547,246,8,9,0.993,10.296,549,255,60.945,8.000,1.158,0.863,0.930,cell
34,113,363.571,254.013,40.042,357,248,13,12,0.886,14.213,359,260,50.711,12.000,1.046,0.956,0.886,cell
35,39,593.141,254.115,27.799,589,250,7,9,0.634,9.849,591,250,113.962,7.000,1.625,0.615,0.765,cell
36,37,726.257,255.824,24.971,722,252,7,9,0.746,10.296,723,252,119.055,6.379,1.888,0.530,0.779,cell
37,28,791.107,254.821,23.556,787,252,8,7,0.634,10.630,787,252,138.814,4.992,2.525,0.396,0.727,cell
38,44,924.205,265.023,27.213,920,261,8,8,0.747,8.944,922,269,63.435,8.000,1.137,0.879,0.822,cell
39,221,468.007,274.505,93.397,456,263,21,22,0.318,26.907,456,284,48.013,17.962,1.646,0.608,0.631,cell
40,28,388.321,266.893,27.799,384,264,8,6,0.455,8.544,384,266,159.444,6.000,1.568,0.638,0.667,cell
41,50,733.300,268.000,25.799,729,264,9,8,0.944,10.296,729,265,150.945,7.071,1.487,0.673,0.893,cell
42,67,916.500,270.425,28.971,912,266,9,9,1.000,10.817,912,267,146.310,9.000,1.108,0.902,0.924,cell
43,47,944.223,272.585,30.627,940,268,8,10,0.630,10.770,942,278,68.199,7.906,1.422,0.703,0.764,cell
44,63,810.897,278.690,28.385,807,274,8,10,0.983,10.440,810,284,73.301,8.000,1.170,0.855,0.920,cell
45,34,732.324,279.029,24.385,729,275,6,9,0.719,9.220,731,275,102.529,6.000,1.508,0.663,0.800,cell
46,53,939.500,283.292,26.385,935,279,8,9,0.957,9.849,938,288,66.038,8.000,1.196,0.836,0.898,cell
47,50,891.340,287.040,24.971,887,283,8,8,1.000,9.434,887,289,32.005,7.778,1.204,0.831,0.917,cell
