 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,55,643.718,96.118,26.385,639,92,9,8,0.993,9.487,639,95,161.565,8.000,1.068,0.936,0.894
2,27,555.389,107.500,24.385,551,105,8,6,0.571,8.944,551,106,153.435,5.942,1.804,0.554,0.684
3,89,769.612,120.567,44.284,763,113,13,14,0.570,18.439,763,113,130.601,9.899,2.029,0.493,0.757
4,55,663.864,119.882,33.456,659,115,9,10,0.617,11.180,661,115,116.565,7.778,1.483,0.674,0.827
5,55,759.973,120.155,31.456,755,116,10,9,0.699,11.662,755,118,149.036,8.004,1.676,0.597,0.775
6,41,556.256,129.890,28.627,552,126,8,8,0.629,8.944,552,128,153.435,7.778,1.212,0.825,0.788
7,89,773.017,131.848,49.355,767,126,14,12,0.459,16.401,768,137,37.569,11.888,1.175,0.851,0.685
8,39,666.526,148.346,29.213,662,145,8,8,0.574,9.434,663,145,122.005,7.778,1.238,0.808,0.750
9,25,834.620,149.380,22.142,831,147,8,5,0.641,8.944,831,147,153.435,4.919,2.103,0.476,0.806
10,65,566.946,154.915,44.284,562,148,9,14,0.417,15.652,563,148,116.565,8.627,1.959,0.510,0.722
11,45,634.544,156.189,31.456,630,152,8,9,0.572,9.487,633,161,71.565,8.000,1.165,0.858,0.789
12,25,524.140,157.020,17.556,521,154,6,6,1.000,7.211,522,154,123.690,5.547,1.443,0.693,0.847
13,40,484.125,163.825,30.627,480,160,8,8,0.536,8.944,482,160,116.565,8.000,1.131,0.884,0.755
14,42,512.595,168.214,26.385,508,164,8,9,0.758,10.296,510,164,119.055,6.715,1.829,0.547,0.771
15,92,706.565,171.098,47.941,700,164,12,13,0.503,14.866,701,166,132.274,10.213,1.438,0.695,0.797
16,46,697.717,173.891,24.728,694,170,7,8,0.945,9.434,695,170,122.005,7.000,1.261,0.793,0.911
17,65,725.808,179.977,33.799,722,174,7,13,0.715,13.153,725,187,81.254,7.000,1.695,0.590,0.850
18,57,450.132,186.693,37.456,446,182,8,10,0.511,10.770,448,192,68.199,8.000,1.267,0.789,0.832
19,52,422.712,195.404,36.284,418,191,9,9,0.496,10.296,420,200,60.945,8.485,1.106,0.904,0.782
20,37,626.095,194.986,25.213,621,191,9,8,0.731,10.296,621,193,150.945,5.657,2.022,0.494,0.771
21,54,646.259,195.074,31.213,641,191,10,9,0.697,10.817,644,191,123.690,8.497,1.371,0.730,0.777
22,59,453.195,202.619,34.627,448,198,10,9,0.618,11.180,448,200,153.435,9.000,1.306,0.766,0.792
23,33,492.894,202.500,28.385,489,199,7,8,0.515,8.944,491,199,116.565,7.000,1.283,0.780,0.702
24,28,593.143,212.036,23.556,589,209,7,7,0.634,7.616,591,209,113.199,6.600,1.308,0.764,0.737
25,34,653.882,212.206,21.556,650,209,7,7,0.919,8.602,651,209,125.538,6.200,1.525,0.656,0.850
26,40,538.525,215.325,25.799,534,211,8,9,0.755,10.000,535,212,126.870,6.715,1.701,0.588,0.755
27,118,749.246,218.720,44.284,742,213,14,12,0.756,17.205,742,214,144.462,10.976,1.584,0.631,0.877
28,102,873.431,221.176,48.870,865,215,14,12,0.537,17.029,865,227,40.236,11.589,1.354,0.738,0.770
29,67,836.545,221.067,31.456,831,216,11,10,0.851,11.705,831,219,160.017,8.600,1.271,0.787,0.827
30,48,517.292,221.208,34.042,513,217,9,9,0.521,10.296,515,217,119.055,7.778,1.403,0.713,0.768
31,57,797.939,221.886,27.799,793,218,10,8,0.927,10.440,793,220,163.301,8.000,1.208,0.828,0.884
32,42,493.381,224.952,34.042,489,221,8,8,0.455,9.434,489,223,147.995,8.000,1.213,0.825,0.757
33,50,459.560,228.260,33.213,456,224,7,9,0.570,10.296,457,233,60.945,7.000,1.362,0.734,0.855
34,106,851.047,227.123,59.456,839,224,25,9,0.377,25.318,839,228,9.090,9.000,3.036,0.329,0.686
35,65,917.269,228.577,29.213,912,224,10,9,0.957,10.770,912,227,158.199,9.000,1.162,0.860,0.884
36,74,773.203,232.757,41.698,766,228,13,11,0.535,13.601,768,228,126.027,10.448,1.452,0.689,0.729
37,45,723.478,235.144,34.385,718,232,12,8,0.478,14.422,718,240,33.690,6.261,2.763,0.362,0.692
38,66,743.879,242.621,34.385,739,237,9,12,0.701,14.422,739,237,123.690,8.356,1.662,0.602,0.841
39,69,751.514,248.514,37.799,747,244,10,12,0.607,14.213,748,256,50.711,9.617,1.513,0.661,0.802
40,60,550.983,250.400,27.556,547,246,8,9,0.993,10.296,549,255,60.945,8.000,1.158,0.863,0.930
41,106,363.528,253.896,51.113,357,248,13,12,0.510,14.213,359,260,50.711,12.000,1.066,0.938,0.831
42,33,742.864,252.742,26.971,740,248,7,8,0.570,10.000,741,248,126.870,7.000,1.299,0.770,0.759
43,39,593.141,254.115,27.799,589,250,7,9,0.634,9.849,591,250,113.962,7.000,1.625,0.615,0.765
