 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,32,877.594,181.438,19.899,874,179,7,5,1.000,8.062,874,183,29.745,5.000,1.391,0.719,0.955,cell
2,27,742.759,190.019,29.071,736,189,14,2,0.401,14.142,736,189,171.870,2.000,6.792,0.147,0.982,cell
3,27,609.389,191.056,33.071,602,190,16,2,0.310,16.125,602,190,172.875,2.000,7.500,0.133,0.915,cell
4,35,893.757,192.986,37.071,885,192,18,2,0.320,18.111,885,194,6.340,2.000,8.782,0.114,0.986,cell
5,28,582.000,264.607,19.556,579,261,6,7,0.920,8.602,579,268,54.462,4.950,1.847,0.541,0.875,cell
6,67,1018.396,274.664,50.426,1010,268,18,16,0.331,23.431,1010,284,39.806,5.222,6.173,0.162,0.698,cell
7,68,711.206,277.912,37.799,703,274,15,7,0.598,16.155,703,280,21.801,6.641,2.915,0.343,0.840,cell
8,31,912.242,297.016,33.657,904,296,16,2,0.344,16.125,904,298,7.125,2.000,7.787,0.128,0.984,cell
9,70,760.529,318.286,31.213,755,314,11,9,0.903,12.083,755,321,24.444,8.731,1.371,0.729,0.875,cell
10,47,655.713,326.968,24.728,651,324,9,6,0.966,9.849,651,325,156.038,6.000,1.475,0.678,0.940,cell
11,28,620.964,336.964,31.657,613,336,15,2,0.351,15.133,613,336,172.405,2.000,7.161,0.140,0.966,cell
12,33,910.258,342.924,21.556,906,340,9,5,0.892,9.487,906,342,161.565,5.000,1.850,0.541,0.892,cell
13,43,549.849,343.686,39.899,541,342,19,3,0.339,19.026,541,343,176.987,3.000,6.808,0.147,0.860,cell
14,31,665.500,352.597,30.728,659,351,14,3,0.413,14.036,659,352,175.914,3.000,4.673,0.214,0.838,cell
15,91,758.324,356.302,54.385,744,354,24,6,0.387,24.187,744,354,172.875,6.000,4.129,0.242,0.843,cell
16,49,896.439,364.949,25.314,892,362,9,6,0.961,9.849,892,363,156.038,6.000,1.498,0.668,0.951,cell
17,111,823.104,389.734,56.426,818,380,11,20,0.438,20.224,825,380,98.531,10.761,2.122,0.471,0.647,cell
18,152,595.658,389.849,44.870,589,382,13,15,0.949,15.524,593,397,75.069,13.000,1.138,0.878,0.927,cell
19,108,549.991,407.491,37.213,544,402,12,11,0.980,13.892,544,404,149.744,11.000,1.227,0.815,0.931,cell
20,38,1120.816,410.921,22.971,1117,407,7,8,0.905,9.434,1119,415,57.995,6.364,1.566,0.639,0.874,cell
