 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,877.594,181.438,19.899,874,179,7,5,1.000,8.062,874,183,29.745,5.000,1.391,0.719,0.955
2,27,742.759,190.019,29.071,736,189,14,2,0.401,14.142,736,189,171.870,2.000,6.792,0.147,0.982
3,27,609.389,191.056,33.071,602,190,16,2,0.310,16.125,602,190,172.875,2.000,7.500,0.133,0.915
4,35,893.757,192.986,37.071,885,192,18,2,0.320,18.111,885,194,6.340,2.000,8.782,0.114,0.986
5,28,582.000,264.607,19.556,579,261,6,7,0.920,8.602,579,268,54.462,4.950,1.847,0.541,0.875
6,67,1018.396,274.664,50.426,1010,268,18,16,0.331,23.431,1010,284,39.806,5.222,6.173,0.162,0.698
7,68,711.206,277.912,37.799,703,274,15,7,0.598,16.155,703,280,21.801,6.641,2.915,0.343,0.840
8,31,912.242,297.016,33.657,904,296,16,2,0.344,16.125,904,298,7.125,2.000,7.787,0.128,0.984
9,70,760.529,318.286,31.213,755,314,11,9,0.903,12.083,755,321,24.444,8.731,1.371,0.729,0.875
10,47,655.713,326.968,24.728,651,324,9,6,0.966,9.849,651,325,156.038,6.000,1.475,0.678,0.940
11,28,620.964,336.964,31.657,613,336,15,2,0.351,15.133,613,336,172.405,2.000,7.161,0.140,0.966
12,33,910.258,342.924,21.556,906,340,9,5,0.892,9.487,906,342,161.565,5.000,1.850,0.541,0.892
13,43,549.849,343.686,39.899,541,342,19,3,0.339,19.026,541,343,176.987,3.000,6.808,0.147,0.860
14,59,825.669,349.466,31.556,821,345,9,8,0.745,11.402,821,353,37.875,8.000,1.125,0.889,0.887
15,31,665.500,352.597,30.728,659,351,14,3,0.413,14.036,659,352,175.914,3.000,4.673,0.214,0.838
16,91,758.324,356.302,54.385,744,354,24,6,0.387,24.187,744,354,172.875,6.000,4.129,0.242,0.843
17,49,896.439,364.949,25.314,892,362,9,6,0.961,9.849,892,363,156.038,6.000,1.498,0.668,0.951
18,111,823.104,389.734,56.426,818,380,11,20,0.438,20.224,825,380,98.531,10.761,2.122,0.471,0.647
19,51,1032.441,390.304,33.698,1026,385,12,11,0.564,15.620,1026,396,39.806,4.950,3.600,0.278,0.791
20,93,1011.747,393.113,60.527,999,389,26,8,0.319,26.173,999,393,173.418,7.401,4.171,0.240,0.646
21,108,549.991,407.491,37.213,544,402,12,11,0.980,13.892,544,404,149.744,11.000,1.227,0.815,0.931
22,38,1120.816,410.921,22.971,1117,407,7,8,0.905,9.434,1119,415,57.995,6.364,1.566,0.639,0.874
23,71,906.627,425.852,35.556,899,422,14,7,0.706,15.232,899,429,23.199,6.576,2.403,0.416,0.893
24,89,919.264,432.006,41.456,914,424,10,16,0.651,18.868,914,424,122.005,7.155,2.907,0.344,0.886
25,40,892.600,431.175,26.971,888,428,10,7,0.691,12.207,888,435,34.992,5.145,2.682,0.373,0.842
26,64,929.094,442.516,30.385,925,437,9,10,0.871,12.806,926,437,128.660,7.653,1.727,0.579,0.908
27,25,756.420,456.300,17.314,754,453,5,6,1.000,7.071,754,459,45.000,5.000,1.123,0.891,0.909
28,58,892.828,462.345,27.213,888,458,9,9,0.984,9.849,888,461,156.038,8.854,1.079,0.927,0.885
29,32,1135.688,463.406,24.385,1132,459,7,9,0.676,10.817,1133,468,56.310,4.630,2.858,0.350,0.780
30,115,901.917,491.630,38.627,895,486,13,11,0.969,13.928,895,493,21.038,11.000,1.171,0.854,0.931
31,41,1011.476,489.720,23.556,1007,487,9,6,0.928,9.220,1007,490,12.529,6.000,1.372,0.729,0.901
32,47,397.670,495.074,23.556,394,491,7,8,1.000,8.944,396,491,116.565,7.000,1.121,0.892,0.931
33,52,405.308,496.577,25.556,402,492,7,9,1.000,9.487,403,501,71.565,7.000,1.189,0.841,0.920
34,36,573.861,524.806,22.142,571,521,6,8,0.923,8.544,572,521,110.556,6.000,1.415,0.707,0.878
35,99,978.409,532.894,35.456,973,527,11,12,0.990,13.416,975,527,116.565,10.539,1.283,0.780,0.921
36,92,511.348,558.239,35.213,506,553,11,11,0.932,12.042,507,554,131.634,11.000,1.043,0.959,0.906
37,45,847.789,563.700,24.142,844,560,7,8,0.970,9.220,844,561,130.601,7.000,1.176,0.850,0.918
