Area,X,Y,Perim.,BX,BY,Width,Height
18,235.556,27.611,0,234,25,5,6
87,639.724,73.759,0,635,69,11,11
136,650.169,83.882,0,644,78,14,13
102,725.725,88.010,0,722,81,10,14
132,614.182,90.803,0,608,85,13,13
162,678.488,102.062,0,671,96,16,13
276,785.768,114.120,0,776,106,21,17
90,714.900,123.778,0,710,119,11,10
27,171.296,139.556,0,169,137,6,6
42,497.786,146.452,0,492,144,11,7
175,684.263,162.434,0,677,155,16,15
224,741.674,162.643,0,731,155,22,15
143,587.378,164.594,0,582,158,13,14
152,709.895,169.368,0,703,163,14,14
108,758.306,170.741,0,750,164,15,13
159,872.308,178.478,0,866,170,14,18
157,864.452,185.427,0,859,175,14,19
76,686.197,182.053,0,681,178,11,9
87,817.218,188.644,0,812,184,11,10
45,842.422,189.733,0,839,186,9,9
46,844.696,193.717,0,840,188,9,11
164,512.659,216.951,0,510,201,6,34
475,830.006,216.263,0,818,204,25,24
141,884.979,211.248,0,878,205,14,14
90,403.389,244.000,0,398,239,11,11
107,514.206,252.561,0,512,241,5,29
104,502.356,248.846,0,498,243,10,13
100,808.770,251.360,0,805,245,9,14
21,1035.095,251.190,0,1033,249,5,6
219,389.329,264.087,0,382,253,17,22
110,500.755,264.700,0,493,259,14,12
164,643.451,265.915,0,636,259,15,14
79,865.342,265.582,0,861,261,10,10
216,364.042,276.468,0,356,268,17,17
94,402.521,272.734,0,397,268,12,10
68,843.309,273.618,0,839,270,11,9
63,385.048,277.016,0,381,273,9,9
53,396.302,279.340,0,392,276,10,7
331,817.858,286.311,0,805,276,25,20
124,327.895,290.234,0,322,284,12,14
337,849.139,295.932,0,836,288,25,19
78,616.500,296.000,0,612,292,10,9
174,943.178,300.351,0,937,292,14,16
214,320.187,304.579,0,314,295,14,20
42,1275.976,299.095,0,1273,296,7,8
185,572.432,309.319,0,564,303,17,14
74,618.378,315.892,0,614,312,10,9
153,653.817,323.484,0,647,317,14,14
299,370.334,331.060,0,359,320,25,21
51,421.647,331.451,0,418,327,8,9
340,326.459,353.088,0,317,341,20,25
84,426.679,351.119,0,422,346,10,11
99,457.040,353.071,0,452,348,11,12
185,537.778,359.519,0,530,352,16,16
72,386.806,359.250,0,382,355,10,10
111,564.532,369.739,0,559,364,12,12
135,514.274,371.726,0,508,365,13,14
120,383.217,374.942,0,377,369,12,14
218,372.982,377.986,0,363,370,25,17
104,593.721,379.923,0,588,375,12,12
95,661.137,381.053,0,656,376,11,11
101,418.743,381.782,0,414,377,11,11
104,935.779,394.029,0,930,389,12,11
63,315.540,400.413,0,311,397,10,8
42,571.214,400.405,0,568,397,8,8
144,455.660,403.562,0,449,398,14,13
75,360.173,409.720,0,356,405,10,10
97,704.227,421.052,0,699,416,12,11
189,324.302,426.862,0,317,419,15,17
427,983.386,432.370,0,974,419,21,28
308,490.250,433.825,0,479,424,21,21
198,319.460,441.000,0,309,434,21,13
91,298.923,443.473,0,293,439,13,9
254,634.669,455.339,0,627,447,16,19
358,585.327,463.508,0,575,453,24,23
154,985.448,498.870,0,975,488,18,20
224,855.790,512.875,0,847,506,19,15
176,484.023,513.869,0,477,507,15,15
183,737.421,515.448,0,730,508,16,16
98,428.235,521.255,0,423,514,12,14
116,536.198,531.888,0,531,525,11,15
145,660.490,538.869,0,654,533,13,15
185,643.151,546.432,0,636,539,16,16
93,654.301,546.011,0,649,540,13,12
43,385.907,549.047,0,383,546,7,8
203,889.798,556.852,0,882,550,17,14
399,644.088,567.464,0,631,554,28,24
115,590.061,562.226,0,584,557,13,12
202,835.064,574.391,0,828,567,16,16
166,796.861,576.566,0,790,570,15,14
253,550.798,583.312,0,542,573,18,20
121,662.636,580.810,0,655,575,15,11
162,626.944,587.142,0,621,579,13,16
94,855.894,587.319,0,850,583,13,10
74,353.189,610.351,0,349,606,10,10
70,820.443,614.400,0,815,610,11,9
190,546.837,618.268,0,538,612,19,14
102,828.186,620.441,0,822,616,13,11
305,506.390,655.046,0,494,644,21,22
140,819.364,651.043,0,813,646,15,12
140,637.214,654.521,0,631,648,14,14
27,35.296,651.556,0,33,649,6,6
38,99.105,659.368,0,96,656,7,8
48,665.667,661.979,0,662,659,8,8
237,677.105,666.515,0,668,659,18,17
22,115.136,667.545,0,113,665,5,6
23,219.478,667.565,0,217,665,6,6
157,470.949,672.720,0,464,667,15,13
94,623.415,677.649,0,618,673,11,11
192,479.958,687.557,0,472,678,16,19
142,772.662,685.303,0,767,679,13,16
50,83.400,683.280,0,80,680,8,8
123,533.301,693.049,0,528,686,12,14
165,564.200,694.467,0,557,687,15,15
57,732.632,695.702,0,729,692,8,9
55,589.327,709.182,0,585,706,10,8
134,831.403,720.134,0,825,715,14,12
72,822.986,736.583,0,818,732,10,10
81,518.049,746.926,0,513,742,11,10
18,395.167,747.333,0,393,745,5,6
147,582.122,781.592,0,576,775,13,15
