 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,44,639.818,74.250,27.799,636,70,8,8,0.715,9.434,637,70,122.005,7.519,1.333,0.750,0.838,cell
2,61,681.254,102.500,33.456,676,98,10,9,0.685,11.180,676,100,153.435,8.485,1.319,0.758,0.847,cell
3,55,810.827,107.064,43.698,801,102,18,10,0.362,20.591,801,102,150.945,4.919,5.147,0.194,0.743,cell
4,75,786.367,112.593,31.213,782,107,9,11,0.967,11.705,784,118,70.017,9.000,1.244,0.804,0.915,cell
5,38,683.526,162.763,22.971,680,159,7,7,0.905,8.062,682,159,119.745,7.000,1.016,0.984,0.874,cell
6,63,711.198,169.040,28.385,706,165,10,8,0.983,10.440,706,168,163.301,8.000,1.225,0.816,0.920,cell
7,40,484.675,170.050,23.799,481,166,8,8,0.887,8.544,481,172,20.556,7.071,1.204,0.830,0.825,cell
8,167,869.260,182.548,76.912,860,172,21,20,0.355,22.825,861,192,28.811,16.263,1.622,0.617,0.650,cell
9,42,817.452,189.357,22.971,814,185,7,8,1.000,8.944,815,193,63.435,7.000,1.216,0.822,0.903,cell
10,41,843.476,192.695,24.971,840,188,7,9,0.826,9.487,842,197,71.565,7.000,1.426,0.701,0.804,cell
11,52,887.154,213.077,26.971,883,209,8,8,0.898,9.434,883,211,147.995,8.000,1.076,0.929,0.904,cell
12,37,857.257,218.203,28.627,854,214,7,8,0.567,8.544,856,214,110.556,7.000,1.211,0.826,0.787,cell
13,59,403.720,244.449,27.799,399,240,9,9,0.959,10.296,401,240,119.055,8.485,1.206,0.829,0.894,cell
14,55,502.536,249.245,26.971,499,244,7,10,0.950,10.440,502,244,106.699,7.000,1.383,0.723,0.902,cell
15,32,967.406,265.094,34.627,963,258,8,14,0.335,16.125,963,258,119.745,3.578,6.485,0.154,0.674,cell
16,84,481.036,265.952,49.355,475,260,15,11,0.433,16.155,475,270,21.801,9.600,1.656,0.604,0.730,cell
17,43,865.570,266.012,26.385,862,262,7,8,0.776,8.944,864,262,116.565,7.000,1.048,0.954,0.851,cell
18,85,390.771,269.441,47.355,384,263,13,13,0.476,16.401,384,264,142.431,9.600,1.987,0.503,0.756,cell
19,25,644.100,266.540,17.314,641,264,6,5,1.000,6.708,641,268,26.565,5.000,1.147,0.872,0.909,cell
20,61,328.680,291.221,36.870,324,286,9,10,0.564,10.770,327,286,111.801,9.000,1.118,0.895,0.830,cell
21,57,617.079,296.518,26.971,612,293,10,7,0.985,10.440,612,298,16.699,7.000,1.339,0.747,0.927,cell
22,28,570.393,309.750,20.142,568,306,5,7,0.867,8.062,568,313,60.255,5.000,1.542,0.648,0.875,cell
23,49,618.663,316.500,24.971,614,313,9,7,0.988,9.220,614,316,167.471,7.000,1.169,0.856,0.907,cell
24,42,652.429,323.190,22.728,649,320,7,7,1.000,8.602,649,320,125.538,7.000,1.059,0.944,0.944,cell
