 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,639.818,74.250,27.799,636,70,8,8,0.715,9.434,637,70,122.005,7.519,1.333,0.750,0.838
2,52,726.269,89.250,27.556,723,84,7,10,0.861,11.180,724,94,63.435,7.000,1.421,0.704,0.881
3,59,681.246,102.551,36.284,676,98,10,9,0.563,11.180,676,100,153.435,8.485,1.330,0.752,0.819
4,55,810.827,107.064,43.698,801,102,18,10,0.362,20.591,801,102,150.945,4.919,5.147,0.194,0.743
5,75,786.367,112.593,31.213,782,107,9,11,0.967,11.705,784,118,70.017,9.000,1.244,0.804,0.915
6,41,743.549,162.256,26.385,740,158,7,8,0.740,9.434,740,166,57.995,7.000,1.102,0.908,0.828
7,38,683.526,162.763,22.971,680,159,7,7,0.905,8.062,682,159,119.745,7.000,1.016,0.984,0.874
8,46,754.152,166.848,34.870,747,163,14,7,0.475,14.866,747,169,19.654,5.966,2.855,0.350,0.713
9,63,711.198,169.040,28.385,706,165,10,8,0.983,10.440,706,168,163.301,8.000,1.225,0.816,0.920
10,126,651.698,173.238,43.698,644,166,14,14,0.829,16.125,649,166,119.745,12.650,1.329,0.753,0.866
11,71,871.359,178.683,37.456,867,172,9,14,0.636,14.866,869,172,109.654,7.814,2.104,0.475,0.772
12,67,646.231,182.127,42.284,641,175,10,16,0.471,16.279,643,175,100.620,8.854,2.042,0.490,0.673
13,45,654.344,185.189,24.971,650,181,8,8,0.907,9.434,652,189,57.995,7.589,1.280,0.781,0.865
14,67,864.396,186.455,32.627,860,181,10,11,0.791,13.038,861,192,57.529,8.485,1.581,0.633,0.832
15,52,680.769,190.923,32.485,678,185,5,13,0.619,13.601,678,185,107.103,5.000,3.019,0.331,0.889
16,42,817.452,189.357,22.971,814,185,7,8,1.000,8.944,815,193,63.435,7.000,1.216,0.822,0.903
17,41,843.476,192.695,24.971,840,188,7,9,0.826,9.487,842,197,71.565,7.000,1.426,0.701,0.804
18,52,887.154,213.077,26.971,883,209,8,8,0.898,9.434,883,211,147.995,8.000,1.076,0.929,0.904
19,37,857.257,218.203,28.627,854,214,7,8,0.567,8.544,856,214,110.556,7.000,1.211,0.826,0.787
20,37,828.068,224.608,23.314,823,222,9,5,0.855,9.487,823,226,18.435,5.000,1.615,0.619,0.914
21,59,403.720,244.449,27.799,399,240,9,9,0.959,10.296,401,240,119.055,8.485,1.206,0.829,0.894
22,55,502.536,249.245,26.971,499,244,7,10,0.950,10.440,502,244,106.699,7.000,1.383,0.723,0.902
23,40,741.750,250.475,26.385,738,247,8,7,0.722,9.220,739,247,139.399,7.000,1.216,0.822,0.816
24,32,967.406,265.094,34.627,963,258,8,14,0.335,16.125,963,258,119.745,3.578,6.485,0.154,0.674
25,84,481.036,265.952,49.355,475,260,15,11,0.433,16.155,475,270,21.801,9.600,1.656,0.604,0.730
26,40,865.425,266.050,30.627,862,262,7,8,0.536,8.944,864,262,116.565,7.000,1.086,0.920,0.792
27,85,390.771,269.441,47.355,384,263,13,13,0.476,16.401,384,264,142.431,9.600,1.987,0.503,0.756
28,25,644.100,266.540,17.314,641,264,6,5,1.000,6.708,641,268,26.565,5.000,1.147,0.872,0.909
29,58,721.966,272.155,40.284,718,265,8,13,0.449,14.765,719,265,118.301,8.000,1.659,0.603,0.695
30,55,843.391,274.300,28.042,839,270,10,9,0.879,10.440,839,276,16.699,8.538,1.202,0.832,0.840
31,31,830.565,280.435,24.971,827,277,9,7,0.625,9.849,827,278,156.038,6.364,1.442,0.693,0.705
32,50,839.780,283.720,28.385,836,278,7,11,0.780,11.402,837,289,74.745,7.000,1.638,0.610,0.833
33,61,328.680,291.221,36.870,324,286,9,10,0.564,10.770,327,286,111.801,9.000,1.118,0.895,0.830
34,132,951.795,297.591,55.113,947,287,10,20,0.546,20.396,950,287,101.310,9.217,2.605,0.384,0.820
35,118,942.661,300.576,44.042,937,292,11,16,0.764,17.205,938,293,125.538,10.186,1.806,0.554,0.868
36,57,617.079,296.518,26.971,612,293,10,7,0.985,10.440,612,298,16.699,7.000,1.339,0.747,0.927
37,28,570.393,309.750,20.142,568,306,5,7,0.867,8.062,568,313,60.255,5.000,1.542,0.648,0.875
38,27,853.833,311.611,21.899,849,309,8,5,0.707,9.434,849,314,32.005,5.000,1.684,0.594,0.818
39,49,618.663,316.500,24.971,614,313,9,7,0.988,9.220,614,316,167.471,7.000,1.169,0.856,0.907
40,83,386.187,320.886,37.799,382,314,9,14,0.730,14.560,384,314,105.945,8.682,1.751,0.571,0.830
41,34,379.147,321.000,23.556,376,317,6,9,0.770,9.849,377,317,113.962,6.000,1.515,0.660,0.829
42,42,652.429,323.190,22.728,649,320,7,7,1.000,8.602,649,320,125.538,7.000,1.059,0.944,0.944
43,36,375.917,326.444,25.213,372,322,8,8,0.712,10.630,372,322,131.186,5.657,2.008,0.498,0.800
44,25,391.540,326.300,18.142,389,323,5,7,0.954,7.280,390,323,105.945,5.000,1.270,0.788,0.862
45,53,427.160,351.745,26.385,423,347,8,9,0.957,9.849,425,356,66.038,8.000,1.181,0.847,0.891
46,34,699.088,357.559,21.556,696,354,6,7,0.919,7.810,696,360,39.806,6.000,1.176,0.851,0.895
47,30,930.833,361.800,34.485,929,354,3,16,0.317,16.031,930,354,93.576,3.000,6.381,0.157,0.769
48,46,988.935,357.870,28.385,985,354,8,8,0.717,9.434,987,362,57.995,7.761,1.136,0.880,0.844
49,36,387.389,359.583,21.556,384,356,7,7,0.974,8.062,386,356,119.745,7.000,1.123,0.891,0.878
50,35,564.671,371.814,20.728,561,369,7,6,1.000,8.062,561,370,150.255,6.000,1.245,0.803,0.921
51,29,593.638,379.914,19.556,590,377,7,6,0.953,8.602,590,377,144.462,5.657,1.704,0.587,0.853
52,27,660.130,381.759,18.728,657,379,6,6,0.967,7.211,658,379,123.690,6.000,1.289,0.776,0.871
53,32,619.625,394.281,24.385,617,390,6,8,0.676,8.944,618,390,116.565,6.000,1.614,0.620,0.821
54,52,935.538,394.327,25.556,932,390,7,9,1.000,9.849,934,399,66.038,7.000,1.302,0.768,0.929
55,48,954.854,400.188,24.971,951,396,7,9,0.967,9.487,953,396,108.435,7.000,1.313,0.762,0.906
56,30,1002.000,406.500,20.142,998,404,8,5,0.929,8.544,998,408,20.556,5.000,1.752,0.571,0.882
57,52,360.481,410.269,26.142,357,406,7,9,0.956,10.000,358,406,126.870,7.000,1.231,0.812,0.920
58,46,703.630,421.826,24.142,700,418,7,8,0.992,8.944,701,418,116.565,7.000,1.186,0.843,0.920
59,144,324.104,427.951,50.770,317,421,14,15,0.702,16.553,320,436,64.983,14.000,1.150,0.870,0.835
60,63,303.452,426.960,33.799,298,423,11,8,0.693,12.806,299,423,141.340,7.442,1.582,0.632,0.834
61,58,313.328,431.397,34.042,310,425,7,13,0.629,13.153,312,425,98.746,6.698,2.272,0.440,0.784
62,146,891.315,439.836,71.012,876,430,24,16,0.364,24.187,876,444,7.125,15.522,1.529,0.654,0.619
63,97,307.902,439.881,47.113,303,431,10,17,0.549,17.720,305,431,106.390,8.854,2.375,0.421,0.767
64,48,516.667,444.125,26.142,514,439,6,10,0.883,10.440,514,449,73.301,6.000,1.647,0.607,0.914
65,83,586.861,462.548,36.385,582,456,9,12,0.788,14.422,582,468,56.310,9.000,1.388,0.720,0.883
66,150,602.193,478.633,69.497,591,471,19,16,0.390,21.024,591,476,154.654,14.312,1.603,0.624,0.699
67,33,856.106,514.530,22.971,853,511,6,7,0.786,7.810,854,511,129.806,6.000,1.200,0.833,0.846
68,29,481.948,514.672,20.142,478,512,7,6,0.898,8.062,478,513,150.255,6.000,1.417,0.706,0.853
69,40,736.700,516.000,22.971,732,513,9,6,0.953,9.849,732,514,156.038,6.000,1.600,0.625,0.889
70,122,973.320,522.975,62.770,969,514,11,22,0.389,22.204,970,514,97.765,11.000,2.189,0.457,0.695
71,39,972.782,543.628,29.314,971,537,4,13,0.570,13.038,972,537,94.399,4.000,3.082,0.324,0.876
72,27,659.389,542.167,19.556,656,539,7,6,0.887,9.220,656,539,139.399,4.800,2.175,0.460,0.857
73,65,653.623,547.238,39.698,648,541,11,11,0.518,12.530,648,552,28.610,10.111,1.302,0.768,0.760
74,65,643.823,545.885,49.113,638,542,12,9,0.339,12.166,638,544,170.538,9.000,1.264,0.791,0.747
75,27,779.648,558.241,20.971,777,555,6,7,0.772,7.810,777,561,39.806,5.821,1.469,0.681,0.783
76,28,591.429,561.464,22.728,587,559,8,5,0.681,8.544,587,563,20.556,5.000,1.574,0.635,0.824
77,37,650.095,563.527,24.971,645,560,10,6,0.746,10.440,645,565,16.699,6.000,1.771,0.565,0.822
78,110,652.618,571.000,53.941,646,563,13,16,0.475,17.889,649,579,63.435,12.600,1.459,0.685,0.736
79,51,643.578,572.304,30.385,640,566,7,11,0.694,11.705,641,577,70.017,7.000,1.897,0.527,0.823
80,52,662.038,577.038,34.870,657,571,11,10,0.537,11.402,657,580,15.255,9.545,1.119,0.894,0.707
81,38,833.474,576.658,24.142,831,572,5,9,0.819,9.849,831,572,113.962,5.000,1.830,0.546,0.905
82,43,794.523,578.779,23.556,791,575,7,8,0.974,9.220,792,575,130.601,7.000,1.331,0.751,0.905
83,81,548.426,583.167,53.355,542,576,13,15,0.358,15.811,542,576,108.435,12.545,1.142,0.876,0.581
84,59,627.076,585.195,28.385,623,580,8,10,0.920,10.770,625,590,68.199,8.000,1.324,0.756,0.887
85,43,855.942,587.058,22.728,852,584,8,6,1.000,8.944,852,585,153.435,6.000,1.340,0.746,0.945
86,44,353.909,610.773,24.385,350,607,8,8,0.930,8.944,352,615,63.435,7.603,1.052,0.950,0.863
87,32,821.438,614.406,20.971,818,611,7,7,0.914,8.602,819,618,54.462,5.657,1.589,0.630,0.853
88,34,826.559,619.882,21.314,823,617,7,6,0.941,8.062,823,622,29.745,6.000,1.218,0.821,0.895
89,37,784.959,627.716,21.314,782,624,6,7,1.000,8.602,783,624,125.538,6.000,1.230,0.813,0.949
90,36,418.306,630.083,21.556,415,626,7,7,0.974,8.062,417,626,119.745,6.934,1.201,0.833,0.889
91,60,637.100,654.250,27.556,633,650,8,9,0.993,10.000,633,657,36.870,8.000,1.095,0.913,0.930
92,50,504.360,656.460,26.385,500,652,9,8,0.903,9.487,500,659,18.435,8.000,1.036,0.965,0.855
93,32,676.750,669.906,24.142,674,666,6,7,0.690,8.602,674,673,54.462,6.000,1.312,0.762,0.853
94,39,471.141,674.705,26.385,466,672,9,6,0.704,9.849,466,674,156.038,6.000,1.631,0.613,0.830
95,42,771.905,686.976,23.314,769,683,6,8,0.971,8.944,770,691,63.435,6.000,1.310,0.764,0.933
96,40,774.025,700.125,24.971,770,697,8,6,0.806,9.434,770,703,32.005,6.000,1.402,0.713,0.899
97,41,832.598,720.232,22.728,829,717,7,7,0.997,8.602,829,718,144.462,7.000,1.097,0.911,0.921
98,32,823.656,738.125,22.971,820,735,7,6,0.762,8.062,820,736,150.255,6.000,1.376,0.726,0.842
99,53,518.368,747.406,25.556,514,744,9,7,1.000,9.849,514,745,156.038,7.000,1.268,0.788,0.938
