Area,X,Y,Perim.,BX,BY,Width,Height
92,614.793,204.533,0,610,200,11,11
213,879.695,240.329,0,870,232,21,16
139,862.173,245.108,0,857,238,12,17
52,854.519,245.000,0,852,239,6,11
37,818.676,249.297,0,816,246,6,8
88,870.784,250.955,0,866,246,10,11
114,904.114,252.500,0,898,247,12,13
115,843.861,254.635,0,839,248,11,13
101,881.218,252.713,0,876,248,11,11
118,855.144,255.034,0,849,250,13,12
32,865.156,256.562,0,862,254,7,6
109,743.523,261.661,0,738,256,12,12
40,897.900,259.900,0,894,257,9,7
186,900.565,270.634,0,895,259,12,22
123,854.691,266.228,0,848,261,14,11
52,907.462,269.423,0,904,265,8,10
39,890.615,268.410,0,887,266,8,6
69,747.478,271.696,0,742,269,12,7
204,830.485,289.397,0,827,271,8,38
101,890.535,276.733,0,884,272,14,10
66,754.652,277.742,0,749,273,12,11
22,740.500,277.000,0,738,275,6,5
97,876.918,280.082,0,872,275,11,11
71,748.606,281.958,0,743,277,12,11
51,762.490,281.529,0,758,278,10,8
75,899.907,284.453,0,894,281,12,8
61,890.721,286.607,0,887,282,8,10
109,504.367,287.532,0,494,284,22,8
49,762.163,287.469,0,757,285,12,6
66,755.061,295.970,0,751,292,9,9
40,866.925,295.525,0,864,292,7,8
41,892.244,293.976,0,888,292,10,5
188,598.915,317.793,0,596,299,7,40
57,894.404,304.807,0,891,299,8,11
37,578.730,307.216,0,576,304,7,7
103,535.097,312.699,0,530,307,11,12
44,463.705,316.432,0,460,313,8,7
68,476.338,318.221,0,472,313,10,11
176,1025.119,317.097,0,1007,314,36,7
48,582.979,318.062,0,579,315,9,7
67,674.000,319.701,0,670,316,9,9
35,822.971,323.057,0,820,320,7,7
38,837.737,322.895,0,834,320,8,7
38,548.184,325.000,0,545,322,7,7
31,582.806,323.968,0,580,322,7,5
72,737.486,326.069,0,733,322,10,9
90,830.244,326.789,0,825,322,12,11
61,473.934,326.115,0,469,323,11,8
50,475.260,331.560,0,471,328,10,8
118,1010.873,332.898,0,1005,328,13,11
58,551.034,334.328,0,547,330,10,9
72,478.097,335.931,0,472,331,13,10
64,866.047,337.766,0,861,334,12,9
89,567.135,339.000,0,562,335,11,10
48,557.042,339.167,0,553,336,9,7
25,482.360,339.760,0,480,337,6,6
110,463.082,342.864,0,457,338,13,11
50,867.640,342.680,0,862,339,11,7
27,490.037,343.222,0,487,341,7,6
59,559.610,346.203,0,556,342,9,10
56,451.464,348.339,0,445,345,13,8
53,566.208,348.396,0,562,345,9,8
116,514.741,352.483,0,509,347,12,12
94,505.170,361.309,0,500,356,12,11
83,605.566,364.843,0,600,361,12,9
87,586.736,366.874,0,582,362,10,11
99,859.141,367.071,0,854,362,11,11
55,867.800,366.855,0,865,363,7,9
40,510.575,370.800,0,507,368,9,6
65,509.338,377.046,0,505,374,10,8
97,572.814,379.948,0,568,375,11,11
59,397.610,380.881,0,393,377,10,9
60,397.717,387.067,0,393,383,11,10
44,511.795,386.091,0,508,383,9,7
98,823.622,387.673,0,817,383,14,10
52,1047.500,390.250,0,1044,386,9,10
75,822.707,400.147,0,820,393,6,15
125,501.816,404.632,0,497,398,11,14
66,524.970,401.591,0,519,398,12,9
93,469.247,403.516,0,464,399,11,11
113,719.416,408.239,0,714,403,12,12
78,520.628,408.821,0,515,404,12,12
48,510.875,412.396,0,508,409,8,8
58,1030.052,412.948,0,1026,409,9,9
109,785.826,417.404,0,781,411,10,14
132,455.447,425.000,0,450,418,11,15
123,1100.724,434.089,0,1095,428,12,13
37,863.784,430.973,0,860,429,9,5
274,900.047,440.989,0,886,429,28,26
66,924.833,432.061,0,919,429,13,7
49,600.102,436.673,0,597,433,7,9
84,921.500,436.988,0,914,433,15,9
120,864.092,439.575,0,858,434,13,12
146,995.144,444.979,0,989,438,13,15
103,828.039,445.942,0,823,441,12,11
106,876.179,450.679,0,871,445,11,13
80,593.025,456.062,0,591,447,5,18
184,1097.902,453.886,0,1087,447,20,17
82,640.256,454.463,0,635,450,12,11
93,624.968,459.602,0,620,455,11,10
140,818.236,470.650,0,815,455,7,31
67,658.328,463.343,0,654,459,9,10
146,872.329,465.644,0,866,460,14,13
114,520.167,466.246,0,513,461,14,11
108,914.833,465.833,0,909,461,13,11
120,479.092,468.175,0,473,463,13,11
78,1096.756,470.718,0,1090,466,13,10
43,803.558,473.977,0,801,470,6,9
66,1128.879,475.136,0,1126,470,7,11
103,719.204,476.447,0,713,471,13,12
256,590.523,495.457,0,587,472,8,47
114,705.702,477.746,0,700,472,13,12
41,810.659,476.317,0,808,473,6,8
44,777.023,478.045,0,774,474,7,9
115,418.800,481.130,0,414,475,11,13
48,391.104,480.375,0,387,477,10,8
43,772.930,481.512,0,770,478,7,8
62,394.081,484.484,0,388,480,12,9
56,714.643,484.071,0,711,481,10,8
109,363.312,489.165,0,358,483,11,13
57,719.439,488.298,0,716,483,7,11
119,1114.059,497.244,0,1108,492,13,13
73,728.233,496.808,0,721,493,16,9
107,783.477,497.533,0,777,493,14,10
94,876.521,497.894,0,872,493,11,11
137,686.788,501.715,0,680,497,16,12
77,696.922,506.351,0,693,501,9,12
97,1125.247,509.175,0,1120,504,11,11
101,720.624,510.198,0,715,505,12,11
71,683.718,511.155,0,679,506,11,11
37,690.243,509.000,0,687,506,7,7
80,387.425,516.513,0,383,512,10,10
125,419.560,524.728,0,413,519,14,13
111,458.090,524.982,0,453,519,11,13
66,376.167,525.167,0,371,522,12,7
92,1076.652,526.946,0,1072,522,11,11
133,991.609,529.173,0,985,523,14,13
163,588.025,537.552,0,585,524,7,30
52,386.019,528.212,0,382,525,9,8
81,380.123,533.222,0,374,529,12,10
98,766.367,532.592,0,757,530,20,6
22,506.227,532.864,0,504,531,6,5
29,754.276,538.655,0,751,536,7,6
