 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,70,614.414,206.286,45.113,610,201,10,12,0.432,14.422,611,213,56.310,9.459,1.475,0.678,0.749
2,34,936.647,237.000,25.556,933,233,8,7,0.654,9.220,934,233,130.601,6.800,1.587,0.630,0.739
3,91,845.874,244.654,52.770,841,236,10,17,0.411,18.028,843,253,70.560,10.000,1.854,0.539,0.743
4,90,880.967,242.489,47.113,872,236,16,11,0.510,17.088,872,245,20.556,9.430,1.813,0.552,0.779
5,100,858.710,243.520,53.598,852,238,14,12,0.437,16.401,853,250,37.569,11.264,1.495,0.669,0.722
6,116,868.991,250.905,50.527,860,244,16,13,0.571,16.763,860,250,162.646,11.353,1.450,0.690,0.766
7,72,881.514,252.806,43.698,877,248,10,10,0.474,12.207,878,248,124.992,10.000,1.137,0.880,0.814
8,126,853.190,255.413,51.598,844,250,17,11,0.595,17.464,844,254,166.759,11.000,1.686,0.593,0.792
9,90,743.911,262.133,34.627,738,257,12,10,0.943,12.806,739,258,141.340,10.000,1.279,0.782,0.905
10,138,901.623,268.471,66.912,893,259,17,18,0.387,18.974,900,259,108.435,14.600,1.107,0.903,0.676
11,73,855.253,266.445,51.698,850,262,11,9,0.343,13.601,850,262,143.973,9.000,1.426,0.701,0.811
12,84,890.369,275.381,48.527,885,267,11,14,0.448,15.232,890,267,113.199,10.752,1.344,0.744,0.753
13,34,748.265,272.000,22.485,744,270,9,4,0.845,9.487,744,270,161.565,4.000,2.338,0.428,0.971
14,73,757.678,279.623,42.284,750,274,17,10,0.513,18.385,750,275,157.620,7.821,2.933,0.341,0.699
15,29,900.155,277.810,21.314,897,275,8,5,0.802,8.944,897,275,153.435,5.000,1.670,0.599,0.892
16,52,877.308,280.923,40.870,873,276,9,9,0.391,10.817,873,284,33.690,8.485,1.231,0.813,0.765
17,28,748.607,281.929,24.627,744,278,9,8,0.580,11.402,744,279,142.125,4.243,3.036,0.329,0.737
18,86,893.640,289.965,50.527,889,282,11,14,0.423,15.264,890,282,121.608,10.850,1.635,0.612,0.758
19,33,899.803,284.348,22.728,895,282,9,5,0.803,9.487,895,284,161.565,5.000,2.002,0.499,0.868
20,121,830.285,300.979,68.385,827,286,7,28,0.325,28.636,827,314,77.905,7.000,6.042,0.166,0.740
21,88,599.864,310.239,48.728,597,299,5,22,0.466,22.091,599,299,95.194,5.000,4.822,0.207,0.893
22,54,535.148,313.407,39.113,531,308,9,10,0.444,10.770,533,318,68.199,9.000,1.141,0.876,0.745
23,37,476.662,318.419,25.799,473,314,8,9,0.699,11.402,473,314,127.875,5.270,2.568,0.389,0.813
24,36,465.306,319.222,30.971,460,315,9,9,0.472,10.817,460,317,146.310,7.778,1.687,0.593,0.621
25,60,829.850,318.167,32.385,824,315,13,7,0.719,13.342,824,320,12.995,7.000,1.843,0.543,0.833
