 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,38,944.842,293.079,25.213,940,289,9,8,0.751,10.630,941,289,131.186,5.657,2.060,0.485,0.800
2,34,854.588,331.147,24.971,850,328,8,7,0.685,8.944,850,330,153.435,7.000,1.173,0.853,0.791
3,55,850.427,336.918,32.385,846,332,10,9,0.659,11.662,846,333,149.036,8.598,1.543,0.648,0.786
4,43,815.663,344.500,24.385,812,340,7,9,0.909,10.296,813,340,119.055,6.708,1.677,0.596,0.869
5,42,476.143,370.905,22.728,472,368,8,6,1.000,8.944,472,369,153.435,6.000,1.324,0.755,0.944
6,28,965.857,387.857,23.556,961,386,10,4,0.634,10.050,961,387,174.289,4.000,2.494,0.401,0.824
7,37,750.473,398.122,22.142,747,394,6,8,0.948,8.944,749,402,63.435,6.000,1.452,0.689,0.914
8,35,418.729,407.900,21.556,415,405,8,6,0.947,8.246,415,406,165.964,6.000,1.216,0.822,0.875
9,27,577.907,410.352,22.385,574,407,8,7,0.677,9.220,575,407,130.601,4.950,2.211,0.452,0.720
10,58,954.155,445.534,27.799,950,441,9,9,0.943,10.296,950,443,150.945,8.944,1.151,0.869,0.885
11,35,877.729,449.414,22.728,873,447,9,5,0.851,9.487,873,450,18.435,5.000,1.863,0.537,0.897
12,52,706.788,468.000,26.142,703,464,8,8,0.956,10.630,703,464,131.186,7.778,1.316,0.760,0.929
13,57,502.763,471.974,26.385,498,468,9,8,1.000,10.296,498,470,150.945,8.000,1.273,0.786,0.919
14,68,422.235,539.662,29.799,417,535,10,9,0.962,10.817,418,536,146.310,9.000,1.162,0.860,0.901
15,120,972.767,555.875,53.698,965,551,16,10,0.523,17.493,966,560,30.964,10.000,1.808,0.553,0.857
16,73,423.842,557.610,31.213,419,552,9,11,0.942,12.207,421,563,55.008,9.000,1.374,0.728,0.901
17,108,1002.630,564.370,50.284,997,556,10,20,0.537,20.396,1002,576,78.690,9.944,2.014,0.497,0.806
