 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,107,948.827,47.463,65.012,942,38,12,19,0.318,21.954,942,57,59.931,12.000,1.423,0.703,0.596,cell
2,25,1089.980,71.500,23.799,1086,67,7,8,0.555,8.944,1089,75,63.435,6.247,1.608,0.622,0.676,cell
3,29,1075.293,88.845,27.799,1071,84,8,9,0.472,11.402,1072,84,127.875,4.992,2.991,0.334,0.644,cell
4,30,1221.967,122.933,29.213,1216,120,12,7,0.442,13.416,1216,127,26.565,4.671,3.615,0.277,0.659,cell
5,26,1165.000,130.038,22.142,1160,128,9,4,0.666,9.220,1160,131,12.529,4.000,2.197,0.455,0.825,cell
6,51,1215.480,136.971,38.284,1212,131,7,14,0.437,14.142,1215,145,81.870,7.000,2.045,0.489,0.646,cell
7,29,1256.431,147.431,23.556,1253,144,7,8,0.657,10.000,1254,152,53.130,5.154,2.389,0.419,0.744,cell
8,157,1220.360,206.424,78.083,1213,193,15,22,0.324,25.060,1216,193,118.610,15.000,1.705,0.586,0.614,cell
9,39,1295.295,197.679,37.456,1289,193,13,9,0.349,15.000,1290,193,143.130,5.584,3.541,0.282,0.574,cell
10,34,719.618,214.706,32.385,715,210,11,8,0.407,11.705,715,218,19.983,8.000,1.316,0.760,0.571,cell
11,31,1289.694,217.177,31.799,1285,212,11,8,0.385,11.402,1285,217,164.745,7.071,1.906,0.525,0.602,cell
12,25,1283.260,222.380,20.971,1280,219,7,6,0.714,8.485,1281,219,135.000,5.657,1.553,0.644,0.794,cell
13,36,1312.361,230.139,36.042,1309,225,8,11,0.348,12.530,1310,236,61.390,7.056,1.979,0.505,0.605,cell
14,27,1336.981,247.204,26.627,1334,243,6,9,0.479,9.487,1336,243,108.435,5.590,1.995,0.501,0.651,cell
15,47,1380.840,252.330,40.627,1373,249,15,7,0.358,16.155,1373,250,158.199,6.276,3.068,0.326,0.653,cell
16,52,944.269,264.865,44.142,942,254,4,20,0.335,20.100,943,274,84.289,4.000,6.142,0.163,0.770,cell
17,37,1376.311,258.338,31.213,1371,254,9,10,0.477,11.662,1374,254,120.964,7.091,2.012,0.497,0.602,cell
18,69,1232.065,260.717,50.627,1222,257,17,7,0.338,17.720,1222,263,16.390,7.000,2.267,0.441,0.719,cell
19,28,1271.750,264.429,22.728,1268,261,8,6,0.681,8.944,1268,263,153.435,5.687,1.914,0.522,0.747,cell
20,126,1235.810,273.921,52.284,1229,266,16,14,0.579,17.088,1229,271,159.444,12.650,1.442,0.693,0.795,cell
21,42,1326.167,271.452,39.456,1319,266,12,9,0.339,12.649,1319,270,161.565,8.731,1.726,0.579,0.545,cell
22,32,1302.094,275.469,28.042,1297,272,10,7,0.511,10.440,1297,275,163.301,5.942,1.949,0.513,0.653,cell
23,26,1284.077,281.885,23.799,1281,277,6,8,0.577,9.434,1281,285,57.995,5.400,1.944,0.514,0.722,cell
24,33,1368.318,284.773,28.385,1364,281,8,7,0.515,10.630,1364,281,138.814,6.325,1.657,0.604,0.725,cell
25,47,1394.521,293.287,38.627,1387,289,14,8,0.396,15.652,1387,296,26.565,6.800,2.727,0.367,0.627,cell
26,56,1334.161,303.161,44.284,1328,296,11,13,0.359,15.811,1328,309,55.305,8.159,2.559,0.391,0.580,cell
27,31,1389.952,305.145,27.799,1385,301,9,8,0.504,9.849,1385,304,156.038,7.496,1.441,0.694,0.633,cell
28,38,1301.263,310.079,35.213,1298,305,7,11,0.385,12.530,1298,305,118.610,5.757,2.554,0.391,0.673,cell
29,35,1414.957,314.614,23.799,1411,311,8,7,0.777,9.434,1411,317,32.005,6.708,1.599,0.626,0.787,cell
30,33,1403.076,328.076,34.042,1400,324,8,9,0.358,11.314,1400,324,135.000,8.000,1.225,0.816,0.569,cell
31,25,1393.820,331.660,22.971,1390,328,8,6,0.595,8.944,1390,330,153.435,6.000,1.509,0.663,0.704,cell
32,26,1354.577,346.385,26.042,1352,342,6,9,0.482,10.296,1352,351,60.945,5.376,2.644,0.378,0.642,cell
33,29,1332.362,348.638,27.799,1327,346,10,6,0.472,11.662,1327,346,149.036,4.851,3.089,0.324,0.659,cell
34,26,1425.731,350.192,24.385,1421,348,9,5,0.549,9.849,1421,353,23.962,4.808,2.342,0.427,0.712,cell
35,151,1002.619,357.030,49.113,995,350,16,13,0.787,17.464,995,360,23.629,13.000,1.339,0.747,0.870,cell
36,54,944.352,370.981,44.142,942,361,4,20,0.348,20.025,944,361,92.862,4.000,5.979,0.167,0.800,cell
37,89,1130.848,370.736,33.799,1126,365,10,11,0.979,12.530,1128,365,118.610,10.000,1.213,0.824,0.937,cell
38,29,1388.155,370.638,27.213,1383,367,10,7,0.492,11.180,1383,373,26.565,5.757,2.545,0.393,0.630,cell
39,25,1408.700,373.780,22.142,1406,370,6,8,0.641,8.602,1407,378,54.462,5.295,1.709,0.585,0.725,cell
40,29,1387.052,380.534,25.799,1383,376,9,8,0.548,12.042,1383,384,41.634,4.600,3.123,0.320,0.744,cell
41,38,1345.684,381.816,24.385,1342,377,7,9,0.803,9.055,1346,377,96.340,7.000,1.257,0.796,0.826,cell
42,105,1110.710,386.805,43.113,1105,380,13,13,0.710,14.318,1105,392,24.775,12.650,1.143,0.875,0.820,cell
43,63,724.976,396.389,37.314,723,388,4,17,0.569,17.117,724,388,96.710,4.000,4.109,0.243,0.962,cell
44,148,484.818,400.291,59.456,480,391,11,22,0.526,24.597,480,413,63.435,10.547,2.649,0.378,0.829,cell
45,26,607.615,398.500,18.485,605,396,6,5,0.956,7.071,605,396,135.000,5.000,1.080,0.926,0.929,cell
46,105,756.281,401.129,52.770,747,396,16,12,0.474,16.492,747,402,14.036,12.000,1.511,0.662,0.732,cell
47,56,1348.768,402.250,45.941,1341,398,17,9,0.333,18.028,1341,406,19.440,7.091,2.883,0.347,0.605,cell
48,74,596.162,410.851,31.213,591,406,10,10,0.954,11.662,593,406,120.964,9.192,1.237,0.808,0.908,cell
49,37,861.500,411.500,20.971,858,408,7,7,1.000,7.616,860,408,113.199,7.000,1.000,1.000,0.902,cell
50,30,1425.000,417.200,28.971,1421,413,8,10,0.449,10.296,1421,414,119.055,7.491,1.832,0.546,0.577,cell
51,30,720.533,423.367,30.142,719,417,3,13,0.415,13.038,720,417,94.399,3.000,4.523,0.221,0.811,cell
52,25,1343.740,422.020,23.556,1340,419,8,7,0.566,9.220,1341,425,40.601,5.657,2.193,0.456,0.694,cell
53,65,1382.423,424.931,43.941,1375,419,14,11,0.423,16.125,1375,422,150.255,8.277,2.130,0.470,0.677,cell
54,33,1394.924,431.409,26.385,1392,428,7,9,0.596,9.487,1394,437,71.565,6.934,1.531,0.653,0.710,cell
55,60,489.417,444.883,49.314,487,433,4,23,0.310,23.087,489,433,94.970,4.000,6.882,0.145,0.816,cell
56,76,724.592,441.487,52.870,719,434,9,16,0.342,16.125,725,434,97.125,9.000,1.574,0.635,0.704,cell
57,34,671.176,447.412,22.971,668,443,6,8,0.810,8.602,668,450,54.462,6.000,1.263,0.792,0.850,cell
58,39,632.731,447.295,21.556,629,444,7,7,1.000,8.602,630,444,125.538,7.000,1.269,0.788,0.918,cell
59,60,527.683,450.250,28.385,523,446,9,9,0.936,11.314,524,446,135.000,7.778,1.388,0.721,0.909,cell
60,25,1354.820,452.100,21.899,1353,447,4,9,0.655,9.487,1353,456,71.565,4.000,2.705,0.370,0.820,cell
61,79,914.601,454.348,31.799,909,450,11,9,0.982,11.705,909,456,19.983,9.000,1.195,0.837,0.929,cell
62,93,1247.833,460.801,61.841,1243,453,11,16,0.306,17.000,1246,469,61.928,9.803,1.864,0.536,0.686,cell
63,33,1326.136,463.621,29.213,1322,460,10,7,0.486,10.770,1322,460,158.199,6.641,1.774,0.564,0.653,cell
64,101,552.876,466.906,36.385,547,462,12,10,0.959,13.416,547,470,26.565,10.000,1.224,0.817,0.940,cell
65,64,1350.531,466.953,43.113,1345,462,10,11,0.433,12.207,1345,463,124.992,10.000,1.171,0.854,0.719,cell
66,34,708.706,469.588,20.971,705,466,7,7,0.972,7.616,707,473,66.801,7.000,1.064,0.940,0.861,cell
67,99,1017.672,471.409,37.799,1012,466,11,12,0.871,13.416,1016,478,63.435,11.000,1.209,0.827,0.900,cell
68,31,1300.919,470.081,25.556,1298,466,7,9,0.596,11.402,1298,475,52.125,5.488,2.599,0.385,0.729,cell
69,37,613.365,474.527,23.556,609,471,8,7,0.838,8.944,609,473,153.435,6.957,1.370,0.730,0.831,cell
70,90,1347.122,478.767,59.598,1338,474,17,12,0.318,19.416,1338,475,145.491,10.119,2.002,0.499,0.619,cell
71,30,1401.300,480.367,34.627,1398,475,7,13,0.314,14.765,1398,475,118.301,4.693,4.596,0.218,0.561,cell
72,34,496.382,487.118,30.485,495,480,3,14,0.460,14.142,495,480,98.130,3.000,4.739,0.211,0.895,cell
73,27,951.204,487.759,33.314,950,481,3,15,0.306,15.133,950,481,97.595,3.000,6.287,0.159,0.711,cell
74,66,567.727,492.212,29.799,562,488,11,8,0.934,11.705,562,494,19.983,8.000,1.472,0.680,0.898,cell
75,41,1402.134,500.280,40.527,1398,493,8,15,0.314,16.155,1400,493,111.801,5.578,4.499,0.222,0.573,cell
76,39,1410.346,501.705,37.456,1406,498,9,9,0.349,10.296,1408,498,119.055,8.050,1.304,0.767,0.629,cell
77,88,1370.318,518.136,42.284,1365,513,12,13,0.618,14.765,1370,526,61.699,10.733,1.247,0.802,0.765,cell
78,72,684.528,518.750,31.213,679,514,11,9,0.929,12.207,679,516,145.008,8.854,1.453,0.688,0.894,cell
79,29,766.500,517.534,21.556,763,514,7,7,0.784,9.220,763,520,40.601,5.200,2.071,0.483,0.806,cell
80,27,1338.056,516.611,23.556,1333,514,9,6,0.611,10.000,1334,514,143.130,4.727,2.684,0.373,0.701,cell
81,82,1061.793,521.366,33.213,1056,516,11,10,0.934,12.806,1056,525,38.660,9.192,1.332,0.751,0.921,cell
82,42,1406.952,521.095,32.042,1402,516,9,10,0.514,12.806,1402,526,51.340,6.517,2.309,0.433,0.689,cell
83,25,1398.900,524.220,25.213,1395,520,7,8,0.494,8.246,1399,520,104.036,6.576,1.386,0.722,0.641,cell
