 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,88,948.784,48.432,58.184,942,42,12,15,0.327,17.493,942,57,59.036,12.000,1.136,0.881,0.585
2,25,1089.980,71.500,23.799,1086,67,7,8,0.555,8.944,1089,75,63.435,6.247,1.608,0.622,0.676
3,52,1045.250,116.962,39.213,1041,112,12,10,0.425,14.422,1041,122,33.690,9.089,1.785,0.560,0.667
4,30,1221.967,122.933,29.213,1216,120,12,7,0.442,13.416,1216,127,26.565,4.671,3.615,0.277,0.659
5,120,1435.708,139.042,60.142,1433,125,5,27,0.417,27.295,1434,152,81.573,5.000,5.526,0.181,0.923
6,26,1165.000,130.038,22.142,1160,128,9,4,0.666,9.220,1160,131,12.529,4.000,2.197,0.455,0.825
7,36,1215.056,134.972,23.799,1212,131,7,9,0.799,10.000,1213,140,53.130,5.657,1.916,0.522,0.809
8,29,1256.431,147.431,23.556,1253,144,7,8,0.657,10.000,1254,152,53.130,5.154,2.389,0.419,0.744
9,82,1435.671,162.378,42.728,1433,153,5,18,0.564,18.439,1434,171,77.471,5.000,3.629,0.276,0.937
10,70,1435.729,179.686,37.314,1433,172,5,16,0.632,16.279,1435,172,100.620,5.000,3.088,0.324,0.946
11,26,1240.077,184.692,25.213,1237,181,6,9,0.514,9.849,1238,181,113.962,6.000,1.839,0.544,0.619
12,135,1435.900,206.300,71.314,1433,189,5,33,0.334,33.136,1435,189,95.194,5.000,7.185,0.139,0.918
13,47,1304.883,195.138,33.456,1298,191,12,9,0.528,13.000,1298,192,157.380,8.004,2.042,0.490,0.631
14,31,1218.629,204.081,24.971,1215,200,8,8,0.625,9.434,1215,200,122.005,6.364,1.691,0.591,0.713
15,28,1287.429,204.714,24.971,1283,200,8,8,0.564,10.630,1283,207,41.186,5.506,2.098,0.477,0.675
16,37,1279.635,209.338,26.385,1275,205,8,8,0.668,9.434,1275,208,147.995,7.649,1.187,0.843,0.747
17,37,921.122,211.365,32.971,914,208,13,6,0.428,13.342,914,212,12.995,6.000,3.116,0.321,0.643
18,33,781.197,211.227,29.314,775,209,13,4,0.483,13.601,775,213,17.103,3.582,4.633,0.216,0.795
19,41,1272.256,213.402,28.385,1268,209,8,8,0.639,9.434,1270,209,122.005,7.589,1.291,0.775,0.766
20,34,719.618,214.706,32.385,715,210,11,8,0.407,11.705,715,218,19.983,8.000,1.316,0.760,0.571
21,68,761.662,213.868,40.385,753,210,16,8,0.524,17.088,753,218,20.556,6.080,3.152,0.317,0.795
22,27,1262.389,215.611,24.385,1259,212,8,7,0.571,8.944,1259,212,153.435,6.708,1.188,0.842,0.701
23,31,1289.694,217.177,31.799,1285,212,11,8,0.385,11.402,1285,217,164.745,7.071,1.906,0.525,0.602
24,48,937.542,215.500,44.385,927,213,20,6,0.306,20.881,927,213,163.301,3.796,7.162,0.140,0.738
25,31,952.435,217.758,26.385,948,214,8,7,0.560,8.944,948,217,153.435,6.306,1.227,0.815,0.697
26,33,961.621,220.136,26.385,957,217,8,6,0.596,8.944,957,219,153.435,6.000,1.193,0.838,0.776
27,61,729.861,221.680,49.456,722,218,17,8,0.313,18.385,722,226,22.380,7.663,2.489,0.402,0.622
28,71,1208.204,223.697,41.698,1204,218,9,12,0.513,13.416,1205,218,116.565,9.000,1.416,0.706,0.811
29,31,1299.145,221.500,27.213,1296,218,8,8,0.526,9.434,1296,226,57.995,7.417,1.349,0.741,0.653
30,25,1283.260,222.380,20.971,1280,219,7,6,0.714,8.485,1281,219,135.000,5.657,1.553,0.644,0.794
31,43,1291.058,228.244,31.213,1286,223,9,9,0.555,10.630,1288,232,48.814,8.713,1.342,0.745,0.694
32,91,1435.654,232.577,45.899,1433,223,5,20,0.543,20.224,1435,223,98.531,5.000,3.847,0.260,0.958
33,40,713.975,227.400,35.213,709,224,12,7,0.405,13.892,709,231,30.256,6.063,2.857,0.350,0.667
34,30,985.367,228.033,22.142,982,225,7,6,0.769,8.485,983,225,135.000,6.000,1.319,0.758,0.833
35,44,993.909,229.682,24.971,990,226,8,8,0.887,9.434,991,226,122.005,7.761,1.032,0.969,0.830
36,30,1302.167,230.133,27.799,1298,226,7,10,0.488,11.662,1298,226,120.964,6.078,2.323,0.431,0.638
37,26,1311.308,231.269,24.971,1309,227,6,9,0.524,9.055,1310,227,96.340,6.000,1.456,0.687,0.667
38,41,1001.280,232.841,30.627,997,229,9,8,0.549,9.849,997,235,23.962,7.273,1.239,0.807,0.726
39,34,686.706,236.500,26.971,684,232,7,9,0.587,9.849,684,241,66.038,7.000,1.424,0.702,0.723
40,128,900.922,235.203,67.556,885,232,30,6,0.352,30.150,885,234,174.289,5.824,6.272,0.159,0.837
41,36,1009.889,237.139,37.698,1005,232,11,10,0.318,12.806,1007,232,128.660,6.364,2.161,0.463,0.581
42,90,873.444,236.822,52.971,861,234,24,5,0.403,24.187,861,239,7.125,5.000,5.446,0.184,0.870
43,49,1214.827,238.643,29.556,1209,234,10,8,0.705,10.770,1209,238,158.199,8.000,1.410,0.709,0.803
44,44,920.455,239.977,30.142,914,237,13,5,0.609,13.342,914,242,12.995,5.000,3.114,0.321,0.846
45,75,945.420,241.033,42.042,940,237,14,12,0.533,16.279,943,249,47.490,9.921,1.605,0.623,0.704
46,112,899.527,241.241,61.799,885,238,28,6,0.369,28.284,885,243,8.130,6.000,5.609,0.178,0.815
47,56,873.911,242.625,46.728,862,240,22,4,0.322,22.204,862,244,7.765,4.000,7.411,0.135,0.789
48,64,1212.953,246.000,30.385,1208,242,11,8,0.871,12.083,1208,249,24.444,8.000,1.567,0.638,0.871
49,125,1435.900,258.764,66.728,1433,244,5,31,0.353,31.145,1435,244,95.528,5.000,6.566,0.152,0.909
50,81,729.253,248.574,45.556,720,246,19,5,0.490,19.416,720,247,168.111,5.000,3.862,0.259,0.895
51,54,712.093,249.204,31.314,706,247,13,5,0.692,13.342,706,247,167.005,5.000,2.651,0.377,0.923
52,27,1378.204,251.204,24.142,1373,249,10,4,0.582,10.440,1373,252,16.699,4.000,2.901,0.345,0.783
53,52,944.269,264.865,44.142,942,254,4,20,0.335,20.100,943,274,84.289,4.000,6.142,0.163,0.770
54,37,1376.311,258.338,31.213,1371,254,9,10,0.477,11.662,1374,254,120.964,7.091,2.012,0.497,0.602
55,28,1057.500,259.464,30.042,1055,255,6,9,0.390,10.296,1055,255,119.055,6.000,1.732,0.577,0.651
56,69,1232.065,260.717,50.627,1222,257,17,7,0.338,17.720,1222,263,16.390,7.000,2.267,0.441,0.719
57,35,1065.414,261.186,23.556,1062,258,7,7,0.793,9.220,1062,258,130.601,7.000,1.187,0.843,0.843
58,28,1271.750,264.429,22.728,1268,261,8,6,0.681,8.944,1268,263,153.435,5.687,1.914,0.522,0.747
