Area,X,Y,Perim.,BX,BY,Width,Height
46,59.522,163.348,0,56,160,8,8
62,905.306,229.548,0,902,224,7,13
48,909.917,231.021,0,908,225,5,12
38,1018.158,228.842,0,1015,226,7,7
172,896.703,234.936,0,890,228,16,14
49,872.469,247.653,0,868,244,9,9
56,867.839,249.982,0,864,245,10,10
102,873.118,258.392,0,868,253,11,12
121,702.636,261.306,0,697,255,12,13
145,867.766,270.159,0,862,264,13,14
103,551.728,272.282,0,546,268,12,10
106,666.972,272.566,0,661,268,13,10
61,591.623,278.623,0,588,274,8,10
202,867.386,285.723,0,858,278,19,16
100,570.420,284.600,0,566,279,10,12
63,849.603,284.190,0,846,280,8,10
128,839.102,295.422,0,833,289,12,16
27,615.259,292.556,0,613,290,6,6
85,823.659,301.776,0,819,297,10,11
197,1002.594,305.239,0,994,297,18,16
86,715.105,305.826,0,711,301,10,11
148,898.493,319.973,0,892,311,16,17
61,818.590,317.557,0,815,313,8,10
86,828.826,318.977,0,824,314,10,11
67,818.612,325.776,0,814,321,11,11
109,534.037,332.670,0,529,327,11,13
125,822.648,332.872,0,816,327,16,14
53,523.604,331.642,0,519,329,10,6
159,629.465,348.409,0,626,330,7,36
79,516.987,339.190,0,513,333,9,12
83,525.325,338.783,0,521,334,10,10
30,655.000,336.800,0,652,335,7,5
108,688.537,342.528,0,684,335,9,19
127,825.260,341.409,0,818,335,16,14
64,684.094,347.812,0,681,341,7,14
66,827.379,348.045,0,822,343,12,10
87,836.920,349.908,0,833,345,9,11
108,887.167,352.546,0,881,347,14,12
95,748.726,361.558,0,744,356,10,12
87,620.678,363.552,0,616,359,10,10
81,871.432,365.617,0,866,361,11,10
79,857.190,370.722,0,855,362,6,19
208,626.048,385.846,0,622,367,9,38
29,396.621,373.724,0,394,371,6,7
77,878.234,375.766,0,873,372,12,8
44,553.841,375.432,0,549,373,11,6
74,554.189,381.027,0,547,378,16,7
59,536.000,387.000,0,532,383,9,9
108,949.639,390.176,0,944,385,12,11
119,809.689,396.882,0,805,389,11,19
45,988.600,393.578,0,986,390,7,9
