 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,67,907.649,231.112,42.971,904,225,8,11,0.456,12.530,905,225,118.610,8.000,1.310,0.764,0.843
2,26,893.000,236.308,22.142,891,232,4,9,0.666,9.487,892,232,108.435,4.000,2.338,0.428,0.839
3,38,898.263,236.237,23.899,896,232,5,9,0.836,10.296,896,241,60.945,5.000,2.031,0.492,0.927
4,27,872.907,248.204,23.799,869,244,7,8,0.599,10.000,870,244,126.870,4.919,2.473,0.404,0.720
5,86,872.163,257.070,47.941,865,248,12,16,0.470,18.868,865,248,122.005,9.705,2.172,0.460,0.699
6,59,703.093,261.873,42.284,699,257,9,10,0.415,11.662,700,257,120.964,9.000,1.110,0.901,0.761
7,46,869.261,268.804,35.213,863,265,10,10,0.466,11.662,865,265,120.964,8.243,1.562,0.640,0.648
8,51,666.422,272.833,35.213,662,269,10,8,0.517,11.180,662,275,26.565,8.000,1.275,0.784,0.756
9,51,593.029,279.088,34.284,589,275,9,9,0.545,9.849,589,277,156.038,8.485,1.022,0.979,0.803
10,49,870.908,283.806,32.042,865,280,11,9,0.600,11.180,865,283,10.305,9.000,1.073,0.932,0.737
11,48,570.583,285.333,38.042,567,281,8,9,0.417,10.817,568,290,56.310,7.906,1.388,0.720,0.774
12,48,823.833,302.229,33.456,820,298,8,9,0.539,9.487,823,307,71.565,8.000,1.147,0.872,0.807
13,61,715.549,306.451,27.799,711,302,9,9,0.992,10.296,711,309,29.055,8.485,1.211,0.826,0.910
14,55,1006.718,306.973,37.456,1003,302,9,10,0.493,10.817,1003,303,146.310,8.485,1.252,0.799,0.809
15,103,899.413,318.248,55.113,893,311,17,16,0.426,22.627,894,327,45.000,9.000,2.759,0.362,0.680
16,131,904.813,323.233,58.184,897,313,15,20,0.486,24.413,897,333,55.008,10.733,2.772,0.361,0.726
17,55,829.136,319.391,27.799,825,314,8,10,0.894,10.440,827,324,73.301,8.000,1.330,0.752,0.866
18,133,821.688,333.244,69.497,816,324,14,19,0.346,19.416,818,324,101.889,13.810,1.643,0.609,0.715
19,71,534.401,332.880,45.941,529,328,11,11,0.423,11.705,532,328,109.983,10.286,1.097,0.912,0.776
20,25,524.220,332.460,21.556,520,330,8,5,0.676,8.544,520,333,20.556,4.603,2.113,0.473,0.781
21,65,525.254,339.346,31.213,519,335,11,9,0.838,11.402,519,340,15.255,9.000,1.267,0.789,0.861
22,30,1049.233,338.800,24.385,1046,335,7,7,0.634,8.062,1048,335,119.745,6.791,1.373,0.728,0.750
23,26,829.269,338.846,18.971,826,336,7,6,0.908,7.280,826,340,15.945,6.000,1.054,0.949,0.825
24,89,686.893,346.365,46.042,683,339,8,15,0.528,15.297,685,354,78.690,8.000,1.733,0.577,0.864
25,29,824.155,344.879,22.385,820,341,8,7,0.727,9.434,820,348,32.005,4.950,2.182,0.458,0.829
26,48,837.250,350.312,33.213,834,346,7,9,0.547,9.849,835,346,113.962,7.000,1.356,0.738,0.842
27,65,748.946,361.854,29.799,745,356,8,11,0.920,11.705,746,367,70.017,8.000,1.408,0.710,0.890
28,56,620.536,363.982,32.971,616,360,9,8,0.647,10.296,616,366,29.055,8.000,1.133,0.883,0.868
29,49,857.418,372.786,42.142,855,363,5,19,0.347,19.416,855,382,78.111,3.677,6.678,0.150,0.766
30,25,871.220,366.780,21.899,868,364,6,5,0.655,7.810,868,369,39.806,5.000,1.375,0.727,0.877
31,56,407.321,372.089,37.799,403,367,8,10,0.493,10.630,403,369,131.186,8.000,1.145,0.874,0.812
32,28,536.000,387.500,21.799,533,384,6,7,0.740,7.616,535,384,113.199,6.000,1.405,0.712,0.767
33,97,949.881,392.634,63.255,945,386,10,14,0.305,14.866,947,400,70.346,10.000,1.434,0.697,0.770
34,50,853.460,406.180,42.728,851,396,5,19,0.344,19.416,851,415,78.111,4.165,5.774,0.173,0.752
35,46,989.435,403.870,33.213,986,400,8,8,0.524,9.434,986,401,147.995,8.000,1.026,0.975,0.814
36,56,641.946,412.750,36.042,638,408,8,10,0.542,11.180,640,418,63.435,8.000,1.410,0.709,0.830
37,65,367.669,423.346,39.698,363,417,10,14,0.518,15.232,364,431,66.801,8.050,2.205,0.453,0.699
38,67,1024.470,422.634,40.527,1020,417,9,11,0.513,11.705,1023,417,109.983,9.000,1.258,0.795,0.822
39,43,373.942,426.453,29.799,370,421,9,9,0.609,9.849,371,430,66.038,8.746,1.106,0.904,0.741
